<1>	(0.000-3.325)	<sta> Pilipinas ang edukasyon bilang solusyon sa kahirapan .	Philippines education as solution to poverty .
<16>	(60.650-64.990)	so instead na three R's three C's character craft- -- craftsmanship at <int> critical thinking .	so instead of three r's three c's character craft -- craftsmanship and critical thinking .
<17>	(64.990-68.380)	ano po ba iyong pinaka-background nitong three C's na 'to ?	what is the background of these three C's ?
<18>	(68.380-75.066)	iyong three C's na isinusulong natin ito iyong pagbibigay natin ng tinatawag natin na life skills sa mga tao .	those three C's that we're promoting this is giving what we call life skills to people .
<19>	(75.066-78.640)	hindi lang ito para sa mga bata kung hindi pangkalahatan .	this is not just for children but for all .
<20>	(78.640-83.406)	na ninanais natin lahat ng mga Filipino magkaroon sila ng critical thinking craftsmanship and character .	we wish for all the Filipinos to have critical thinking craftsmanship and character .
<21>	(83.406-87.043)	at kapag mayroon sila nitong tinatawag nating ito life skills sa Ingles .	and if they have what we call in English life skills .
<22>	(87.043-90.538)	at sa Tagalog tawag <int> po natin dito Jules ay diskarte sa buhay .	and in Filipino we call this Jules as tactics in life .
<23>	(90.538-94.740)	<overlap> iyon ang kara- -- karaniwan kulang sa mga <int> Filipino .	that's what Filipinos usually lack .
<24>	(94.740-99.062)	although nandiyan po iyong tinatawag po natin na function ng literacy .	although there is what we call function of literacy .
<25>	(99.062-102.523)	marunong magbasa magsulat magbilang iyong mga Filipino .	Filipinos know how to read write and count .
<26>	(102.523-107.274)	of course tinutugunan no'ng <hes> K to twelve mas malalim pa mas mataas pa .	of course K to twelve focuses on something deeper and higher .
<27>	(107.274-109.510)	subalit sabi natin kulang pa rin iyon .	however we say that's still not enough .
<28>	(109.510-115.733)	ang kailangan ng -- kailangang-kailangan natin Jules una pa lang iyong pagkakaroon ng critical thinking iyong mga Filipino .	what we need Jules first is for Filipinos to have critical thinking .
<29>	(115.733-116.698)	anong ibig sabihin no'n ?	what does that mean ?
<30>	(116.698-119.401)	ito iyong abilidad ng isang tao na mag-isip nang malalim .	this is the ability of a person to think with depth .
<31>	(119.401-137.083)	iyong mga bagay-bagay tunay nga na natututo tayo tinuturuan tayo ng pagbabasa may mga kuwento doon sa mga <hes> libro na binabasa natin subalit ang tanong nito paano ito nakakatulong at paano ito makakatulong ng mas malalim pa at mas ma- -- mas mapaganda iyong buhay ng isang tao .	those things we learn we're taught how to read stories in books that we read however the question here is how can this help and how can this help a person to have a deeper and better life .
<32>	(137.083-147.124)	okay <hes> Congressman nabanggit n'yo nga iyong diskarte sa buhay kasi pangkaraniwan hindi naman 'to talaga tinuturo sa school di ba parang sariling diskarte mo na nga iyon <hes> pero ito ito iyong hangarin ninyo na maipasa sa curriculum mismo .	okay Congressman you mentioned already your strategy in life because it is ordinary this is not really taught in school right like that is already your personal strategy but this this your aspiration to pass in the curriculum itself .
<33>	(147.124-148.982)	pero gusto kong tutukan itong character .	but I want to focus on the character .
<34>	(148.982-157.080)	gaano ba kahalaga na <hes> matutukan ng edukasyon natin -- sistema ng edukasyon natin para mahulma iyong character ng isang <hes> Filipino <int> ?	how important is it for our education system to focus on -- our education system to shape the character of one Filipino ?
<35>	(157.080-158.542)	napakaganda iyong tanong mo Jules .	that's a very good question Jules .
<36>	(158.542-165.323)	of course <hes> these are -- these three are equally important which the reason why gusto nating <hes> tutukan iyong critical thinking .	of course these three are equally important which is the reason why we want to focus on critical thinking .
<37>	(165.323-167.842)	ibig sabihin iyong cognitive skill no'ng bata .	that means the cognitive skills of the child .
<38>	(167.842-170.585)	at the same time yung kaniyang iyong craftsmanship iyong skill .	at the same time the skill of craftsmanship .
<39>	(170.585-176.217)	pero iyong pangkalahatan diyan iyong character ng isang tao sapagkat iyong kabuuan ng isang tao ang mag-de-determine .	but generally it's the character of the person because the character of a person will determine .
<40>	(176.217-179.971)	ano iyong buhay na mayroon siya at papaano siya kikilos doon sa kaniyang lipunan ?	what life will they have and how will they function in the society ?
<41>	(179.971-190.247)	of course <hes> madalas ang binabanggit natin alam ko pareho tayong galing P_U_P's at ang tanong palagi hindi naman 'yong galing no'ng isang tao pero mas madiskarte ka ba ?	of course usually we mention I know we're both from P_U_P and the question always isn't where the person came from but if you are strategic ?
<42>	(190.247-191.100)	maabilidad ka ba ?	are you efficient ?
<43>	(191.100-191.506)	mhm .	mhm .
<44>	(191.506-196.558)	kasi sayang naman 'yong galing mo sayang iyong kaalaman mo kung hindi naman madiskarte .	because your skills will be a waste your knowledge will be a waste if you're not strategic .
<45>	(196.558-201.492)	at the same time may diskarte ka nga sa buhay pero wala ka namang character .	at the same time you have strategy in life but you don't have character .
<46>	(201.492-208.500)	so at the end of the day kulang 'yong diskarte mo and that's a sense na naapakan mo na iyong karapatan ng iba balewalang sa iyo .	at the end of the day your strategy will not be enough and in the sense that you already step on the rights of others and it will mean nothing to you .
<47>	(208.500-221.290)	so mahalaga iyong character para iyong mga Pilipino bagamat <hes> may desire ka na paunlarin iyong buhay mo but at the same time hindi ka nakakatapak doon sa karapatan ng iba habang pinapaunlad mo iyong sarili mo .	character is important for although Filipinos want to improve their lives but at the same time you're not stepping on other's rights while you're developing yourself .
<48>	(221.290-227.264)	at the same time isinasaalang-alang mo iyong kapakanan ng salinlahi iyong susunod na henerasyon .	at the same time you're prioritizing the sake of the the generation the next generation .
<49>	(227.264-229.206)	hindi ka lang nakatutok don sa <hes> %incomplete	you're not focusing on the %incomplete
<50>	(229.206-229.730)	sarili mo %incomplete	yourself %incomplete
<51>	(229.730-237.963)	sarili mo ngayon pero kinukunsidera mo rin with your character with a good character kung ano iyong maging resulta nito doon sa mga susunod .	yourself now but you're also considering with your character with a good character what the next results will be .
<52>	(237.963-238.330)	okay .	okay .
<53>	(238.330-242.890)	Congressman for the longest time 'no ang edukasyon natin talagang three R's iyong system na sinusunod .	Congressman for the longest time our education has been three R's the system that's being followed .
<54>	(242.890-250.731)	so dito sa panukala -- panukala ninyo talagang babanggain n'yo itong matagal nang <hes> kumbaga insituts- -- insis- -- institusyon na <hes> iyong three R's na 'yan .	in your proposal you'll really go against the long time you might say institution those three R's .
<55>	(250.731-259.000)	papa'no n'yo po <hes> i-co-convince 'yong mga kongresista siyempre sa house pati mga senators natin na suportahan itong panukala ninyo ?	how will you sir convince the congressmen of course in house including the senators to support your proposal ?
<56>	(259.000-266.939)	Jules mas maganda na itama na rin natin iyong pananaw na hindi ito completely overhaul ng education system .	Jules it's better to also correct our perception for it not to be completely overhauled by the education system .
<57>	(266.939-270.050)	this is a change in paradigm .	this is a change in paradigm .
<58>	(270.050-279.895)	sapagkat iyong <hes> K to twelve natutuwa tayo sapagkat binuksan na nito iyong <hes> pintuan para dito sa sinusulong natin na critical thinking craftsmanship and character .	because K to twelve we're delighted with this because this has opened the door to what we've been advocating the critical thinking craftsmanship and character .
<59>	(279.895-289.710)	ang nais na lang natin dito mas lalo pang pagandahin sapagkat iyong <hes> K to twelve ang punto de vista pa rin dito is employability .	our only wish here is to improve more for K to twelve the point of view here is still the ability to be employed .
<60>	(289.710-293.590)	subalit mas na- -- nais natin na mas palalimin pa ito Jules .	however we want to deepen this Jules .
<61>	(293.590-297.836)	ang nais natin hindi lang konsepto ng playability kundi empowerment .	what we want is not only the concept of playability but also empowerment .
<62>	(297.836-298.241)	okay %incomplete	okay %incomplete
<63>	(298.241-300.330)	na ang isang tao is truly empowered .	that one person is truly empowered .
<64>	(300.330-304.420)	kaya niyang mag-isip ng malalim kung ano 'yong mas magaang -- ikagaganda ng kaniyang buhay .	he can think deeply of what can quickly -- make his life more beautiful .
<65>	(304.420-307.946)	ano iyong kakayanan na mayroon siya para pagandahin niya iyong kaniyang buhay ?	what ability does he have for him to improve his life ?
<66>	(307.946-310.266)	ano iyong karakter na mayroon siya ?	what is your character that he has ?
<67>	(310.266-317.047)	ano iyong paghubog ng kaniyang pagkatao para sa kaniyang pag-unlad ng kaniyang sarili at lipunan hindi siya nakakasama sa iba .	what the molding of his character for his progress in his self and society he is not able to join others .
<68>	(317.047-323.527)	alright Congressman dito po sa Good Morning Pilipinas hindi lang po ako nagtatanong pati po iyong mga kababayan natin <hes> may tanong po ibibigay sa inyo .	all right Congressman here in Good Morning Philippines I am not the only one asking the questions but also our fellowmen there is a question that will be given to you .
<69>	(323.527-334.044)	kaya puntahan natin si Mang Tanong <int> (()) <sta> <sta> <breath> good morning Pilipinas at good morning din diyan Jules sa studio .	so let us go Mang Tanong (()) good morning Philippines and good morning there Jules in the studio .
<70>	(334.044-340.519)	nakarating pa ako ng Shaw Bili- -- Boulevard <sta> para magha- -- mangalap ng katanungan tungkol sa isyung ating pinag-uusapan .	I have reached Shaw Boulevard to gather questions about the issue we are talking about .
<71>	(340.519-343.970)	at kasama natin ngayon si Ate Flor .	and we are with Miss Flor now .
<72>	(343.970-345.896)	<sta> at balita ko may tanong daw siya kay Congressman .	and I have heard he has a question for Congressman .
<73>	(345.896-347.500)	Ate Flor ano po iyong tanong mo ?	Miss Flor what is your question ?
<74>	(347.500-352.002)	<sta> sapat na o ba ang pagtuturo ng technical skills sa K to twelve program ?	is it enough or the teaching of technical skills in the k to twelve program ?
<75>	(352.002-352.838)	ow .	oh .
<76>	(352.838-357.377)	sapat na ba ang pagtuturo ng technical skills sa K to twelve <sta> program ?	are the technical skills taught in the k to twelve program enough ?
<77>	(357.377-358.985)	sapat na po ba 'yan Congressman ?	is that enough Congressman ?
<78>	(358.985-360.100)	tanong ko lang po .	just a question .
<79>	(360.100-361.170)	<no-speech>	<no-speech>
<80>	(361.170-363.939)	<sta> sir i-response lang po natin quick response natin don .	sir let us just respond our quick response there .
<81>	(363.939-367.209)	sapat na raw po ba iyong <hes> technical skills sa K to twelve ?	are the technical skills in k to twelve enough ?
<82>	(367.209-367.764)	hindi pa .	not yet .
<83>	(367.764-379.800)	kailangan natin itong pagandahin sapagkat 'yong technical skills education do'n sa ating K to twelve ngayon may pinipili lang iyong ating <hes> Department of Education kung ano iyong ituturo nila .	we need to enhance this because the technical skills education for our K to twelve today our Department of Education is just choosing what they will teach .
<84>	(379.800-381.713)	'yong sa mga bata pare-pareho .	for the kids it is the same .
<85>	(381.713-381.935)	uh huh .	uh huh .
<86>	(381.935-389.264)	subalit dito sa sinusulong natin na three C's mahalaga na localized iyong technical skills na ituturo .	however in these three C's that we are pushing forward it is important that the technical skills that will be taught are localized .
<87>	(389.264-397.391)	ibig sabihin kung ako'y taga-Pangasinan at ang kadalasan na pinagkakakitaan namin doon ay palaisdaan turuan ako kung paano mangisda .	this means if I am from Pangasinan and our usual source of income is fishery I will be taught how to fish .
<88>	(397.391-401.670)	kung paano ko pa mas mapaparami iyong isda na nahuhuli ko .	on how I can multiply the fishes I catch .
<89>	(401.670-408.030)	kung ang isang tao nama'y nasa bundok ang ituturo sa kaniya kung paano niya paunlarin iyong kaniyang buhay kahit nando'n siya sa bundok .	if a person is in the mountain what will be taught to him is how can he develop his life even though he is there in the mountain .
<90>	(408.030-408.277)	ayan .	there .
<91>	(408.277-415.230)	so talagang kumbaga mas magiging <hes> holistic itong K to twelve if ever mapasok itong panukala ninyong three C sir .	so it is really like this K to twelve will be more holistic if ever these three C proposal of yours sir gets in .
<92>	(415.230-417.401)	balikan natin sa three C sir 'no ?	let us go back to the three c sir shall we ?
<93>	(417.401-424.810)	itong panukala ninyo papaano n'yo po ba <hes> <int> i-co-concretize if ever ma-implement na 'tong <hes> three C's sa bill ninyo ?	this proposal of yours how will you concretize if ever these three c's will be implemented in your bill ?
<94>	(424.810-425.830)	<no-speech>	<no-speech>
<95>	(425.830-432.750)	ang mangyayari nito inaatasan natin iyong Department of Education na ayusin pa iyong kanilang <no-speech> curriculum .	what will happen here is we require the Department of Education to continue fixing their curriculum .
<96>	(432.750-433.291)	mhm .	yes .
<97>	(433.291-438.903)	na mas nakaangkla ito dito sa paradigm na sinasabi natin na critical thinking development of critical thinking .	that it is more anchored in this paradigm that we are saying that critical thinking development of critical thinking .
<98>	(438.903-443.005)	so ibig sabihin hindi lang ito natatapos don sa pagtuturo ng information .	so it means this does not end there in the teaching of information .
<99>	(443.005-449.799)	sapagkat iyong mga libro natin iyong mga tinuturo halimbawa sa history ito'y information .	because those books of ours those that being taught for example in history this is information .
<100>	(449.799-457.705)	subalit ang tanong doon hindi lang dapat ito when what who at how <hes> -- how it happened kundi why why .	however the question there it should just not be when what who and how -- how it happened but instead why why .
<101>	(457.705-458.300)	okay .	okay .
<102>	(458.300-462.288)	at <overlap> Congressman sa College na natututunan iyong why di ba ?	and Congressman why is learned in college right ?
<103>	(462.288-463.293)	tama ka Jules .	you're right Jules .
<104>	(463.293-465.060)	'yon -- 'yon talaga iyong concern natin .	that's really our concern .
<105>	(465.060-470.910)	na karaniwan iyong mas malalim na pagkasa don sa mga issue naiiwan na lang don sa higher education .	usually the deeper discussion of issues are left to the higher education .
<106>	(470.910-471.345)	okay .	okay .
<107>	(471.345-476.089)	ngayon Congressman balikan po natin si Mang Tanong kasi <hes> nasagot na 'ata iyong tanong no'ng babae kanina .	now Congressman let's go back to Mister Question because the question of the woman earlier was already answered .
<108>	(476.089-477.175)	Mang Tanong ?	Mister Question ?
<109>	(477.175-479.360)	<no-speech>	<no-speech>
<110>	(479.360-482.370)	<no-speech>	<no-speech>
<111>	(482.370-483.964)	<sta> at 'yan ang sagot ni Congressman .	and that's the answer of Congressman .
<112>	(483.964-486.420)	ate may natutunan ka ba sa sagot ni Congressman ?	miss did you learn something from the answer of Congressman ?
<113>	(486.420-490.173)	opo may natutunan po ako sa sagot at katanungan ni Congressman .	yes I learned from the answer and question of Congressman .
<114>	(490.173-491.369)	salamat po .	thank you .
<115>	(491.369-492.745)	ayan salamat po .	there thank you .
<116>	(492.745-496.513)	dahil sabi ko nga sa inyo walang makukuhang sagot kung walang <sta> magtatanong .	because I told you you won't get an answer if no one will ask .
<117>	(496.513-498.853)	<sta> ako po si Hanz Urna ang nag-iisang Mang Tanong .	I'm Hanz Urna the only Mister Question .
<118>	(498.853-500.370)	<sta> back to studio .	back to studio .
<119>	(500.370-503.011)	<no-speech>	<no-speech>
<120>	(503.011-503.597)	<sta> alright .	alright .
<121>	(503.597-504.862)	thank you so much Mang Tanong .	thank you so much Mister Question .
<122>	(504.862-512.287)	okay Congressman as a last note 'no siyempre <hes> mahalagang magamit natin pagkakataon na 'to para <hes> malaman ng mga kababayan natin na may ganitong panukala .	okay Congressman as a last note of course it's important to use this chance for our fellow citizens to know that there's this proposal .
<123>	(512.287-516.831)	mensahe n'yo po sa mga kababayan natin na <hes> suportahan itong panukala ninyo .	your message to our fellow citizens support this proposal .
<124>	(516.831-518.274)	maraming-maraming salamat Jules .	thank you very much Jules .
<125>	(518.274-523.472)	sa lahat ng mga ta- -- nakapanood po ng <hes> Good Morning Pilipinas maraming- -- maraming salamat sa inyo .	to all the viewers of Good Morning Philippines thank you very much .
<126>	(523.472-530.620)	ang isinusulong po natin ay hindi lamang ito pagbibigay ng isang kaalaman o isang kakayanan sa indibiduwal .	what we're promoting is not just to give knowledge or skill to an individual .
<127>	(530.620-537.741)	ang nais po natin dito sa panukala na isinusulong natin sa kamara ay magkaroon ng tunay na empowerment ang bawat isa sa atin .	what we wish here in this proposal that we're promoting in the legislative chambers is for each of us to have real empowerment .
<128>	(537.741-551.876)	ang bawa isa sa atin marunong malalim mag-isip magkaroon ng kakayanan na pabutihin at pagandahin ang kaniyang buhay at magkaro'n ng totoong karakter para higit na mapaunlad hindi lang iyong kaniyang sarili kundi iyong ating lipunan na ginagalawan ang buong Pilipinas .	each of us knows how to think with depth to have the skill to improve and better his life and to have true character to even more improve not just his self but the society he's in the entire Philippines .
<129>	(551.876-552.689)	maraming salamat po .	thank you very much .
<130>	(552.689-557.787)	muli nakasama natin dito sa studio si Representative Ron Salo ng Kabayan Party-list .	again we have here in the studio Representative Ron Salo of Kabayan Party-list .
<131>	(557.787-558.266)	Thank you so much sir .	Thank you so much Sir .
<132>	(558.266-561.262)	maraming salamat din Ju -- ako po si Cathy .	thank you as well Ju -- I'm Cathy .
