<1>	(0.000-1.998)	<misc> news F_M .	news F_M .
<71>	(328.127-339.997)	opo opo bale <hes> ang regular po niya is one to <overlap> fifteen thirty thirty five forty tapos <hes> match point <hes> one point .	yes yes its regular is one to fifteen thirty thirty five forty then match point one point .
<72>	(339.997-351.398)	tapos po bawat <hes> first side halimbawa kayo po ang unang tira ng bola <hes> tatlong beses n'yo po -- <hes> tatlong beses po kayong <hes> mag-se-serve ?	then in each first side for example you will be the one who hits the ball first three times -- three times you will serve ?
<73>	(351.398-358.880)	mag- -- mag <hes> hit ng ball kung hindi n'yo po makuha 'yon i-che-change po 'yon do'n sa kabilang ano -- kabilang side .	will -- will hit the ball if you cannot get it it will be changed in the opposite side -- opposite side .
<74>	(358.880-365.892)	hm so kailangan talagang parang sa badminton laging aloft 'yung -- 'yung -- 'yung bola ano ?	hmmm like in badminton it really needs the -- the ball to be always aloft ?
<75>	(365.892-371.032)	at pagka na- -- tumama na sa ground <overlap> dapat po hindi siya malalaglag sa sahig .	and when -- it hits the ground it should not fall down to the floor .
<76>	(371.032-374.644)	kasi pag nalaglag po siya sa sahig <overlap> iskor na po 'nong kabilang side .	because if it slips off to the floor that is the score of the other side .
<77>	(374.644-375.990)	<overlap> yeah right .	yeah right .
<78>	(375.990-378.685)	mukhang mas simple 'yung rules dito 'di ba ?	seems the rules here are simpler right ?
<79>	(378.685-391.596)	<overlap> hindi kumplikado at 'tsaka ang masarap do'n <hes> masaya siyang laruin <overlap> kasi <hes> (()) may itatanong talagang ako po ay isa sa badminton enthusiast .	not complicated and what is good there it is fun to play because (()) I really have a question I am a badminton enthusiast .
<80>	(391.596-399.361)	talagang do'n po ako sumexy <laugh> <overlap> sa paglalaro po ng badminton not so of a tennis player .	I really became sexy there in playing badminton not so of a tennis player .
<81>	(399.361-402.132)	kasi talagang gustong-gusto kong mag-badminton .	because I really want to play badminton .
<82>	(402.132-406.076)	and when I started playing badminton before talagang I lost (()) pounds .	and when I started playing badminton before I really lost (()) pounds .
<83>	(406.076-406.583)	wow .	wow .
<84>	(406.583-409.170)	just by playing badminton in three months .	just by playing badminton in three months .
<85>	(409.170-418.652)	so if you -- if you can just imagine itong beach tennis po na 'to mas <hes> mas ac- -- magiging active po ka po dahil you play it on the sand .	so if you -- if you can just imagine this beach tennis is more -- I become active because you play it on the sand .
<86>	(418.652-424.505)	so talagang good for the health kasi cardiovascular siya na may exercise .	so really good for the health because it has a cardiovascular exercise .
<87>	(424.505-429.926)	<hes> at 'tsaka talagang hindi mo napapansin pinapawisan ka na habang naglalaro .	and you will not really notice you are already sweating while playing .
<88>	(429.926-430.409)	oo .	yes .
<89>	(430.409-436.390)	so <overlap> pati sa tuhod 'di ba okey kasi malambot 'yung sand eh .	so it is fine even on the knees because the sand is soft anyway .
<90>	(436.390-443.289)	<overlap> tumalon ka o malaglag ka <hes> less po ang injuries dito .	jump or fall injuries are less here .
<91>	(443.289-448.977)	hindi po kayo masasaktan kasi siyempre kung ang lalaglagan mo naman eh sand <hes> it's very safe .	you will not get hurt because of course if what you will fall on is sand it is very safe .
<92>	(448.977-453.374)	nakita mo nga parang may ano eh medyo acrobatic 'yung laro eh 'di ba ?	you saw there seemed to be well the game was a bit acrobatic right ?
<93>	(453.374-461.259)	<overlap> parang lilipad ka tatalon ka and then mag-da-dive ka susubsob <overlap> ka sa sand parang ang daming makikita mong aksiyon eh .	like you will fly you will jump and then will dive will fall on your face on the sand like you will see a lot of action .
<94>	(461.259-462.660)	opo .	yes .
<95>	(462.660-482.825)	kaya nga pag halimbawa <hes> sinearch po nila beach tennis talagang mag-e-enjoy sila kasi <hes> it's a fun sport it's a fun game and then <hes> habang nilalaro mo siya <hes> pag natapos mo siyang laruin hahanap hanapin mo kasi nando'n 'yung pagiging active mo lalabas eh .	so for example when they search for a beach tennis they will surely enjoy because it is a fun sport it is a fun game and then while playing it after you finish playing you will yearn for it because it will apparently unleash your activeness .
<96>	(482.825-490.594)	and then if you're a competitive person kung mahilig kang makipag-compete this is also <hes> a great sports play .	and then if you are a competitive person if you like to compete this is also a great sports play .
<97>	(490.594-491.560)	uhum .	hmm .
<98>	(491.560-504.960)	well last Sunday <hes> when you had a clinic and the first beach tennis mini tournament mayroon kayong mga guest na mga players from National University from University of the Philippines from Saint Benilde .	well last Sunday when you had a clinic and the first beach tennis mini tournament you had guests who are players from the National University from University of the Philippines from Saint Benilde .
<99>	(504.960-509.250)	at 'yung mga national players din natin na katulad ni Marian Capadocia .	and those national players too like Marian Capadocia .
<100>	(509.250-517.289)	at karamihan sa kanila first time naglaro parang from lawn tennis they shifted to beach tennis at napakabilis nilang naka-adjust .	and most of them played for the first time like from lawn tennis they shifted to beach tennis and they adjusted quickly .
<101>	(517.289-518.176)	right .	right .
<102>	(518.176-531.727)	<hes> kaya nga po nakakatuwa kasi <hes> mas na-e-encourage 'yung mga talagang athletes natin kagaya nila miss Marian Capadocia <hes> na i-try din siya kasi talagang it's fun .	that's why it's satisfying because our true athletes like Miss Marian Capadocia are encouraged more to try it too because it's really fun .
<103>	(531.727-539.836)	it's a fun game it's a fun sport hindi -- hindi mo kailangan ng maraming parang chechebureche para matuto 'nong game .	it is a fun game it is a fun sport not -- you do not need a lot of triviality to learn the game .
<104>	(539.836-540.260)	oo .	yes .
<105>	(540.260-554.540)	<hes> ang <int> gagawin mo lang eh mayroon kang bola may raketa ka tapos pumunta ka lang do'n tapos maglaro lang kayo pasa-pasa lang ng bola hanggang sa hindi mo alam naglalaro ka na 'nong beach -- 'yun na 'yun that's beach tennis .	what you only need to do is you have a ball you have a racket then you go there and you just play just passing the ball until you no longer know that you are playing at the beach -- that's it that's beach tennis .
<106>	(554.540-560.691)	<overlap> recently nagkaroon ng Asian beach <hes> games 'no sa Thailand 'no ?	recently there was an Asian beach games in Thailand right ?
<107>	(560.691-563.400)	<hes> 'yun bang beach tennis nilaro din don ?	was beach tennis played there too ?
<108>	(563.400-567.510)	<hes> I'm not very sure tito Ron 'no ?	I'm not very sure Tito Ron right ?
<109>	(567.510-574.372)	but <hes> we are pushing <hes> for beach tennis talaga to be known here in the Philippines .	but we really are pushing for beach tennis to be known here in the Philippines .
<110>	(574.372-574.810)	uhum .	yes .
<111>	(574.810-589.136)	and <hes> ang gusto ko talaga ang pangarap ko eh makapagbuo talaga tayo ng grupo that would become professional beach tennis players na <hes> puwedeng ipadala natin abroad to compete internationally .	and what I really want is my dream is for us to form a group that would become professional beach tennis players that we can send abroad to compete internationally .
<112>	(589.136-595.460)	para mayroon naman tayong <hes> nag-re-raise na ng flag ng Philippine beach tennis sa ibang bansa hindi ba ?	so that we can have someone to raise the Philippine flag of beach tennis in other countries am I right ?
<113>	(595.460-599.063)	<overlap> lalo na tayong mga Pilipino we're very competitive .	especially us Filipinos we're very competitive .
<114>	(599.063-599.500)	right .	right .
<115>	(599.500-607.407)	pagkatapos <hes> magagaling talaga tayo so once we set our hearts into something we will always always win .	and then we're really good so once we set our hearts into something we will always win .
<116>	(607.407-619.290)	so naniniwala ako na itong beach tennis pag natutunan 'to ng mga Pilipino at talagang may mga magagaling tayo na makuhang players mananalo tayo abroad instantly wala tayong problema .	that's why I believe that beach tennis if learned by Filipinos and if we get really good players we will win instantly abroad and we won't have a problem .
<117>	(619.290-628.902)	alam mo sa panonood ko 'nong Sunday 'no nakita ko na parang bagay 'tong sport na 'to sa ating mga kababayan eh dahil (()) hindi mo kailangang maging matangkad .	you know in watching last Sunday I can feel that this sport really fits our fellowmen because (()) you don't need to be tall .
<118>	(628.902-633.240)	hindi kailangan ng mamahaling sapatos dahil nakapaa ka lang .	you don't need an expensive shoes because you have to be on your bare feet .
<119>	(633.240-642.210)	at <hes> 'yung gilas ng mga Pilipino talagang bagay dito sa sport na 'to basta mabilis ka at <hes> magaling ka rin mag-placing 'di ba ?	and the energy of the Filipinos really fit this sport as long as you're quick and good at placing right ?
<120>	(642.210-645.749)	tama at 'tsaka tayo po kasi tayo mga maliliksi tayo eh .	right also because we're sharp .
<121>	(645.749-648.569)	maliliksi ang mga Pilipinong gumalaw .	Filipinos are brisk in moving .
<122>	(648.569-649.460)	<no-speech>	<no-speech>
<123>	(649.460-655.290)	so kagaya ng halimbawa ng basketball hindi ka naman maiisahan ng ng -- ng bola 'di ba ?	that's why for example in basketball you won't be outweighed by the -- the ball right ?
<124>	(655.290-661.330)	so kailangan parang gano'n din beach tennis kailangan talagang concentrated ka lang nakatutok ka .	it's necessary that you're also like that in beach tennis you need to concentrate and stay focused .
<125>	(661.330-669.634)	<hes> napaka- -- positive ng larong ito kaya kahit sino madaling matuto nito at talagang magugustuhan nila 'tong larong 'to .	-- positive anyone can easily learn this and they will really like this game .
<126>	(669.634-681.328)	and sana nga <hes> tito Ron 'no kasi twenty sixteen <hes> 'yung mga international federation of beach tennis abroad they're pushing na masali itong beach tennis sa olympics .	and hopefully Tito Ron because it's twenty sixteen the International Federation of Beach Tennis abroad they're pushing to include beach tennis in the Olympics .
<127>	(681.328-682.727)	na 'ko napakaganda niyan ah .	oh my that's really great .
<128>	(682.727-706.140)	twenty sixteen so sana <hes> as early as next year eh makapagbuo na tayo ng team para naman kahit papaano eh mayroon tayong representative ng beach tennis sa ibang bansa at makapag- -- <int> ibig mong sabihin magiging regular <hes> <hes> sport o regular event siya sa -- sa olympics 'yun ba ang proposal nila o magiging demonstration sport pa lamang ?	twenty sixteen so hopefully as early as next year we can form a team for us to have a representative in beach tennis in other countries and to -- you mean to be regular sport or regular event in the Olympics is that the proposal or will it be just a demonstration sport ?
<129>	(706.140-706.859)	yes po .	yes .
<130>	(706.859-717.308)	actually <hes> we're getting <hes> updates lang po from I_F_B_T International Federation of Beach Tennis kasi sila nga po ang nangangalakal sa ibang bansa .	actually we're getting updates from I_F_B_T International Federation of Beach Tennis because they're the one doing business in other countries .
<131>	(717.308-731.370)	so tayo pag 'yung grupo po natin talagang <hes> mayroon na tayong team mag-jo-join lang po tayo do'n tapos titignan natin kung ano 'yung mga tournaments at mga championships na puwede nating salihan abroad and then sa makarating tayo sa olympics .	if our group forms a team we'll join there and see which tournaments and championships we can join abroad until we can reach the Olympics .
<132>	(731.370-738.799)	okey sa ngayon <hes> marami tayo mga tennis coaches pero mayroon ba tayong mga regular na beach tennis coaches ?	okay now we have plenty of tennis coaches but do we have regular beach tennis coaches ?
<133>	(738.799-744.959)	<hes> actually ngayon po ang namamahala do'n sa team (()) professor Keith Tobias .	actually now the one supervising the team (()) Professor Keith Tobias .
<134>	(744.959-755.612)	siya po ay U_P professor of human kinetics sa U_P at <hes> talagang nakakatuwa po dahil ang support nila <hes> to the highest level .	he's a U_P professor of Human Kinetics in U_P and it's really heartwarming because their support is at the highest level .
<135>	(755.612-763.266)	so kami po mismo eh sama-sama at nagkakaisa na talagang ma-push 'tong beach tennis .	hence altogether we unite to push beach tennis .
<136>	(763.266-771.634)	so eventually <hes> ina-anounce din natin dito tito Ron 'no pag mayroon na talaga tayong mga lugar na puwede talaga nilang puntahan .	so eventually we're also announcing it here Tito Ron when we really have a place that we can go to .
<137>	(771.634-782.282)	at <hes> kung gusto talaga nilang matuto <hes> mayroon tayong isang lugar na <hes> sabihin sa kanila where they can find us and then they can play beach tennis .	and if they really want to learn we have one place tell them where we can find us and then they can play beach tennis .
<138>	(782.282-786.687)	kagaya ng ginagawa natin simula ngayon sa sa sands S_M by the bay .	similar to what we're doing starting now in the sands of S_M by the bay .
<139>	(786.687-796.776)	okey bukod diyan sa sands diyan sa S_M by the bay dito sa Metro Manila mayroon pa bang ibang mga <hes> beach volleyball court .	okay aside from the sands in S_M by the bay here in Metro Manila are there any other beach volleyball court .
<140>	(796.776-804.170)	kasi ang maganda rito 'yung dating ginagamit lamang para sa beach volleyball ay puwede na ring gamitin para sa beach tennis .	because what's good here is what we've been using in the past for beach volleyball can also be used for beach tennis .
<141>	(804.170-813.368)	<hes> ang alam ko po <hes> 'nong huli po nagkaroon na rin po kami ng tournament sa Philippine sports <hes> <hes> commission sa P_S_C .	what I know is in the past we've already had a tournament in Philippine Sports Commission in P_S_C .
<142>	(813.368-822.030)	mayroon po sila Rizal memorial stadium tito Ron na beach court na ginamit nila for a volleyball tournament last year .	they have a Rizal Memorial Stadium Tito Ron that is a beach court used for volleyball tournament last year .
<143>	(822.030-825.622)	so 'yon po -- <hes> actually this year lang 'yon .	that's it -- actually it was just this year .
<144>	(825.622-836.550)	so 'yun po I think you can go to Rizal memorial stadium <hes> coliseum para po magtanong do'n kasi mayroon po silang beach court na puwede nilang gamitin for beach tennis also .	I think you can go to Rizal Memorial Stadium Coliseum to ask because they have a beach court that can also be used for beach tennis .
<145>	(836.550-840.211)	I think ang U_S_T nagpagawa rin ng ganiyan eh if I remember right .	I think U_S_T has also built something like that if I remember it right .
<146>	(840.211-846.337)	<overlap> mayroon po mayroon po ang U_S_T <hes> mayroon na rin pong (()) yata .	yes they have U_S_T have (()) I think .
<147>	(846.337-855.969)	<hes> don't quote me tito Ron ha pero ang alam ko mayroon na rin mga ibang university na pero mga sand court na puwede nilang gamitin para maglaro ng beach tennis .	don't quote me Tito Ron but I think other universities also have sand court that can be used to play beach tennis .
<148>	(855.969-856.860)	that's very good .	that's very good .
<149>	(856.860-881.597)	do'n naman sa mga coastal towns walang problema dahil siyempre eh <overlap> nakakatuwa kasi mayroon din 'nong napansin n'yo po 'nong Linggo doon sa sands <hes> S_M by the bay kita n'yo 'yung mga bata mga nine years old ten years old <hes> gusto nilang matuto and nakakatuwa kasi <hes> hindi natin alam baka ito 'yung mga future athletes na natin eh hindi ba ?	meanwhile there is no problem in coastal towns because of course it is amusing that there are also some when you noticed last Sunday at sands S_M by the bay did you see that children aged nine years old ten years old wanted to learn and it is gratifying because we don't know it but these could already be our future athletes right ?
<150>	(881.597-889.530)	<overlap> so talagang I'm really encourage wala namang ano to eh age range ito tito Ron so anybody can play .	so I'm really encouraged this has no umm age range Tito Ron so anybody can play .
<151>	(889.530-895.809)	oo so <hes> maybe in the future magkakaroon ka na rin ng parang age group competitions 'no ?	yes so maybe in the future you will also have something like age group competitions right ?
<152>	(895.809-896.510)	mayroon po .	there are .
<153>	(896.510-898.573)	actually may mga levels po sila eh .	actually they have levels .
<154>	(898.573-900.804)	may tinatawag silang G_one (()) .	they have what is called G_one (()) .
<155>	(900.804-911.360)	'yung mga fourteen years old mga <hes> under eight years old mayroon po silang mga kanya-kanyang levels po of tournament .	the fourteen-year-old's those under eight years old they each have their own level of tournament .
<156>	(911.360-923.667)	okey you mentioned na simple ang larong ito at ang kailangan lang mayroon kang raketa merong bola hindi kailangan ng siyempre hindi kailangan ng sapatos <hes> pero magkano 'yung aabutin ?	okay you mentioned that this game is simple and you only need to have a racket have a ball not needed of course shoes are not needed but how much would it all cost ?
<157>	(923.667-928.352)	halimbawa bibili ka ng isang pair ng raketa 'tsaka 'yung mga bola mga magkanong aabutin ?	for instance you will buy a pair of rackets and the balls around how much would they cost ?
<158>	(928.352-932.985)	'yung initial investment for a prospective beach tennis player .	the initial investment for a prospective beach tennis player .
<159>	(932.985-940.659)	<hes> ngayon po ang available po dito nasa tatlong libo po pero dalawang raketa na 'yon may kasamang bola .	right now what's available here is around three thousand but that's already two rackets with a ball included .
<160>	(940.659-949.220)	<hes> so kung siyempre hindi ka naman pupuwedeng maglaro mag-isa kung dalawa po kayo mayroon na kayo kaagad na -- na raketa for that amount .	so of course you can't play alone if there are two of you you already have a -- a racket for that amount .
<161>	(949.220-953.381)	tapos magagamit n'yo na po 'yun hanggang sa matagal .	then you can use it for a long time .
<162>	(953.381-964.273)	hanggang sa if you really want to be professional beach tennis players maybe later on <hes> magkakaroon rin tayo ng mga carbon fiber made of beach tennis rackets .	until if you really want to be professional beach tennis players maybe later on we will also have beach tennis rackets made of carbon fiber .
<163>	(964.273-967.950)	naku maganda at sana available itong mga raketa na 'to ?	wow nice and hopefully these rackets are available right ?
<164>	(967.950-973.743)	sa Toby's po <hes> tito Ron mayroon na po tayong do'n mga available na tennis rackets .	at Toby's Tito Ron we already have tennis rackets available there .
<165>	(973.743-981.449)	so pag bumisita po sila sa lahat ng Toby's dito within Metro Manila mayroon na po tayong makukuhang mga raketa dito .	so if they visit all the Toby's within Metro Manila we can already buy rackets here .
<166>	(981.449-982.460)	ayun .	there .
<167>	(982.460-998.461)	at <hes> well in understand 'yung inyong libreng <hes> beach tennis clinic ay mayroon ngayon at 'tsaka mayroon din next next Sunday <overlap> sa December twenty eight December twenty one and December twenty eight mayroon pa po tayo .	and well I understand that you have your free beach tennis clinic today and there will also be some on the Sunday after next on December twenty-eight December twenty-one and December twenty-eight we will have one too .
<168>	(998.461-1007.059)	tapos <hes> we're still working out some other beach tennis clinic doon pa rin po sa sands S_M by the bay .	then we're still working out some other beach tennis clinics still at sands S_M by the bay .
<169>	(1007.059-1016.011)	<hes> tatapusin lang po natin tong holiday season tapos mag-a-announce po tayo ng bagong <hes> ng bagong date for beach tennis clinic .	we will just finish this holiday season then we will announce a new a new date for the beach tennis clinic .
<170>	(1016.011-1020.508)	naku napakaganda niyan at siguro <hes> maiba naman ako ng kaunti ano ?	wow that sounds really nice and maybe let's talk about something else shall we ?
<171>	(1020.508-1030.545)	ano bang mayroon ka ba ngayong mga showbiz commitments na medyo <overlap> tito Ron may pelikula ako kasali ako sa Kugot at Aswang chronicles .	do you have showbiz commitments that are slightly Tito Ron I have a movie I'm included in Kugot and Aswang chronicles .
<172>	(1030.545-1033.889)	ipapalabas sa M_M_F_F December twenty five .	it will be shown at the M_M_F_F December twenty-five .
<173>	(1033.889-1038.049)	so sana po eh abangan nila 'yon .	so hopefully they will watch out for it .
<174>	(1038.049-1045.518)	<overlap> mayroon din po akong <hes> show sa isang channel tuwing gabi 'yon po sana inaabangan din nila 'yon .	I also have a show in one channel that airs every night hopefully they would watch out for that too .
<175>	(1045.518-1046.080)	oo .	yes .
<176>	(1046.080-1051.710)	buti naisisingit mo itong pag-pro promote ng beach tennis ah dahil active ka pa rin sa showbiz eh .	ahh it's good that you can squeeze in this promotion of beach tennis because you are still active in showbiz .
<177>	(1051.710-1052.359)	opo .	yes .
