<1>	(0.000-0.636)	<sta> Veneracion .	Veneracion .
<86>	(489.371-496.592)	kung maalala mo iyong <hes> iyong bridge na iyan na naging simbolo nga ng madugong engkuwentro sa Mamasapano iyong wooden bridge .	if you can remember the that bridge over there which had become a symbol of the bloody encounter in Mamasapano that wooden bridge .
<87>	(496.592-504.771)	iyong <hes> iyong ginawa na bridge ngayon na gawa lang sa kahoy Jessica iyon iyong ginagawang tawiran ng mga farmers mula doon sa maisan .	the the bridge constructed there now which is only made out of wood Jessica that that is made as a bridge of the farmers to cross from the cornfield over there .
<88>	(504.771-515.550)	iyong maisan na iyon doon na pin down iyong karamihan sa mga miyembro ng S_A_F forty four at tumatawid iyong mga magsasaka sa wooden bridge ngayon para maihatid sa kabayanan iyong kanilang mga harvest .	that cornfield over there where most of the members of the SAF forty-four are pinned down and the farmers are crossing the wooden bridge now to send their harvest to the villages .
<89>	(515.550-520.245)	ngayon ay <hes> iyang nakikita ninyong video na tulay na iyan napalitan na po iyan .	now is the video you are watching that bridge has already been replaced .
<90>	(520.245-521.960)	hindi na po ginagamit ngayon iyan .	that is not being used now .
<91>	(521.960-527.114)	ang dinadaanan na ng mga residente dinadaanan ng mga farmers ay ito na pong tulay na ito .	this bridge here is crossed by the residents crossed by the farmers .
<92>	(527.114-540.990)	itong <hes> itong <hes> kahoy na may ginawa sa mas matibay na kahoy bakal na tinatawiran na ng mga magsasaka natin diyan sa bayan ng Mamasapano Jessica <overlap> mm nakita ko may mga pumunta diyan na mga relatives noong mga namatay ano ?	this this wood has been done with a stronger wood metal that our farmers cross there in the town of Mamasapano Jessica mm I have seen there are relatives who went there of those who have died right ?
<93>	(540.990-555.540)	<hes> kasi nakikita rin natin may effort ang gob- -- gobyerno na talagang i-address lahat noong concerns nila ngayon nga <hes> two medals of valor no less ang binigay doon sa ilan sa S_A_F forty four eh iyan iyong pinakamataas na parangal di ba ?	because we have been seeing that there has been an effort by the government to really address all their concerns now that two medals of valor no less were given there to some of the SAF forty-four so that is the highest honor right ?
<94>	(555.540-563.810)	tapos sinasabi rin ng gobyerno lagi na natutugunan lahat noong mga iprinamis nila sa mga kamag-anak nitong S_A_F forty four .	then the government also is always saying to address all they have promised to the relatives of these SAF forty-four .
<95>	(563.810-571.522)	pero nakikita rin natin ma- -- masidhi pa rin iyong <hes> iyong galit ba ano ba iyong how would you describe that emotion ?	but we are seeing that -- still in fury the anger what is the how would you describe that emotion ?
<96>	(571.522-581.256)	is it because of the manner noong pagkamatay pa rin noong <hes> kanilang mga mahal sa buhay Jun kahit one year after na eh parang hirap na hirap pa rin sila .	is it still because of the manner of death of those their loved ones Jun even if one year has passed still seems to be very difficult for them .
<97>	(581.256-584.520)	<no-speech>	<no-speech>
<98>	(584.520-596.878)	siyempre diyan <hes> Jessica numero uno iyong paghahanap nila ng hustisya at pangalawa hindi pa rin talaga nila ma overcome iyong thinking iyong feeling na noong pinaka-moment na kailangang-kailangan nila ng tulong ay napabayaan sila .	of course there Jessica number one is their search for justice and second is they still can't overcome the thinking the feeling of being neglected at the very moment when they really needed help .
<99>	(596.878-608.567)	diyan siguro nanggagaling iyong hugot ng <hes> mga sama ng loob nitong mga pamilya ng mga nasawing miyembro ng S_A_F forty four although inaadress naman nga iyong <hes> mga hinihingi nilang mga pangangailangan .	that is maybe where the source of the grudges of these families of the fallen members of SAF forty-four comes from although the needs they are asking are being addressed already .
<100>	(608.567-623.460)	inaadress ng ating pamahalaan hindi lang naman iyong S_A_F forty four ano pati iyong mga civilian na nadamay dito iyong mga limang civilian na napatay dito sa engkuwentro ay <hes> sabi ng lokal na pamahalaan ng Mamasapano ay inaadress ng pamahalaan iyong kanilang mga concerns iyong kanilang mga needs .	our government is addressing not only those SAF forty-four right but also those civilians who are implicated here those five civilians killed here in the encounter are the local government of Mamasapano said the government is addressing their concerns their needs .
<101>	(623.460-626.434)	pero siyempre <hes> mahirap kalimutan ito Jessica eh huh .	but of course but this is difficult to forget Jessica huh .
<102>	(626.434-647.140)	isang taon pa lang ang lumipas mula noong nangyari ito so <hes> nandoon pa talaga sila sa phase na hindi pa nila matanggap iyong buong pangyayari dahil pakiramdam nga nila ay mayroon pang dapat nagawa para maisalba iyong kanilang mga mahal sa buhay Jessica <overlap> mm kasi narinig natin all the details doon sa kung ilang <hes> hearings na isinagawa ano sa senado kahit sa lower house .	only one year has passed since this happened so they are still in the phase that they cannot still accept the whole incident because they feel that something could have been done to save their loved ones Jessica mm because we heard all the details there on who many hearings are conducted what in the Senate even in the Lower House .
<103>	(647.140-660.210)	but will you say na it's that feeling na inabandon at pina- -- iniwan lang doon to die iyong S_A_F forty four iyon -- iyon -- iyong pinakamahirap na ma get over noong mga relatives .	but will you say that it's that feeling that they are abandoned and -- just left there to die those SAF forty fourth that -- that -- that is the most difficult to get over by those relatives .
<104>	(660.210-663.690)	<no-speech>	<no-speech>
<105>	(663.690-674.720)	kahit naman siguro <hes> Jessica sinong malagay sa ganitong sitwasyon sa ganoong sitwasyon at ang pakiramdam mo mayroon pang dapat gawin mayroon pang kayang gawin mayroon pa talagang puwedeng ialay iyong gobyerno .	anyone perhaps Jessica who will be placed in this situation in that situation and you feel there is something that should still be done has something that can still be done the government can still have something to offer .
<106>	(674.720-678.890)	mayroon pang puwedeng ialay iyong mga counterparts nila mula sa ibang armed services .	their counterparts from other armed services can still have something to offer .
<107>	(678.890-686.860)	ay <hes> talagang iisipin mo talaga na sana'y kung hindi man ganoon kadami ang nasawi at least na minimize iyong number ng casualties ano .	oh you will really think that hopefully if the deaths could not have been that numerous at least the number of casualties were minimized right .
<108>	(686.860-696.780)	pero siyempre sa kabilang dako naman ang sinasabi naman noong kanilang mga counterparts I'm referring to the Armed Forces of the Philippines eh noong pagkakataon na iyon talagang parang nangangapa sila sa dilim .	but of course on the other hand their counterparts have been saying I'm referring to the Armed Forces of the Philippines so on that moment they are really groping in the dark .
<109>	(696.780-698.816)	hindi nila alam papaano i-address iyong sitwasyon .	they do not know how to address the situation .
<110>	(698.816-705.797)	hindi nila alam kung papaano sila mag-aalay mag-o-offer ng tulong doon sa mga comrades nila na napipin down nga doon sa maisan .	they do not know how they are going to offer to offer help there to their comrades who are pinned down there in the cornfields .
<111>	(705.797-708.253)	doon sa barangay Tukanalipao Mamasapano Jessica .	there in barangay Tukanalipao Mamasapano Jessica .
<112>	(708.253-711.480)	maraming salamat sa iyo Jun Veneracion .	thank you very much Jun Veneracion .
<113>	(711.480-712.913)	<no-speech>	<no-speech>
