<1>	(Outline, 0.000-0.651)	o sige .	oh alright .
<34>	(Outline, 31.860-33.168)	<int> sige .	okay .
<35>	(Inline, 32.724-34.985)	dalawa .	two .
<36>	(Outline, 33.168-35.097)	<no-speech>	<no-speech>
<37>	(Inline, 34.985-35.135)	<no-speech>	<no-speech>
<38>	(Outline, 35.097-36.527)	pero may kasama may kasama ka ?	but you're with you're with someone ?
<39>	(Inline, 35.135-36.805)	<no-speech>	<no-speech>
<40>	(Outline, 36.527-37.880)	<no-speech>	<no-speech>
<41>	(Inline, 36.805-37.695)	<int> meron .	yes .
<42>	(Inline, 37.695-38.675)	<no-speech>	<no-speech>
<43>	(Outline, 37.880-39.620)	isang babae <int> ?	a girl ?
<44>	(Inline, 38.675-39.887)	<sta> oo .	yes .
<45>	(Outline, 39.620-40.880)	<no-speech>	<no-speech>
<46>	(Inline, 39.887-44.336)	<no-speech>	<no-speech>
<47>	(Outline, 40.880-43.608)	<int> kailangan mga <no-speech> kailangan puro babae ha .	it must be must be girls alright .
<48>	(Outline, 43.608-47.080)	<no-speech>	<no-speech>
<49>	(Inline, 44.336-45.697)	lima .	five .
<50>	(Inline, 45.697-49.399)	<no-speech>	<no-speech>
<51>	(Outline, 47.080-47.910)	<no-speech>	<no-speech>
<52>	(Outline, 47.910-49.393)	ha ?	huh ?
<53>	(Outline, 49.393-50.038)	<no-speech>	<no-speech>
<54>	(Inline, 49.399-50.295)	lima .	five .
<55>	(Outline, 50.038-51.692)	puro babae kailangan gusto ko .	I want them all girls .
<56>	(Inline, 50.295-51.115)	<no-speech>	<no-speech>
<57>	(Inline, 51.115-52.547)	<sta> sige .	okay .
<58>	(Outline, 51.692-53.205)	<no-speech>	<no-speech>
<59>	(Inline, 52.547-56.027)	<no-speech>	<no-speech>
<60>	(Outline, 53.205-54.970)	puro babae <int> .	all girls .
<61>	(Outline, 54.970-56.380)	<no-speech>	<no-speech>
<62>	(Inline, 56.027-56.715)	sampu .	ten .
<63>	(Outline, 56.380-57.170)	<no-speech>	<no-speech>
<64>	(Inline, 56.715-58.335)	<no-speech>	<no-speech>
<65>	(Outline, 57.170-59.120)	<no-speech>	<no-speech>
<66>	(Inline, 58.335-59.075)	<no-speech>	<no-speech>
<67>	(Inline, 59.075-60.475)	<no-speech>	<no-speech>
<68>	(Outline, 59.120-60.530)	meron babae bang mga kasama ?	are there girls coming along ?
<69>	(Inline, 60.475-61.485)	<no-speech>	<no-speech>
<70>	(Outline, 60.530-61.630)	<no-speech>	<no-speech>
<71>	(Inline, 61.485-62.345)	<no-speech>	<no-speech>
<72>	(Outline, 61.630-62.600)	babae kasama ?	with a girl ?
<73>	(Inline, 62.345-63.952)	<no-speech>	<no-speech>
<74>	(Outline, 62.600-65.470)	<no-speech>	<no-speech>
<75>	(Inline, 63.952-64.719)	ilan ?	how many ?
<76>	(Inline, 64.719-67.505)	oo .	yes .
<77>	(Outline, 65.470-66.090)	hello ?	hello ?
<78>	(Outline, 66.090-67.150)	<no-speech>	<no-speech>
<79>	(Outline, 67.150-69.570)	kahit mga tatlo lang okey na ako .	I'm okay with just even three .
<80>	(Inline, 67.505-69.335)	<no-speech>	<no-speech>
<81>	(Inline, 69.335-70.555)	<no-speech>	<no-speech>
<82>	(Outline, 69.570-71.180)	<no-speech>	<no-speech>
<83>	(Inline, 70.555-72.055)	subukan ko nga subukan ko .	I'll try I'll try .
<84>	(Outline, 71.180-71.926)	tatlong babae .	three girls .
<85>	(Outline, 71.926-72.381)	<no-speech>	<no-speech>
<86>	(Inline, 72.055-72.895)	<no-speech>	<no-speech>
<87>	(Outline, 72.381-73.100)	meron ka ?	do you have ?
<88>	(Inline, 72.895-74.148)	<no-speech>	<no-speech>
<89>	(Outline, 73.100-75.030)	<no-speech>	<no-speech>
<90>	(Inline, 74.148-74.765)	diyan na nga .	just there .
<91>	(Inline, 74.765-80.135)	<no-speech>	<no-speech>
<92>	(Outline, 75.030-75.709)	sige .	okay .
<93>	(Outline, 75.709-76.143)	<no-speech>	<no-speech>
<94>	(Outline, 76.143-78.395)	mga paliguin mo na para masama na dito .	give them a bath so we can merge them here .
<95>	(Outline, 78.395-78.615)	<no-speech>	<no-speech>
<96>	(Outline, 78.615-79.560)	anong oras na o .	what time is it already .
<97>	(Outline, 79.560-81.340)	<no-speech>	<no-speech>
<98>	(Inline, 80.135-80.875)	<int> ano ano ?	what what ?
<99>	(Inline, 80.875-82.355)	<no-speech>	<no-speech>
<100>	(Outline, 81.340-82.580)	baka ate mga lasing 'yan ?	are those drunk miss ?
<101>	(Inline, 82.355-83.755)	<sta> hindi <hes> .	no .
<102>	(Outline, 82.580-83.650)	<no-speech>	<no-speech>
<103>	(Outline, 83.650-84.909)	kailan natin mararating 'yan ?	when will we reach that ?
<104>	(Inline, 83.755-86.225)	<no-speech>	<no-speech>
<105>	(Outline, 84.909-85.477)	<no-speech>	<no-speech>
<106>	(Outline, 85.477-86.430)	anong oras na o .	what time is it already .
<107>	(Inline, 86.225-87.195)	<no-speech>	<no-speech>
<108>	(Outline, 86.430-87.370)	<no-speech>	<no-speech>
<109>	(Inline, 87.195-89.035)	<no-speech>	<no-speech>
<110>	(Outline, 87.370-88.310)	paliguin mo na .	give it a bath already .
<111>	(Outline, 88.310-92.250)	<no-speech>	<no-speech>
<112>	(Inline, 89.035-90.046)	<no-speech>	<no-speech>
<113>	(Inline, 90.046-90.685)	ano ano ?	what what ?
<114>	(Inline, 90.685-93.045)	<no-speech>	<no-speech>
<115>	(Outline, 92.250-92.982)	ikaw ?	you ?
<116>	(Outline, 92.982-94.850)	kailangan bagong ligo 'yan .	they need to be freshly bathed .
<117>	(Inline, 93.045-93.545)	oo .	yes .
<118>	(Inline, 93.545-95.045)	<no-speech>	<no-speech>
<119>	(Outline, 94.850-96.320)	<no-speech>	<no-speech>
<120>	(Inline, 95.045-95.735)	sige <int> .	okay .
<121>	(Inline, 95.735-99.365)	<no-speech>	<no-speech>
<122>	(Outline, 96.320-98.378)	kailangang bagong ligo 'yang kasama mo .	your companions should be freshly bathed .
<123>	(Outline, 98.378-99.260)	ha ?	huh ?
<124>	(Outline, 99.260-102.790)	<no-speech>	<no-speech>
<125>	(Inline, 99.365-99.955)	oo .	yes .
<126>	(Inline, 99.955-102.595)	<no-speech>	<no-speech>
<127>	(Inline, 102.595-103.085)	hello <int> .	hello .
<128>	(Outline, 102.790-104.352)	kailangan bagong ligo 'yan ha ?	they need to be freshly bathed okay ?
<129>	(Inline, 103.085-104.365)	<no-speech>	<no-speech>
<130>	(Outline, 104.352-106.250)	baka mamaya 'di bagong ligo 'yan .	maybe later they're not bathed at all .
<131>	(Inline, 104.365-105.015)	mhm <int> .	yes .
<132>	(Inline, 105.015-107.715)	<no-speech>	<no-speech>
<133>	(Outline, 106.250-109.530)	<no-speech>	<no-speech>
<134>	(Inline, 107.715-108.705)	okey ka lang ?	are you okay ?
<135>	(Inline, 108.705-114.945)	<no-speech>	<no-speech>
<136>	(Outline, 109.530-116.330)	saka magsama ka din ng mga lalake para medyo maganda 'yong usapan natin para maganda 'yong jamming natin .	also bring guys so we can chat better so we can jam well .
<137>	(Inline, 114.945-115.295)	<no-speech>	<no-speech>
<138>	(Inline, 115.295-116.665)	<no-speech>	<no-speech>
<139>	(Outline, 116.330-117.820)	<no-speech>	<no-speech>
<140>	(Inline, 116.665-118.445)	<sta> sige sige .	okay okay .
<141>	(Outline, 117.820-118.280)	mhm .	yes .
<142>	(Outline, 118.280-119.390)	<no-speech>	<no-speech>
<143>	(Inline, 118.445-119.612)	sige .	okay .
<144>	(Outline, 119.390-120.933)	ayoko ng matapang ha .	I don't want someone bold okay .
<145>	(Inline, 119.612-122.739)	<no-speech>	<no-speech>
<146>	(Outline, 120.933-122.310)	ayoko ng matapang .	I don't want someone bold .
<147>	(Outline, 122.310-123.650)	<no-speech>	<no-speech>
<148>	(Inline, 122.739-123.882)	matapang .	bold .
<149>	(Outline, 123.650-124.150)	ha ?	huh ?
<150>	(Inline, 123.882-125.085)	<no-speech>	<no-speech>
<151>	(Outline, 124.150-125.060)	<no-speech>	<no-speech>
<152>	(Outline, 125.060-125.460)	<no-speech>	<no-speech>
<153>	(Inline, 125.085-125.885)	<no-speech>	<no-speech>
<154>	(Outline, 125.460-126.510)	<no-speech>	<no-speech>
<155>	(Inline, 125.885-126.775)	<no-speech>	<no-speech>
<156>	(Outline, 126.510-127.770)	matapang na kasama .	bold companion .
<157>	(Inline, 126.775-128.165)	<no-speech>	<no-speech>
<158>	(Outline, 127.770-129.320)	<no-speech>	<no-speech>
<159>	(Inline, 128.165-129.755)	<sta> wala takot lahat 'yon .	none they're all scared .
<160>	(Outline, 129.320-130.366)	gusto ko okey lang .	I just want someone okay .
<161>	(Inline, 129.755-132.725)	<no-speech>	<no-speech>
<162>	(Outline, 130.366-132.310)	okey na kasama okey na ano .	okay to be with okay to be .
<163>	(Outline, 132.310-133.950)	<no-speech>	<no-speech>
<164>	(Inline, 132.725-134.025)	<sta> sige sige .	okay okay .
<165>	(Outline, 133.950-134.840)	nasaan ka ba ?	where are you ?
<166>	(Inline, 134.025-135.045)	<no-speech>	<no-speech>
<167>	(Outline, 134.840-137.710)	<no-speech>	<no-speech>
<168>	(Inline, 135.045-135.793)	dito nga .	here .
<169>	(Inline, 135.793-138.275)	<no-speech>	<no-speech>
<170>	(Outline, 137.710-138.568)	okey na %incomplete	okay %incomplete
<171>	(Inline, 138.275-139.425)	<no-speech>	<no-speech>
<172>	(Outline, 138.568-141.010)	okey na ba ?	is it okay already ?
<173>	(Inline, 139.425-142.537)	<sta> <breath> okey na nga <hes> .	yes it's okay .
<174>	(Outline, 141.010-141.810)	<no-speech>	<no-speech>
<175>	(Outline, 141.810-142.730)	okey na ba ?	is it okay already ?
<176>	(Inline, 142.537-143.705)	okey na nga .	yes it's okay .
<177>	(Outline, 142.730-143.705)	<no-speech>	<no-speech>
