<1>	(0.000-0.509)	eh wala na .	well already gone .
<23>	(165.172-165.825)	ayan .	there .
<24>	(165.825-166.590)	yay .	yay .
<25>	(166.590-171.693)	'yan napansin kasi ni Pope na sa U_S_T kaunti lang iyong participation ng women sabi niya .	because the Pope noticed that in U_S_T women participation is low he said .
<26>	(171.693-180.450)	pero nga iyong nakakalungkot do'n kasi sabi niya show the next Pope -- ay when the next Pope comes so ibig sabihin hindi na siya babalik .	but what is saddening there is that he said to show the next Pope -- when the next Pope comes so that means he will no longer return .
<27>	(180.450-186.419)	kasi di ba'y -- ang ni-lo-lobby ng iba na parang pinu-push nila 'yong International Eucharistic Congress .	because isn't it -- what others are lobbying like they are pushing for the International Eucharistic Congress .
<28>	(186.419-193.340)	sa twenty sixteen <overlap> twenty sixteen January two ta- -- <hes> twenty sixteen 'yon naman talaga 'yong original schedule ni Pope Francis dito .	on twenty sixteen twenty sixteen January two -- twenty sixteen that is the original schedule of Pope Francis here .
<29>	(193.340-204.781)	pero dahil nga sa Yolanda and even before that napaaga siya so <hes> sabi niya sa su- -- sa pagdating ng susunod na Pope ay baka mamaya ay pupunta siya pero hindi na sa U_S_T kasi nasa Cebu siya .	but because of Yolanda and even before that he was early so he said when -- when the next Pope arrives he might go here but not to U_S_T anymore because he is in Cebu .
<30>	(204.781-220.320)	<hes> mas maraming women pero medyo ano 'to actually <hes> ku- -- alam mo ang Pope 'pag nagsasalita parang presidente 'di ba inaabangan natin kasi sinasabi baka policy statement 'yan na parang oo ganiyan .	there are more women but it is slightly actually -- you know when the Pope speaks he's like a president right because we anticipate it because maybe that is a policy statement like that yes .
<31>	(220.320-242.880)	<hes> mayroon ibang nakisakay dito lalo na iyong mga <hes> women's group within the Catholic church na <hes> hindi naman -- ay hindi merong hindi within the Catholic church na one nag-pu-push for women's ordination kasi di ba 'di naman daw sinabi sa biblia na ang pari oo <overlap> oo lalaki lang .	there are others who just used it especially the women's group within the Catholic church that are not -- there are those not within the Catholic church that one is pushing for women's ordination because the bible did not say that a priest is yes yes male only right .
<32>	(242.880-274.710)	mayroon naman iba within the Catholic church iyong greater participation of women na ginagawa ni Pope Francis 'yun kasi iyong sinasabi na isang may binubuo siya ni-re-reorganize niya iyong Vatican structure at <hes> mayroon talagang magiging congregation for the Leyte and the family na ang mag-he-head no'n <hes> couple at saka mayroon isa siyang inappoint na parang first time na babae 'yun nag-head nakalimutan ko pero gano'n nga involvement .	there are others within the Catholic church the greater participation of women that Pope Francis is doing that is what is being said that he is forming a he is reorganizing the Vatican structure and there will be a congregation for the Leyte and the family and what will head that couple and and he is appointing for the first time a woman as head I forgot but involvement like that .
<33>	(274.710-287.680)	iyon nga kinikilala ni Pope Francis talaga iyong contribution hindi kasi iniisip sa simbahan pag babae madre <overlap> madre -- mother butler (()) C_W_L pero ito involvement talaga .	like that Pope Francis is really recognizing the contribution because in the church a woman is considered a nun nun -- mother butler (()) C_W_L but this is involvement really .
<34>	(287.680-296.370)	ayun nga di ba ito sinabi niya do'n sa U_S_T mismo ayun o <hes> women have much to tell us in today's society .	like that didn't he say it there in U_S_T itself there women have much to tell us in today's society .
<35>	(296.370-296.800)	'yan .	there .
<36>	(296.800-305.770)	sometimes we are too machistas and we don't allow enough space to women but women can see things from a different angle to us with a different eye .	sometimes we are too masculine and we don't allow enough space to women but women can see things from a different angle to us with a different eye .
<37>	(305.770-309.750)	women are able post questions women are unable to understand .	women are able post questions women are unable to understand .
<38>	(309.750-317.390)	look out for this fact she is the only one who has put a question for which there is no answer <overlap> si Glistle May di ba ?	look out for this fact she is the only one who has put a question for which there is no answer Glistle May right ?
<39>	(317.390-320.301)	she couldn't put it into words but express it with tears .	she couldn't put it into words but express it with tears .
<40>	(320.301-332.310)	oo nga kasi ang ano kasi di ba parang babae at lalaki magkaiba ng kunwari iisa <overlap> tinitingnan nila pero iba iyong tingin ng babae iba iyong tingin ng lalaki .	yes because it's like women and men are different like they look at the same thing but the view of the woman is different the view of the man is different .
<41>	(332.310-340.570)	'di ba sa direksiyon nga lang ang -- 'pag nawawala kayo ang lalaki hindi magtatanong ang babae siya 'yong magtatanong -- oo totoo iyan <overlap> o hahanap ng paraan .	right just with directions -- when you are lost a man will not ask a woman will be the one to ask -- yes that is true will find a way .
<42>	(340.570-345.570)	oo kaya ako 'pag nawawala na kami sinasabi ko sa crew ko magtanong na tayo ayaw nila magtanong <overlap> ayaw nila .	yes so for me when we get lost I tell my crew to ask but they don't want to ask .
<43>	(345.570-346.286)	bahala kayo .	it's up to you .
<44>	(346.286-358.160)	<laugh> tapos in the end mas tama ako <overlap> kasi naman n- -- no'ng nag-fi-field ako -- kasi naman 'di ba siyempre ma- -- magalang ka sa pagtatanong eh kapag iyong iba ginu-good time ka e <hes> kuya puwede pong magtanong ?	then in the end I am correct because -- when I was in the field -- because of course right -- you ask with respect when others play a joke on you brother can I ask a question ?
<45>	(358.160-363.558)	paano kung sinagot may sumagot sa amin na ano e <overlap> hindi ayon pero joke lang di ba ?	what if the answer someone answered us no like that but it's just a joke right ?
<46>	(363.558-373.759)	iyon yata iyong ayaw no'ng mga lalo na iyong mga ano natin iyan assistant cameraman <overlap> sa mga piloto natin pag sagutin sila ng gano'n iinit na iyong ulo nila <overlap> iyan .	that is probably what the uh don't like especially the uh our assistant cameramen to our pilots when they are answered that way they will get angry .
<47>	(373.759-375.236)	<laugh> so next .	so next .
<48>	(375.236-377.180)	number six .	number six .
<49>	(377.180-382.480)	make good use of the information available to me and make sure it bears good fruit .	make good use of the information available to me and make sure it bears good fruit .
<50>	(382.480-383.881)	'yan 'yong number twenty four .	that is number twenty-four .
<51>	(383.881-389.340)	ano 'yong sabi sa number twenty four <overlap> sa number twenty four basa choss <overlap> ayan .	what does number twenty-four say in number twenty-four read that .
<52>	(389.340-391.387)	<overlap> ayan go ikaw na .	there go it's your turn .
<53>	(391.387-396.956)	ay ayan skip natin iyan sabi niya real love is about loving and letting yourself be love .	let's skip that he said real love is about loving and letting yourself be love .
<54>	(396.956-401.274)	it's harder to let yourself <hes> to let yourself be love than to love .	it's harder to let yourself to let yourself be love than to love .
<55>	(401.274-405.125)	that is why it is difficult to come to the perfect love of God .	that is why it is difficult to come to the perfect love of God .
<56>	(405.125-408.750)	we can love him but we must let ourselves be loved .	we can love him but we must let ourselves be loved .
<57>	(408.750-410.955)	haba naman 'to sandali oo by him .	it's long wait yes by him .
<58>	(410.955-411.982)	ay ito .	ah this .
<59>	(411.982-412.848)	diyan sa baba .	there below .
<60>	(412.848-414.106)	aah 'yong nasa baba iyon eh .	ah that's the one below .
<61>	(414.106-414.999)	mm .	mm .
<62>	(414.999-423.931)	actually ang dami nang sinagasaan nito e pero sinabi niya let us not have a computer psychology that makes us think we know it all .	actually it covers many things already but he said let us not have a computer psychology that makes us think we know it all .
<63>	(423.931-431.373)	all answers on computers <overlap> siyempre may sagot mag-google ka lang may sagot pero but no surprises di ba ?	all answers on computers of course there are answers just google there will be an answer but no surprises right ?
<64>	(431.373-444.530)	parang sabi niya gamitin natin ang ating know how para rin ayan magbunga di ba kasi iyong iba talaga very bookish .	it's like he said let us use our know how so that it will bear fruit because right others are really very bookish .
<65>	(444.530-446.273)	tapos wala namang patutunguhan .	and then it'll lead to nothing .
<66>	(446.273-467.429)	saka sa ano sa internet age 'di ba nga parang napakadami ng bagay nga na available sa atin na parang <hes> I guess kung hindi mo gagamitin in a good way hindi naman magiging productive iyong kung man iyong nabasa mo or narinig mo di ba so put it to good use parang gano'n 'yong -- 'yong sinasabi niya 'di ba ?	also at the internet age aren't there many things available that seems like I guess if you won't use what you read and what you hear in a good way you won't be productive so put it to good use that's what he's saying right ?
<67>	(467.429-472.562)	<overlap> 'yan information is just information kung hindi mo gagamitin sa tama .	information will just be information if you won't use it right .
<68>	(472.562-478.966)	parang 'yong na- -- naalala ko 'yong pelikulang Angels and Demons 'yong iyong gut particle nila iyong antimatter .	I remember the movie Angels and Demons their gut particle the antimatter .
<69>	(478.966-483.386)	ang intention nila is para maging source of energy iyon .	their intention is to make that their source energy .
<70>	(483.386-484.395)	tapos 'yon nga %incomplete	and then %incomplete
<71>	(484.395-498.215)	at least -- kasi parang may nagsabi si Camerlengo yata si Yuan McGregory na parang ayon it will defy religion faith ganiyan na parang hindi n'yo man lang inisip kasi parang kayo gusto n'yo lang maging too scientific about it .	at least -- because someone said I think Camerlengo Yuan McGregory said that it will defy religion faith something like that seems like they're not even considering because you just want to be too scientific about it .
<72>	(498.215-510.122)	pero sabi nga no'ng si no'ng doctor 'no iyong physicist na parang it's for good use iyong research na iyon for example will benefit a great many .	but as what the doctor said the physicist for example that research is for great use it will benefit many .
<73>	(510.122-510.700)	yes .	yes .
<74>	(510.700-514.270)	ayan si- -- at nagbabalik po ang perfect morning with Trish Roque .	perfect morning is back with Trisha Roque .
<75>	(514.270-543.130)	and Joey Villarama <overlap> at pinag-uusapan pa rin natin itong -- ito nga 'yong post <hes> Pope Francis or papal visit at ano ba iyong mga puwedeng gawin o dapat gawin kumbaga ano ba iyong natutunan natin iyong mga take away natin after dumalaw si Pope Francis dito sa bansa ito'y galing sa official website na Papal visit P_H at nasa number seven na tayo <overlap> number seven think well feel well and do well .	and Joey Villarama and we're still talking about the -- this is the post Pope Francis or papal visit what can we do or what should we do what did we learn our takeaways after the visit of Pope Francis in the country this is from the official website Papal visit P_H and we're at number seven think well feel well and do well .
<76>	(543.130-549.538)	puwedeng ano iyon e slogan ng ano health drink joke <laugh> o nang ano gym <int> ba 'yon ?	that can be a slogan of what health drink or was that gym ?
<77>	(549.538-553.380)	<laugh> anong tawag sinabi niya iyan sa U_S_T di ba ?	what's it called he said that to U_S_T right ?
<78>	(553.380-556.520)	oo sabi think well feel well do well .	yes he said think well feel well do well .
<79>	(556.520-570.220)	actually mga Jesuit kung mapapansin n'yo napansin namin sa mga heswita noon kapag nag nangangaral sila three points palagi <overlap> gano'n din si Pope Francis may number one number two number three .	actually if you notice it from Jesuits we noticed from the Jesuits before when they give an advise they always give it in three points Pope Francis is also like that there's number one number two number three .
<80>	(570.220-574.161)	so parang ito rin sa kaniya three prompt sinabi niya di ba ?	this is also his he said three prompts right ?
<81>	(574.161-583.824)	parang dapat sabay-sabay n'yong gawin 'to kasi kung nag connected to number six kung nag-iisip ka lang parang very cerebral mechanical .	you should do this altogether because if this is connected to number six you're just thinking like a cerebral machine .
<82>	(583.824-592.710)	kung na-fi-feel ka naman na puro emosyon lang baka naka-cloud iyong ano mo judgement mo kasi puro emosyon .	if you're just feeling and just pure emotion your judgment might be clouded because it's pure emotion .
<83>	(592.710-597.582)	tapos dapat ipagsama mo 'yong pag think at saka pag do tapos saka mo i-apply .	and you should combine thinking and doing and then you apply it .
<84>	(597.582-598.480)	tama .	right .
<85>	(598.480-598.781)	'yon .	there .
<86>	(598.781-603.380)	ayon hindi ko mahanap 'yong quote <laugh> <overlap> ito -- ito -- ito 'yong number twenty three 'yon .	I cannot find the quote this -- this -- this is number twenty-three .
<87>	(603.380-611.470)	for this the gospel offers us a serene way forward using the three languages of the mind heart and hands and to use them in harmony .	for this the gospel offers us a serene way forward using the three languages of the mind heart and hands and to use them in harmony .
<88>	(611.470-614.044)	what you think you must feel and put into effect .	what you think you must feel and put into effect .
<89>	(614.044-619.040)	your information comes down to your heart and you put it into practice harmoniously .	your information comes down to your heart and you put it into practice harmoniously .
<90>	(619.040-620.990)	what you think you feel and you do .	what you think you feel and you do .
<91>	(620.990-623.560)	feel what you think and feel what you do .	feel what you think and feel what you do .
<92>	(623.560-625.291)	do what you think and what you feel .	do what you think and what you feel .
<93>	(625.291-630.556)	the three languages to think to feel to do all and all in harmony <overlap> ayan 'yon .	the three languages to think to feel to do all and all in harmony that's it .
<94>	(630.556-633.801)	so dapat magkakatuwang 'yang mga 'yan tatlong 'yan .	so those three should coordinate with each other .
<95>	(633.801-655.088)	next is ito <overlap> iyong let the tears fall <overlap> kasi alam mo maraming tao na parang feeling nila sign of weakness <overlap> tama 'yan Cindy papal visit dot P_H <overlap> yes oh 'yon yung mga -- may mga tao kasi na feeling nila sign of weakness iyong pag-iyak .	next is this let the tears fall because you know many people feel like sign of weakness that is correct Cindy papal visit dot P_H yes those are the -- because there are people who feel that crying is a sign of weakness .
<96>	(655.088-665.757)	kaya as much as possible pinipigilan nila iyong pag-iyak <overlap> iyong parang ano <hes> ayaw nilang magpakita ng emosyon ng kahinaan ganiyan <overlap> kahinaan kasi <overlap> mm .	so as much as possible they avoid crying like uh they don't want to show emotion weakness like that because it is a weakness mm .
<97>	(665.757-666.314)	oo .	yes .
<98>	(666.314-677.310)	eh pero sabi nga ni Pope Francis may mga bagay na <hes> <overlap> na mararamdaman mo lang madadama mo lang talaga pag iniyak mo .	but like Pope Francis said there are things that that you will only feel you will really feel when you cry it out .
<99>	(677.310-685.207)	at balikan natin iyong pagka-child actress mo <laugh> di ba mayroon ibang mga eksena na hindi mo kailangan na magsalita ?	and let us return to your being a child actress aren't there scenes where you don't need to speak ?
<100>	(685.207-689.739)	kanina napag-usapan natin iyong mata pero 'yon nga dinadaan sa <overlap> iyak .	earlier we talked about the eye but like that it was delivered via tears .
<101>	(689.739-690.593)	iyak .	cry .
<102>	(690.593-692.190)	<overlap> puwede ka bang umiyak ngayon ?	can you cry right now ?
<103>	(692.190-692.907)	ayoko <laugh> .	I don't want .
<104>	(692.907-704.438)	aah teka matanong ko lang sum- -- sobrang sumegway pag gano'n ba iyong may <hes> eksenang iyak ano ba mino-motivate ka ng ano sinasabihan ka ng direktor o mayro'n kang pinaghuhugutan ?	ah can I just ask -- segwaying a lot if there is a crying scene were you motivated by does the director tell you or is there something you draw out from ?
<105>	(704.438-716.719)	hindi no'ng bata ako laging panakot lang sa akin iiwanan ka ng nanay mo aalis na siya dito ganiyan iyon iyak na ako <overlap> kailan sinasabi 'yon bago mag-ano <overlap> bago mag-eksena .	no when I was young I was always threatened that your mother will leave you she will go already like that I will cry already when is that said before the scene starts .
<106>	(716.719-718.760)	three two one action .	three two one action .
<107>	(718.760-726.450)	oo bago mag- -- basta bago mag-take sasabihin iyon na ano bad girl ka daw iiwanan ka daw ng <overlap> so kailangan mag-isip ka ng gano'n .	yes before -- before a take that will be said you are a bad girl you will be left by so you need to think like that .
<108>	(726.450-728.511)	oo <overlap> ay alam mo verbal abuse iyon .	yes you know that is verbal abuse .
<109>	(728.511-742.717)	actually nakakaano siya sa bata <overlap> totoo 'di ba kasi parang na-to-torture 'yong bata ano <overlap> 'di ba may disclaimer do'n sa mga kiddie shows ngayon na in compliance with DOLE ganiyan -- ganiyan pero iyon ha abuse pala iyon ha .	actually it really uh on children true right because it's like the child is being tortured there are disclaimers on kiddie shows today right that in compliance with DOLE like that --like that but there apparently that's abuse .
<110>	(742.717-757.813)	<laugh> next allow God to surprise you nando'n na rin 'yan sa quote ni ano kanina eh <overlap> 'yong sa ano -- sa to weep -- sa information oo God is a God of surprise because He loved us first or he first loved us .	next allow God to surprise you that's also included in the quote of uh earlier there in the -- in to weep -- in information yes God is a God of surprise because He loved us first or first loved us .
<111>	(757.813-773.320)	totoo nga iyon eh kasi si -- may kanta nga may passage sa <hes> biblia na parang what is man that you are mindful of him na parang langgam lang ako e hindi mo ako kailangan hindi tayo kailangan ng Dios di ba ?	that is true because -- there is a song with the passage in the bible that's like what is man that you are mindful of him that I am just like an ant you don't need me God doesn't need us right ?
<112>	(773.320-777.870)	parang ginawa Niya tayo tapos 'di ba he first loved us .	it's like he made us and then he first loved us right .
<113>	(777.870-787.050)	kaya nga na parang utang parang the least we can do is ibalik 'yong pagmamahal <overlap> ibalik 'yong pag- -- at magpakabuti <overlap> mm ayan 'yon .	so it's like a debt it's like the least we can do is return the love the -- and be good mm that's it .
<114>	(787.050-797.172)	God awaits us to surprise us actually si Pope Francis na-surprise din kasi na-elect siyang Pope noon 'yan di ba God reveals Himself through surprises .	God awaits us to surprise us actually Pope Francis was surprised too because he was elected Pope back then God reveals Himself through surprises right .
<115>	(797.172-811.720)	iyon nga no'ng sinurprise na ito iyong binigay sa 'yo ng -- ng Dios nangyari sa buhay mo so ibig sabihin may gustong ipaalam sa 'yo ang Dios at ini-reveal Niya iyong sarili Niya sa iyo through that .	that's it when it was given as a surprise to you by -- by God it happened in your life so it means God has a message for you and he revealed himself through that .
<116>	(811.720-817.800)	nakita kang pin may nakalagay na pin joke ha ha ha <overlap> <laugh> lastly ayan .	saw a pin there is a pin joke there ha ha ha that's the last .
<117>	(817.800-820.502)	number ten allow myself to be loved .	number ten allow myself to be loved .
<118>	(820.502-828.311)	aah ayan din iyong ano eh 'yong na- -- 'yong kasama no'ng computers real love is about loving and letting yourself be loved .	ah that's also the the -- included with the computers real love is about loving and letting yourself be loved .
<119>	(828.311-831.955)	it's harder to let yourself be love than to love .	it's harder to let yourself be love than to love .
<120>	(831.955-837.400)	ayan that is why it is so difficult to come to the perfect love of God .	there that is why it is so difficult to come to the perfect love of God .
<121>	(837.400-845.370)	so allow God and others to love to have this full experience of God .	so allow God and others to love to have this full experience of God .
<122>	(845.370-853.198)	'di ba parang napakadali kung <overlap> kung babasahin mo siya eh parang sobrang -- dikit natin 'to sa ano eh sa mga cubicle natin <overlap> parang sobrang simple .	doesn't it seem very easy if if you will read it it's like it's really -- let's stick this to our cubicles it seems too simple .
<123>	(853.198-858.133)	mhm <overlap> hindi 'yong -- 'yong napaka-cerebral na mga pagtuturo e 'no ?	yes not the -- the very cerebral teachings right ?
<124>	(858.133-865.635)	napaka-basic niya na 'yong i- -- i-a-apply mo lang sa buhay mo <overlap> mhm <overlap> pero 'yon -- 'yon 'yong challenge kung paano mo siya i-a-apply sa buhay mo .	it's very basic that -- you will just apply in your life yes but the -- the the challenge is how you will apply it to your life .
<125>	(865.635-866.442)	mhm .	yes .
<126>	(866.442-877.489)	'di ba na kasi parang tayo nga minsan naka- -- hindi -- hindi lang minsan madalas nakakalimot tayo do'n sa paggawa 'yong application no'ng good works <overlap> mm <overlap> 'di ba ?	right sometimes we're like -- not -- not just sometimes often we forget doing application of good works yes right ?
<127>	(877.489-891.080)	'yon challenge talaga <overlap> oo challenge 'yan karamihan dito 'yang one to ten na 'yan siguro -- siguro na lang <hes> para maging conservative tayo at least isa number yung number two iyong dream big for my family .	the challenge really yes that's a challenge many here maybe the one to ten -- just maybe in order for us to be conservative at least one number the number two dream big for my family .
<128>	(891.080-898.842)	parang feeling ko nagagawa naman 'yan ng mga tao <overlap> 'yong -- 'yong -- 'yong famous defense lawyer na nag-post sa -- na hindi siya nag-participate sa activities .	I feel like people are able to do that -- that -- that famous defense lawyer who posted on -- that he doesn't participate in activities .
<129>	(898.842-899.000)	mm .	yes .
<130>	(899.000-903.556)	ganiyan pero nando'n siya kasama niya iyong pamilya niya nanonood .	like that but he's there together with his family watching .
<131>	(903.556-912.347)	sabi niya it doesn't make me less of a catholic because tinaguyod niya iyong pamilya niya parang iyan lang without you knowing it iyong iba dito ginagawa iyon .	he said it doesn't make me less of a Catholic because he established his family just like that without you knowing it others here do it .
<132>	(912.347-918.227)	iyong i-effort n'yo na -- na lang po iyong mga hindi n'yo nagagawa para sa akin effort talaga 'yong number three .	your effort in -- just those that you can't do for me number three is a real effort .
<133>	(918.227-919.805)	oo .	yes .
<134>	(919.805-923.410)	reach out to the needy the homeless and the abused .	reach out to the needy the homeless and the abused .
<135>	(923.410-927.610)	kahit iyon nga sinasabi ko na corporal work of mercy iyon .	I am saying that even that is a corporal work of mercy .
<136>	(927.610-932.050)	kasi parang may pagka-cynical naman iyong mga tao e <overlap> di ba ?	because people are somewhat cynical right ?
<137>	(932.050-938.140)	tinanong iyan ng mga tao iyong sa Panginoon iyong nanimbang daw siya iyong mga tupa at saka mga kambing .	people asked that the one with the Lord where he measured the sheep and the goats .
<138>	(938.140-952.244)	sin- -- kailan ka namin nakitang nakahubad gutom uhaw nasa kulungan di ba no'ng -- no'ng <overlap> iyong the least of my brethren like brothers and sisters .	-- when did we see you naked hungry thirsty in prison isn't it back that -- the one with the least of my brethren like brothers and sisters .
<139>	(952.244-961.930)	so iyon ang mahirap talaga kasi mayroon tayong mga contact lense na nag-ju-judge agad .	so there what's really difficult is we have contact lenses that immediately judge .
