<1>	(0.000-5.860)	<sta> isa sa mga pinakamalaking problema sa edukasyon sa bansa ang kakulangan ng mga guro .	one of the biggest problems of education of the country is the lack of teachers .
<18>	(112.230-120.150)	<sta> sa isang daan at tatlong guro na nagtuturo sa labing limang paaralan sa Kabuntalan halimbawa tatlumpu't pito sa kanila ay mga volunteer .	in one hundred and three teachers who are teaching in fifteen schools in Kabuntalan for example thirty-seven of them are volunteers .
<19>	(120.150-125.706)	<sta> gaya ni Teacher Normina nagtapos sa kursong education pero walang lisensiya sa pagtuturo .	like Teacher Normina who finished an education course but has no license in teaching .
<20>	(125.706-132.044)	pero every year nag-e-exam po ako <sta> since na mag-graduate ako no'ng two thousand palagi na po ako nag-e-exam .	but every year I take the exam since I graduated last two thousand I have always been taking the exam .
<21>	(132.044-136.650)	two years lang po ako hindi nag-exam 'yong two thousand at saka two thousand three .	I have not only taken the exam for two years last two thousand and then two thousand three .
<22>	(136.650-145.075)	si Ginang Rosas Sulayman na dating Overseas Filipino Worker hindi tapos ng kolehiyo <sta> pero facilitator ngayon ng isang pre-school sa Kabuntalan .	Ma'am Rosas Sulayman a former Overseas Filipino Worker have not finished college but a facilitator now in a pre-school in Kabuntalan .
<23>	(145.075-149.130)	<sta> financial problem kaya po hindi na ako nakapatuloy ng college .	financial problem so I was not able to continue in college .
<24>	(149.130-150.576)	<sta> hindi pa ako naka-graduate .	I have not yet graduated .
<25>	(150.576-152.023)	undergrad po ako .	I'm an undergraduate .
<26>	(152.023-156.310)	although volunteer sila talagang masipag sila magturo .	although they're volunteers they're very diligent in teaching .
<27>	(156.310-159.479)	<sta> kung ano ang ginagawa ng permanent natin gano'n din sila .	whatever our permanent does they're also like that .
<28>	(159.479-167.410)	<sta> dahil sa kakulangan <sta> maging ang mga lisensiyadong guro napipilitang magturo ng mga subject na labas sa kanilang pinag-aralan .	because of the shortage even the licensed teachers are forced to teach subjects outside the scope of what they've studied .
<29>	(167.410-172.261)	<sta> si Teacher Jomari halimbawa nag-major ng Technology and Livelihood Education .	Teacher Jomari for example majored in Technology and Livelihood Education .
<30>	(172.261-175.180)	<sta> pero ang tinuturo niya ngayon values education .	but he's teaching Values Education now .
<31>	(175.180-180.140)	(()) siyempre kumbaga may aaralin ka rin pero at least kahit papaano nagawa mo na 'yon eh .	(()) of course there are things you need to study but at least somehow you've already done that .
<32>	(180.140-188.857)	sa pinakahuling tala ng Department of Education o DepEd <sta> kulang ng mahigit isang daan at apatnapu't limang libong mga guro ang mga pampublikong paaralan sa bansa .	in the latest record of Department of Education or DepEd public schools in the country lacks more than one hundred and forty-five thousand teachers .
<33>	(188.857-191.770)	pero malapit na raw matugunan ang problemang ito .	but this problem is gonna be solved soon .
<34>	(191.770-198.883)	budget sang pagkuha ng mga guro sapat lamang para sa sampung libo hanggang labintatlong libo labing-anim na libo .	the budget to hire teachers is only enough for ten thousand to thirteen thousand sixteen thousand .
<35>	(198.883-200.440)	bago po niyan mas mababa pa .	you might say even lower .
<36>	(200.440-204.000)	ngayon sixty one thousand five hundred ten teacher .	now sixty-one thousand five hundred ten teachers .
<37>	(204.000-209.717)	<sta> nitong Enero halos tatlumpu't limang libong mga guro ang kinuha ng DepEd na mga bagong guro .	this January almost thirty-five thousand teachers was hired by the DepEd as new teachers .
<38>	(209.717-215.680)	<sta> at bago raw matapos ang taong ito <sta> madadagdagan pa ito ng mahigit animnapung libong mga bagong guro .	and before this year ends this will be added by more than sixty thousand new teachers .
<39>	(215.680-222.530)	<sta> hindi pa raw kasali dito ang hindi lalagpas sa apatnapu't limang libong mga guro na kukunin ng mga lokal na pamahalaan .	this does not include the approximate of five thousand teachers that will be hired by the local government .
<40>	(222.530-224.930)	<sta> pero tila may isa pang namumuong bagong problema .	but it seems like there is another problem .
<41>	(224.930-228.639)	<sta> marami sa mga guro sa buong bansa malapit ng magretiro ~ %incomplete	many of the teachers in the country are almost gonna retire %incomplete
