<1>	(Outline, 0.000-0.880)	oh 'yan na .	oh here it is .
<119>	(Inline, 123.980-127.260)	<no-speech>	<no-speech>
<120>	(Outline, 124.629-125.700)	ngayon lang ?	just now ?
<121>	(Outline, 125.700-126.540)	<no-speech>	<no-speech>
<122>	(Outline, 126.540-129.700)	<sta> ngayon lang dumating ?	arrived just now ?
<123>	(Inline, 127.260-127.850)	ha ?	huh ?
<124>	(Inline, 127.850-129.630)	<no-speech>	<no-speech>
<125>	(Inline, 129.630-131.810)	oo ngayon lang kararating lang .	yes just now just arrived .
<126>	(Outline, 129.700-130.940)	<no-speech>	<no-speech>
<127>	(Outline, 130.940-135.621)	<sta> naglakad kasi .	because she walked .
<128>	(Inline, 131.810-133.070)	<no-speech>	<no-speech>
<129>	(Inline, 133.070-133.960)	ngayon lang .	just now .
<130>	(Inline, 133.960-135.560)	<no-speech>	<no-speech>
<131>	(Inline, 135.560-135.920)	<no-speech>	<no-speech>
<132>	(Outline, 135.621-137.810)	<no-speech>	<no-speech>
<133>	(Inline, 135.920-137.540)	<no-speech>	<no-speech>
<134>	(Inline, 137.540-138.478)	ewan ko bakit .	I don't know why .
<135>	(Outline, 137.810-140.310)	<no-speech>	<no-speech>
<136>	(Inline, 138.478-139.330)	ha ?	huh ?
<137>	(Inline, 139.330-140.560)	<no-speech>	<no-speech>
<138>	(Outline, 140.310-141.440)	<no-speech>	<no-speech>
<139>	(Inline, 140.560-141.905)	naglakad ka lang ba Lot ?	Lot did you just walk ?
<140>	(Outline, 141.440-142.580)	<no-speech>	<no-speech>
<141>	(Inline, 141.905-142.539)	<no-speech>	<no-speech>
<142>	(Inline, 142.539-143.440)	oo daw .	yes according to her .
<143>	(Outline, 142.580-144.220)	<no-speech>	<no-speech>
<144>	(Inline, 143.440-145.710)	<no-speech>	<no-speech>
<145>	(Outline, 144.220-146.370)	<no-speech>	<no-speech>
<146>	(Inline, 145.710-146.370)	Ma .	Ma .
<147>	(Inline, 146.370-147.830)	<no-speech>	<no-speech>
<148>	(Outline, 146.370-147.868)	naglakad kasi 'yan .	because that one walked .
<149>	(Inline, 147.830-148.440)	Ma ?	Ma ?
<150>	(Outline, 147.868-148.863)	<no-speech>	<no-speech>
<151>	(Inline, 148.440-151.350)	<no-speech>	<no-speech>
<152>	(Outline, 148.863-149.400)	oh .	oh .
<153>	(Outline, 149.400-153.020)	<no-speech>	<no-speech>
<154>	(Inline, 151.350-153.260)	naglakad nga lang daw siya .	according to her she just walked .
<155>	(Outline, 153.020-153.992)	oo nga .	yes .
<156>	(Inline, 153.260-159.370)	<no-speech>	<no-speech>
<157>	(Outline, 153.992-159.760)	<no-speech>	<no-speech>
<158>	(Inline, 159.370-161.130)	<no-speech>	<no-speech>
<159>	(Outline, 159.760-166.260)	<no-speech>	<no-speech>
<160>	(Inline, 161.130-162.490)	<no-speech>	<no-speech>
<161>	(Inline, 162.490-163.096)	'pag 'yaan %incomplete	if she %incomplete
<162>	(Inline, 163.096-166.730)	Mama 'pag umuwi si bunso mamayang gabi bibigay mo 'yung dalawang daan .	Mama when the youngest comes home later tonight give him the two hundred .
<163>	(Outline, 166.260-167.575)	<sta> sukli oh .	change .
<164>	(Inline, 166.730-169.970)	<no-speech>	<no-speech>
<165>	(Outline, 167.575-170.448)	<no-speech>	<no-speech>
<166>	(Inline, 169.970-170.590)	ha ?	huh ?
<167>	(Outline, 170.448-171.610)	ilang candy ?	how many candies ?
<168>	(Inline, 170.590-172.160)	<no-speech>	<no-speech>
<169>	(Outline, 171.610-172.160)	<no-speech>	<no-speech>
