<1>	(0.000-0.533)	<no-speech>	<no-speech>
<20>	(207.880-230.730)	pero ang tinitiyak po ng <hes> D_I_L_G Secretary Mar Roxas ang mga ito'y isasailalim sa <hes> debriefing at <hes> at <hes> pag-aa- -- o para tuluyang maalis ang kanilang trauma matapos ang walong araw na pagkaka-hostage sa kamay ng mga M_N_L_F members Misuari faction .	but what D_I_L_G Secretary Mar Roxas ensures is that they will undergo debriefing and and -- or to totally eliminate their trauma after eight days of being held hostages in the hands of M_N_L_F member Misuari faction .
<21>	(230.730-254.123)	<hes> sa pangunguna po ng <hes> D_S_W_D nitong si Secretary Dinky Soliman na siyang <hes> personal na sumubaybay doon sa pagsasagawa ng <hes> debriefing sessions sa mga <hes> hostage victims ay <hes> sila po 'yung mangunguna para sa pagpapanumbalik ng <hes> kaayusan dito po sa mga <hes> naunang na-hostage .	with the initiative of D_S_W_D's Secretary Dinky Soliman who personally monitored the administration of debriefing sessions to the hostage victims they will lead the restoration of peace in these first hostages .
<22>	(254.123-268.941)	nakita pa nga natin na isa sa mga ito'y mangiyak-ngiyak nang makita 'yung kaniyang kamag-anak na nasa loob na ng bus at ipinapasok dito sa Camp <hes> Batalla o dating kilala sa tawag na Camp Cawa-Cawa dito po sa loob ng Zamboanga City .	we even saw that one of them was almost crying when he saw his relative inside the bus at was brought here inside Camp Batalla or formerly known as Camp Cawa-Cawa here in Zamboanga City .
<23>	(268.941-272.604)	doon po kasi isasagawa ang debriefing sessions para sa mga ito .	because the debriefing sessions for them are being held there .
<24>	(272.604-289.910)	at <hes> at <hes> isa rin sa mga nakausap ko itong <hes> si <hes> Neri Lumen isa po ito na ama na nawalan ng anak matapos na barilin <sta> 'nong <hes> M_N_L_F member ang <hes> members ang kaniyang <hes> twenty years old na anak .	and and also one of those whom I talked to which is Neri Lumen he is a father who lost a child after the M_N_L_F member the members shot his twenty year old child .
<25>	(289.910-301.385)	pero sa kabutihang palad ayon sa kaniya nakaligtas naman 'yung kaniyang asawa at isa pang- -- anak matapos ang <hes> pagkakakuha sa kanila ng <hes> grupo ng M_N_L_F Misuari faction .	but fortunately according to him his wife and other -- child have escaped after the being captured by the group of M_N_L_F Misuari faction .
<26>	(301.385-310.761)	so ayan ang mga pinakahuling update mula rito sa Zamboanga City <sta> <hes> para sa telebisyon ng bayan kasama of course ang R_T_V <sta> George Bandola .	so there are the latest updates from here in Zamboanga City for the television of the nation together of course with R_T_V George Bandola .
<27>	(310.761-313.006)	<sta> George naririnig mo pa kami ?	George can you still hear us ?
<28>	(313.006-315.800)	<no-speech>	<no-speech>
<29>	(315.800-332.058)	<sta> okey George may katanungan lang ako 'no lumalabas sa mga balita na <overlap> yes go ahead Kirby <overlap> oo <sta> lumalabas sa mga balita na matapos 'yung <hes> ka- -- pagliligtas dito sa mga kababayan natin na hinostage nga 'nong M_N_L_F <sta> ay nagkaroon na ng moping up at clearing operations diyan sa may bahagi ng Santa Catalina sa Zamboanga .	okay George I only have a question it has been appearing in the news that yes go ahead Kirby yes it has been appearing in the news that after the -- rescue here of our fellow citizens who were held hostage by the M_N_L_F there has already been a moping up and clearance operations there in the part of Santa Catalina in Zamboanga .
<30>	(332.058-335.400)	<sta> kamusta na ngayon George itong moping up operations na ito ?	how is it going now George these moping up operations ?
<31>	(335.400-342.510)	<no-speech>	<no-speech>
<32>	(342.510-360.350)	<sta> actually sa mga oras na ito Kirby wala pa tayong idea pero ang <hes> A_F_P kasi <sta> ay <hes> matiyagang nagpapaalala sa grupo ng mga mamamahayag <sta> na hindi pupuwedeng sumabay ang grupo ng media sa isinasagawang clearing operations .	actually in these times Kirby we still don't have an idea but because the A_F_P has been persistently reminding the groups of journalists that the group of media are not allowed to come with the clearing operations that are being conducted .
<33>	(360.350-376.060)	<sta> binabanggit kahapon pa ni Lieutenant Colonel Ramon Sagala na nasa seventy percent na do'n sa mga infected areas ng M_N_L_F <sta> ang kanilang nababawi at ipinapasa na ito sa P_N_P awtomatiko para sa isinasagawang clearing operations .	Lieutenant Colonel Ramon Sagala has been mentioning since yesterday that within seventy percent of those areas infected by M_N_L_F are retrieved and are already being passed to P_N_P automatically for the clearing operations being conducted .
<34>	(376.060-385.094)	may mga ipinadala nga ang <hes> Philippine National Police <sta> o- -- on the first day of the siege pa lang na mga puwersa mula sa Region three at Region ten galing ng Negros .	Philippine National Police has sent -- even on the first day of the siege forces from Region three and Region ten from Negros .
<35>	(385.094-399.985)	sila <sta> 'yung mga magsasagawa ng clearing operations at mopping up operations and hopefully wala na <sta> (()) katulad ng mga pag-kidnap sa mismong sa Zamboanga City Police Chief ang mangyari sa mga susunod na oras .	they were those who will conduct the clearing operations and mopping up operations and hopefully (()) there would be no like the kidnappings of the Zamboanga City Police Chief himself that will happen in the following hours .
