<1>	(Inline, 0.000-3.780)	anong balita diyan -- anong balita diyan sa iyo ?	what's new there -- what's new there with you ?
<69>	(Inline, 55.540-58.930)	<no-speech>	<no-speech>
<70>	(Outline, 57.510-61.860)	<no-speech>	<no-speech>
<71>	(Inline, 58.930-61.040)	Mac mga kapatid mo kumusta ?	Mac your siblings how are they ?
<72>	(Inline, 61.040-63.210)	<no-speech>	<no-speech>
<73>	(Outline, 61.860-63.458)	nagsisipag-aral pa rin .	still schooling .
<74>	(Inline, 63.210-64.920)	ha ?	ha ?
<75>	(Outline, 63.458-63.950)	<no-speech>	<no-speech>
<76>	(Outline, 63.950-65.270)	nagsisipag-aral pa rin .	still schooling .
<77>	(Inline, 64.920-65.840)	<no-speech>	<no-speech>
<78>	(Outline, 65.270-66.870)	<no-speech>	<no-speech>
<79>	(Inline, 65.840-66.200)	<no-speech>	<no-speech>
<80>	(Inline, 66.200-69.310)	<no-speech>	<no-speech>
<81>	(Outline, 66.870-68.010)	kayo diyan kamusta na ?	you there how are you ?
<82>	(Outline, 68.010-69.320)	<no-speech>	<no-speech>
<83>	(Inline, 69.310-70.459)	kumain na kayo ?	have you eaten ?
<84>	(Outline, 69.320-69.820)	<no-speech>	<no-speech>
<85>	(Outline, 69.820-70.620)	<no-speech>	<no-speech>
<86>	(Inline, 70.459-72.183)	<no-speech>	<no-speech>
<87>	(Outline, 70.620-72.691)	oo tapos na kayo diyan kamusta na ?	yes we did you there how are you ?
<88>	(Inline, 72.183-73.140)	kumain na kayo ?	have you eaten already ?
<89>	(Outline, 72.691-73.285)	<no-speech>	<no-speech>
<90>	(Inline, 73.140-75.150)	<no-speech>	<no-speech>
<91>	(Outline, 73.285-75.690)	sino na tapos na kayo ?	who is done ?
<92>	(Inline, 75.150-76.160)	<no-speech>	<no-speech>
<93>	(Outline, 75.690-78.060)	<no-speech>	<no-speech>
<94>	(Inline, 76.160-76.985)	anong ulam %incomplete	what is the viand %incomplete
<95>	(Inline, 76.985-77.910)	ha ?	what ?
<96>	(Inline, 77.910-79.703)	<no-speech>	<no-speech>
<97>	(Outline, 78.060-78.693)	ano ?	what ?
<98>	(Outline, 78.693-79.620)	kumain na ba kayo ?	have you eaten already ?
<99>	(Outline, 79.620-83.360)	<no-speech>	<no-speech>
<100>	(Inline, 79.703-81.453)	ito nag-aano -- nagtiti- %incomplete	here -- %incomplete
<101>	(Inline, 81.453-82.264)	ha ?	ha ?
<102>	(Inline, 82.264-82.990)	ha ?	ha ?
<103>	(Inline, 82.990-84.313)	<no-speech>	<no-speech>
<104>	(Outline, 83.360-83.960)	ano ?	what ?
<105>	(Outline, 83.960-85.560)	<no-speech>	<no-speech>
<106>	(Inline, 84.313-85.110)	ano ?	what ?
<107>	(Inline, 85.110-87.380)	<no-speech>	<no-speech>
<108>	(Outline, 85.560-86.500)	kumain na kayo ?	have you eaten ?
<109>	(Outline, 86.500-88.240)	<no-speech>	<no-speech>
<110>	(Inline, 87.380-88.010)	hello .	hello .
<111>	(Inline, 88.010-89.990)	<no-speech>	<no-speech>
<112>	(Outline, 88.240-89.220)	kumain na kayo ?	have you eaten ?
<113>	(Outline, 89.220-92.420)	<no-speech>	<no-speech>
<114>	(Inline, 89.990-91.920)	hindi pa nga eh nanonood kami ng T_V eh .	not yet really well we're watching T_V .
<115>	(Inline, 91.920-92.479)	<no-speech>	<no-speech>
<116>	(Outline, 92.420-93.080)	ah .	ah .
<117>	(Inline, 92.479-94.600)	hindi pa kung nanonood kami ng T_V .	not yet if we are watching T_V .
<118>	(Outline, 93.080-94.920)	<no-speech>	<no-speech>
<119>	(Inline, 94.600-96.310)	<no-speech>	<no-speech>
<120>	(Outline, 94.920-96.060)	ano pinapanood n'yo ?	what are you watching ?
<121>	(Outline, 96.060-99.540)	<no-speech>	<no-speech>
<122>	(Inline, 96.310-96.660)	<no-speech>	<no-speech>
<123>	(Inline, 96.660-97.520)	<no-speech>	<no-speech>
<124>	(Inline, 97.520-98.834)	may bisita nga ak- -- ah %incomplete	I have visitors -- ah %incomplete
<125>	(Inline, 98.834-99.520)	ha ?	ha ?
<126>	(Inline, 99.520-101.450)	<no-speech>	<no-speech>
<127>	(Outline, 99.540-100.740)	ano pinapanood n'yo ?	what are you watching ?
<128>	(Outline, 100.740-102.080)	<no-speech>	<no-speech>
<129>	(Inline, 101.450-102.040)	ha ?	ha ?
<130>	(Inline, 102.040-104.180)	<no-speech>	<no-speech>
<131>	(Outline, 102.080-103.360)	ano pinapanood n'yo ?	what are you watching ?
<132>	(Outline, 103.360-107.670)	<no-speech>	<no-speech>
<133>	(Inline, 104.180-107.320)	ano ba 'to 'yong <no-speech> walang hanggan ?	what is this that everlasting ?
<134>	(Inline, 107.320-109.570)	<no-speech>	<no-speech>
<135>	(Outline, 107.670-108.665)	ah .	ah .
<136>	(Outline, 108.665-110.230)	buti pa kayo nakakapanood .	good that you can watch .
<137>	(Inline, 109.570-110.592)	walang hanggan .	everlasting .
<138>	(Outline, 110.230-111.060)	<no-speech>	<no-speech>
<139>	(Inline, 110.592-111.546)	<no-speech>	<no-speech>
<140>	(Outline, 111.060-112.540)	buti pa kayo nakakapanood .	it's great that you can watch .
<141>	(Inline, 111.546-112.200)	anong ulam ?	what is the viand ?
<142>	(Inline, 112.200-113.200)	<no-speech>	<no-speech>
<143>	(Outline, 112.540-113.200)	ha ?	ha ?
