<1>	(0.000-1.326)	good morning senator .	good morning senator .
<39>	(164.690-172.630)	okey <hes> ma- -- <hes> -- dito po as far as <hes> senate is concerned ano po ang plano kay Lascañas ?	okay -- here as far as senate is concerned what is the plan for Lascañas ?
<40>	(172.630-178.264)	mag-start na po 'yong hearing under <hes> sa committee po ni <hes> senator Ping .	starting soon will be the hearing under the committee of senator Ping .
<41>	(178.264-178.754)	yes .	yes .
<42>	(178.754-179.087)	mhm .	mhm .
<43>	(179.087-179.920)	<no-speech>	<no-speech>
<44>	(179.920-196.040)	last night <hes> nag- -- nag-privilege speech ako at pina-refer ko 'yong aking speech sa committee ni senator Lacson at <hes> sabi naman ni senator Lacson 'pag na-refer sa kaniya magka- -- mag-schedule na siya ng hearing <breath> <hes> probably next week .	last night -- I had a privilege speech and I referred my speech to the committee of senator Lacson and senator Lacson said once it was referred to him -- he will schedule the hearing probably next week .
<45>	(196.040-196.575)	okay .	okay .
<46>	(196.575-196.947)	mm .	mm .
<47>	(196.947-204.572)	pag- -- pag-usapan naman po natin kasi po sumabay sa isyung ito 'yon pong mga sinasabing bank accounts po ano ni president Duterte .	-- let's talk about this because it happened at the same time with this issue the mentioned bank accounts of President Duterte .
<48>	(204.572-206.088)	ano na po ba ang update ?	what's the update ?
<49>	(206.088-208.756)	okey I have all the bank records here .	okay I have all the bank records here .
<50>	(208.756-209.220)	yes .	yes .
<51>	(209.220-211.517)	ano po ang update natin dito <hes> senator ?	what's our update here Senator ?
<52>	(211.517-212.027)	okey .	okay .
<53>	(212.027-217.644)	<hes> isiniwalat ko 'to no'ng <hes> kampanya kaso hindi nila in-address ano .	I exposed this during the campaign however they didn't address it .
<54>	(217.644-230.648)	nagtago nga ano si president Duterte dito sa issue na ito kaya pinaalalahanan ko lang ulit na siyam na buwan na 'yong nakalipas na 'yong pangako nila na ilalabas nila 'yong bank transactions ay hindi pa rin nila nagagawa .	President Duterte even hid from this issue that's why I reminded him again that it has been seven month since he promised to disclose the bank transactions and until now they still haven't done it .
<55>	(230.648-247.000)	so ngayon na medyo humupa 'yong <hes> ano na 'yong ingay ng <hes> kampanya at least eh makikita na no'ng tao na <hes> na talagang may <hes> problema rito ano at hinamon ko pa na <breath> pagka ako nagkamali diyan eh mag-re-resign ako <hes> bilang senador <breath> .	now that the the noise of the campaign has subsided at least you can see the people that really have problems with this and I even challenged them that if I'm wrong about that I'll resign as senator .
<56>	(247.000-251.770)	pero nakita n'yo 'yong <hes> reaksiyon nila ay nagtago sa mga teknikalidad <breath> .	but you saw their reaction they hid on technicality .
<57>	(251.770-255.323)	ngayon sinabi niya 'yong AMLAC ay <hes> inutusan niya na buksan .	now he's saying that he ordered the AMLAC to be opened .
<58>	(255.323-255.796)	ah huh .	yes .
<59>	(255.796-267.747)	so ngayong <hes> araw na ito susulatan ko 'yong AMLAC nang sa gano'n ay makuha ko 'yong mga <hes> reported <hes> transactions under the name of <hes> Rodrigo Duterte .	so now on this day I'll write to the AMLAC in order for me to get the reported transactions under the name of Rodrigo Duterte .
<60>	(267.747-268.927)	so kung baga i-ca-call ko 'yan .	in other words I'll call that .
<61>	(268.927-270.264)	hindi ko 'to lulubayan .	I won't loosen up about this .
<62>	(270.264-270.760)	mhm .	mhm .
<63>	(270.760-273.336)	hanggang sa makita natin 'yong katotohanan dito .	until we learn the truth about this .
<64>	(273.336-279.100)	at the same time nag-file na rin po ako nitong <hes> kaso kay president Duterte ng plunder sa ombudsman .	at the same time I already filed this case of plunder against President Duterte to the ombudsman .
<65>	(279.100-279.651)	mhm .	yes .
<66>	(279.651-281.408)	ginamit ko 'yan bilang ebidensiya .	I used that as evidence .
<67>	(281.408-283.880)	last year pa 'to huh May twenty sixteen .	this was still last year huh May twenty sixteen .
<68>	(283.880-286.800)	kaya 'yong sinasabing kung may ebidensiya ka mag-file ka sa korte .	so what's being said if you have an evidence you file in the court .
<69>	(286.800-287.874)	nag-file na ako .	I have already filed .
<70>	(287.874-293.834)	ngayon <breath> iniimbestigahan ng ombudsman kaya nga nanawagan din ako na <hes> bilisan nila 'yong imbestigasyon .	now the ombudsman is investigating that is why I also called for them to expedite the investigation .
<71>	(293.834-308.750)	mhm 'yon pong sa AMLAC kung <hes> -- although ang sinasabi po ng isang <hes> professor ano po na eksperto po dito hindi basta-basta puwedeng utusan ng kahit sino man na opisyal na <hes> kung ano man 'yong dapat gawin ng AMLAC .	yes with regards to the AMLAC if -- although one professor is saying um who is an expert here that any official cannot just simply order as to whatever AMLAC should do .
<72>	(308.750-309.225)	pero hindi %incomplete	but not %incomplete
<73>	(309.225-316.860)	wouldn't it be easier for -- mismong sa kampo na lang po ni pangulong Duterte na sila na m- -- ang magsiwalat ng mga bank transactions na ito ?	wouldn't it be easier for -- in the camp itself of President Duterte that they -- to reveal these bank transactions ?
<74>	(316.860-323.825)	'yon na nga ang sinasabi ko na pinakamadali nito ay iboluntaryo nilang ilabas o kaya mag-sign siya ng waiver %incomplete	that is already what I have been saying that the easiest is they voluntarily reveal or perhaps he will sign a waiver %incomplete
<75>	(323.825-326.720)	but then they do that before the <hes> -- during the campaign period .	but then they do that before the -- during the campaign period .
<76>	(326.720-330.324)	'yon na nga makikita n'yo yo- -- 'yong sinabi nito ni <hes> -- ni Panelo 'no .	that is exactly what you will see -- that this was said by -- by Panelo right .
<77>	(330.324-331.948)	alam n'yo sinungaling 'yan .	you know he is a liar .
<78>	(331.948-336.230)	no'ng nagpunta kami ng B_P_I hindi siya nagbigay ng waiver .	when we went to B_P_I he did not give a waiver .
<79>	(336.230-338.573)	binigyan bang kopya ng <hes> media no'ng waiver na 'yon ?	was a copy of that waiver given to the media ?
<80>	(338.573-343.360)	wala nga kayong kopya kasi hindi waiv- -- 'yong waiver na 'yon para sa kaniya lang <int> .	you do not have a copy because no -- that waiver was only for him .
<81>	(343.360-352.124)	<hes> no'ng <hes> nagtagpo kami dito sa B_P_I Julia Vargas ang <hes> usapan namin <hes> ano daw ano dapat siya maghaharap kami .	when we met here at B_P_I Julia Varage what we talked about um um he should we will meet .
<82>	(352.124-353.440)	nagtago siya .	he hid .
<83>	(353.440-355.569)	eh <hes> ang tapang daw niya pero nagtago siya eh .	well he was said to be brave but then he hid .
<84>	(355.569-361.680)	eh sabi ko nga pagka -yag -- -yag- -- bigya- -- harapin mo ng katotohanan si Duterte ay nagtatago .	well I even said when -- you present the truth Duterte is hiding .
<85>	(361.680-363.959)	so anyway pinadala niya abogado niya <breath> .	so anyway he sent his lawyer .
<86>	(363.959-365.280)	sabi nila may waiver sila .	they said they have a waiver .
<87>	(365.280-368.661)	tinanong ko 'yong B_P_I officials o may waiver na raw ibigay n'yo na 'yong dokumento .	I asked the B_P_I officials or there is a waiver you should give the document .
<88>	(368.661-371.576)	sabi niya hindi 'yong waiver para sa abogado kay Panelo .	he said not the waiver for the lawyer of Panelo .
<89>	(371.576-371.989)	mhm .	yes .
<90>	(371.989-377.051)	tinanong ko 'yong abogado o <hes> ibibigay mo ba 'yong dokumento 'pag binigay sa 'yo ng B_P_I ?	I asked the lawyer or will you give the document if the B_P_I gives it to you ?
<91>	(377.051-378.189)	ang sabi niya ay hindi .	he said no .
<92>	(378.189-381.490)	'yong waiver para sa akin ibibigay ko sa kliyente ko kay Duterte <breath> .	the waiver is for me I will give it to my client to Duterte .
<93>	(381.490-383.238)	so nililinlang nila 'yong tao .	so they deceived the people .
<94>	(383.238-386.054)	kaya nga hanggang ngayon siyam na buwan na wala pa rin 'di ba ?	that is why until now it has been nine months but there is still nothing right ?
<95>	(386.054-390.489)	s- -- so ano po <int> ang inyong hamon kay pangulong Duterte na sa kaniya na manggaling mismo ?	-- so what is your challenge for president Duterte that will come from him himself ?
<96>	(390.489-391.172)	mhm .	yes .
<97>	(391.172-397.049)	dapat mag- -- kung wala siyang tinatago ay iboluntaryo niya na 'yong impormasyon .	should -- if he is not hiding anything he should volunteer the information .
<98>	(397.049-406.182)	at <hes> na mayro'n siyang kumbaga 'yong tran- -- bank history niya 'no transaction history niya ng sa gano'n mapahiya niya na 'ko at ora mismo mag-re-resign ako .	and that he has said to be that -- his bank history yes his transaction history in that way he can humiliate me and instantly I will resign .
<99>	(406.182-409.380)	wala na siyang kritiko sa senado di tapos na .	he will no longer have a critic in the senate so it is done .
<100>	(409.380-417.094)	kaso nga hindi niya gagawin kasi may tinatagong yaman siya na aabot sa dalawang bilyong piso 'yon nga lang deposits and transactions <lipsmack> .	but the case is he won't do it because he has hidden wealth up to two billion pesos that is deposits and transactions only .
<101>	(417.094-417.590)	okey .	okay .
<102>	(417.590-427.790)	<int> deretsahang tanong po at gano'n din ang sinasabi niya mag-re-resign daw po siya bilang <hes> presidente kung mapapatunayan n'yong mayro'n po siyang two billion pesos .	direct question and that is also what he is saying that he will resign as president if you proved that he has two billion pesos .
<103>	(427.790-429.950)	ito po ba'y kaya n'yong mapatunayan ?	can you be able to prove this sir ?
<104>	(429.950-430.476)	yes .	yes .
<105>	(430.476-432.876)	'yong <hes> dalawang <hes> mode namin diyan .	that two our mode there .
<106>	(432.876-444.732)	ka- -- kung hindi niya magboboluntaryo ng <hes> waiver or <hes> ilalabas niya talaga 'yong ombudsman <hes> case hinihintay <int> natin at 'yong sa AMLAC hinihintay din natin .	-- if he cannot volunteer a waiver or he will disclose the ombudsman case we will wait and those in AMLAC we will also wait .
<107>	(444.732-456.084)	so 'pag isa diyan sa mga -- mga <hes> institution na 'yan ay <hes> magbigay ng <hes> kompirmasyon regarding these accounts eh di <hes> sisingilin natin siya sa pag resign .	so if one those -- because that institution will give confirmation regarding these accounts not we will collect payment from him through resigning .
<108>	(456.084-456.588)	<int> mm .	mm .
<109>	(456.588-457.978)	klaruhin lamang po <int> natin .	let us clarify .
<110>	(457.978-472.657)	ano po -- 'yon -- 'yong pong pinag-usapan nating two billion as in one time transaction na nagka-two billion or are we talking about na na 'pag pinag- -- <hes> -- dag- -- pinag- -- <hes> sama-sama mo ay aabot po sa two billion at one point ?	what -- that -- that two billion which we are talking of as in one time transaction of having two billion or are we talking about that that if -- you combine will reach two billion at one point ?
<111>	(472.657-473.307)	yes .	yes .
<112>	(473.307-477.070)	<hes> ganito 'yan ano lahat no'ng -- itong sa mga dokumento na ito %incomplete	it is like this what all of -- here in the documents here %incomplete
<113>	(477.070-477.529)	opo .	yes .
<114>	(477.529-483.140)	nakapasok 'yong transaksiyon 'yong deposits kung baga deposits or credits 'yong papasok na pera .	it was entered that transaction those deposits if said deposits or credits the money to enter .
<115>	(483.140-493.640)	'pag sinuma mo from two thousand six hanggang two thousand fifteen mahigit dalawang bilyong piso bukod pa ro'n sa mga daan-daang milyon na nakalagay sa pangalan no'ng mga anak niya .	if you sum from two thousand six until two thousand fifteen over two billion peso apart from the hundreds and hundreds of million that are put in the name of his children .
<116>	(493.640-496.838)	so ganiyan 'yong aking <hes> mga alegasyon .	so those are like my allegations .
<117>	(496.838-506.422)	at sa 'min kasi <lipsmack> alam n'yo kumpiyansang kumpiyansa ako na totoo ito kasi <int> i- -- isinasangkalang ko nga 'yong pagiging senador ko eh 'no .	and because on our end I am very confident that this is really true -- I am putting my being a senator on the line right .
<118>	(506.422-506.651)	mhm .	yes .
<119>	(506.651-509.170)	at hindi lang 'yan 'yong buhay ko rito .	and that is not only my life here .
<120>	(509.170-512.227)	dahil alam ko nga eh mamamatay-tao nga 'yong presidente eh .	because I also know the president kills people .
<121>	(512.227-513.609)	bakit ko gagawin 'yan <breath> ?	why will I do that ?
<122>	(513.609-515.845)	tapos <hes> gawa-gawa lang 'yong dokumento .	after the document is manufactured .
<123>	(515.845-517.242)	kaya nga hindi siya makaharap eh .	that is why he cannot face .
<124>	(517.242-521.760)	at alam mo kahit ma-prove ko 'yan hindi mag-re-resign si <hes> president Duterte .	and you know even if I prove that president Duterte will not resign .
<125>	(521.760-531.521)	kagaya no'ng sinabi niyang three to six months na <hes> i-so-solve din daw niya 'yong crime corruption at <hes> illegal drugs lumipas na 'yon pero nag-resign ba ?	like what he said that is three to six month he will also solve the crime corruption and illegal drugs that already passed but did he resign ?
<126>	(531.521-531.875)	hindi .	no .
<127>	(531.875-533.210)	walang isang salita 'yan .	he does not have word of honor .
<128>	(533.210-533.788)	bolero 'yan .	he is a joker .
<129>	(533.788-534.252)	mhm .	yes .
<130>	(534.252-536.191)	<breath> so <int> ano -- ano po ang mangyayari diyan ?	so what -- what will happen there ?
<131>	(536.191-542.530)	hindi naman po po siya puwedeng <hes> kasuhan ka- -- dahil po ito ay during -- when he was a mayor .	he cannot possibly be filed a case -- because it is during -- when he was a mayor .
<132>	(542.530-543.741)	well titingnan natin .	well we will see .
<133>	(543.741-556.275)	pagka na- -- <hes> -- na-prove na natin 'yang mga 'yan <hes> along with the other <hes> potential cases eh <hes> puwede na natin siyang sampahan ng impeachment <hes> ng sa gano'n maharap niya na 'to in the proper courts .	if -- we prove all of those along with the other potential cases we can him filed for impeachment in that way he can face this in the proper courts .
<134>	(556.275-561.709)	'pag sinabi po nating impeachment <int> kahit na po sabihing -- anong <hes> sabihin natin it's a numbers game .	if we say impeachment even if it said -- what let us say it's a numbers game .
<135>	(561.709-563.175)	would you have the numbers ?	would you have the numbers ?
<136>	(563.175-565.906)	well obligasyon na 'yon ng mga kababayan natin ano ?	well that is the obligation of our fellowmen right ?
<137>	(565.906-577.670)	kunwari <hes> makikita nila na 'yong presidente nila <int> mamamatay-tao at the same time kurakot pa eh tayo na <int> 'yong mga problema bilang Pilipino kung okey lang sa atin 'yon <no-speech> 'di ba ?	for example they can see that their president kills people and at the same time also corrupt we with the problem as Filipino if that is just okay with us right ?
<138>	(577.670-578.545)	senator Antonio ~ %incomplete	senator Antonio %incomplete
