<1>	(Inline, 0.000-2.800)	ano nabili mo na tr- -- ano 'yong sasakyan ni ano ni Y_D ?	what were you able to buy -- what is Y_D's uh car ?
<83>	(Inline, 72.960-77.232)	umm bibilhin pala ni ano ni ni ano 'yong bago alam mo magkano ?	um turns out uh will buy uh the new one do you know how much ?
<84>	(Outline, 73.980-74.640)	mhm .	yes .
<85>	(Outline, 74.640-79.470)	<no-speech>	<no-speech>
<86>	(Inline, 77.232-79.811)	four hundred forty .	four hundred forty .
<87>	(Outline, 79.470-80.070)	sa'n o ?	where ?
<88>	(Inline, 79.811-81.020)	four hundred forty .	four hundred forty .
<89>	(Outline, 80.070-82.240)	<no-speech>	<no-speech>
<90>	(Inline, 81.020-83.570)	<no-speech>	<no-speech>
<91>	(Outline, 82.240-83.051)	putang ina .	mother fucker .
<92>	(Outline, 83.051-83.992)	<no-speech>	<no-speech>
<93>	(Inline, 83.570-84.890)	(()) umubo eh 'no ?	(()) coughing right ?
<94>	(Outline, 83.992-86.210)	puro sira na 'yong gago tanga -- tanga .	the idiot is fully crazy stupid -- stupid .
<95>	(Inline, 84.890-86.820)	<no-speech>	<no-speech>
<96>	(Outline, 86.210-87.490)	<no-speech>	<no-speech>
<97>	(Inline, 86.820-88.233)	tubong lugaw eh 'no ?	maximum profit right ?
<98>	(Outline, 87.490-89.370)	oo <no-speech> tumubo pa ang gago .	yes the idiot even made money .
<99>	(Inline, 88.233-90.230)	pero si Y_D talaga mautak eh 'no ?	but Y_D is smart right ?
<100>	(Outline, 89.370-90.460)	<no-speech>	<no-speech>
<101>	(Inline, 90.230-93.480)	<no-speech>	<no-speech>
<102>	(Outline, 90.460-91.440)	sapawan mo nga .	go one better than him .
<103>	(Outline, 91.440-92.300)	<no-speech>	<no-speech>
<104>	(Outline, 92.300-94.710)	kapal ng mukha noon <no-speech> Marly .	he's thick-skinned Marly .
<105>	(Inline, 93.480-96.980)	dapat nga sisingilin ko siya ng ano eh -- ng malaki sa notaryo eh .	I was supposed to charge him with -- a large one for the notary .
<106>	(Outline, 94.710-95.740)	<no-speech>	<no-speech>
<107>	(Outline, 95.740-96.320)	(()) .	(()) .
<108>	(Outline, 96.320-99.430)	<no-speech>	<no-speech>
<109>	(Inline, 96.980-98.670)	<no-speech>	<no-speech>
<110>	(Inline, 98.670-100.810)	(()) .	(()) .
<111>	(Outline, 99.430-103.220)	'ta mo 'pag nagkaproblema 'yon <no-speech> hihiritan ko laman 'yon .	you'll see when he has a problem I'll make a jab at him .
<112>	(Inline, 100.810-103.760)	<no-speech>	<no-speech>
<113>	(Outline, 103.220-105.410)	<no-speech>	<no-speech>
<114>	(Inline, 103.760-106.264)	alam mo magkano lang siningil sa notaryo doon ?	do you know how much was charged for the notary there ?
<115>	(Outline, 105.410-105.920)	ha ?	huh ?
<116>	(Outline, 105.920-110.160)	<no-speech>	<no-speech>
<117>	(Inline, 106.264-107.742)	three hundred lang .	only three hundred .
<118>	(Inline, 107.742-109.051)	tatlong daan lang .	only three hundred .
<119>	(Inline, 109.051-110.350)	<no-speech>	<no-speech>
<120>	(Outline, 110.160-111.760)	<no-speech>	<no-speech>
<121>	(Inline, 110.350-111.170)	<no-speech>	<no-speech>
<122>	(Inline, 111.170-111.520)	<no-speech>	<no-speech>
<123>	(Inline, 111.520-116.480)	<no-speech>	<no-speech>
<124>	(Outline, 111.760-114.380)	<no-speech>	<no-speech>
<125>	(Outline, 114.380-115.458)	<no-speech>	<no-speech>
<126>	(Outline, 115.458-116.640)	loko talaga ano .	what a joke right .
<127>	(Inline, 116.480-117.050)	oh ?	oh ?
<128>	(Outline, 116.640-120.020)	<no-speech>	<no-speech>
<129>	(Inline, 117.050-119.070)	eh magkano ba bigay niya kay ano -- kay mister Sungyon ?	how much did he give to uh -- to Mister Sungyon ?
<130>	(Inline, 119.070-120.100)	<no-speech>	<no-speech>
<131>	(Outline, 120.020-121.410)	<no-speech>	<no-speech>
<132>	(Inline, 120.100-121.480)	alam ko mura lang 'yon 'di ba ?	I know it's just a few right ?
<133>	(Outline, 121.410-125.310)	<no-speech>	<no-speech>
<134>	(Inline, 121.480-122.530)	<no-speech>	<no-speech>
<135>	(Inline, 122.530-123.272)	<no-speech>	<no-speech>
<136>	(Inline, 123.272-125.122)	mga five hundred ba o wala ?	around five hundred or none ?
<137>	(Inline, 125.122-126.350)	gano'n din yata eh 'no ?	it's probably like that right ?
<138>	(Outline, 125.310-126.330)	(()) .	(()) .
<139>	(Outline, 126.330-127.400)	<no-speech>	<no-speech>
<140>	(Inline, 126.350-130.590)	<no-speech>	<no-speech>
<141>	(Outline, 127.400-128.241)	okey na rin .	it's okay too .
<142>	(Outline, 128.241-128.901)	<no-speech>	<no-speech>
<143>	(Outline, 128.901-129.390)	oo .	yes .
<144>	(Outline, 129.390-131.040)	<no-speech>	<no-speech>
<145>	(Inline, 130.590-134.165)	parang ano lang eh 'no wala siyang kon- -- parang konti lang ginastos niya .	it's just like uh he doesn't have -- like he didn't spend much .
<146>	(Outline, 131.040-131.810)	<no-speech>	<no-speech>
<147>	(Outline, 131.810-136.230)	<no-speech>	<no-speech>
<148>	(Inline, 134.165-140.600)	<no-speech> siguro ang pinaka ginastos na niya siguro 'yong ano -- 'yong pagpapaayos ng ano -- 'di ba na- -- lumubog sa baha 'yon ?	maybe his biggest expense was the -- the repair of the uh -- didn't it -- it was submerged in the flood ?
<149>	(Outline, 136.230-136.870)	mhm .	yes .
<150>	(Outline, 136.870-142.850)	<no-speech>	<no-speech>
<151>	(Inline, 140.600-141.540)	<no-speech>	<no-speech>
<152>	(Inline, 141.540-142.050)	'no ?	right ?
<153>	(Inline, 142.050-144.170)	<no-speech>	<no-speech>
<154>	(Outline, 142.850-143.490)	oo .	yes .
<155>	(Outline, 143.490-144.460)	<no-speech>	<no-speech>
<156>	(Inline, 144.170-144.780)	'yon .	that one .
<157>	(Outline, 144.460-145.052)	oo .	yes .
<158>	(Inline, 144.780-148.810)	<no-speech>	<no-speech>
<159>	(Outline, 145.052-145.920)	<no-speech>	<no-speech>
<160>	(Outline, 145.920-148.260)	ang tanga -- tanga talaga .	how stupid -- really stupid .
<161>	(Outline, 148.260-149.420)	<no-speech>	<no-speech>
<162>	(Inline, 148.810-150.114)	eh alam mo na 'pag (()) .	you know how it is for (()) .
<163>	(Outline, 149.420-150.830)	gago rin 'yong bumili 'no .	the buyer was an idiot too right .
<164>	(Inline, 150.114-150.890)	<no-speech>	<no-speech>
<165>	(Outline, 150.830-160.500)	<no-speech>	<no-speech>
<166>	(Inline, 150.890-151.920)	<no-speech>	<no-speech>
<167>	(Inline, 151.920-159.510)	alam mo naman 'yong mga ano eh <no-speech> -- mga mga ano eh -- 'yong mga <no-speech> wala pang- -- kamuwang-muwang eh .	you know how it is for the uh -- the uh -- the ones with no -- no awareness .
<168>	(Inline, 159.510-163.380)	<no-speech>	<no-speech>
<169>	(Outline, 160.500-163.394)	'pag ako <no-speech> -- 'pag ako nakausap noon %incomplete	when it's me -- when it's me he talks to %incomplete
<170>	(Inline, 163.380-166.687)	'asa kaniya din pala tiga-K_A_D rin .	he expects you're from K_A_D too .
<171>	(Outline, 163.394-164.820)	<no-speech>	<no-speech>
<172>	(Outline, 164.820-169.200)	<no-speech>	<no-speech>
<173>	(Inline, 166.687-167.740)	may bago .	there's a new one .
<174>	(Inline, 167.740-169.760)	<no-speech>	<no-speech>
<175>	(Outline, 169.200-169.760)	'yong ?	the what ?
<176>	(Inline, 169.760-170.756)	'yong bago .	the new one .
<177>	(Outline, 169.760-172.030)	<no-speech>	<no-speech>
<178>	(Inline, 170.756-172.759)	asawa niya tiga-K_A_D rin (()) .	his wife is from K_A_D too (()) .
<179>	(Outline, 172.030-172.780)	asawa niya ?	his wife ?
<180>	(Inline, 172.759-173.450)	oo .	yes .
<181>	(Outline, 172.780-173.590)	<no-speech>	<no-speech>
<182>	(Inline, 173.450-175.400)	<no-speech>	<no-speech>
<183>	(Outline, 173.590-173.970)	<no-speech>	<no-speech>
<184>	(Outline, 173.970-175.180)	<no-speech>	<no-speech>
<185>	(Outline, 175.180-176.040)	ah gano'n ?	really ?
<186>	(Inline, 175.400-175.964)	pero %incomplete	but %incomplete
<187>	(Inline, 175.964-176.631)	oh ?	really ?
<188>	(Outline, 176.040-177.150)	<no-speech>	<no-speech>
<189>	(Inline, 176.631-177.710)	pero <int> .	but .
<190>	(Outline, 177.150-178.420)	eh baka teller 'no ?	maybe a teller right ?
<191>	(Inline, 177.710-179.000)	<no-speech>	<no-speech>
<192>	(Outline, 178.420-183.740)	<no-speech>	<no-speech>
<193>	(Inline, 179.000-180.360)	oo pero sa ibang branch .	but in another branch .
<194>	(Inline, 180.360-182.410)	<no-speech>	<no-speech>
<195>	(Inline, 182.410-185.830)	shinort cut sa may ano (()) bandang ano .	was cut short by uh (()) near uh .
<196>	(Outline, 183.740-184.260)	ha ?	huh ?
<197>	(Outline, 184.260-187.910)	<no-speech>	<no-speech>
<198>	(Inline, 185.830-187.640)	<no-speech>	<no-speech>
<199>	(Inline, 187.640-189.344)	Hong Kong 'ata Singapore ?	Hong Kong probably Singapore ?
<200>	(Outline, 187.910-188.280)	<no-speech>	<no-speech>
<201>	(Outline, 188.280-191.550)	<no-speech>	<no-speech>
<202>	(Inline, 189.344-190.399)	o London ?	or London ?
<203>	(Inline, 190.399-191.550)	basta sinabi niya 'yon eh .	he said that .
