<1>	(0.000-2.544)	pero <hes> hindi naman ho hindi (()) <overlap> opo .	but no sir not (()) sir .
<29>	(233.610-239.490)	sa atin pong poll question pabor ba kayo na payagan ang mga transgender na sumali sa beauty contest na pambabae ?	in our poll question do you favor for the approval for transgender people to join in a beauty contest for women ?
<30>	(239.490-243.276)	ang nagsabi po ng oo naku kakaunti pa lang Trixie .	those who said yes oh my are still very few Trixie .
<31>	(243.276-249.326)	hindi pa -- <hes> hindi pa siguro napapanahon at ang nagsabing hindi ay ninety six pes- -- percent .	perhaps it's not yet time and those who said no is at ninety-six percent .
<32>	(249.326-254.350)	mga kapamilya wala pong puwang sa lipunan natin ang diskriminasyon .	viewers discrimination has no place in our society .
<33>	(254.350-259.490)	hindi po dapat maglahi ang isang tao dahil sa kaniyang paniniwala o relihiyon .	people should not breed because of their belief or religion .
<34>	(259.490-264.990)	hindi po ma- -- dapat ma-discriminate ang isang tao dahil sa kaniyang itsura o bunga ng kaniyang kapansanan .	shouldn't -- a person shouldn't be discriminated because of his looks or as the result of his disability .
<35>	(264.990-266.939)	at hindi na po natin pagtatalunan .	and we're not arguing .
<36>	(266.939-275.240)	hindi po dapat maging puntirya ng diskriminasyon ang isang tao dahil po sa kaniyang kasarian o kaya ay gender o sexual preference .	people should not be the target of discrimination because of their gender or sexual preference .
<37>	(275.240-281.800)	hindi po maitatanggi palaki po ng palaki ang populasyon ng mga lesbian gays bisexual at transgender .	we can't deny that the population of lesbian gays bisexual and transgender is increasing .
<38>	(281.800-288.150)	ang biro nga po ng kaibigan kong bading hindi naman sila nanganganak ngunit hindi maawat ang kanilang pagdami .	my gay friend even joked that they're not giving birth but their increase is unstoppable .
<39>	(288.150-294.960)	kaya naman lalo pong lumalakas ang puwersa para po igiit ang kanilang karapatan lalo na po sa pagkakapantay-pantay .	that's why their influence to insist their rights especially in equality is going stronger .
<40>	(294.960-305.254)	ngunit hindi po ako naniniwala <hes> with all due respect na ang pagpayag po na makasali ang mga transgender sa beauty pageant na pambabae ay magpapatingkad po sa karapatan nila .	however I don't believe with all due respect that allowing transgenders to join the beauty pageant for women will boost their rights .
<41>	(305.254-310.916)	on the contrary baka nga po ito pa ang lalong magpalakas ng diskriminasyon sa kanila .	on the contrary this might even heighten the discrimination against them .
<42>	(310.916-313.560)	again ito po ang aking opinyon .	again this is just my opinion .
<43>	(313.560-318.030)	sabihin mang kasing-ganda o mas maganda pa sa tunay na babae .	even if we say that they're as beautiful or more beautiful than a real woman .
<44>	(318.030-322.060)	sabihin mang kasing-talino o mas matalino pa sa tunay na babae .	even if we say that they're as smart or smarter than a real woman .
<45>	(322.060-327.550)	eh baka po lalong malantad sa pag-aglahi ang transgender na Miss Universe co- -- <hes> contestant .	a transgender Miss Universe contestant might even be subjected more to insults .
<46>	(327.550-335.170)	'yon pong sinabi kong kasing-ganda o kasing-talino o mas maganda o mas matalino ay kasama po siguro si si Trixie do'n .	the one I mentioned earlier that are as beautiful or as smart or more beautiful or smarter Trixie may be one of them .
<47>	(335.170-342.750)	sa tuwing babanggitin po lamang ang kaniyang pangalan ito po ang pangamba ko hindi po maiwasang ma-typecast siya na hindi orig na Eva .	every time I just mention her name this is my worry it's inevitable for her to be typecast as an unoriginal Eva .
<48>	(342.750-350.740)	kahit po balikan pa natin ang orihinal na konsepto ng Miss Universe beauty pageant ito po'y parang talaga sa mga ipinanganak na babae .	even if we go back to the original concept of Miss Universe beauty pageant this is really just for biological women .
<49>	(350.740-356.290)	mga kapamilya hindi po tayo nauubusan ng patimpalak ng kagandahan sa mga transgender .	viewers we do not run out of beauty pageants for transgenders .
<50>	(356.290-358.128)	sa akin po do'n na lang muna .	for me just there for now .
<51>	(358.128-362.389)	ang pambabae ay ibigay sa tunay na babae .	the one for women should be given to real women .
