<1>	(0.000-1.916)	ang ating guest for today .	our guest for today .
<40>	(250.065-274.010)	at <hes> siguraduhin natin na nag-stabilize siya sa ground <overlap> umm inspeksiyunin po ng P_C_A pag nakita uli namin na maganda ang bu- -- ang <hes> paglaki nito after six months ay babayaran namin kayo ng two thousand aah but ng two one -- ng twenty pesos sa bawat pananim <overlap> sa bawat (()) so two thousand two hundred ibig sabihin sa isang taon ay maaari kayong magkaroon ng dagdag kita na four thousand sa bawat ektarya .	and make sure it has stabilized in the ground umm the P_C_A are going to inspect if we have seen that again the -- is good the after it has grown after six months we are going to pay you two thousand aah but two one -- twenty pesos for each crop for each (()) so two thousand two hundred it means in one year you can have an additional income of four thousand per hectare .
<41>	(274.010-283.834)	nakapagtanim na kayo may <hes> tatanawin pa kayo -- incentive pa sa kinabukasan na mamumunga ng niyog na sa inyo rin naman mapupunta sa inyong mga mahal sa buhay dito sa Pilipinas .	you have already planted you also have something to expect -- incentive for the future for the coconuts to bear fruits which goes to you to your loved ones here in the Philippines .
<42>	(283.834-291.569)	uh huh <overlap> iyon po ang aming coconut planting programa <overlap> umm <overlap> okay so interesado po pupunta lamang sa Phi- -- Philippine Coconut Authority <overlap> sa Philippine Coconut Authority po .	uh huh that is our coconut planting program umm okay so if interested just go to the Philippine Coconut Authority at the Philippine Coconut Authority .
<43>	(291.569-298.968)	para manghingi ng assistance from your officer <overlap> opo siyempre i-evaluate natin iyong <hes> bukid kung ito ay nalalaan sa pagtatanim ng coconut .	to ask for an assistance from your officer yes of course we are going to evaluate your farm if this is suited for planting coconuts .
<44>	(298.968-299.370)	umm .	umm .
<45>	(299.370-305.423)	at kung may mga tanim ng coconut naman kayo na standing kami'y naglalaan din po tayo ng fertilization .	and if you have coconuts planted already standing we are also allotting fertilization .
<46>	(305.423-305.872)	okay .	okay .
<47>	(305.872-308.370)	at ang ginagamit naman natin dito'y asin .	and we are using salt here .
<48>	(308.370-322.360)	na kung napapansin ninyo ayan sa mga tabing-dagat ay very <hes> prolific <overlap> umm ang growth ng ating mga niyog <overlap> kasi tubig alat oo <overlap> so <hes> itong asin ay pinakapraktikal at pinakamura na pataba para sa isang halaman at nababagay ito sa coconut .	if you have noticed that near the seashore very prolific umm the growth of our coconuts because saltwater yes so this salt is the most practical and cheapest fertilizer to a plant and this is suitable for coconuts .
<49>	(322.360-327.720)	so two kilograms bawat <hes> puno <overlap> puno so apat na sako bawat ektarya .	so two kilograms each tree tree so four sacks per hectare .
<50>	(327.720-333.160)	dito po ba sa bahagi ng Bulacan kina Vivienne eh medyo scarce pa rin ang coconut ?	is this part of Bulacan in Vivienne's though coconut is still slightly scarce ?
<51>	(333.160-339.900)	scarce pa rin ang coconut pero marami hong nagnanais at pumupunta sa opisina namin na gusto na rin nilang magtanim ng niyog .	coconut is still scarce but many are desiring and going to our office who also want to plant coconuts .
<52>	(339.900-340.451)	Vivs ?	Vivs ?
<53>	(340.451-346.440)	sir kahit anong klaseng lupa po ba ay maaaring taniman ng niyog o mayroong pong specific kind ?	sir any kind of soil could be planted with coconut or is there a specific kind ?
<54>	(346.440-351.020)	<hes> medyo malawak ang suitability ng coconut <overlap> umm kahit medyo iyong mabuhangin .	the suitability of coconut is somewhat large umm though somewhat sandy .
<55>	(351.020-355.554)	<hes> usually wala ng ibang nabubuhay sa mabuhangin na lugar eh <overlap> uh huh coconut <hes> puwede siya .	usually no other kind grows in a sandy place yes coconut can be .
<56>	(355.554-367.520)	<overlap> umm at iyong area po na kailangan minimum area kung halimbawa hihingi po ng tulong ng Philippine Coconut Authority gaano po iyong kailangang i-present na area para po tamnan nitong <hes> mga coconuts ?	%%umm and the area that needs minimum area if for example the Philippine Coconut Authority will be asked for help what should be the area that you need to present so coconuts can be planted ?
<57>	(367.520-369.552)	aah puwede na po kahit kalahating ektarya lang .	ah even only a half hectare will do .
<58>	(369.552-370.048)	umm .	um .
<59>	(370.048-376.710)	iyong iba din nagnanais na pangtahanan lang sa likod bahay ay nagbibigay din po kami ng ilan para diyan .	we also give some for those who only want residence at the back of the house .
<60>	(376.710-384.249)	iyong mga sa tab -- para pang gata lang <overlap> pansit umm pansit oo <overlap> pang buko juice <laugh> <overlap> pumapayag po kami diyan .	those at tab -- for coconut milk noodles umm noodles yes for coconut juice we allow that .
<61>	(384.249-395.020)	Vivs iyong -- iyong -- iyong isang ektarya mo iyong kalahati swimming pool iyong kalahati lagyan mo ng niyog <overlap> oo para na rin kayong nasa resort <overlap> aah oo para may resort kaming <overlap> umm papasyalan doon ng RadyoBisyon family <overlap> umm .	Vivs your -- your -- your one hectare half of that is a swimming half of that you put coconuts yes it seems like you are in a resort aah yes so there is a resort that we can umm take a stroll with the Radio Vision family umm .
<62>	(395.020-395.480)	huh ?	huh ?
<63>	(395.480-398.809)	sa mga kopras <overlap> kahit ang Nueva Ecija taniman iyan ng <hes> <overlap> umm ano ng rice .	for coconuts even Nueva Ecija is a plantation of umm rice .
<64>	(398.809-400.860)	maraming nagtatanim <overlap> nagniniyog na rin ng coconut .	there are many who plant also grow coconut .
<65>	(400.860-401.721)	<hes> Rizal .	Rizal .
<66>	(401.721-402.023)	uh huh .	uh huh .
<67>	(402.023-404.840)	nag-expand po tayo sa Rizal province <overlap> uh huh umm .	we expanded to Rizal province yes um .
<68>	(404.840-407.742)	sir hingi lang ako ng update dito sa coconut scale insect .	sir I will just ask for an update on this coconut scale insect .
<69>	(407.742-413.410)	<hes> mayroon pa po ba nito o nag- -- gawa na po natin na alisin iyong mga coconut scale insect ?	is this still existing or we have already -- did remove those coconut scale insects ?
<70>	(413.410-421.280)	eh magandang balita po dito sa Southern Tagalog kung saan eh talagang napaka- -- umm malaganap noon ng problema uh huh natin sa coco scale .	well it is a good news here at Southern Tagalog where it is really -- umm a widespread problem before uh huh on coco scale .
<71>	(421.280-433.470)	<hes> practically the whole of Calabarzon eh ngayon ay contained na po iyong infestation <overlap> <hes> wala na pong panganib bagamat <hes> patuloy iyong aming monitoring <overlap> umm sa mapinsalang insektong ito .	well practically the whole of Calabarzon today the infestation is already contained there is no danger anymore although we are continuing with the monitoring umm on this damaging insect .
<72>	(433.470-436.035)	ang medyo may problema lang ay dito sa Basilan .	what is somehow problematic is only here in Basilan .
<73>	(436.035-436.298)	umm .	umm .
<74>	(436.298-441.569)	dahil dumaan sila sa mahabang dry season eh medyo nagkaroon din tayo ng problema na ganito .	because they went through a long dry season we somehow had a problem like this .
<75>	(441.569-452.800)	now iyong binabanggit ni Vivien kanina anu-ano ang mga <hes> by-product ang pupuwedeng mapasimulan <hes> para ika'y ekstrang pagkakitaan ng ating mga magniniyog ?	now what Vivien has been mentioning a while ago what are the by-products that can be started so it could be a source of extra income of our coconut farmers ?
<76>	(452.800-459.476)	opo <hes> doon sa talagang nais mamuhunan maglaan ng kaunting salapi medyo malaki na ito ang ating sinasabi .	yes for those who really want to invest allot small amount we are talking about somewhat big here .
<77>	(459.476-459.844)	uh huh .	uh huh .
<78>	(459.844-466.225)	ay <hes> may mga coconut investment <hes> is line na puwedeng pasukan ngunit ito iyong coconut sugar .	oh there are coconut investment is line which can be ventured in but this is the coconut sugar .
<79>	(466.225-473.458)	umm <overlap> itong coconut sugar <hes> asukal na ginagawa mula sa niyog ay sinasabing sugar for diabetic .	umm this coconut sugar sugar made from coconut is said to be a sugar for diabetic .
<80>	(473.458-481.761)	<overlap> uh huh umm kasi mababa ang glycemic index nito na kahit <hes> kumain ka nang marami nito hindi tataas iyong blood sugar mo <overlap> kaya lang mahal <overlap> kaya medyo may demand din nito talaga sa abroad .	uh huh umm because of its lower glycemic index though you eat a lot of this your blood sugar will not rise though expensive so this has really a demand from abroad .
<81>	(481.761-483.490)	mahal na nga <overlap> at medyo mahal .	already expensive and somewhat costly .
<82>	(483.490-494.980)	kaya nga magandang area natin na puhunan dahil kakaunti pa lang talaga ang nag <hes> <hes> nag-i-invest dito at iyon na nga maganda ito lalo na doon sa mga farms na medyo mabababa .	so a good area for our investment because there are only few who are really investing here and that makes it good especially for those farms which are somehow low .
<83>	(494.980-500.505)	umm <overlap> kasi kailangan akyatin mo iyong puno na ilang beses para kunin mo iyong iyong <hes> S_U_C nito iyong ginagawang tuba .	umm because you need to climb the tree many times to get the its S_U_C made as coconut wine .
<84>	(500.505-500.956)	umm .	umm .
<85>	(500.956-503.127)	<hes> so ito iyong gagawin nating coconut sugar .	so we are going to make this a coconut sugar .
<86>	(503.127-505.120)	napakasimple lang ng technology .	the technology is very simple .
<87>	(505.120-509.956)	at napakasimple rin ng requirement pero napakalaki ng investment aah investment return .	and the requirement is very simple but the investment is large aah investment return .
<88>	(509.956-510.409)	umm .	umm .
<89>	(510.409-515.660)	will you assist po doon sa teknolohiyang gagamitin para makapag-produce ng ganitong coconut sugar ?	will you assist there in the technology that will be used to produce this kind of coconut sugar ?
<90>	(515.660-519.957)	ang P_C_A po ay tumutulong sa teknikal at <hes> even sa marketing aspect .	the P_C_A is helping in the technical and even in the marketing aspect .
<91>	(519.957-527.783)	umm ihahanap po namin kayo ng <hes> <hes> consolidator kung <hes> hindi natin kayang direktong mag-export <overlap> uh huh .	umm we are going to search a consolidator for you if we cannot directly export uh huh .
<92>	(527.783-530.530)	para matulungan na makahanap kayo ng magandang presyo .	to help you look for a good price .
<93>	(530.530-540.722)	kasi po ang talagang magiging problema niyan deputy administrator Rosales ay maaaring maraming mag-venture para ay ang -- ang tanong kaagad eh may market ba <overlap> oo umm baka wala kaming market .	because the real problem we are going to have there deputy administrator Rosales is there might be a lot who are going to venture for -- the immediate question is there a market yes umm we might not have a market .
<94>	(540.722-542.047)	paano iyong pinuhunan namin ?	how about those we have invested ?
<95>	(542.047-542.425)	uh huh .	uh huh .
<96>	(542.425-543.750)	<no-speech>	<no-speech>
<97>	(543.750-548.378)	maganda po ang prospect for the market at <hes> marami na rin po tayong consolidator .	the prospect for the market looks good and we already have many consolidator .
<98>	(548.378-561.653)	uh huh <overlap> na <hes> handa na tumulong para mapabuti naman po iyong ating return of investment na <hes> mapunta sa maganda dahil maganda rin po iyong mga merkado natin sa U_S .	that are ready to help to improve the return of investment because our U_S merchandise are good .
<99>	(561.653-562.964)	ayan uh huh <overlap> even sa Japan .	there also in Japan .
<100>	(562.964-569.000)	umm pang ilan pa rin po ba ang coconut <hes> industry sa <hes> dollar earner ng ating bansa ?	umm where is the coconut industry in the dollar earners of our country ?
<101>	(569.000-578.203)	<hes> among the top <hes> five <hes> major umm <overlap> export earning <hes> product po ang coconut at <hes> particularly po ang coconut oil .	among the top five major export earning product is the coconut and particularly coconut oil .
<102>	(578.203-580.790)	in fact we're still number in the world <overlap> wow umm .	in fact we're still number in the world wow umm .
<103>	(580.790-587.240)	good news okay <overlap> panghuli na lamang sir mensahe na lang po ninyo sa publiko <overlap> opo Christmas message sa ating mga magniniyog okay <overlap> ay opo .	good news okay your final message sir for the public yes a Christmas message for our coconut farmers okay .
<104>	(587.240-590.847)	<hes> araw na po ng Kapaskuhan two days from now .	Christmas day is just two days from now .
<105>	(590.847-605.694)	<hes> ang akin pong <hes> pagtawag sa lahat ay <hes> patuloy nating i-push ang entrepreneurship ayan <overlap> dito sa <overlap> mhm kabukiran at sana tingnan din po natin ang ating mga prospect sa Philippine agriculture .	the reason that I called all of you let's continue to push entrepreneur ship here in the farm and let us look also to our prospects in Philippine agriculture .
<106>	(605.694-614.098)	tulungan po natin ang <hes> coconut industry na m- -- muli po nating (()) mabalik sa dati niyang sigla sa pamamagitan ng pamumuhunan dito sa coconut .	let us help the coconut industry let's again (()) return to its former glory by funding coconuts .
<107>	(614.098-621.494)	ihahabol ko lang ito good A_M po tanong ko lang kay mister Rosales paano naman kami dito sa Mindanao Zamboanga del Sur ?	let me ask this one before we end good A_M I just want to ask mister Rosales how about us here in Mindanao Zamboanga del Sur ?
<108>	(621.494-623.310)	<no-speech>	<no-speech>
<109>	(623.310-626.370)	ang aming lupa ay pulang pula .	our land is really red .
<110>	(626.370-629.791)	pula putla na ang tagal <hes> tumubo ng niyog .	red pale and it takes long for the coconut to grow .
<111>	(629.791-632.140)	anong maitutulong ng P_C_A dito ?	what can P_C_A do about this ?
<112>	(632.140-636.890)	<hes> mula po sa ating listener sa Tagbilaran Bohol .	from our listener in Tagbilaran Bohol .
<113>	(636.890-637.991)	aah sa Bohol po oho .	aah yes in Bohol .
<114>	(637.991-641.072)	<hes> medyo limestone ang <overlap> uh huh ating lupa diyan .	our land there looks like limestone .
<115>	(641.072-647.573)	<hes> makipag-ugnayan po kayo sa aming tauhan dito sa <hes> <hes> Tagbilaran may opisina po kami diyan <overlap> okay .	please coordinate with our men here in Tagbilaran we have an office there okay .
<116>	(647.573-658.274)	si Jun Lago po ang ating regional manager ay taga-doon so ay puntahan lang po natin iyong opisina at may mga tao po kami na maaaring pumunta sa inyong lugar para tulungan kayo .	Jun Lago is our regional manager there go there in the office and we have men there that could go to your place and help you .
<117>	(658.274-660.324)	tingnan natin mag-soil analysis muna tayo .	let's do a soil analysis first .
<118>	(660.324-662.515)	okay <overlap> at <hes> mag-recommend kung ano pa nararapat ~ %incomplete	okay and recommend what are still needed %incomplete
