<1>	(0.000-1.959)	<hes> at iyong ginaw ano .	and the cold right .
<16>	(88.280-100.420)	ito po ba Usec Perez itong red tide organism na ito eh normally talagang nagiging active during <hes> cold weather situation o cold weather climate ?	does this Usec Perez does this red tide organism normally become active during cold weather situation or cold weather climate ?
<17>	(100.420-110.635)	hindi actually sir Francis mas <hes> kasi minsan nagi- -- nakita namin na mas lalo kasi tayo ng medyo matagal na tagtuyot di ba ?	no actually Sir Francis because sometimes -- we saw that we are more we have had a somewhat long drought right ?
<18>	(110.635-111.059)	uh huh .	yes .
<19>	(111.059-114.135)	<hes> mayroon tayong siguro ang El Niño ano .	maybe we have El Niño .
<20>	(114.135-119.728)	iyong ibang mga <hes> tumitingin dito parang ina-attribute ito dito .	the others looking at it they seem to attribute it here .
<21>	(119.728-132.030)	pero sa ngayon <hes> wala pa talagang paglinaw sa (()) alam mo itong red tide <hes> <hes> organism iyong pag blue mark full iyan that's good .	but for now there is still no clarity on (()) you know this red tide organism when the blue mark is full that's good .
<22>	(132.030-135.490)	hindi pa masyadong naintindihan kung bakit .	it's still not thoroughly understood why .
<23>	(135.490-146.850)	so for some reason now we are <hes> observing na pagka medyo kulang iyong ulan eh parang saka ito lumalabas .	so for some reason now we are observing that when the rain is somewhat lacking well it seems it then appears .
<24>	(146.850-151.038)	pero ito po ba Usec Perez eh <hes> doon lang sa mga shellfishes ?	but is this Usec Perez only there with the shellfishes ?
<25>	(151.038-155.550)	hindi po kasama iyong mga hipon at ilang mga crustaceans ?	are shrimps and some crustaceans not included ?
<26>	(155.550-156.233)	ay hindi po .	oh no .
<27>	(156.233-178.563)	ang kasama po dito iyong shellfish lang partikular at tsaka po itong <hes> alamang bawal din po ngayon <overlap> aah alamang okay iyan sapagkat opo kasi <hes> kumakain din po ng plankton iyan at baka maparami po ng concentration noong <hes> toxin na iyon ng plankton doon sa alamang eh makakaapekto rin iyon sa mga kakain .	what is included here is only the shellfish particularly and also this shrimp is also prohibited nowadays aah shrimp that is okay because yes because it also eats planktons and maybe the concentration of toxins of planktons will increase in the shrimp so it will also affect those who will eat .
<28>	(178.563-181.590)	naku apektado ang bagoong industry .	oh dear the shrimp paste industry is affected .
<29>	(181.590-187.020)	<hes> hindi naman ho sila nanghuhuli pag panahon po niyan sapagkat ipinagbabawal po natin iyan <overlap> ayon .	they do not really catch during that time because we are prohibiting that there according %incomplete
<30>	(187.020-200.049)	okay so wala pa kayong <hes> timeframe na itinakda hanggang kailan ano po pero kamusta po itong ating mga shellfish farmers na ito na umaasa lang diyan sa mga tahong talaba tulya <hes> halaan .	okay so you still don't have a time frame set until when um but how are our shellfish farmers who are only depending on those mussels oysters clams scallops .
<31>	(200.049-205.080)	papaano po kaya ang kanilang pang-araw-araw <hes> Usec Perez ?	how about their everyday living Usec Perez ?
<32>	(205.080-213.415)	<hes> kasi po ang ani ng grow ng ating mga -- mga mangingisda dito ay dual no ang ginagawa .	because the harvest of grow of our -- fishermen here is doing dual .
<33>	(213.415-216.280)	hindi po naman iyon lang ang kanilang hanap-buhay .	that is not their only livelihood .
<34>	(216.280-227.928)	so mayroon din pong isda puwede pa po naman po iyong isda at tsaka normally po the process <no-speech> bagamat ang tahong at talaba ay bawal -- bawal anihin ngayon iyon po nama'y lumalaki pa .	so there is also fish those fishes is still fine and also normally the process although mussels and oysters are prohibited -- prohibited to harvest today those on the other hand are still getting bigger .
<35>	(227.928-234.460)	ibig sabihin tumataba pa at <hes> mas lumalaki so pag ibinenta nila mas mahal .	this means these get even fatter and gets bigger so when they sell it is more expensive .
<36>	(234.460-241.935)	pero in the meantime <hes> in some areas po nag-declare na ho halimbawa iyong Capiz <hes> at tsaka iyong Roxas .	but in the meantime in some areas already declared for example Capiz and also Roxas .
<37>	(241.935-257.980)	I understand na (()) <no-speech> so that is to enable them to help <hes> iyong kanila pong mga <hes> mga mag -- mangingisda na nakadepende nga po dito sa industriyang ito .	I understand that (()) so that is to enable them to help their -- fishermen who depends here in this industry .
<38>	(257.980-280.650)	so <hes> generally dahil totoo naman na hindi namamatay itong tahong at talaba ang nangyayari lang parang mas lumalaki at <hes> siyempre ma- -- ma-de-delay lang iyong iyon -- iyong <hes> production pero we understand na talagang sa iba po na nakadepende dito ay <hes> apektado po iyong hanap-buhay nila .	so generally because it is actually true that these mussels and oysters do not die what just happens is it seems like these get bigger and of course -- the -- the production will only be delayed but we understand that to the others who really depend on this their livelihood is affected .
<39>	(280.650-287.590)	aw naku napakasarap pa naman iyang mga <hes> sea- -- seafoods na iyang mga shells natin .	oh no those -- seafood our shells are so delicious .
<40>	(287.590-289.186)	lalo na sa panahon ngayon no .	most especially during these times right .
<41>	(289.186-292.368)	iyong mga mag-bake ka ng tahong napakasarap talaga niyan .	when you bake mussels that is really delicious .
<42>	(292.368-295.342)	uh huh eh medyo tayo ay diskanso muna .	yes but we are somewhat resting for the meantime .
<43>	(295.342-304.830)	talagang <hes> masasabi po ba natin Usec Perez na napakadelikado na kainin niyang mga affected ng red tide organism ?	can we really say Usec Perez that is really dangerous to eat those affected by the red time organism ?
<44>	(304.830-331.463)	<hes> pagka po may red tide alert tayo talagang <no-speech> ayan po ay <hes> talagang ating ano -- talagang ating ginagawa lahat ng paraan para hindi ang mga tao kumain sapagkat <hes> <hes> alam po naman natin na mamamatay po ang mga tao (()) aksidente po uh huh <overlap> iyong pagkamatay kung sakaling talagang kumakain po nitong mga <hes> uh huh shellfish na may red tide .	when there is a red time we are really that is we really um -- we are really doing all the ways for people not to eat because we already know that people will die (()) accident yes your death if ever you really eat these yes shellfish with red tide .
<45>	(331.463-345.290)	doon po sa mga katubigan natin na nandidiyan iyong <hes> organismong iyan <hes> kung sakali-sakali may mga isda tayong mahuhuli doon hindi po ba <hes> delikado sa ating mga isda na kainin naman iyon ?	there in our waters where it is that organism if in case we have fish caught there wouldn't it be dangerous for our fish to eat those ?
<46>	(345.290-346.446)	<hes> hindi po -- hindi po .	no -- no .
<47>	(346.446-349.944)	<hes> kailangan lang po iyong tinatanggal natin iyong hasang .	we just need to remove the gills .
<48>	(349.944-353.880)	uh huh (()) karaniwan po nating ginagawang panlilinis .	yes (()) the cleaning we normally do .
<49>	(353.880-354.417)	uh huh .	yes .
<50>	(354.417-362.299)	iyon po ang kailangan nating gawin pero hindi po apektado iyong mga isda <hes> nitong shellfish organism .	that is what we need to do but fish are not affected by this shellfish organism .
<51>	(362.299-380.415)	hindi po kasi masyadong nag-bi-bio accumulated at tsaka hindi po kagaya nitong mga shellfish na filter feeder ika nga na talagang ang -- ang kinakain po niyan ay iyong mga iyong mga deep lettuce na ganoon iyon mga organismong ganoon .	because they do not bio accumulated much and unlike these shellfish which are filter feeders that as they say are really -- what they eat are the the deep lettuce like that those organisms .
<52>	(380.415-386.179)	hindi po kagaya ito ng uh huh <overlap> isda kaya kaya sa isda po hindi tayo namumrublema diyan .	they are not like yes fish so so so with fish we do not need to worry there .
<53>	(386.179-393.150)	now mayroon po akong nais na hinging <hes> <hes> paliwanag sa aspeto ng ating pangisdaan .	now I have something I want to ask an explanation about our fishing aspect .
<54>	(393.150-402.200)	<hes> used Perez sapagkat <hes> noong minsang <hes> may nakausap ako <hes> mula pa rin sa D_A ano ho .	used Perez because once I talked to someone still from the D_A right .
<55>	(402.200-414.560)	itong may kaugnayan sa sinasabing <hes> <hes> ay ano ba ito iyong aspeto ng <hes> micro o- -- organic -- ano ba ito ?	related to what is said to be what is this the aspect of micro -- organic -- what is this ?
<56>	(414.560-415.377)	<hes> %incomplete	%incomplete
<57>	(415.377-430.892)	iyon po bang nakakaapekto din sa pagkain <hes> sa baboy sa hayop sa <hes> microba- -- <hes> microbial antimicrobial <hes> organism resistance .	the one which can affect food too in pigs in animals in -- microbial antimicrobial organism resistance .
<58>	(430.892-435.950)	<hes> antimicrobial resistance <hes> Usec ?	antimicrobial resistance Usec ?
<59>	(435.950-436.635)	tungkol doon .	about that .
<60>	(436.635-449.289)	<hes> mayroon din daw pong <hes> <hes> bagay na <hes> hindi ano parang nakakaapekto rin sa ating pangisdaan hindi lang sa agrikultura <hes> iyong pinag-uusapan na raw ngayon .	there is also supposedly stuff that no like it can affect our fishing not just in agriculture what is supposedly being discussed now .
<61>	(449.289-451.733)	<hes> iyong antimicrobial resistance .	the antimicrobial resistance .
<62>	(451.733-462.230)	iyong paggamit ng mga <hes> antibiotics o mga feeds sa mga <hes> kaha -- sa mga hayop gayundin sa mga isda .	the use of antibiotics or feeds on -- on animals as well as on fish .
<63>	(462.230-463.517)	aah opo opo .	ah yes yes .
<64>	(463.517-466.500)	iyon pong paggamit ng antibiotics sa feeds .	that is the use of antibiotics in feeds .
<65>	(466.500-467.069)	uh huh .	yes .
<66>	(467.069-472.860)	<hes> nasaan ang magiging dahilan para iyong mga tao (()) pa rin na kumakain noong isda .	where is the reason in order for the people (()) to still eat fish .
<67>	(472.860-473.451)	uh huh .	yes .
<68>	(473.451-479.720)	o hayop ay magiging iyong mga mikrobyo magiging resistant na doon sa antibiotics .	or animals will become the germs will become resistant to the antibiotics .
<69>	(479.720-480.724)	opo -- opo -- opo .	yes -- yes -- yes .
<70>	(480.724-491.830)	tapos mahihirapan na -- na magamot iyong mga tao di po ba ibig sabihin <hes> you must be use of <hes> antibiotics in some (()) reasons .	and then it will become difficult -- to treat the people doesn't it mean you must be the use of antibiotics in some (()) reasons .
<71>	(491.830-498.582)	which and then will result into parang (()) uh huh ma i-immune ka na <overlap> .	which and then will result into like (()) yes you will become immune .
<72>	(498.582-499.105)	opo .	yes .
<73>	(499.105-500.258)	opo opo opo .	yes yes yes .
<74>	(500.258-503.990)	at naparami na po kayo ng gamot ay hindi na kayo tinatablan ganoon .	and you already had many medicines you will no longer be affected like that .
<75>	(503.990-504.823)	uh huh <overlap> opo .	yes yes .
<76>	(504.823-521.611)	<hes> iyon po ay matter na inaadress natin sapagkat <hes> alam mo ninyo iyon po ating mga feeds ngayon you know -- mga feeds natin ngayon pinagbabawal po iyong certain chemicals to be added particularly certain antibiotics .	that is a matter we will address because you know our feeds now you know -- our feeds now certain chemicals are banned to be added particularly certain antibiotics .
<77>	(521.611-522.374)	uh huh .	yes .
<78>	(522.374-524.472)	so <hes> mayroon din pong ganoon .	so we have that too .
<79>	(524.472-536.250)	kung ano po iyong ginagawa sa hayop iyon din po ang ginagawa natin sa -- sa mga <hes> pagkain ng isda .	what is done to animals that is also what we do to -- to fish food .
<80>	(536.250-547.440)	<hes> kung saan mino-monitor din po iyan doon sa mga presence ng mga pinagbabawal na main ingredients kagaya ng antibiotics .	wherein the presence of banned main ingredients like antibiotics is also being monitored there .
<81>	(547.440-574.120)	uh huh kasi lalo na doon sa mga nag-ku-culture doon sa mga <hes> marine culture parts natin na kapag medyo nakakita sila na <hes> may mga matamlay na mga isda ay binibigyan nila ng mga <hes> feeds na mayroon pong mga antibiotics na katulad niyan siguro dapat po eh kumonsulta muna sila sa authorities ng B_F_A_R bago sila mag-dispense ng anumang gamot para sa mga isda ano po ?	yes especially for those who culture the our marine culture parts that if they can somewhat see that there are lethargic fish they will give feeds with antibiotics like that maybe they should consult first with the authorities at B_F_A_R before they dispense any medicine for their fish right ?
<82>	(574.120-575.119)	aah tama po iyon .	ah that is correct .
<83>	(575.119-582.268)	pero hindi po masyadong -- hindi po kagaya sa ibang <hes> sektor siguro .	but not too much -- not like in other sectors perhaps .
<84>	(582.268-586.631)	ito hindi po masyado <hes> gamit ng antibiotic doon sa isda .	this is not much the use of antibiotic on fish .
<85>	(586.631-587.401)	uh huh .	un huh .
<86>	(587.401-591.320)	<hes> uh huh hindi ho ganoon ka widespread .	yes it's not that widespread .
<87>	(591.320-599.566)	<hes> ang paggamit nito sapagkat alam nila iyong atin hong <hes> karamihan ho ng ating isda ay ine-export natin okay .	on how to use it because they know that most of our fishes are exported okay .
<88>	(599.566-600.454)	at tsaka iyong mga hipon .	and also the shrimps .
<89>	(600.454-601.353)	okay .	okay .
<90>	(601.353-605.980)	and sobra hong mahigpit ng <hes> ating mga trading partners .	and our trading partners are so strict .
<91>	(605.980-612.561)	<hes> pag nakitaan mo na mayroon kang banned antibiotics ito ay binabalik po iyong shipment .	if they noticed that you have banned antibiotics they will send the shipment back .
<92>	(612.561-613.453)	wow .	wow .
<93>	(613.453-615.508)	so <hes> opo binabalik po .	so yes they return it .
<94>	(615.508-642.657)	hindi po iyon hindi po ilang beses na <hes> nabalikan tayo kaya po medyo mahigpit ang monitoring natin diyan and in the end this is not on -- on for <hes> for -- for the reason na dahil nga sa health reason kundi iyon na mismong nag-aalaga nag-e-export ay (()) kasi otherwise <hes> pag nabalikan sila ng isang container ng shipment napakalaki pong halaga .	it's not that it's not that many times that we have received a return and why we are strict in monitoring there and in the end this is not on -- on for for -- for health reasons but because of those taking care of the export themselves (()) otherwise when one container of shipment costs a lot when returned to them .
<95>	(642.657-643.557)	ayon .	there .
<96>	(643.557-661.850)	and so medyo -- medyo ano po tayo diyan medyo <hes> conscious po <hes> iyong ating mga -- mga palaisdaan na talagang hindi dapat gumagamit nitong mga banned <hes> <hes> antibiotics or ingredients in the feeds .	so that is why we are a little bit conscious when it comes to our -- our fisheries that certainly should not be using banned antibiotics or ingredients in the feeds .
<97>	(661.850-668.220)	at tsaka siguro dapat eh <hes> suriin nila palang mabuti iyong mga feeds na ipapakain nila ano po ?	and it is only right for them to carefully check the feeds that they feed right ?
<98>	(668.220-678.380)	o and actually sa level po ng manufacturer iyan <hes> <hes> mino-motor ang feeds kasi kung sa individual farmer po napakahirap .	or and actually in that level of manufacturer they motorized the feeds because it will be very difficult for the individual farmer .
<99>	(678.380-681.123)	so sa level po ng feed manufacturer iyan .	so that is for the level of feed manufacturers .
<100>	(681.123-682.080)	ayon .	there .
<101>	(682.080-694.200)	now kamustahin ko lang po <hes> iyong <hes> inyong <hes> <hes> kuwentuhan ninyo naman kami noong biyahe ninyong matagumpay sa Malaysia <hes> sa isang malakihang pagpupulong Usec Perez .	now please let me check about the please tell us some stories about your successful travel in Malaysia for a big meeting Under Secretary Perez .
<102>	(694.200-696.517)	<hes> sa Indonesia po ito sa Indonesia .	this was in Indonesia in Indonesia .
<103>	(696.517-698.027)	aah Indonesia <overlap> iyon pong ating <hes> .	yes Indonesia was our .
<104>	(698.027-706.160)	opo iyon pong ating huling biyahe kung saan tayo po ay dumalo sa Western and Central Pacific tuna (()) meeting .	yes that was our last travel where we attended in the Western and Central Pacific tuna (()) meeting .
<105>	(706.160-707.922)	sa tuna okay .	okay in tuna .
<106>	(707.922-710.151)	opo medyo matagal-tagal po iyon .	yes that takes somewhat long .
<107>	(710.151-713.590)	<hes> I spent this five days po iyon na dere-deretso ang meeting .	I spent this five days in straight meetings .
<108>	(713.590-714.156)	opo .	yes .
<109>	(714.156-718.140)	<hes> at anim na araw pa kasi nga noong H_O_B .	and six days in H_O_B .
<110>	(718.140-725.062)	<hes> medyo ang pinakamaikli doon ay iyon pa ring (()) tuloy-tuloy na pangingisda diyan sa Pacifico .	the somewhat shortest one there is still the (()) continuous fishing there in the Pacific .
<111>	(725.062-725.880)	uh huh .	yes .
<112>	(725.880-730.930)	<hes> kung saan ang laging pinag-uusapan din diyan eh ano ang gagawin natin .	wherein what is always discussed there is what we will do .
<113>	(730.930-734.122)	<hes> para mapanatili natin iyong dami ng tuna ano .	so that we can maintain the number of tuna .
<114>	(734.122-734.671)	uh huh .	yes .
<115>	(734.671-743.315)	at <hes> at the same time matanggal natin iyong <hes> threat doon sa ating <hes> (()) species ng tuna .	and at the same time we can remove the threat there to our (()) species of tuna .
<116>	(743.315-751.164)	alam mo sir Francis <hes> baka hindi nalalaman ng ating mga kababayan na pag sinabing tuna maraming klaseng ito .	you know Sir Francis maybe our fellowmen do not know that when you say tuna there are many kinds .
<117>	(751.164-752.053)	opo .	yes .
<118>	(752.053-756.830)	oo mayroon tayong tinatawag na Yellowfin Yellowfin na <overlap> Yellowfin .	yes we have what we call yellowfin yellowfin the yellowfin .
<119>	(756.830-757.427)	uh huh .	yes .
<120>	(757.427-761.677)	ayon ho iyong <hes> medyo dilaw iyong likod iyong palikpik niya .	that is the its back its fin is a bit yellow .
<121>	(761.677-762.387)	opo opo .	yes yes .
<122>	(762.387-764.720)	mayroong shade <overlap> at sa ng yellow oo .	there is a shade and in yellow yes .
<123>	(764.720-772.546)	uh huh may shade ng yellow <hes> pero dalawa ho iyan may shade ng yellow din iyong tinatawag nating Frigate tuna .	yes with a shade of yellow but there are two there is a shade of yellow there is also what we call frigate tuna .
<124>	(772.546-773.397)	uh huh .	yes .
<125>	(773.397-778.345)	<hes> yellow din iyong palikpik pero medyo mas malaki iyong mata pag lumalaki na .	the fin is also yellow but the eye is a bit bigger when it is already growing .
<126>	(778.345-779.522)	aba uh huh .	well yes .
<127>	(779.522-786.310)	iyon -- iyong Frigate tuna ay <hes> iyon ginagawang sashimi at tsaka iyong Yellowfin .	the -- the frigate tuna that is made into sashimi as well as the yellowfin .
<128>	(786.310-790.734)	<hes> iyang dalawang iyan <overlap> ano po ang pagkakaiba noon sa Matambakol ?	those two what is their difference from the Matambakol ?
<129>	(790.734-791.840)	<no-speech>	<no-speech>
<130>	(791.840-796.190)	<hes> again iyong Tambakol <hes> iyon iyong Yellowfin .	again the Tambakol that is the Yellowfin .
<131>	(796.190-799.160)	<laugh> aah iyon ang Yellowfin <overlap> oo .	ah that is the yellowfin yes .
<132>	(799.160-800.190)	iyan ang Yellowfin ano .	that is the yellowfin .
<133>	(800.190-806.766)	uh huh <overlap> Yellowfin at tsaka depende sa lugar ang fins diyan din doon sa Bigeye ay Matambakol din .	yes yellowfin and then depending on the area the fins there in the bigeye are matambakol too .
<134>	(806.766-813.976)	uh huh pero ang -- ang punto diyan <hes> itong Big Eye ay medyo kakaunti na .	yes but the -- the point there this big eye are a bit rare now .
<135>	(813.976-814.654)	ooh .	ooh .
<136>	(814.654-820.680)	oo hindi kagaya ng Tambakol o itong Yellowfin medyo mas marami .	yes unlike the tambakol or the yellowfin which are higher in number .
<137>	(820.680-821.131)	ayan .	that .
<138>	(821.131-822.191)	<int> so ~ %incomplete	so %incomplete
