<1>	(Inline, 0.000-0.561)	'no ?	right ?
<68>	(Inline, 58.679-59.840)	ano ?	what ?
<69>	(Inline, 59.840-60.980)	<no-speech>	<no-speech>
<70>	(Outline, 59.900-62.009)	<no-speech>	<no-speech>
<71>	(Inline, 60.980-62.088)	<no-speech>	<no-speech>
<72>	(Outline, 62.009-62.900)	panay upo .	sitting all the time .
<73>	(Inline, 62.088-62.800)	hello .	hello .
<74>	(Inline, 62.800-64.130)	<no-speech>	<no-speech>
<75>	(Outline, 62.900-64.370)	<no-speech>	<no-speech>
<76>	(Inline, 64.130-65.550)	hello <int> .	hello .
<77>	(Outline, 64.370-65.279)	hello .	hello .
<78>	(Outline, 65.279-67.471)	<no-speech>	<no-speech>
<79>	(Inline, 65.550-66.450)	<no-speech>	<no-speech>
<80>	(Inline, 66.450-66.880)	<no-speech>	<no-speech>
<81>	(Inline, 66.880-70.020)	<no-speech>	<no-speech>
<82>	(Outline, 67.471-68.218)	hello .	hello .
<83>	(Outline, 68.218-69.077)	<no-speech>	<no-speech>
<84>	(Outline, 69.077-71.440)	hello <int> .	hello .
<85>	(Inline, 70.020-71.061)	<no-speech>	<no-speech>
<86>	(Inline, 71.061-71.977)	mobiles .	mobiles .
<87>	(Outline, 71.440-82.100)	<no-speech>	<no-speech>
<88>	(Inline, 71.977-73.087)	<no-speech>	<no-speech>
<89>	(Inline, 73.087-74.242)	anong sinasabi mo ?	what are you saying ?
<90>	(Inline, 74.242-78.030)	<no-speech>	<no-speech>
<91>	(Inline, 78.030-79.970)	<no-speech>	<no-speech>
<92>	(Inline, 79.970-82.221)	<no-speech>	<no-speech>
<93>	(Outline, 82.100-83.285)	anong ginagawa mo ?	what are you doing ?
<94>	(Inline, 82.221-83.119)	hello ?	hello ?
<95>	(Inline, 83.119-89.258)	<no-speech>	<no-speech>
<96>	(Outline, 83.285-84.085)	<no-speech>	<no-speech>
<97>	(Outline, 84.085-84.930)	ano ?	what ?
<98>	(Outline, 84.930-87.890)	<no-speech>	<no-speech>
<99>	(Outline, 87.890-88.750)	hello ?	hello ?
<100>	(Outline, 88.750-91.160)	<no-speech>	<no-speech>
<101>	(Inline, 89.258-90.990)	tambay lang .	just hanging out .
<102>	(Inline, 90.990-92.104)	hello .	hello .
<103>	(Outline, 91.160-94.670)	<sta> wala kang ginagawa ?	you're doing nothing ?
<104>	(Inline, 92.104-93.230)	<no-speech>	<no-speech>
<105>	(Inline, 93.230-94.170)	<no-speech>	<no-speech>
<106>	(Inline, 94.170-98.671)	<no-speech>	<no-speech>
<107>	(Outline, 94.670-103.400)	<no-speech>	<no-speech>
<108>	(Inline, 98.671-99.522)	huh ?	huh ?
<109>	(Inline, 99.522-100.755)	<no-speech>	<no-speech>
<110>	(Inline, 100.755-102.106)	choppy ka talaga .	you're really unclear .
<111>	(Inline, 102.106-104.140)	<no-speech>	<no-speech>
<112>	(Outline, 103.400-104.900)	choppy nga choppy .	unclear unclear .
<113>	(Inline, 104.140-105.840)	'di ko maintindihan <int> .	I can't understand .
<114>	(Outline, 104.900-106.930)	<no-speech>	<no-speech>
<115>	(Inline, 105.840-107.360)	<no-speech>	<no-speech>
<116>	(Outline, 106.930-108.264)	oo wala .	yes none .
<117>	(Inline, 107.360-109.920)	<no-speech>	<no-speech>
<118>	(Outline, 108.264-108.863)	<sta> wala .	nothing .
<119>	(Outline, 108.863-109.481)	wala .	nothing .
<120>	(Outline, 109.481-111.440)	<no-speech>	<no-speech>
<121>	(Inline, 109.920-113.116)	<no-speech>	<no-speech>
<122>	(Outline, 111.440-115.790)	<no-speech>	<no-speech>
<123>	(Inline, 113.116-113.794)	ano ?	what ?
<124>	(Inline, 113.794-121.220)	<no-speech>	<no-speech>
<125>	(Outline, 115.790-117.994)	sabi ko hindi kita maintindihan .	I said I don't understand you .
<126>	(Outline, 117.994-120.410)	<no-speech>	<no-speech>
<127>	(Outline, 120.410-127.380)	<no-speech>	<no-speech>
<128>	(Inline, 121.220-123.865)	<no-speech>	<no-speech>
<129>	(Inline, 123.865-125.849)	hindi ko nga rin maintindihan .	I can't understand too .
<130>	(Inline, 125.849-127.850)	hello -- hello -- hello .	hello -- hello -- hello .
<131>	(Outline, 127.380-127.740)	<no-speech>	<no-speech>
<132>	(Outline, 127.740-129.120)	<no-speech>	<no-speech>
<133>	(Inline, 127.850-133.090)	<no-speech>	<no-speech>
<134>	(Outline, 129.120-130.010)	hello .	hello .
<135>	(Outline, 130.010-133.510)	<no-speech>	<no-speech>
<136>	(Inline, 133.090-133.510)	<no-speech>	<no-speech>
