<1>	(Inline, 0.000-1.290)	eh 'yung asawa mo kamusta na ?	how about your wife how is she ?
<125>	(Inline, 113.330-114.680)	sino nakatuluyan ni Jenny ?	to whom did Jenny finally get married to ?
<126>	(Inline, 114.680-115.640)	<no-speech>	<no-speech>
<127>	(Outline, 114.960-115.370)	<no-speech>	<no-speech>
<128>	(Outline, 115.370-116.960)	<no-speech>	<no-speech>
<129>	(Inline, 115.640-116.020)	<no-speech>	<no-speech>
<130>	(Inline, 116.020-117.090)	<no-speech>	<no-speech>
<131>	(Outline, 116.960-117.944)	<sta> wala dito .	not here .
<132>	(Inline, 117.090-117.540)	ha ?	what ?
<133>	(Inline, 117.540-118.390)	<no-speech>	<no-speech>
<134>	(Outline, 117.944-125.260)	<no-speech>	<no-speech>
<135>	(Inline, 118.390-118.910)	hello .	hello .
<136>	(Inline, 118.910-123.800)	<no-speech>	<no-speech>
<137>	(Inline, 123.800-124.950)	sino nakatuluyan ni Jenny ?	to whom did Jenny finally get married to ?
<138>	(Inline, 124.950-126.860)	<no-speech>	<no-speech>
<139>	(Outline, 125.260-128.030)	<no-speech>	<no-speech>
<140>	(Inline, 126.860-128.297)	<no-speech>	<no-speech>
<141>	(Outline, 128.030-129.261)	<no-speech>	<no-speech>
<142>	(Inline, 128.297-129.655)	na-miss ko na nga kayo diyan .	I already miss you all there .
<143>	(Outline, 129.261-129.920)	dito lang .	just here .
<144>	(Inline, 129.655-137.529)	<no-speech>	<no-speech>
<145>	(Outline, 129.920-131.080)	<no-speech>	<no-speech>
<146>	(Outline, 131.080-132.223)	oo .	yes .
<147>	(Outline, 132.223-135.100)	<no-speech>	<no-speech>
<148>	(Outline, 135.100-136.160)	<no-speech>	<no-speech>
<149>	(Outline, 136.160-136.930)	<no-speech>	<no-speech>
<150>	(Outline, 136.930-139.160)	<no-speech>	<no-speech>
<151>	(Inline, 137.529-138.040)	hello .	hello .
<152>	(Inline, 138.040-139.280)	<no-speech>	<no-speech>
<153>	(Outline, 139.160-144.880)	<no-speech>	<no-speech>
<154>	(Inline, 139.280-140.100)	nandiyan ka pa ba ?	are you still there ?
<155>	(Inline, 140.100-145.990)	<no-speech>	<no-speech>
<156>	(Outline, 144.880-146.930)	<no-speech>	<no-speech>
<157>	(Inline, 145.990-146.610)	pare .	comrade .
<158>	(Inline, 146.610-148.960)	<no-speech>	<no-speech>
<159>	(Outline, 146.930-147.700)	<no-speech>	<no-speech>
<160>	(Outline, 147.700-148.500)	<no-speech>	<no-speech>
<161>	(Outline, 148.500-149.569)	<no-speech>	<no-speech>
<162>	(Inline, 148.960-149.710)	nandiyan ka pa ?	are you still there ?
<163>	(Outline, 149.569-149.996)	o .	yes .
<164>	(Inline, 149.710-156.670)	<no-speech>	<no-speech>
<165>	(Outline, 149.996-151.580)	<no-speech>	<no-speech>
<166>	(Outline, 151.580-152.740)	<no-speech>	<no-speech>
<167>	(Outline, 152.740-157.890)	<no-speech>	<no-speech>
<168>	(Inline, 156.670-158.200)	sino kursunada mo sa N_B_A ?	who's your bet at the N_B_A ?
<169>	(Outline, 157.890-158.970)	<no-speech>	<no-speech>
<170>	(Inline, 158.200-159.510)	<no-speech>	<no-speech>
<171>	(Outline, 158.970-160.950)	<no-speech>	<no-speech>
<172>	(Inline, 159.510-159.980)	ha ?	what ?
<173>	(Inline, 159.980-161.990)	<no-speech>	<no-speech>
<174>	(Outline, 160.950-163.360)	<no-speech>	<no-speech>
<175>	(Inline, 161.990-162.340)	'oy .	hey .
<176>	(Inline, 162.340-163.950)	<no-speech>	<no-speech>
<177>	(Outline, 163.360-164.370)	mhm .	yes .
<178>	(Inline, 163.950-166.470)	<no-speech>	<no-speech>
<179>	(Outline, 164.370-165.200)	<no-speech>	<no-speech>
<180>	(Outline, 165.200-166.290)	mahal 'yan dito .	that is expensive here .
<181>	(Outline, 166.290-167.260)	<no-speech>	<no-speech>
<182>	(Inline, 166.470-167.740)	champion Miami ngayon ah .	Miami is the champion now .
<183>	(Outline, 167.260-168.450)	tambay-tambay lang .	just here standing by .
<184>	(Inline, 167.740-168.770)	<no-speech>	<no-speech>
<185>	(Outline, 168.450-169.380)	<no-speech>	<no-speech>
<186>	(Inline, 168.770-169.300)	ha ?	what ?
<187>	(Inline, 169.300-170.290)	<no-speech>	<no-speech>
<188>	(Outline, 169.380-170.170)	'ge .	sure .
<189>	(Outline, 170.170-172.790)	<no-speech>	<no-speech>
<190>	(Inline, 170.290-171.680)	'la naman Oklahoma mo eh .	your Oklahoma is nothing .
<191>	(Inline, 171.680-172.487)	<no-speech>	<no-speech>
<192>	(Inline, 172.487-173.220)	walang binatbat .	does not even have a say .
<193>	(Outline, 172.790-173.785)	oo dito lang .	yes just here .
<194>	(Inline, 173.220-174.790)	<no-speech>	<no-speech>
<195>	(Outline, 173.785-182.398)	<no-speech>	<no-speech>
<196>	(Inline, 174.790-175.750)	ha ?	what ?
<197>	(Inline, 175.750-177.900)	<no-speech>	<no-speech>
<198>	(Inline, 177.900-179.620)	nakita mo ba 'yong mga tira ni (()) ?	have you seen the attacks of (()) ?
<199>	(Inline, 179.620-181.070)	<no-speech>	<no-speech>
<200>	(Inline, 181.070-181.570)	(()) .	(()) .
<201>	(Inline, 181.570-184.290)	<no-speech>	<no-speech>
<202>	(Outline, 182.398-183.500)	o .	yes .
<203>	(Outline, 183.500-184.538)	wala .	nothing .
<204>	(Inline, 184.290-184.650)	<no-speech>	<no-speech>
<205>	(Outline, 184.538-193.794)	<no-speech>	<no-speech>
<206>	(Inline, 184.650-188.840)	<no-speech>	<no-speech>
<207>	(Inline, 188.840-190.270)	dalaw ka naman sa 'kin minsan .	visit me sometimes .
<208>	(Inline, 190.270-193.230)	<no-speech>	<no-speech>
<209>	(Inline, 193.230-193.750)	hello .	hello .
<210>	(Inline, 193.750-194.760)	<no-speech>	<no-speech>
<211>	(Outline, 193.794-195.410)	oo .	yes .
<212>	(Inline, 194.760-196.810)	dalaw ka naman sa 'kin minsan .	visit me sometimes .
<213>	(Outline, 195.410-198.335)	<no-speech>	<no-speech>
<214>	(Inline, 196.810-197.850)	<no-speech>	<no-speech>
<215>	(Inline, 197.850-199.180)	hindi ka na nagpupunta dito eh .	you are not going here anymore .
<216>	(Outline, 198.335-198.806)	dito .	here .
<217>	(Outline, 198.806-201.750)	<no-speech>	<no-speech>
<218>	(Inline, 199.180-200.100)	<no-speech>	<no-speech>
<219>	(Inline, 200.100-201.057)	<no-speech>	<no-speech>
<220>	(Inline, 201.057-202.890)	dalawa ka sa 'min minsan <no-speech> .	visit us here sometimes .
<221>	(Outline, 201.750-202.990)	<no-speech>	<no-speech>
<222>	(Inline, 202.890-202.990)	<no-speech>	<no-speech>
