<1>	(0.000-1.733)	panauhin na si doktor Vic (()) .	guest now is doctor Vic (()) .
<65>	(361.098-382.609)	<hes> iyong ating triple A na -- na tinatayo sa Tarlac mula sa (()) actually ho iyan ay <hes> isa sa mga unang service facility na itinayo ng ating <hes> Department of Agriculture na dapat pakinabangan ng mga mga small -- small livestock producers -- small poultry producers uh huh na kung saan ay hindi sila nagkakaroon nito no .	our triple A that is being built in Tarlac from (()) actually is one of the first service facilities that our Department of Agriculture built and should be utilized by our small -- small livestock producers -- small poultry producers where they cannot have this .
<66>	(382.609-388.320)	of course marami tayong triple A dressing plant dito ay pero ito ay mag- -- pagmamay-ari ng pribado no .	of course we have many triple A dressing plants here but they are privately owned .
<67>	(388.320-390.270)	ito ngayon ang kailangan natin no .	it's what we need now right .
<68>	(390.270-399.772)	<hes> kasi <hes> hindi tayo maka- -- although nag-e-export na ho tayo ng chicken <hes> even Halal chicken as far as Abu Dhabi .	because we cannot -- although we already export chicken even Halal chicken as far as Abu Dhabi .
<69>	(399.772-406.470)	of course iyong Japan matagal na iyan na establish iyang Japan <hes> poultry export two thousand five .	of course Japan Japan has long been established poultry export two thousand five .
<70>	(406.470-416.259)	na sana ho in the future itong pag-e-export ng <hes> poultry products ay madama rin ng mga mga members ng United Raisers Broiler Association .	that hopefully in the future this export of poultry products can also be felt by the United Raisers Broiler Association .
<71>	(416.259-428.963)	hindi lang iyong malalaki actually <hes> dok Nilo kaya pinatayo iyan para sa kanila iyan <overlap> opo opo at <hes> full time pag natapos na iyan it should be done within the bago ho mag November iyan mag-i-inaugurate na tayo .	not only the big ones actually Doc Nilo the reason why it was established is that it is for them yes yes and full time once it is finished it should be done within the before November we will inaugurate it .
<72>	(428.963-432.860)	kaunti na lang ho iyong mga fini- -- finishing touches ng mga facilities .	there are just a few -- finishing touches in the facilities .
<73>	(432.860-444.224)	kumpleto iyan may cold storage ano <overlap> opo opo at sana po <hes> with the establish mar- -- export markets sa iba-ibang bansa makasali na rin ho ang mga maliliit na poultry producers .	that's complete it has cold storage yes yes and hopefully with the established -- export markets in different countries small poultry producers can join too .
<74>	(444.224-451.580)	<hes> sana po A_sec Dave iyong mga maliliit na kooperatiba natin na nag-aalaga ng <hes> manok ay <hes> hindi po sana malilimitahan ano ?	hopefully Assistant Secretary Dave our small cooperatives that raise chicken hopefully will not have limits ?
<75>	(451.580-457.460)	sa pag-de-dress dito sa triple A natin para sa pagbubukas ng merkado sa ibang bansa .	in dressing here in our triple A for the market's opening to other countries .
<76>	(457.460-458.706)	tama ka ka Nilo .	you are right Nilo .
<77>	(458.706-468.020)	para sa kanila ho iyan actually kaya iyong (()) ka meeting na natin iyong grupo ng obra para mag- -- mag-organize na sila .	it's for them actually which is why the (()) we already met with the art group so -- they will organize .
<78>	(468.020-478.212)	at <hes> isama natin lahat na magpapalipikado para ma- -- ma-utilize nila <overlap> opo ma-maximize nila iyong gamit ng <hes> triple A dressing plant na iyon sa Pampan .	and let us include all those who wanted to be qualified to -- they will utilize yes they will maximize the use of the that triple a dressing plant in Pampan .
<79>	(478.212-486.742)	opo at <hes> perennial problem po kasi natin <hes> ka Francis ano <overlap> oo lahat ng atin -- para sa kaalaman ng ating mga nakikinig .	yes and because it is our perennial problem Francis yes all of our -- for the knowledge of our listeners .
<80>	(486.742-490.940)	<hes> every December ka Francis kasi pumuputok ang volume ng karne .	because every December Francis the volume of meat explodes .
<81>	(490.940-496.890)	oo <overlap> at minsan pagka sa sobra ng demand -- <hes> sobra ng supply ano iyong demand naman ay ganoon din .	yes and sometimes when there is too much demand -- too much supply the demand is similar .
<82>	(496.890-502.860)	ang nangyayari ka Francis ay nalulugi iyong mga kawawa nating mga -- mga raiser ng broiler ano .	what happens Francis is they incur a loss our poor -- broiler raisers .
<83>	(502.860-510.689)	kaya tamang-tama itong gina- -- naging <hes> project ng ating <hes> Department of Agriculture ito tungkol dito sa livestock ng poultry .	so this is perfect this -- previous project of our Department of Agriculture about poultry livestock .
<84>	(510.689-518.270)	at ito iyong isang maka- -- palagay ko makakaibsan ano sa talagang mga suliranin ng <hes> volume sa Disyembre .	and this is one of the -- I think this will really ease the problems of volume in December .
<85>	(518.270-519.026)	tama ho iyon .	that is correct .
<86>	(519.026-522.649)	tama ho iyon ka Francis <hes> dok -- dok Nilo .	that is right Francis doc -- Doc Nilo .
<87>	(522.649-525.375)	okay now <hes> iyan ay sa manok ?	okay now that is for chicken ?
<88>	(525.375-550.455)	o kamusta naman iyong mga ika nga'y pagsusulong pa rin <hes> A_sec Catbagan ng ating mga triple A abattoir ho at <hes> ito'y kailangang-kailangan sa ngayon sapagkat <hes> tayo eh ika nga'y nahaharap na sa matinding kompetisyon ho ng <hes> ika nga'y sa larangan ng <hes> preparasyon pagkatay hanggang sa pagluluwas ng <hes> ating mga agricultural commodities .	how are the what we consider advancements still Assistant Secretary Catbagan of our triple A abattoirs and this is really needed today because we are facing serious competition in the field of preparation slaughter until transport of our agricultural commodities .
<89>	(550.455-553.420)	kamusta po ang abattoir natin ?	how is our abattoir ?
<90>	(553.420-555.485)	tama ho iyon <hes> ka Francis .	that is correct Francis .
<91>	(555.485-562.487)	noong naumpisahan natin iyong Tarlac na malapit ng matapos nagkaroon din tayo ng isang <hes> isang project .	when we began the one in Tarlac which is now close to completion we also had a a project .
<92>	(562.487-573.864)	ito'y ay <hes> uumpisahan na kasi na i-bid na po uh huh <overlap> sa Tanauan Rosas na -- na napag-usapan na diyan sa Tanauan ilalagay uh huh <overlap> <hes> i-po-post ng mayor ng Tanauan .	it will already be started because it's already been bid yes in Tanauan Rosas that -- that was discussed to be placed there in Tanauan to be posted by the mayor of Tanauan .
<93>	(573.864-574.360)	uh huh .	yes .
<94>	(574.360-576.346)	<hes> uumpisahan na ho ito .	it will be started already .
<95>	(576.346-580.713)	ito ay tinatawag na triple A slaughterhouse naman ho para sa baboy no .	it is called triple A slaughterhouse for pigs .
<96>	(580.713-581.445)	beautiful .	beautiful .
<97>	(581.445-582.490)	<no-speech>	<no-speech>
<98>	(582.490-598.140)	mata -- para matugunan naman iyong mga pangangailangan ng backyard agri users <hes> <hes> lalo na diyan sa Southern Tagalog kung saan ang concentration ng <hes> pag-aalaga ng baboy sa maliit na mga <overlap> uh huh (()) may-ari or backyard ay nandiyan .	eye -- to respond to the needs of backyard agriculture users especially there in Southern Tagalog where the concentration of raising pigs is small that yes (()) owners or backyard are there .
<99>	(598.140-598.821)	uh huh .	yes .
<100>	(598.821-601.701)	wow aah <overlap> tuloy-tuloy na ito ka Francis <overlap> tuloy-tuloy na .	wow ah this is continuing Francis already continuing .
<101>	(601.701-610.252)	palagay ko isusunod na ni A_sec Dave iyong <hes> (()) naman iyong patabaing baka ka Francis dahil sa mga kanayunan naman ano dito sa mga parteng norte ano <overlap> uh huh .	I think Assistant Secretary Dave will set next the (()) the cow livestock Francis because in the towns here in the northern parts right yes .
<102>	(610.252-616.579)	parteng kataasan ng ating mga -- ng mga mga lupain ay <hes> marami nag-aalaga ng baka ka Francis .	higher parts of our -- our lands many raise cows Francis .
<103>	(616.579-618.440)	<no-speech>	<no-speech>
<104>	(618.440-620.970)	tama ho iyan <hes> dok Nilo ano ?	that is correct Doc Nilo right ?
<105>	(620.970-637.305)	<hes> hindi naman natin inaawa- -- iniiwanan niya iyong mga iyong <hes> <hes> backyard <hes> fattening cattle fattening in fact <hes> tuloy-tuloy ho iyong ating <hes> pagbibigay na ma- -- maayos na genetics sa mga farmers natin .	we do not -- abandon the those backyard fattening cattle fattening in fact ongoing is our distribution of -- proper genetics to our farmers .
<106>	(637.305-639.141)	<hes> mayroon tayong programa ~ %incomplete	we have a program %incomplete
