query1925,"""Tapusin ng taon exams"""
query3583,"""Magandang babae"", Kenya"
query2031,"ari-arian [EVF: lupa], bank"
query3390,green [sobra: ang kulay]
query1868,mapanlinlang
query1683,kilometro
query1858,"""Pambansang simbolo"""
query2956,<Patatas>
query3748,unti-unting lumaganap [syn: habulin ng patago]
query4183,"kamakailan-lamang na [syn: Hindi matagal na ang nakalipas], bisitahin ang [syn: trip]"
query3008,"coordinator, pagdiriwang"
query1719,bumalik [EVF: anatomya]
query1491,maselan
query1984,"""ang Amerikanong Pangarap"""
query1036,daga [sobra: hayop]
query982,"""Buhay na may diyabetis"""
query728,"""panauhing pandangal"""
query3736,<Fugitives> [syn: taong escaping mula sa batas o manunugis]
query984,sugar [sobra: pangpatamis]
query2003,bitamina
query3309,"pangalanan [sobra: ibinigay na pangalan], babae [sobra: tao]"
query1713,tinapay [sobra: pagkain]
query4040,keso [sobra: pagawaan ng gatas by-produkto]
query1501,dumura [syn: ilura]
query1714,"katawan [EVF: anatomya], respeto"
query1693,banana [sobra: prutas]
query1853,kasangkapan
query2006,potasa
query3612,daliri [EVF: anatomya]
query3590,"pamahalaan [syn: paghari], i-flag [syn: banner]"
query3366,<Minana>
query1146,bible [EVF: relihiyon]
query3500,"""<Nagising> sa umaga"""
query1670,"title [syn: heading], return"
query1951,balinguyngoy
query1672,twin [sobra: tao]
query1989,mga paputok
query2958,<Albino> [sobra: tao]
query2971,<Smokers> [EVF: tabako]
query1691,"king [syn: monarch], kanta"
query3397,prostitusyon [syn: pakikiapid]
query4286,"""Tirintas ng buhok"""
query1941,pader
query3288,suklayin [sobra: toiletry]
query2899,milisiya
query2976,"""Estado bahay"" [syn: presidential residence]"
query1023,"sulat, pakikiramay"
query2023,"institusyon [sobra: samahan], seminar"
query3159,"club [syn: league], entertainment"
query1728,"""Pansamantalang trabaho"""
query3018,ax [EVF: Ang tool]
query1864,tagapagsalin
query1340,hukuman [EVF: batas]
query1688,bucket [sobra: container]
query1866,editor
query1519,"well [sobra: water source], village"
query1871,"""Kulturang Tsino"""
query1729,e-mail
query3934,amoy [syn: amoy]
query1885,"talento [syn: kakayahan], artist"
query1718,tunog ng kulog [syn: pumalakpak]
query1681,license [sobra: ang pahintulot]
query1230,kutsara [sobra: utensil]
query3402,"dekorasyunan [syn: pagandahin], babae [syn: woman]"
query3636,"""Pribadong bahagi"" [EVF: genitalia]"
query3113,almusal
query2503,kusina
query3290,desk [sobra: furniture]
query1993,gasolina
query4047,"damdamin [syn: mental state], kapatawaran [syn: pardon]"
query3041,"kaibigan [sobra: tao], farm [syn: nilinang lupa]"
query716,"palakasin, bond"
query1785,bintana
query3517,"""Bid para sa"" [syn: malambot para]"
query1338,"utang, debate"
query3977,"hub [syn: focal point], commerce [syn: pagbili at nagbebenta]"
query701,Pangangalaga sa kalusugan
query4001,"""Labor force"" [sobra: employment], porsyento"
query1335,"""Ang pababago"""
query2025,"""Agrikultura patakaran na"""
query1982,makeup [syn: cosmetics]
query1725,"kapatid na babae [sobra: kapatid], umaga"
