<1>	Sabado, Agosto 2, 2014	Saturday, August 2, 2014
<35>	Isang magaling na makata si Neruda na kinikilala sa daigdig, maging dito sa ating bansa.	Neruda is a great poet known in the world, even here in the country.
<36>	Dahil dito'y isinalin ko sa wikang Filipino ang dalawa niyang tula - ang Clenched Soul, na isang tula ng pag-ibig, at ang tulang Chant to Bolivar, na alay niya kay Simón Bolívar (1783 - 1830), isa sa mga magagaling na pinuno ng rebolusyon laban sa imperyo ng España, at nagsilbing inspirasyon ni Pangulong Hugo Chavez ng Venezuela at ng iba pang bansa sa Latino Amerika para sa rebolusyong Bolivariano.	because of this, I have translated in Filipino his two poems - the Clenched Soul, a love poem, and the poem Chant to Bolivar, which he dedicated to Simon Bolivar (1783-1830), one of the great leaders of the revolution against the imperialism of Spain, and serves as an inspiration of President Hugo Chavez of Venezuela and other countries in Latin America for Bolivian revolution.
<37>	Kumatha na rin ako ng soneto hinggil sa kanyang pagkamatay.	I also wrote a sonnet about his death.
<38>	KINUYOM NA DIWA tula ni Pablo Neruda salin ni Gregorio V. Bituin Jr.	Clenched Soul, poem by Pablo Neruda, translated by Gregorio V. Bituin Jr.
<39>	Kita’y nawala sa takipsilim Ngayong gabi’y walang nakakita sa ating magkahawak-kamay habang dumaratal sa mundo ang bughaw na magdamag.	we have lost even in twilight. no one saw us this evening hand in hand while the blue night dropped on the world.
<40>	Natanaw ko sa aking durungawan ang pagdatal ng dilim sa kalapit lang na kabundukan.	I gaze through my window the arrival of darkness in the nearby mountains.
<41>	Minsan ilang bahagi ng araw ay sumusunog na tila barya sa aking kamay.	sometimes a piece of sun burned like a coin in my hand.
<42>	Dumadalaw ka sa gunita ng kuyom kong diwa sa kalungkutan kong naaarok mo.	I remembered you with my soul clenched in that sadness of mine that you know.
<43>	Nasaan ka ng mga panahong yaon?	where were you during those times then?
<44>	Sino pa ang naroroon?	who else was there?
<45>	Anong ipinahahayag?	saying what?
<46>	Bakit biglang dumatal sa akin ang kabuuan ng paggiliw kung kailan ako malungkot at ramdam kong napakalayo mo?	why will the whole of love come on me suddenly when I am sad and feel you are far away?
<47>	Lumagpak ang aklat na laging pinid sa takipsilim at ang bughaw na pangginaw ay nakatiklop tulad ng nasaktang aso sa aking paanan.	the book fell that always closed at twilight and my blue sweater rolled like a hurt dog at my feet.
<48>	Lagi, lagi kang lumilisan sa mga gabi patungo sa takipsilim ng napapawing bantayog.	always, always you recede through the evenings toward the twilight erasing statues.
<49>	AWIT KAY BOLIVAR tula ni Pablo Neruda salin ni Gregorio V. Bituin Jr.	Chant to Bolivar poem by Pablo Neruda translated by Gregorio V. Bituin Jr.
<50>	Ama Namin, sumasalangit ka, sa tubig, sa hangin sa lahat ng aming tahimik at malawak na agwat lahat ay nagtataglay ng iyong ngalan, Ama sa aming tahanan: ang ngalan mo'y nagpapatamis sa tubó ang lata ni Bolivar ay may ningning ni Bolivar lumilipad ang ibong Bolivar sa ibabaw ng bulkang Bolivar ang patatas, ang salitre, ang mga aninong natatangi, ang mga batis, ang mga ugat ng batong siklaban ang lahat ay nagmula sa iyong pinuksang buhay pamana mo ang mga ilog, kapatagan, batingaw sa moog pamana mo ang aming kinakain sa araw-araw, O, Ama.	our Father thou art in Heaven, in water, in air, in all our silent and broad latitude everything bears your name, Father in our dwelling: your name raises sweetness in sugarcane Bolivar tin has a Bolivar gleam the Bolivar bird flies over the Bolivar volcano the potato, the saltpeter, the special shadows, the brooks, the phosphorous stone veins everything comes from your extinguished life your legacy was rivers, plains, bell towers your legacy is our daily bread, oh Father.
<51>	SA IYONG KAMATAYAN, KA PABLO NERUDA tula ni Gregorio V. Bituin Jr.	In Your Death, Brother Pablo Neruda poem by Gregorio V. Bituin Jr.
<52>	15 pantig bawat taludtod	15 syllables for each verse
<53>	ilang araw matapos ang kudeta ni Pinochet noong ikaw ay pumanaw sa panahon ng lupit ikaw ba'y talagang namatay sa kanser mong sakit?	few days after the coup d'état of Pinochet when you passed away in the time of cruelty did you really die in your cancer illness?
<54>	o kaaway mo'y pinaslang ka sa matinding galit?	or murdered in the hands of your enemy whose anger was great?
<55>	apatnapung taon nang ikaw sa mundo'y lumisan nang binulgar ng tsuper mo ang nangyaring pagpaslang kaylaki ng iyong pamanang sa mundo'y iniwan kaya pagpaslang sa iyo'y walang kapatawaran	forty years from this world you have left when your driver revealed the murder that happened how great is legacy in the world the reason why the murder is unforgivable
<56>	nakabibigla, ito nga'y malaking kontrobersya hanggang hinukay ang iyong labi, inawtopsiya anang pamahalaan, di ka pinaslang, Neruda labi'y walang bakas ng lason, ayon sa kanila	shocking, this is really a big controversy until your body is exhumed, autopsied, said the government, you were not murdered, Neruda, your remains did not have traces of poison, according to them
<57>	mabuhay ka at ang iyong pamana sa daigdig tula mo'y patuloy na babasahin, maririnig	long live and your legacy to the world your poems will be read continuously, heard
