<1>	10 factors that Coup d'etat stories in the Armed Forces of the Philippines are not true	10 factors that Coup d'état stories in the Armed Forces of the Philippines are not true
<34>	Batid namin na hindi pa ito tapos at patuloy na isinusulong ng gobyerno para sa kapulisan at kasundaluhan.	we are aware that this is not yet finished and continually pushed by the government for the police and military.
<35>	Bakit kami magkudeta?	why should we do a coup d'état?
<36>	5. Wala kaming kinalaman sa away pulitika.	5. we do not have any connection in political conflict.
<37>	Naiinis at nahihimatay man kami sa nakakarimarim na kwentong kurapsyon na nagpapahirap sa bayan, batid namin, lalo na ng mga opisyal na hindi dapat kami makikisawsaw dito bilang mga sundalo.	even we are angry and fall unconscious of the loathing corruption stories which is making the country suffer, we are aware, especially the officials that we should not get involve here as soldiers.
<38>	Batid namin ang kahihinatnan kung ang armadong grupo kagaya ng sundalo ay nangingialam sa mga bagay na para lamang sa mga politicians.	we are aware of the outcome if the armed groups such as soldiers who are getting involved in things which are for the politicians only.
<39>	Batid namin na bilang propesyonal na sundalo ay ang pagsulong pa ng reporma sa AFP, pagsagawa ng aming constitutional mandates ang dapat naming pagkaabalahan.	we are aware as professional soldiers that pushing through the reforms of the AFP, implementing our constitutional mandates should occupy our tasks.
<40>	Kung may nagtutunggaliang mga pulitiko, wala kaming pakialam sa away nila.	if there are opposing politicians, we have no care about their quarrels.
<41>	Bakit kami magkudeta?	why should we do a coup d'état?
<42>	6\. Mas dumadami ang mamamayang nagtitiwala at nakikiisa sa mga sundalo.	6. the citizens who are trusting and unifying with the soldiers are becoming numerous.
<43>	Matagal din ang masamang epekto ng martial law na kung saan ay marami ang nasaktang mga Pilipino.	the bad effects of martial law is long-lasting where many Filipinos are hurt.
<44>	Kung dati ay nagtatago, nanginginig ang ibang taumbayan lalo na sa mga liblib na lugar tuwing makakakita ng sundalo, ngayon ay hindi na.	if in hiding before, other country folks were trembling especially in far-flung places every time they can see a soldier, not now.
<45>	Nakakataas ng morale ang makasalamuha ang taumbayan na nag-appreciate sa serbisyo ng sundalo.	it raises the morale in being able to interact with the masses who appreciate the services of a soldier.
<46>	Bakit kami magkudeta?	why should we do a coup d'état?
<47>	7\. Nakikita rin namin ang pag-unlad ng ekonomiya.	7. we are also seeing the progress of the economy.
<48>	Nakamit ng Pilipinas ang pinakamataas sa kasaysayan na credit rating upgrade na kung saan ang Standard & Poor ang nagbigay sa ating bansa ng Investment Grade status.	the Philippines has achieved the highest in the history of credit rating upgrade where the Standard and Poor is the one who has given our country the Investment Grade status.
<49>	High-fallutin' (at di maintindihan) man yon para sa karamihan, nakikiisa rin kami sa mas nakararaming taumbayan na gustong umunlad ang ating bansa.	high-fallutin' (and not understandable) might be for the majority, we are one with the most number of masses who want our country to progress.
<50>	Gusto rin naming magdagsaan dito ang mga investors, dadami ang income opportunities at mabawasan ang naghihirap na Pilipino.	we also want the investors to flock here, the income opportunities are going to increase and lessen the suffering Filipinos.
<51>	Gusto rin namin na magsipagbalikan na ang mga OFWs sa panahong andito rin lang sa Pilipinas ang hinahanap nilang kaginhawaan sa buhay para sa kanilang pamilya.	we also want the OFWs to come home in the time where they can find right here in the Philippines the relief in life that they are searching for their families.
<52>	Dagdag pa doon, di ba't isa ring dahilan ang kahirapan kung bakit may nauto ng CPP-NPA-NDF na sumapi sa armadong pakikibaka?	in addition to that, really, poverty is also one of the reasons why the CPP-NPA-NDF can fool to join in the armed struggle?
<53>	So, mga kapatid, kung umuunlad ang ating ekonomiya, bakit kami magkudeta?	so, my siblings, if our economy is progressing, why should we do a coup d'état?
<54>	(Para palayasin natin ang mga foreign investors at mga turista at malugmok ang ang ating bansa?)	(for us to drive away the foreign investors and tourists and let our country drown?)
<55>	8\. Ayaw namin ng karahasan lalo na sa kapwa Pilipino.	8. we do not want violence especially in our co-Filipinos.
<56>	Di ba't lagi naming isinusulong ang peaceful resolution of armed conflicts?	really, why are we always pushing through with the peaceful resolution of armed conflicts?
<57>	Fully committed kami sa peace process na isinusulong ng gobyerno dahil batid naming walang magandang naidulot ang patayan ng kapwa Pilipino sa labanan ng kasundaluhan at ng secessionist groups sa Mindanao at maging sa mga miyembro ng bandidong NPA.	we are fully committed in the peace process that the government is campaigning because we are aware that murdering co-Filipinos in the war of the military and the secessionist groups in Mindanao and even the members of the NPA bandits will not bring any good.
<58>	Kung ayaw namin ng patayan bilang solusyon sa problema, bakit kami magkudeta?	if we do not want murder as a solution to the problem, why should we do a coup d'état?
<59>	9\. Hindi kami susunod sa pang-uudyok at panghihikayat ng mga retiradong opisyal.	9. we are not going to follow the incitement and encouragement of retired officials.
<60>	Sa totoo lang, wala ni isang kwento o ugong na naririnig na may nanghihikayat, nambobola at nang-uudyok na mga retired o kaya former military personnel para kami ay mag-alsa.	in fact, there is neither a story nor a whisper being heard that there is an encouragement, foolery or incitement by the retired or former military personnel for us to revolt.
<61>	Kung meron man, ano sila hilo?	if there is, what are they, fools?
<62>	Halimbawa, ang mga nadadawit sa pangalan sa kasalukuyang rumors ay mga senior officers ng AFP na dati ay nagkukumahog na pigilan ang mga kudeta.	example, the names involved in the current rumors are senior officers of the AFP which were formerly trying their best to stop many coup d'état.
<63>	I don't think na sila na ngayon ay magsasabing, 'Magkudeta na nga kayo ngayon!".	I don't think that they are the ones now saying, "have a Coup d'état now!".
<64>	Naniniwala kaming active military personnel na hindi babaliktarin ng mga nirerespeto naming mga retired senior officers ang kanilang pinagsasabi noong araw laban sa kudeta, at yong matindi nilang paalala na lagi kaming mag-observe ng Chain of Command.	we, the active military personnel, believe that the retired senior officers that we respected would reverse what they had said in the past days against coup d'état, and their serious reminder for us to always observe the Chain of Command.
<65>	Maliban pa doon, pinakikinggan ng aming mga pinuno ang aming mga feedbacks.	aside from that, our leaders are listening in our feedbacks.
<66>	Bakit kami magkudeta?	why should we do a coup d'état?
<67>	Sar-com (Sariling command) ba kami?	are we a Sar-com (personal command)?
<68>	10\. Alam namin na pag may magkukudeta, magkakasakitan ang kapwa sundalo.	10. we know that if there are those who are going to make a coup d'état, fellow soldiers are going to hurt each other.
<69>	Kung mangyari uli ang kaganapan noong 1989 na nagbabarilan ang kapwa sundalo, magpapalakpakan ang tunay na kalaban ng sambayanang Pilipino: Ang nang-aagaw ng teritoryo natin sa West Philippine Sea at ang mga bandidong NPA na ang tunay na gusto ay ang mga bossing nilang nasa pulitika ang maghahari sa ating bansa.	if the incident back in 1989 will happen again wherein fellow soldiers shot each other, the real enemies of the Filipino people are going to applaud: those who are snatching our territory in the West Philippine Sea and the NPA bandits whose real desire is for their bosses in politics to rule our country.
<70>	Bakit kami magkudeta?	why should we make a coup d'état?
