<1>	Palayain si Andrea Rosal at lahat ng bilanggong pulitikal!	free Andrea Rosal and all political prisoners!
<14>	Upang makapagpalaboratoryo kailangang ihingi ng pahintulot sa korte - korteng instrumento ng reaksyunaryong estado upang ibinbin at parusahan ang mga bilanggong pulitikal na pinatawan ng mga inimbentong kaso.	to have a laboratory examination needs a permission to be asked from the court - a court which is an instrument of the reactionary state to detain and punish the political prisoners who are imposed with invented cases.
<15>	Nagtuturuan ang mga pasista kung sino ang may pananagutan sa sinapit ng mag-ina.	the fascists are pointing fingers of who have the accountability to what the mother and child experienced in the end.
<16>	Nais palabasin ng AFP-DND, NBI at BJMP na lahat ng atensyong medikal na kinailangan ng mag-ina ay ipinagkaloob sa kanila.	the AFP-DND, NBI and BJMP wanted to show that all medical attention needed by the mother and child was granted to them.
<17>	Isang malaking kabalintunaan sapagkat hindi nakatikim ng angkop na atensyong medikal na naaayon sa maselang kundisyon ng mga inang nagdadalantao si Andrea.	a huge opposition because the pregnant mother Andrea was not able to taste due medical attention appropriate to her delicate condition.
<18>	Ang minsang ipinagmalaki ng AFP na dinala nila si Andrea sa isang pribadong ospital para ipa-ultrasound ay ang pamilya pa mismo ni Andrea ang nagbayad upang matingnan ang kalagayan ng sanggol sa kanyang sinapupunan.	the once prided by the AFP that they brought Andrea to a private hospital for an ultrasound was that the family of Andrea themselves had actually paid just to examine the condition of the infant inside her womb.
<19>	Ang kahilingang ipaospital si Andrea ay pinagpasa-pasahan ng Mauban RTC, Pasig RTC at Taguig RTC.	the plea to hospitalize Andrea was passed around by the Mauban RTC, Pasig RTC and Taguig RTC.
<20>	Hindi ligtas ang mga korteng instrumento ng reaksyunaryong estado sa pananagutan sa sinapit ng mag-inang Andrea at iba pang mga bilanggong pulitikal.	the courts which are instruments of the reactionary state are not safe in the accountability to the experiences of the mother Andrea and her child and as well all political prisoners.
<21>	Samantala, naglabas ng kautusan ang korte noong Mayo 15 na kagyat na dalhin sa ospital si Andrea.	meanwhile, the court released a mandate last May 15 to immediately bring Andrea to the hospital.
<22>	Ngunit Mayo 16 na lamang naipasok si Andrea sa ospital matapos magpabalik-balik sa Camp Bagong Diwa.	but only on May 16 that Andrea was brought to the hospital after going back and forth to Camp Bagong Diwa.
<23>	Diumano, hindi pa manganganak kaya ibinalik ng BJMP ang kawawang si Andrea sa utos ni Deputy Warden Teresa Cabanero.	as it was told, the pitiful Andrea was not yet in labor, therefore, they brought her back to the BJMP through the command of Deputy Warden Teresa Cabanero.
<24>	Iginiit ng mga doktor ni Andrea na kagyat na syang ibalik sa ospital dahil malalagay ito at ang kanyang isisilang sa panganib.	the doctors of Andrea insisted to immediately return her to the hospital because she and the baby she was about to give birth to would be put in danger.
<25>	Ngunit binalewala at nagbingi-bingihan si Deputy Warden Teresa Cabanero ng BJMP.	but Deputy Warden Teresa Cabanero of the BJMP disregarded this and turned a deaf ear.
<26>	Malalim na ang gabi bago muling dalhin ng BJMP si Andrea sa ospital.	the night was deep before the BJMP brought Andrea again to the hospital.
<27>	Ang kalunus-lunos na kondisyon at di-makataong pagtrato kay Andrea sa loob ng kulungan hanggang sa sya’y makapanganak ay malinaw na paglabag sa kanyang karapatang pantao bilang babae at detenidong pulitikal.	the tragic condition and the inhumane treatment to Andrea inside the prison until she can give birth is a clear violation of her human rights as a woman and a political detainee.
<28>	Paglabag sa kanyang karapatan nang sya ay sampahan ng gawa-gawa, malisyoso at walang-batayang kasong kriminal na pagdukot at pagpatay.	a violation of her right when she was charged a make-believe, malicious and baseless criminal case of kidnapping and murder.
<29>	Paglabag sa kanyang karapatan na hindi mabigyan ng batayang pangangailangan at makagamit ng maayos na pasilidad.	violation of her rights not to be given the fundamental needs and utilize proper facilities.
<30>	Paglabag sa kanyang karapatan ang kawalan ng akses sa mga serbisyong sosyal at medikal para sa kanyang pisikal, emosyonal, sosyal at sikolohikal na pangangailangan nang sa gayo’y mapangalagaan ang kanyang sarili at para sa pinakamabuting interes ng noo’y ipinagbubuntis nyang si Diona Andrea.	the lack of access to social and medical services for her physical, emotional, social and psychological needs is a violation to her right in order to take care of herself and for the best interest of Diona Andrea who is in the womb of her mother.
<31>	Ang rehimeng BS Aquino sa pamamagitan ng mga instrumento ng panunupil – ang AFP-DND, PNP-BJMP-DILG, NBI, DOJ, at mga tiwaling taga-usig at hukom ng mga korte ang lumikha ng di magandang kondisyon at naglagay kay Andrea Rosal at Diona Andrea sa panganib na humantong sa di-kinakailangang pagpanaw ng huli.	the BS Aquino regime through the instruments of suppression - the AFP-DND, PNP-BJMP-DILG, NBI, DOJ and other anomalous prosecutor and judges in the courts who created the unwell condition and subjected Andrea Rosal and Diona Andrea in danger that led to the unnecessary death of the later.
<32>	Sinasalamin nito ang kawalan ng pagpapahalaga ng reaksyunaryong rehimen sa buhay at karapatang pantao ng karaniwang mamamayan.	this is mirroring the lack of giving importance of the reactionary regime to life and human rights of ordinary citizens.
<33>	Malinaw kung sino ang kinikilingan ng rehimeng BS Aquino at ng reaksyunaryong batas.	it is clear who the BS Aquino regime and the reactionary law favor.
<34>	Nangyayari ito habang ang mga magnanakaw na naglustay ng kaban ng bayan ay ispesyal na tinatrato ng rehimen, ginagastusan nang malaki, nagtatamasa ng pribiliheyo na magamot at sumailalim sa operasyon anumang oras nilang naisin.	this is happening while the thieves who are misspending the treasury of the nation are specially treated by the regime, spent with huge amount, savoring privileges to be treated and undergo operation anytime that they wanted.
<35>	Mariing kinukundena ng nagpupuyos na rebolusyonaryong mamamayan ng Timog Katagalugan ang patuloy na pagbinbin kay Andrea at lahat ng mga detenidong pulitikal.	intensely condemned by the fuming revolutionary citizens of Southern Tagalog this detention of Andrea and all political prisoners.
<36>	Pananagutan ng rehimeng US-Aquino at mga alipures nito ang lansakang paglabag sa karapatang pantao at ang patuloy na pagtugis sa mga progresibo at kritiko nito.	the US-Aquino regime is going to be held accountable for this numerous violations on human rights and the continual hunt on the progressive and its critics.
<37>	Nakaukit sa kasaysayan ang krimen ng rehimeng ito na sisingilin ng samabayan sa lalong pag-igting at pagsusulong ng demokratikong rebolusyon ng bayan.	sculpted in the history are the crimes of this regime which a payment shall be collected by the nation in the intensified and advancement of the people's democratic revolution.
<38>	Tanggapin ni Andrea ang lubos na pakikiramay ng rebolusyonaryong kilusan sa Timog Katagalugan.	Andrea will accept the full condolence of the revolutionary movement in Southern Tagalog.
<39>	Habang ang lipunan ay lugmok sa kahirapan at pinahihirapan ng imperyalismo, pyudalismo at burukrata kapitalismo, ikaw ay magiging ina ng libu-libong sanggol at batang pinagkaitan ng pagkakataong mabuhay nang masagana at mapayapa.	while the society is drowned in poverty and made to suffer by the imperialist, feudal and bureaucratic capitalist, you are going to be a mother of thousands of infants and children who are denied of the chance to live abundantly and peacefully.
<40>	Ina kang magtatanggol sa kanila at magsusulong ng lipunang malaya, may katarungan at may kasaganaan para sa buong sambayanan.	you are a mother who is going to defend them and support a free society, with justice and prosperity for the whole nation.
