<1>	‘DOH, di handa sa banta ng Ebola’	'DOH, unprepared to the threat of Ebola'
<14>	Kabilang din ang dalawa pang nurse na napaulat na nahawa.	including two more nurses who are said to be infected.
<15>	Naaalarma din ang nasabing grupo sa sinabi ng DOH sa Senado at sa mga mamamayan na handa ang mga ospital pero sa aktuwal na walang nakahandang pasilidad para sa mga pasyente ng Ebola maliban sa container vans.	the said group is alarmed of the statement by DOH at the Senate and to the nation that hospitals are ready but in actuality, no facilities are prepared for patients of Ebola aside from container vans.
<16>	Wala rin umanong trainings na isinasagawa pa ang DOH at walang sapat na protective equipments para sa mga health workers, sabi ni Jossel Ebesate, pangulo ng AHW, sa Pinoy Weekly.	no trainings were ever conducted by the DOH and there is not enough protective equipment for the health workers, said Jossel Ebesate, president of AHW, at Pinoy Weekly.
<17>	“’Yung BSL (biosafety level) na kailangan para sa Ebola ay nasa level 4.	"the BSL (biosafety level) needed for Ebola is at level 4.
<18>	Nasa level 2 pa lang ang Pilipinas sa kasalukuyan.	Philippines is at level 2 at present.
<19>	Ganitong pagtingin pa lamang paano ang gagawin sa mga pasyenteng may Ebola,” ayon kay Ebesate.	still only at this regard, what will be done to patients with Ebola," according to Ebesate.
<20>	Overworked, Underpaid	overworked, underpaid
<21>	Sa kabila ng banta ng Ebola, nanatili pa rin kalagayan ng mga kawaning pangkalusugan sa mga pampublikong ospital.	despite the threat of Ebola, state of health workers remain the same at public hospitals.
<22>	“Nanatiling overworked at underpaid ang mga nurse at kawani sa mga pampublikong ospital natin.	"remaining as overworked and underpaid are the nurses and employees of our public hospitals.
<23>	Mapanganib din (ito) para sa health workers dahil mismong mga gamit sa ospital ay wala para maproteksiyunan sila.	this is dangerous also for health workers because supplies itself at the hospital are unavailable for use to protect them.
<24>	May health workers nga na sila ang bumibili ng sarili nilang protective gears sa pang-araw-araw,” ani Robert Mendoza, pangkalahatang kalihim ng AHW.	some health workers even buy their own protective gears for everyday," said Robert Mendoza, general secretary of AHW
<25>	Sa kasalukuyan, tumatanggap ang isang health worker ng salary grade 1 o P9,000 kada buwan.	presently, a health worker receives a salary grade 1 or P9,000 per month.
<26>	Tumatanggap naman ang nurse 1 ng salary grade 11 na P18,600 kada buwan.	meanwhile, a nurse 1 receives a salary grade 11 which is P18,600 per month.
<27>	“Ang mga sahod namin ay maaaring mas mataas kumpara sa ibang pribadong ospital tulad ng sinasabi ni Usec. Ted Herbosa.	"our salaries may be higher compared to other private hospitals as said by Undersecretary Ted Herbosa.
<28>	Pero hindi pa rin ito sapat para sa gastusin ng aming pamilya kada buwan.	but this is still not enough for the expenses of our families every month.
<29>	Kinakailangan pa naming mag-loan kung saan-saan.	it is has become necessary for us to get loan from everywhere.
<30>	Sadyang mababa ang natatanggap namin sa cost of living na P32,000 kada buwan (base sa datos ng Ibon Foundation) para sa isang pamilya na may anim na miyembro.	we certainly earn less with the cost of living which is P32,000 per month (based from data of Ibon Foundation) for a family with six members.
<31>	Kailangan naming P25,000 kada buwan para sa nurse 1 pagpasok nito,” ayon kay Ebesate.	we need P25,000 per month for a nurse 1 upon their entry," according to Ebesate.
<32>	Mas mababa naman ang natatanggap ng community nurses na nasa P5,000 kada buwan at pawang mga kontraktuwal, ayon kay Emy Ilag, mula sa Nars ng Bayan.	community nurses even receive lower with P5,000 per month and all of whom are contractual, according to Emy Ilag, from Nars ng Bayan.
<33>	Maglaan ng sapat na pondo	allocate enough funds
<34>	Para sa mga kawaning pangkalusugan, dapat maglaan ang gobyerno ng sapat na pondo para sa sektor ng kalusugan.	for the health workers, the government should allocate enough funds for the health sector.
<35>	Pero imbes na seryosong pondohan ang pampublikong mga ospital, isinasailalim ito sa pagsasapribado sa ilalim ng programang Public-Private Partnerships (PPP) ng adminstrasyong Aquino, ayon sa AHW.	but instead of seriously funding government hospitals, they are subjected to privatization under the program Public-Private Partnerships (PPP) of the Aquino administration, according to AHW.
<36>	“Imbes na dagdagan ang badyet para sa mga ospital, tulad ng Philippine Orthopedic Center (POC) na nangangailangan ng P5.6 Bilyon para sa modernisasyon ng ospital, isinailalim ito ng DOH sa PPP kasama ang Megawide World Citi Consortium,” ayon kay Velchez.	"instead of increasing the budget for hospitals, like the Philippine Orthopedic Center (POC) which need P5.6 billion for the modernization of the hospital, DOH subjected it to PPP together with Megawide World City Consortium," according to Velchez.
<37>	Tumatanggap ang POC ng 6,000 hanggang 7,000 pasyente kada taon.	POC receives 6,000 to 7,000 patients every year.
<38>	Nasa 80 hanggang 90 porsiyento nito ang mula sa pinakamahihirap na pamilya.	around 80 to 90 percent of this come from the poorest family.
<39>	Paliwanag ni Velchez, kahit sa pampublikong mga ospital ay halos di na rin abot-kamay sa mahihirap.	Velchez explained, even public hospitals become unreachable for the poor.
<40>	Marami sa mahihirap na may-sakit, hindi na nagpapagamot at nabibilang sa mga namamatay na di man lang nakakapagpatingin sa doktor.	many of the poor are sick, would not get treatment and included in the deaths were not able to even consult a doctor.
<41>	Nasa 72 pampublikong ospital pa sa bansa ang nakatakdang isailalim sa PPP ng administrasyong Aquino.	around 72 public hospitals in the country are subject to PPP of the Aquino administration.
<42>	Kabilang sa iba pang sasailalim sa pribatisasyon o “korporatisasyon” ang Jose R. Reyes Memorial Medical Center, Cagayan Valley Medical Center, Baguio General Hospital and Medical Center, Bicol Medical Center, Quirino Memorial Medical Center, Amang Rodriguez Medical Center, at San Lazaro Hospital.	some of those subject for privatization or "corporatization" include Jose R. Reyes Memorial Medical Center, Cagayan Valley Medical Center, Baguio General Hospital and Medical Center, Bicol Medical Center, Quirino Memorial Medical Center, Amang Rodriguez Medical Center, and San Lazaro Hospital.
<43>	Kasama pa rito ang Eastern Visayas Regional Medical Center, Western Visayas Medical Center, Northern Mindanao Medical Center, Southern Philippines Medical Center, Zamboanga City Medical Center, Cotobato Regional and Medical Center, Caraga Regional Hospital, Davao Regional Hospital, at iba pa.	also included are Eastern Visayas Regional Medical Center, Western Visayas Medical Center, Northern Mindanao Medical Center, Southern Philippines Medical Center, Zamboanga City Medical Center, Cotobato Regional and Medical Center, Caraga Regional Hospital, Davao Regional Hospital, and more.
<44>	PPP ang programa ng administrasyong Aquino para hikayatin ang mga negosyante at malalaking korporasyon na pasukin ang dating pampublikong mga ospital at pasilidad para diumano sa pagmomodernisa sa mag kagamitan nito.	PPP is a program of the Aquino administration encouraging businessmen and large corporations to enter old public hospitals and facilities to supposedly modernize the equipment there.
<45>	Pero binabatikos ito ng maraming kritiko at grupo, na nagsasabing pagnenegosyo at hindi serbisyo publiko ang pakay ng pribadong sektor kaya lalong nahihirapan ang mahihirap na magpagamit sa nasabing mga ospital.	but this is criticized by many critics and groups, saying that business and not public service is the purpose of the private sector which will only make it harder for the poor to have access to the said hospitals.
<46>	“Kailangang baguhin ang sistemang nagpapabaya sa ating departamento.	"change is needed to the system that is neglecting our department.
<47>	Pabaya at sinungaling ang DOH.	DOH is negligent and liar
<48>	Kailangang may managot sa sistematikong pagpapabaya sa mga mamamayan.	someone needs to be responsible for the systematic negligence of the citizens.
<49>	Dapat patalsikin na sa puwesto si Sec.	secretary should be ousted of his position.
<50>	Ona,” ayon kay Velchez.	Ona," according to Velchez.
