<1>	ENERO 2015: 700K MAMAMATAY SA 1.4M BIKTIMA NG EBOLA	January 2015: 700 thousand will die out of 1.4 million victims of Ebola
<21>	‘Pag umuwi ang mga ito, kakalat sila sa iba’t ibang bahagi ng mahal kong Pinas dahil mula Aparri hanggang Jolo ang pinanggalingan ng mga ito.	if they come home, they will spread to different parts of my beloved Philippines because they came from Appari to Jolo.
<22>	Maimadyin ba ninyo, mga Bro, kung gaano kadelikado ang ebola sakaling umuwi na ang mga OFW sa Pinas?	can you imagine, brothers, how dangerous Ebola is if ever these OFWs come home to the Philippines?
<23>	SINTOMAS AT PAGHINOG May mga sintomas ang ebola.	symptoms and maturity Ebola has symptoms.
<24>	Karaniwang lagnat, pananakit ng kalamnan, pagsusuka, pagtatae at pananakit ng tiyan ang mga sintomas ng ebola.	usually fever, internal pain, vomiting, diarrhea, and stomachache are the symptoms of Ebola.
<25>	Pero kung umabot na ang lahat ng ito ng sobrang taas na lagnat na lalagpas sa 38.6 degrees centigrade o 101.5 fahrenheit, pagdurugo sa suka, tae, luha, laway at iba pang likido ng tao, pagsabayin na ninyo ang pagtawag kay Lord, taga-punerarya at doktor.	but if all of these have reached a really high fever, higher than 38.6 degrees centigrade or 101.5 Fahrenheit, blood in vomit, feces, tears, saliva, and other liquids of human, call altogether the Lord, people from mortuary, and doctors.
<26>	Unahan na lang ang mga ito sa pagsalba sa kamatayan ng maysakit o kaya’y pagdadala sa kanya sa doktor o sementeryo o altar.	they'll just race to save the sick from death or to bring them to a doctor, or cemetery, or altar.
<27>	Kapag nahawa ng ebola ang tao, mga Bro, mahihinog ang sakit ng mabilis gaya ng dalawang araw lang.	if people gets contaminated with Ebola, the disease will instantly mature, like in two days.
<28>	Pero maaaring umabot sa 21 araw ang paglabas ng sintomas.	but display of symptoms may take up to 21 days.
<29>	Sa tagal ng paglabas ng sintomas ng sakit, hindi natin namamalayan na nahawa na pala tayo.	because it takes a long time before the symptoms comes out, we don't notice that we're already contaminated.
<30>	Eh, ugali natin ang walang tulugan at dyinggel lang ang pahinga na pag-aasikaso sa may sakit.	and don't mind that our behavior is no sleep, and we only have peeing as rest when we take care of the sick.
<31>	At kung namatay ang isang maysakit, nakupo, diyan matindi ang paghawa ng ebola.	and if the contaminated dies, oh man, Ebola will severely spread.
<32>	Kaya naman, hindi na naglilibing ang mga kamag-anak ng mga namamatay sa Liberia, Sierra Leone at Guinea.	because of that, the relatives of the deceased in Liberia, Sierra Leone, and Guinea doesn't bury them anymore.
<33>	Ang gobyerno na lang ang pumupulot kahit saan, kahit sa kalsada, sa mga namamatay at sila na ang naglilibing.	only the government picks up the dead from, anywhere, from the streets; and they will be the one to bury them.
<34>	Pati mga ulilang bata, ayaw nang kupkupin ng mga Africano sa takot na sila’y madamay sa kamatayan.	the Africans no longer wanted to adopt the orphaned children in fear that they will be implicated in the killing.
<35>	PALIPARAN AT PIER Dalawang pintuan ng bansa ang pasukan ng ebola.	airport and piers two doors of the country have been entered by Ebola.
<36>	Ang mga airport o paliparan at pier o daungan ng mga barko.	airports and piers or ports of boats.
<37>	Nasaan ang mga mahihigpit na pagbabantay natin sa mga lugar na ito na pasukan ng mga OFW, turistang dayuhan at iba pang uri ng mga dayuhan?	where is our strict safeguard of countries entered by OFWs, foreign tourists, and other tourists?
<38>	Napakarami nating paliparan at daungan.	we have plenty of airports and ports.
<39>	May mga taga-bantay ba tayo, mga Bro, sa mga lugar na ito?	do we have guards, brothers, in these places?
<40>	Isipin natin: kung ang USA na napakagaling sa pagbabantay at iba pang mga mas maunlad na bansa ay napapasok ng sakit, tayo pa kaya na alanganin ang mga kasanayan, kaalaman at kagamitan ang hindi mapasok ng sakit?	let's think: if USA who are experts at guarding, and other progressive countries have been entered by the disease; do you think, us who have uncertain background, knowledge, and tools can't be entered by the disease?
<41>	PONDO SA CONDOM IDAMAY Ngayon pa lang ay dapat nang maghanda nang todo ang gobyerno ng pondo, tauhan, ospital at lugar para kontrolin ang pagpasok ebola at gamutin, kung sakali, ang mga biktima sa bansa.	include funds for condom the government should have prepared funds, people, hospitals, and places by now, to control the enter of Ebola, and treat, if ever, the victims of the country.
<42>	Hindi dapat na ubusin ang salaping bayan sa pagbili ng mga condom at kung ano-ano pa at lalong hindi dapat na ubusin sa politika ang ito.	money of the country should not be exhausted to buying condoms and other things, and more importantly not be exhausted to this politics.
<43>	Magkaisa lahat tayo, mga Bro, sa pakikipaglaban sa nakatatakot at mas masahol pa sa HIV-AIDS na sakit.	let's all unite, brothers, in fighting against the terrifying disease that's more severe than HIV-AIDS.
