<1>	‘Insider’ sa BFP hinahanting!	'insider' in BFP being haunted!
<20>	Bukod sa pagbebenta ng fire extinguisher na mahigpit ipinagbabawal.	aside from selling fire extinguishers that is strictly prohibited.
<21>	Ngayon, heto ang nakatatawa sa ibinunyag natin o tinatanong natin kung may katotohan ang nangyayaring kalokohan sa BFP.	now, here is what's funny in our revelation or we're asking if there is truth in the corruption happening in the BFP.
<22>	Ano’ng nakatatawa, aber?	what's funny?
<23>	Sa halip kasi na umaksiyon ang pamunuan ng QC BFP hinggil sa itinatanong nating isyu (kung ito ba ay totoo), hayun kanilang hinahanting kung sino raw ang source natin o kumantang ‘insider.’	because the QC BFP management, instead of taking action regarding the issue we are raising (if it is true), is out there hunting who our source or confessed 'insider' supposedly is.
<24>	Inaalam ng isang galit na opisyal kung sino raw ang source natin.	an angry official wants to know who is our source.
<25>	Bakit kapadong-kapado raw natin ang nangyayari sa loob ng BFP.	why do we exactly know what is happening inside BFP.
<26>	Ha! Ibig bang sabihin ay totoo ang mga itinatanong natin hinggil sa pagbubulsa ng travel allowance?	ha! does this mean that what we're asking regarding the pocketing of travel allowance is true?
<27>	Ipinapakapa ng opisyal sa kanyang mga alagang suwapang na FSI kung sino ang ‘insider.’	the official orders his greedy FSI pets in sleuthing for the insider.
<28>	Naniniwala ang opisyal na nasa loob lang daw ng bureau ang source.	the official believes that the source is inside the bureau.
<29>	Nakatatawa nga naman ang nasabing opisyal, apektadong-apektado siya.	the said official is hilarious, he is really affected.
<30>	Bakit?	why?
<31>	Nakikinabang ba siya sa travel allowance?	is he benefiting from the travel allowance?
<32>	Marahil!	probably!
<33>	Kaya siya nanggagalaiti sa galit.	that is why he is really mad.
<34>	Ang tanong sa travel allowance lang ba siya nakikinabang?	the question: is he benefiting from the travel allowance only?
<35>	Ito lang naman ay kung nakikinabang siya sa naibubulsang allowance o kung totoong may naibubulsang allowance para sa FSI sa bawat trabaho o Inspection Order (IO).	this is only if he benefits from the pocketed allowance or if it is true that for an FSI in every job or inspection order (IO) there is allowance that can be pocketed.
<36>	Ang opisyal ay mula QC BFP.	the official is from QC PFB.
<37>	Ano kaya ang intensiyon ng opisyal sa pag-uutos na kapain kung sino ang ‘insider’ natin?	what could be the intention of the official in ordering an investigation on who is our 'insider'?
<38>	Para sibakin sa trabaho?	to get fired from his job?
<39>	Okey lang kung sibakin.	its ok if he gets fired.
<40>	E paano kung mas malala pa rito ang plano ng nagi-guilty na opisyal?	what if the guilty official plans to do far worse than that?
<41>	Nakatatakot pala siya?	I didn't know he was scary?
<42>	Hay, kapag pera-pera nga naman ang pinag-usapan, maraming natataranta.	sigh, when the discussion is about money, a lot panicked.
<43>	Napagagalaw at nabibilog kasi ng pera ang mundo.	it's because money can move and make the world go round.
<44>	Sa wikang ingles ‘ika nga… “money, money makes the world go round.”	there's a saying in the English language... "money, money makes the world go round."
<45>	He he he…	he he he...
