<1>	Linggo, Marso 18, 2012	Sunday, March 18, 2012
<89>	Ang Komyun ang unang tangka ng proletaryong rebolusyon na wasakin ang burges na makinaryang estado at ito rin ang siyang dapat pumalit sa winasak na makinaryang estado.	the Commune was the first attempt of the proletariat revolution to destroy the bourgeois that is a state machinery and it should also replace the destroyed state machinery.
<90>	Ang mga tampok at mahahalagang hakbang na ipinatupad ng Komyun ay ang mga sumusunod:	the features and important steps carried out by the Commune are the following:
<91>	a. Pagbuwag ng regular na hukbong militar at pagtatayo kapalit nito ng armadong mamamayan.	a. dissolving the regular military army and setting up armed citizens as its replacement.
<92>	b. Pagtatakda na ang lahat ng opisyales ay ihahalal subalit maaaring alisin sa pwesto anumang oras.	b. declaring that all officials are elected but can be replaced any time.
<93>	c. Pagtatanggal ng lahat ng pribilehiyo at pagbawas ng pasahod o alawans sa lahat ng naglilingkod sa estado upang ipantay sa antas ng pasahod sa mga manggagawa.	c. removing all privileges and decreasing the wages or allowance of everyone serving the state to match the level of salary of laborers.
<94>	d. Ang pagwasak sa pulitika’t parlyamentaryo ng burgesya, mula sa isang talking shop ay naging isang working institution, isang institusyon ng paghaharing sabay na gumagampan ng gawaing ehekutibo at lehislatibo.	d. the destruction of politics and parliament of the bourgeoisie, from a talking shop that became a working institution, an institution of a rule both fulfilled by executive and legislative activity.
<95>	e. Ang organisasyon ng pambansang pagkakaisa.	e. the organization of national unity.
<96>	Itinayo ang mga Komyun hanggang sa antas ng pinakamaliit na komunidad.	the Communes were set up on the level of the smallest community.
<97>	Isinentralisa ang mga Komyun sa isang sentralisadong kapangyarihan, upang ganap na wasakin ang paglaban ng mga kapitalista at ipatupad ang paglilipat ng pribadong ari-arian — pabrika, mga lupain, at iba pa — sa kamay ng buong bayan.	the Communes were centralized on a centralized power, to fully crush the fight by the capitalists and implement the transfer of private property - factories, land, and others - to the possession of the whole nation.
<98>	Mga Aral	lessons
<99>	Sa pagkadurog ng Komyun, maraming aral ang idinulot nito sa atin:	with the destruction of the Commune, we were given many lessons:
<100>	a. Hindi sapat ang pagkubkob lamang sa mga makinarya ng estado upang gamitin ng mga manggagawa, kundi ang buong estado'y dapat tuluyang wasakin upang di na makabalik pa ang burgesyang pinalitan ng Komyun.	a. it is not enough to merely contain the machinery of the state for the use of laborers, but the whole state should be completely destroyed so that the bourgeois replaced by the Commune can not return.
<101>	Dapat tiyakin ng Komyun kung paano mapoprotektahan nito ang kanyang sarili mula sa kanyang mga kaaway.	the Commune should ensure how to protect itself from its enemies.
<102>	b. Kailangan ng maagap na pagdedesisyon kung paanong di na makakabalik at makakaporma pa ang burgesya.	b. making a prompt decision is needed on how the bourgeois cannot return and reform.
<103>	Maraming oportunidad ang Komyun para madurog ang mahinang pwersa ng gobyerno sa Versailles, ngunit dahil hindi maagap na nakapagdesisyon dito, sila’y binalikan at agad na dinurog.	the Commune had many opportunities to crush the weak government forces in Versailles, but because a decision on it was not made on time, they came back and were immediately crushed.
<104>	c. Dapat maitaas pa ang kamalayang makauri ng mga manggagawa upang maitayo nila ang sarili nilang lipunan.	c. the classist consciousness of laborers should be heightened so they can set up their own society.
<105>	d. Ang pag-aalinlangan ng Komyun na tuluyang durugin ang banta ng kaaway ay nagbigay pa ng panahon sa burgesya upang muling maorganisa (regroup), magpalakas ng pwersa, at makipag-kasundo sa mga Prussians.	d. the hesitation of the Commune to destroy enemy threat gave the bourgeois time to reorganize (regroup), strengthen their forces, and ally with the Prussians.
<106>	Masyado pang mabait ang mga manggagawa sa mga kapitalista’t burgesya.	laborers are still too kind to the capitalists and bourgeois.
<107>	e. Kailangan ng Komyun ng isang rebolusyonaryo, sosyalistang partido na magtitiyak ng tagumpay nito hanggang sa transisyon patungong sosyalismo.	e. the Commune needs a revolutionary, socialist party that will ensure it success until its transition to socialism.
<108>	f. Dapat kinumpiska agad ng mga manggagawa ang mga bangko, lalo na ang Bank of France, na siyang sentro ng kapitalistang yaman, na siyang ginamit ng kapitalista laban sa Komyun.	f. laborers should have immediately confiscated banks, especially the Bank of France, which is the center of capitalist wealth, that was used by the capitalists against the Commune.
<109>	Dapat isentralisa sa Komyun ang mga bangko upang tustusan ang rebolusyon.	the banks should have been centralized on the Commune to fund the revolution.
<110>	g. Dapat nakagawa ng paraan ang mga manggagawa upang maging alyado ang mga pesante.	g. the laborers should have found a way to ally with the peasants.
<111>	Dahil ang mga pesante ang ginamit ng burgesya at ng hukbo ni Thiers upang durugin ang Komyun.	because it was the peasants that were used by the bourgeois and the army of Thiers to crush the Commune.
<112>	Ang Diktadurya ng Proletaryado	the dictatorship of the proletariat
<113>	Sa karanasan ng Komyun ng Paris hinalaw ni Marx ang teorya ng diktadurya ng proletaryado.	Marx based the theory of the dictatorship of the proletariat on the experience of the Paris Commune.
<114>	Ito ang papalit sa diktadurya ng burgesya o kapitalistang estado.	this will replace the dictatorship of the bourgeois or capitalist state.
<115>	Ang diktadurya ng proletaryado ay isang sosyalistang lipunang pinamu- munuan ng uring manggagawa, o proletaryado.	the dictatorship of the proletariat is a socialist society governed by the working class, or proletariat.
<116>	Kongklusyon:	conclusion:
<117>	Ang Komyun ng Paris ang isa sa pinakadakila at inspiradong yugto sa kasaysayan ng uring manggagawa.	the Paris Commune is one of the greatest and most inspired chapters in the history of the working class.
<118>	Pinalitan ng mga manggagawa ng Paris ang kapitalistang estado ng sarili nilang gobyerno at tinanganan nila ang kapangyarihang ito ng dalawang buwan.	the laborers of Paris replaced the capitalist state of their own government and they held this power for two months.
<119>	Nagsikap ang mga manggagawa ng Pransya, sa kabila ng mga kahirapan, na wakasan na ang mga pagsasamantala at pambubusabos ng lipunan, at maitayo ang isang lipunan sa isang bagong batayan at pamantayan.	the laborers of France worked, despite difficulties, to end the abuse and slavery of society, and to establish a society with a new basis and standard.
<120>	Ang mga aral nito’y nagtiyak ng tagumpay ng Rebolusyong 1917 sa Rusya na pinangunahan ni V.	these lessons ensured the success of the Russian Revolution of 1917 led by V.
<121>	I. Lenin, at naitayo ang isang Unyon ng Sobyet (konseho) na binubuo ng manggagawa.	I. Lenin, and one Soviet Union (council) consisting of laborers was set up.
<122>	Ang dakilang aral ng Komyun ng Paris ay isang malaking hamon sa uring manggagawa sa kasalukuyang panahon.	the great lesson of the Paris Commune is a huge challenge to the working class of the present time.
<123>	Kailangan natin ng mas mataas na antas ng daigdigang pagkakaisa at mas matalas na kamalayang makauri upang matiyak na maipapanalo natin ang lipunang sosyalismong ating hinahangad para sa ating kagalingan at ng mga susunod pang henerasyon ng manggagawa.	we need a higher level of worldwide unity and higher classist consciousness to ensure that we can plan the socialist society we desire for our welfare and for the next generation of laborers.
<124>	Mga Sanggunian:	references:
<125>	(a) The Civil War in France, Marso-Mayo 1871, Karl Marx; (b) Introduction on The Civil War in France, by Frederick Engels, 1891; (c) Lessons of the Paris Commune, Leon Trostky, Pebrero, 1921; (d) History of the Paris Commune, Prosper Olivier Lissagaray, 1876	(a) The Civil War in France, March-May 1871, Karl Marx; (b) Introduction on The Civil War in France, by Frederick Engels, 1891; (c) Lessons of the Paris Commune, Leon Trostky, Pebrero, 1921; (d) History of the Paris Commune, Prosper Olivier Lissagaray, 1876
