<1>	Pinabayaang mga biktima ng bagyo	abandoned typhoon victims
<14>	Ang bayan ng Cateel ang madalas naipapakita sa telebisyon at marami ang mga ahensya ng gobyerno at mga organisasyong sibiko ang pumupunta na rito, bagama’t hindi pa rin sapat ang mga tulong na umaabot sa mga mamamayan dahil sa labis na pinsala at sa kakulangan ng maayos na sistema ng pamamahagi ng tulong galing sa iba’t ibang grupo.	The town of Cateel is often shown on television and many government agencies and civic organizations have since visited it. However, the assistance they provided remain greatly insufficient for the victims due to excessive damage and the lack of a proper distribution system for assistance from various groups.
<15>	Bandang alas singko ng hapon, humiwalay na ako sa pangkat CBHP ng Tandag at sumakay na ako ng bus patungong Davao City upang sumama naman sa medical mission ng BALSA Mindanao, ang multisektoral na organisasyong binuo ng mga progresibong grupo para tumulong sa taong-bayan sa mga ganitong uri ng kalamidad.	at around five o'clock in the afternoon, I left the team of CBHP in Tandag and rode a bus going to Davao City to join the medical mission of BALSA Mindanao, the multi-sectoral organization formed by progressive groups to help victims in these types of calamities.
<16>	Sa dinaanan ng aking sinakyang bus, marami pa rin akong nakitang mga nasirang kabahayan na tila hindi nadadatnan ng tulong.	as I rode the bus, I still saw many devastated homes along the way that did not get any assistance.
<17>	Dumating ako sa looban ng UCCP (United Church of Christ), ang sentro ng BALSA Mindanao sa Davao, lampas hatinggabi na.	by the time I arrived at the UCCP (United Church of Christ), the center of BALSA Mindanao in Davao, it was already past midnight.
<18>	Bumiyahe ang aming pangkat alas kwatro ng umaga kaya halos wala rin akong tulog nang gabing iyon.	our team traveled at four o'clock in the morning so I had little to no sleep at all that night.
<19>	Dumating kami sa Laak, Compostela Valley bandang alas-10 ng umaga.	we arrived at Laak, Compostela Valley around 10 o'clock in the morning.
<20>	Matindi rin ang epekto ng bagyo roon at napakahirap puntahan dahil sira-sira ang mga daan at tumawid pa kami ng ilog na halos hanggang dibdib ang lalim.	The area was also greatly affected by the typhoon and it was incredibly difficult to get there due to the damaged roads, and we even had to cross a river that was chest-deep.
<21>	Mabuti na lang at malaking dump truck ang sinakyan namin.	good thing we rode a fairly large dump truck.
<22>	Kumain muna kami ng almusal-tanghalian bago nag-umpisa ng medical clinic at namigay ng pagkain at gamit pantawid kalamidad.	we ate brunch first before the medical clinic started and we distributed food and relief goods.
<23>	Dalawa lang kaming doktor, kasama ko si Dr.	only two of us were doctors. I was with Doctor
<24>	Lynn Redoble, dati kong estudyante na nag-full-time sa CBHP-Southern Mindanao.	Lynn Redoble, a former student of mine who is now a full time medical practitioner at CBHP-Southern Mindanao.
<25>	Karamihan sa may sakit ay mga bata; ubo’t sipon, trangkaso, brongkitis, sakit sa balat, sugat, atbp.	most of those needing medical assistance were children with cough and colds, flu, bronchitis, skin disorders, wounds, et cetera.
<26>	May dalawang pasyente na kailangan i-refer sa ospital kaya problema kung paano madadala sa ospital (hihingi ng tulong sa lokal na pamahalaan at sa iba pa dahil hindi kaya ng BALSA Mindanao na tustusan ang gastusin).	there were two patients that needed to be brought to the hospital, which brought about the problem of how to transport them to the hospital (ask for assistance from the local government and other organizations because BALSA Mindanao couldn't shoulder the expenses).
<27>	Mahigit 200 ang naging pasyente namin.	we had more than 200 patients.
<28>	Nagsara sa pagtanggap ng pasyente pagsapit ng alas-5 ng hapon dahil baka raw hindi kami makatawid sa ilog pabalik sa Davao.	we stopped taking in patients at 5 o'clock in the afternoon because we may no longer be able to cross the river back to Davao.
<29>	Medyo mabigat ang aking damdamin nang magsara dahil mayroon pang ilang katao na galing pa sa malayo na humahabol pa sanang magpakonsulta.	my feelings were quite heavy when we closed because there were still a few people from far-off places who wanted to catch the consultation.
<30>	Ganunpaman, kinailangan na namin ang umalis, hindi kami maaaring magtagal pa sa lugar ayon sa mga nag-organisa.	however, we needed to leave, since we couldn't stay any longer in that area according to the organizers.
<31>	Nakarating kami sa UCCP Davao halos hatinggabi na rin.	it was almost midnight when we arrived in UCCP Davao.
<32>	Sa tindi ng pagod at puyat, hindi ko na nakuhang maligo, diretso na ako sa higaan.	due to fatigue and lack of sleep, I couldn't bring myself to take a bath and went straight for the bed.
<33>	Subali’t hindi rin ako nakatulog nang maayos dahil tumindi ang ubo ko (na nag-umpisa na sa Surigao pa lamang) at dahil na rin sa nag-aalimpuyong damdamin at kaisipan sa mga pangyayaring aking namasdan at naranasan.	however, I had a hard time sleeping due to the severity of my cough (which started in Surigao) and also due to the constant emotional and mental distress brought about by everything I had seen and experienced.
<34>	Tumitilaok na halos ang manok nang ako’y maidlip, matapos akong uminom ng lagundi at sinta.	The rooster was already crowing by the time I fell asleep after I drank lagundi tea and beloved.
<35>	Nagpahinga na lamang ako hanggang tumungo ako sa airport ng Davao pauwing Maynila.	I just rested until I headed to Davao airport on the way back to Manila.
