<1>	SIKRETONG BOTOHAN PARA SA BBL, BANTAYAN	secret voting for BBL, guard
<23>	Nakikita ba ninyo, mga Bro, na walang hakbang ang MILF para sa pagsusuko ng armas ng nasa 10,000 fighter nito bilang pangunahing palatandaan ng pagkilala nito sa awtoridad ng pamahalaang Pilipinas?	do you see, Bro, that MILF has no indications to surrender its arms with its 10,000 fighters as the primary sign of recognizing the authority of the Philippine government?
<24>	Kahit may itinatakda ng Comprehensive Agreement on the Bangsamoro na dapat magsimula ang disarmament nitong nakaraang mga buwan dahil napirmahan na ang nasabing kasunduan?	even if there is a provision in the Comprehensive Agreement on the Bangsamoro that the disarmament should have begun a few months ago because the agreement was already signed?
<25>	At dito sa 10,000 armado pa nakasandig ang lakas ng BBL at ang Bangsamoro Transition Authority o panimulang pamahalaang Bangsamoro dahil gusto ng MILF na ang mga ito ang bubuo ng militar at pulisya sa kanilang “teritoryo.”	and it is with these 10,000 armed men that strength of the BBL depends and the Bangsamoro Transition Authority or the starting Bangsamoro government because the MILF wants that these will form the military and police in their "territory".
<26>	Para sa atin, ito ang isang kontrobersiyal na parte ng BBL na dapat pagtuunan ng pansin dahil dito nakasalalay ang kinabukasan ng mga lugar na nais sakupin at pagharian ng MILF at posibleng pagmulan ng pakikipaghiwalay nito sa teritoryo at pamahalaan ng Pilipinas.	for us, this is one of the controversial parts of BBL that should be given attention because the future of the places that MILF wants to take and rule depends on it and it is possibly the start of the separation from the territory and government of the Philippines.
<27>	IBANG GULO	a different mess
<28>	Dahil sa pagturing ng MILF sa sarili na rebolusyonaryo kung hindi nila makukuha ang gusto nila sa BBL, kasama na ang paghahari ng kanilang armadong pwersa sa itinuturing nilang teritoryo, marami ang masasagasaan nila, lalo na ang mga hindi sumasang-ayon sa kanila.	because of MILF's view of itself as a revolutionary if it does not get what is wants from BBL, including the control of its armed forces in its viewed territories, it will be in conflict with many especially those who disagree with it.
<29>	Nakatitiyak tayo na dito na rin manggagaling ang posibleng mga grupo na lalaban, ngipin sa ngipin at mata sa mata sa MILF, at kung ganoon ay may sisiklab na malawak na giyera.	we are sure that possible groups that will fight, tooth for a tooth and eye to eye against MILF will come from this, and if that's the case a big war will erupt.
<30>	Ito ang isa sa mga dapat na alalahanin sa mga debate ng mga kongresman at senador.	this is one of the things the congressmen and senators must consider.
<31>	Itong paghiling ng executive session ng mga kongresman para isikreto sa mata at tainga ng sambayanan ang kanilang pagboto ay palatandaan ng hindi maganda.	the request for an executive session of the congressmen for a secret voting to hide it from the eyes and ears of the people is indicative that something is not right.
<32>	Palatandaan ito ng kawalan nila ng pakialam sa mga posibleng gulo o giyera sa kanilang pagkakamali basta “magkapera lang sila?”	this is a sign of the lack of concern for the possible chaos or war for their mistake as long as they get money?
<33>	Mga anak kayo ng mga tipaklong!	you are all sons of grasshoppers!
<34>	PINAL NA	it is final
<35>	Kung pakikinggan ninyo, mga Bro, ang mga pinagsasabi ng mga kongresman, matapos nilang pagbotohan ang BBL, isasampa nila agad ito sa Senado.	if you will listen to what the congressmen are saying, Bro, after voting on the BBL, they will quickly pass it to the Senate.
<36>	Normal na trabaho ‘yan dahil pinag-iisa ang gawang batas ng Senado at Kamara at pinaplantsa na lang ang mga gusot ng Bicameral Conference Committee kung tawagin, ang pangatlong Kongreso sa tingin ng iba.	this is just normal work because they unify the statues of the Senate and the Congress and straighten the mistakes of the Bicameral Conference Committee as it is called or the third Congress as view by others.
<37>	Ibig-sabihin, Consuelo de bobo lang ang pagsasabi ng mga kongresman na pagbobotohan pa nila ang BBL…aaprubahan nila ito o hindi.	this means that the voting to approve or not the BBL that the congressmen are saying is just a mock consolation.
<38>	At nagpapauto naman tayo sa kanila na nagkakapera sa paggawa ng batas, tulad ng dati.	and we let them take us for a fool getting money by making laws, just like before.
