<1>	Pag-aalis ng Filipino sa Kurikulum ng kolehiyo tinutulan	removal of Filipino from college curriculum was protested against.
<12>	Inamin rin niya na mula pa noong 1987, wala pang batas na nagtatalaga sa wikang Filipino na gamitin itong wika ng pagtuturo at ng pagkatuto upang maging isa ang bansa.	she also admitted that since 1987, there is still no law designating the Filipino language to be used as the language for teaching and learning in order for the country to be united.
<13>	“Ang wikang ito ang magbibigay sa atin ng talino, tapang, at lakas na magsisilbing panimulang-puhunan natin bilang isang bansa,” giit niya.	"this language will be the one to give us knowledge, courage and strength, which would serve as our principal investment as a country," she stressed.
<14>	Ayon naman kay Ramon Guillermo, propesor rin ng Filipino sa UP-Diliman, kung sa tingin ng mga Pilipino na wikang Ingles talaga ang wikang magsusulong sa ekonomiya ng bansa at magdudulot ng kaunlaran at kasaganaan sa pamumuhay ng bawat Filipino, dapat noon pa ma’y maunlad na tayo tulad ng ibang bansa.	according to Ramon Guillermo, also a professor of Filipino in UP-Diliman, if Filipinos think that the English language is really the language that would push the economy of the country and would bring progress and prosperity in the life of every Filipino, we should have been prosperous a long time ago like other countries.
<15>	“Noon pang 1990’s nagsimulang mag-Ingles ang mga Filipino. Sabi raw, Ingles ang wika para sa globalisayon, kung gayon, nasaan na ba dapat ang Filipinas ngayon kung matagal na tayong nag-i-Ingles?” aniya.	"it was in the 1990's when Filipinos started to speak English. it was said that English is the language for globalization. if this is the case, where should the Philippines be today if we have been speaking English for a long time?" he said.
<16>	Dagdag pa ni Guillermo, napapanatili ng mga mauunlad na bansa ang pag-aaral ng kanilang wika hanggang sa kolehiyo lalo na sa Europa, isang kongkretong patunay na hindi balakid sa pag-unlad ang sariling wika.	Guillermo also added, progressive countries are able to maintain the study of their language until college especially in Europe, one concrete proof that one's own language is not a hindrance to progress.
<17>	“Hindi naging hadlang para sa ibang bansa ang sarili nilang wika upang maging progresibo, kaya dapat maisip nating mga Filipino na ang wikang Filipino ay hindi dapat maging sagabal sa pag-unlad,” aniya.	"their own language did not become a hindrance for other countries to become progressive, so we Filipinos should think that the Filipino language should not be an obstacle to development," he said.
<18>	Para naman kay Aurora Batnag, pangulo ng PSLLF, mahalaga na matalos at maunawaan ng lahat na hindi lamang pakikipagtalastasan ang gamit ng wika sapagkat ang pagkakaisa at pag-iisa sa damdaming Filipino ang higit na mahalagang tungkulin nito.	for Aurora Batnag, president of PSLLF, it is important for everyone to learn and understand that the use of language is not just for communication, because its greater function is uniting and unifying the Filipino spirit.
<19>	“Huwag nating sayangin ang nakamit na tagumpay ng wikang Filipino sa nakalipas na mga dekada. Patuloy tayong mag-isip, magsulat, maglathala, magsaliksik, makipagtalakayan gamit ang Filipino sa lahat ng antas ng pagkatuto,” aniya.	"let us not waste the success achieved by the Filipino language in the past decades. let us continue to think, write, publish, research, discuss using Filipino in all levels of learning," she said.
<20>	Pag-sang-ayon ni Michael David San Juan, propesor ng Filipino sa DLSU, kay Batnag, ipinahayag niya na sa wikang pambansa lubos na nakikilala ang mga mamamayan na gumagamit at tumatangkilik dito.	Michael David San Juan, professor of Filipino at DLSU, said in agreement with Batnag, that it is through the national language that the citizens who use and support it are fully known.
<21>	“Ito ang wika ng pambansang diskurso, wika ng mga ordinaryong mamamayan, wika ng demokratisasyong pampulitika, at obra maestra ng mga wikang rehiyonal sa Filipinas. Samakatuwid, ito ang salamin ng ating kolektibong identidad,” aniya.	"this is the language of national discourse, the language of ordinary people, the language of democratized politics and the masterpiece of regional languages in the Philippines. therefore, this is a reflection of our collective identity," he said.
