<1>	Pagbabalik ng US Bases	return of US bases
<23>	Maaalala ring sa ilalim ng VFA naganap ang dalawang kriminal na kaso ng pang-aabuso at pagpatay sa Pilipina na kinasangkutan nina Lance Cpl. Daniel Smith at PFC Joseph Scott Pemberton, kapwa US Marines.	to recall, two criminal cases of abuse and murder of a Filipina involving Lance Corporal Daniel Smith and PFC Joseph Scott Pemberton, both US Marines, occurred under the VFA.
<24>	Nagdulot rin ng pagkasira ng Tubbataha Reef ang pagsadsad ng US warship na USS Guardian noong 2013.	the US warship USS Guardian also caused damage to the Tubbataha Reef when it crashed in 2013.
<25>	Noon namang umiiral pa ang US-RP Military Bases Agreement, maraming krimen din ang ginawa ng mga sundalong Amerikano tulad ng pamamaril sa mga katutubo, pambubugbog, panggagahasa, atbp.	when the US-RP Military Bases Agreement was in force, many crimes were committed by American soldiers such as shooting of indigenous people, battery, rape and others.
<26>	Nagbunsod din ito ng malawakang pagsasamantala sa kababaihan sa anyo ng prostitusyon sa paligid ng mga base laluna sa Angeles at Olongapo.	this also triggered the widespread exploitation of women in the form of prostitution around the bases especially in Angeles and Olongapo.
<27>	Nag-iwan rin sila ng mga toxic waste sa kanilang mga base militar.	they also left toxic waste in their military base.
<28>	Tunay na silbi ng mga Base	the real purpose of the bases
<29>	Ang pagdepensa diumano sa Pilipinas laban sa China ang ginagamit na dahilan ngayon sa muling pagbabalilk ng mga base militar ng US.	to defend the Philippines against China supposedly is the reason being used for the return of the US military bases.
<30>	Tumitindi ang tensyon sa pagitan ng Pilipinas at China sa West Philippine Sea.	the tension between the Philippines and China is intensifying in the West Philippine Sea.
<31>	Mahina diumano ang sandatahang lakas ng Pilipinas, at kapalit ng EDCA ay milyun-milyong dolyar na suportang kagamitang pandigma ang isusukli ng US sa Pilipinas magkaroon lamang muli ng mga base militar ang US sa bansa.	the armed forces of the Philippines are weak and in exchange for EDCA are the millions of dollars of support in military equipment will be given by the US to the Philippines just to have US military bases in the country.
<32>	Sa limang base militar, ang Antonio Bautista Air Base sa Palawan ang pinakamalapit sa Panatag Shoal na inaangkin din ng China.	of the five military bases, the Antonio Bautista Air Base in Palawan is the nearest to the Panatag Shoal which is also being claimed by China.
<33>	Noon pang 2012 sinimulan ng China ang militarisasyon, land reclamation, at pagpapatrulya ng Chinese Coast Guard sa karagatan at maliliit na isla sa West Philippine Sea, na inaangkin hindi lamang ng Pilipinas kundi pati ng Vietnam, Malaysia, Brunei, Indonesia, at Taiwan.	it was in 2012 when China began its militarization, land reclamation, and patrolling of the Chinese Coast Guard on the ocean and small islands in the West Philippine Sea, which are claimed not only by the Philippines but also by Vietnam, Malaysia, Brunei, Indonesia and Taiwan.
<34>	Ngunit hindi masosolusyunan ng EDCA ang pagpasok ng China sa West Philippine Sea, ayon sa Bagong Alyansang Makabayan.	but EDCA cannot solve the entry of China in the West Philippine Sea, according to Bagong Alyansang Makabayan,
<35>	Sa halip, ang pangunahing tinutugunan ng EDCA ay ang interes ng US na manatiling pinakamakapangyarihan sa Asia-Pacific at mapangalagaan ang malayang paglalayag ng kalakalan nito sa West Philippine Sea.	instead, what EDCA mainly addresses is the interest of the US to continue to be the most powerful in the Asia-Pacific and to protect its free trade in the West Philippine Sea.
<36>	Walang komitment ang US at walang katiyakan na ipagtatanggol nito ang Pilipinas laban sa agresyon ng China.	the US has no commitment and it is doubtful that they will defend the Philippines against China's aggression.
<37>	Ang tiyak, sa higpit ng presensyang militar ng US ay lalong makokontrol nito ang kinabukasan ng Pilipinas.	what's certain is the strong military presence of the US will further control the future of the Philippines.
<38>	Ang EDCA ay tahasang paglabag sa kasarinlan ng Pilipinas.	EDCA is an explicit violation of Philippine independence.
<39>	Liban pa rito, sa ginagawang “re-balancing act” – o ang paglilipat ng US ng 60% ng lakas nabal nito sa Asia – di iilang eksperto sa pulitika ang nagsabi na maaaring maging “next Middle East” ang Pilipinas at ang mga karatig bansa sa Asia-Pacific.	furthermore, in the "rebalancing act" being done or the transfer by the US of 60% of its naval force in Asia, some political experts say that the Philippines and its neighboring countries in the Asia-Pacific might be the "next Middle East".
<40>	Direktang Panghihimasok	direct intrusion
<41>	Nakapagtataka rin na ang apat pang base ng US ay malayo sa West Philippine Sea at sa katunayan ay nasa sentro ng kalupaan ng Luzon, Visayas at Mindanao. Sa mga lugar na ito, ang pangunahing suliranin ng US at ng gobyernong Aquino ay hindi ang China kundi ang nagpupursiging pakikibaka ng New People’s Army.	it is also surprising that four US military bases are far from the West Philippine Sea and in fact, are in the central regions of Luzon, Visayas and Mindanao. in these areas, the main problem of the US and Aquino government is not China but the pursuing struggle of the New People's Army.
<42>	Idagdag pa na sa mga partikular na lugar sa Mindanao, nariyan ang banta ng pagtindi ng armadong pag-aalsa ng mamamayang Moro.	additionally in particular areas in Mindanao, there is the threat of intensification of the armed uprising of the Moro people.
<43>	Maraming mandirigma at kadre ng Moro Islamic Liberation Front (MILF) ang nasisiphayo sa nakahain na Bangsamoro Basic Law kahit hindi pa man ito inaaprubahan ng kongreso.	many fighters and cadres of the Moro Islamic Liberation Front (MILF) are disappointed on the proposed Bangsamoro Basic Law even if it has not been approved yet by the Congress.
<44>	Hindi rin ikinakaila ng BIFF (Bangsamoro Islamic Freedom Fighters) at Abu Sayyaf ang kanilang alyansa sa ISIS (Islamic State of Syria and Iran), bukod pa sa mga bagong sulpot na grupong jihadists.	the BIFF (Bangsamoro Islamic Freedom Fighters) and Abu Sayyaf are not denying their alliance with ISIS (Islamic State of Syria and Iran), apart from the newly formed jihadists groups.
<45>	Lahat ng indikasyon ay nagpapakita na makikialam at makikisangkot ang mga sundalong Amerikano sa pagsugpo ng armadong rebolusyon at rebelyon sa Pilipinas na binabansagan nitong terorismo.	all indications show that American soldiers will intervene and intrude to suppress the armed revolution and rebellion in the Philippines which they claim as terrorism.
<46>	Di iilang beses nang naibalita ang direktang paglahok sa combat ng mga tropang Amerikano laban man sa NPA o mga Moro. Ibig sabihin, lumalampas na sila sa mga itinatakda ng kasunduan na hanggang advise at training lamang.	the direct participation in the combat of American troops against the NPA or Moro has been reported not only a few times. it means that they exceed the terms of the agreement which is only to train and advise.
<47>	Sa Mamasapano, lumabas sa imbestigasyon ng Senado na may anim na sundalong Amerikano na maaaring tuwirang sangkot sa operasyon para patayin ang diumano’y teroristang Malaysian na si Marwan.	in Mamasapano, the investigation of the Senate shows there are six American soldiers that may be directly involved in the operation to kill the alleged Malaysian terrorist, Marwan.
<48>	Iba pa ang suportang intelligence mula sa CIA (Central Intelligence Agency) at surveillance plane habang isinasagawa ang operasyon.	this is aside from the intelligence support from the CIA (Central Intelligence Agency) and surveillance plane while the operation is ongoing.
<49>	Kung nagagawa nila ito sa ilalim ng VFA, ano pa kaya sa ilalim ng EDCA na may nakatalaga nang US military bases sa bansa.	if they can do this under the VFA, what more under the EDCA with designated US military bases in the country.
<50>	Madilim na pangitain ang dala ng US bases sa pagsiklab ng ibayong karahasan hindi lamang sa labas kundi sa loob mismo ng Pilipinas.	the US bases brings forth a dark future with the outbreak of more violence not only outside but within the Philippines itself.
<51>	Anuman ang tanggi ng gobyernong Aquino at Korte Suprema, mananatili at mananatiling target ng atake ang mga base militar ng mga kaaway ng US at gobyerno ng Pilipinas na sunud-sunuran sa US.	regardless of the denial of the Aquino government and the Supreme Court, the military bases will continue to be targets of attack by enemies of the US and the Philippine government which is subservient to the US.
<52>	Ngunit hindi pa man nangyayari ito, umaabante na ang US sa direktang panghihimasok at paglahok sa internal na sigalot sa Pilipinas.	while this is not yet even happening, the US is already directly intruding and participating in the internal conflict of the Philippines.
