<1>	Sundalo - Sa Aking Karanasan	soldier - my experience
<49>	Nanganganak lamang ito.	it just gives birth.
<50>	Mas malakas ang MILF kaysa MNLF, at mas tuso ang BIFF kaysa MILF, ano pa kaya ang kayang gawin ng susunod na sangay nito?	the MILF is stronger than the MNLF, the BIFF is slyer than the MILF, what are their next branches capable of?
<51>	Ang mga grupo na ito ay may kapasidad na magkanlong ng mga terorista at gumawa ng mga kaguluhan sa iba't ibang parte ng Mindanao.	these groups have the capacity to take in terrorists and cause trouble in different parts of Mindanao.
<52>	Sang-ayon ako sa Bangsamoro Basic Law pero ang pakikipagbati sa isang grupo na alam naman natin kung ano ang istilo ng pamamahala at pananaw ay di ko sinasang-ayunan.	I agree with the Bangsamoro Basic Law but I do not agree on reconciliation with a group whose style of government and perspective we already know.
<53>	Ang batas na ito ay dapat para sa mga Muslim na mapayapang naninirahan sa Mindanao at hindi para sa kapakanan ng iisang grupo.	this law should be for the Muslims peacefully living in Mindanao and not for the benefit of one group.
<54>	Isipin sana na hindi lahat ng muslim sa Mindanao ay kasapi ng MILF.	consider that not all Muslims in Mindanao are members of the MILF.
<55>	Sana ay may pangmatagalang solusyon ang gobyerno para dito.	hopefully the government has a long-term solution for this.
<56>	Hindi iyong pansamantala lang.	not just a temporary one.
<57>	Iyong pulido at hindi tapal lang.	one that is polished and not just a patch.
<58>	Dahil kahit sabihing normal na lang ang giyera sa lugar na ito ay napapagod din ang aming mga tenga sa putok at iyakan.	because even if it is said that war in this place is only normal, our ears also become tired of shots and cries.
<59>	Pagluluksa sa 44 Bayani ng PNP-SAF.	mourning for the 44 heroes of the PNP-SAF.
<60>	Nakikidalamhati ako sa mga namatay na pulis sa nangyaring sagupaan sa Mamasapano.	I grieve for the police killed in the encounter that happened in Mamasapano.
<61>	Maraming Salamat at Saludo ako sa Inyo!	thanks a lot and I salute you!
<62>	Tunay kayong bayani sa mata ng buong sambayanan.	you are true heroes in the eyes of the whole nation.
<63>	Hangad ko din ang HUSTISYA sa inyong paglisan.	I also desire for justice on your passing.
<64>	Para sa amin na may kapamilya at kamag-anak na nasa puwersa ng militar, ramdam namin ang pakiramdam nang mawalan ng mahal sa buhay dahil sa isang operasyong militar.	for us who have family and relatives in the military force, we know the feeling of losing a loved one because of a military operation.
<65>	Ganunpaman, ito ay aming napaghandaan dahil sa kanilang sinumpaang tungkulin at pagpapanatili ng kapayapaan.	still, it is something we can prepare for because of their sworn duty and maintenance of peace.
<66>	Hindi lamang sa magugulong bayan sa Maguindanao kundi sa buong parte ng Mindanao at ng bansa.	not only in the troubled towns of Maguindanao but in the whole of Mindanao and the country.
