<1>	EYEWITNESS | ‘Nanggaling sa pulis ang mga putok’	EYEWITNESS | 'The shots came from the police'
<42>	Pinagpapatay.	were killed.
<43>	Walang ibang may baril doon kundi ang PNP.	no one else was armed other than the PNP.
<44>	At kitang-kita ko, kitang kita naming nina Sheena Duazo, ni Bai Ali Indayla na dun sa harap, ang mga nangatumba, doon sa tabi namin na mga magsasaka na natamaan ng bala ng ripleng M-16.	Sheena and I clearly witnessed, as did Bai Ali Indayla in front of us, those who had fallen, the farmers beside us who were hit by the bullets of an M-16 rifle.
<45>	Kaya walang ibang may utos ng pagbuwag ng barikada kundi si Gov. Lala Mendoza, Mayor Evangelista, at si Col. Alex Tagum ng PNP.	that's why no one other than Governor Lala Mendoza, Mayor Evangelista, and Colonel Alex Tagum of the PNP ordered for the dispersal of the barricade.
<46>	Unang araw pa lang ng barikada, nandun na ang mga Special Weapons and Tactics (SWAT) at PNP sa taas ng bombero na mga naka-long arm na riple.	on the very first day of the barricade, the Special Weapons and Tactics (SWAT) and PNP were already there on top of the firemen with long-armed rifles.
<47>	Matapos ang pamamaril, umatras kami.	after the shooting, we withdrew.
<48>	Pumunta kami sa United Methodist Church.	we went to the United Methodist Church.
<49>	Doon pa rin nagpaputok pa rin sila.	they were still shooting there too.
<50>	Tapos yun tinamaan ng bato si Sheena ng Bayan SMR.	after that, Sheena of Bayan SMR was hit by a rock.
<51>	Duguan ang kanyang ulo.	Her head was bleeding.
<52>	At ako naman, nabiyak ang aking buto sa binti, dahil doon sa tama ng shield at batuta kanina.	I, on the other hand, broke my leg due to the hits I took from the shields and police clubs earlier.
<53>	Kanina dinala kami nina Sheena sa Kidapawan Medical Hospital.	earlier, Sheena and I were brought to Kidapawan Medical Hospital.
<54>	Bai Ali Indayla	Bai Ali Indayla
<55>	Gabriela Women’s Party	Gabriela Women's Party
<56>	Kaninang umaga mga bandang alas-diyes, nagpoprograma pa kami dito sa barikada sa Kidapawan City National Highway, napansin namin na nakaalerto na ang mga pulis.	earlier this morning at around 10 o'clock, while we were having our program at the barricade in Kidapawan City National Highway, we noticed the police were already on alert.
<57>	Nag-anunsiyo na sila sa pamamagitan ng kanilang sound system na talagang bayolenteng bubuwagin na nila ang barikada ng mga magsasaka.	they announced via their sound system that they would violently disperse the barricade of farmers.
<58>	Sinubukan pa naming makausap pa rin yung hepe nila, ng pulis, na si Provincial Dir. Alexander Tagum.	we still tried to speak with the policemen's boss, Provincial Director Alexander Tagum.
<59>	Kinausap ko siya, sinabi ko sa kanya na mayroon pang negotiation na mangyayari sa pagitan ng farmers at ni Governor Lala Talino Mendoza.	I spoke to him, I told him that negotiations were to take place between the farmers and Governor Lala Talino Mendoza.
<60>	Hindi nila puwedeng gamitin ang dahas para lang takutin ang mga magsasaka.	they cannot use force just to scare the farmers.
<61>	Pero sinagot lang ako ni Col. Tagum na wala nang negosasyon na mangyayari, kailangan nang umalis ng mga magsasaka dahil talagang bubuwagin nila ang barikada.	but Colonel Tagum answered that there would be no negotiations, that the farmers had to leave because they really were going to disperse the barricade.
<62>	Kaya nangyari na nga ang pagbuwag nila.	and so the dispersal took place.
<63>	Nakita ko mismo dahil nasa unahan ako ng barikada, pinagpupukpok nila ng batuta at itinulak na ang mga kasama namin na mga magsasaka at gayundin gumamit sila ng bombero upang dahasin ang mga magsasaka.	I saw it myself because I was at the front of the barricade, how they struck with their batons and pushed our farmer companions and even used firefighters to force back the farmers.
<64>	Una, tulak at saka pukpok, palo.	First, pushing and striking, whacking.
<65>	Tapos gumamit na nga ng bombero.	Then they used the firefighters.
<66>	Nung hindi pa mabuwag ang barikada at talagang patuloy na nagtutulak ang mga magsasaka sa piketlayn, napaatras ang mga kapulisan kaya tuluy-tuloy ang paggamit nila ng water cannon.	When the barricade did not disperse and the farmers continued to push the picket line, the police fell back and continued to use the water cannon.
<67>	Nung grabe na ang pambabatuta ng mga pulis, napilitang pumulot ng bato ang mga magsasaka.	when the striking of the police intensified, the farmers were forced to pick up rocks.
<68>	At saka lumaban na rin sa pasismo ng kapulisan.	And fought against the fascism of the police.
<69>	Noong nagkaroon na ng paghahagis ng mga bato, bumato rin ang mga kapulisan hanggang sa hindi talaga mabuwag ang barikada.	when the throwing of rocks started, the policemen did the same but the barricade really did not disperse.
<70>	Kaya, gumamit na ng baril ang kapulisan.	thus, the police used their guns.
<71>	Nakita ko mismo doon sa piketlayn ang dalawa sa aming mga kasamahan na nabuwal.	I myself saw two of our companions at the picket line get shot.
<72>	Ang isa tinamaan sa kanyang mukha at sa kasamaang palad ay hindi nga naka-survive.	one was hit in the face and, unfortunately, did not survive.
<73>	Yung isa naman nadala pa sa ospital, ngunit namatay din po habang ginagamot.	the other was brought to the hospital but eventually died while being treated.
<74>	Ang pangalan niya, yung namatay, ay si Rogelio Daelto.	his name, the one who died, was Rogelio Daelto.
<75>	Siya ‘yung tinamaan sa mukha at naging dahilan ng kanyang agarang kamatayan.	he was the one who got shot in the face, which became the reason for his immediate death.
<76>	Marami ang mga nasugatan kanina dahil sa matagal na pamamaril ng mga kapulisan.	many were injured earlier due to the relentless shooting of the police.
<77>	Sa harapan po ng barikada (nanggaling ang mga putok).	at the front of the barricade (was where the shots came from).
<78>	Sa hanay ng kapulisan.	From the line of policemen.
<79>	Ang hanay ng kapulisan ay nakaharap sa national highway papunta ng Davao City.	the ranks of policemen faced the national highway towards Davao City.
<80>	Ang nagbarikada ay nakaharap sa direksiyon na papunta sa Cotabato City.	those who barricaded faced the direction going to Cotabato City.
<81>	Ngayon, doon sa pamamaril ng kapulisan at meron na ngang mga tinamaan, napilitan ang mga magsasaka na pumasok sa Spottswood, sa compound ng United Methodist Church at hanggang sa mismong gate ng methodist church sumunod po doon ang mga kapulisan at patuloy na nagpaputok.	now, in the midst of the police's shooting, and there were already casualties, the farmers were forced to enter Spottswood in the United Methodist Church compound and even up to the gate of the Methodist church, they were followed by the police who continued to shoot.
<82>	Mapayapa na nagbarikada ang mga magsasaka, malinaw ang mensahe na ibigay ang 15,000 na sako, 15 thousand sacks of rice na hiling ng mga magsasaka na sa loob ng anim na buwan ay naging biktima ng El Nino, ng drought at walang makain dahil walang maani.	the farmers peacefully protested. it was clearly stated that they were to be given 15,000 sacks, 15 thousand sacks of rice requested by the farmers who, for six months, became victims of El Nino, of drought and didn't have anything to eat because there was nothing to harvest.
<83>	Walang puwedeng maitanim dahil ang kanilang mga kalupaan ay tuyung-tuyo na dahil sa El Nino.	nothing could be planted because their lands were barren due to the El Nino.
<84>	Sa kabila ng panawagan na ito ng mga magsasaka nagmatigas ho si Governor Lala Talino Mendoza na ibigay ang P130-Milyon na calamity fund sa pamamagitan ng pagbibigay ng bigas sa mga magsasaka.	Despite the call of the farmers, Governor Lala Talino Mendoza firmly refused to give them the P130-million calamity fund through distribution of rice to the farmers.
<85>	Sa halip dahas, bala, baril, mismong pagpatay sa mga magsasaka ang pinakita ng gobyerno na ito ni Noynoy Aquino at ni Gov. Lala Talino Mendoza.	Instead, force, bullets, guns, and the killing of farmers were shown by the government of Noynoy Aquino and Governor Lala Talino Mendoza.
<86>	Saan galing yung putok?	Where did the shots come from?
<87>	Nakita namin mismo dahil nakaharap kami sa kanila.	we saw them ourselves because we faced them.
<88>	Nakapagtago kami, ako, si Sheena Duazo ng Bagong Alyansang Makabayan – Southern Mindanao Region at si Jerome Aba na spokesperson ng Suara Bangsamoro.	we were able to hide, me, Sheena Duazo of Bagong Alyansang Makabayan - Southern Mindanao Region, and Jerome Aba, spokesperson of Suara Bangsamoro.
