<1>	Liham: Marapat na idiskwalipika ang Akbayan	letter: rightful to disqualify Anakbayan
<12>	Matutuyuan ng tubig ang mga irigasyon sa kanayunan, pero hindi ang maruming listahan ng panlilinlang, panggagantso at pangungulimbat ng Akbayan at mga kagrupo nito sa kakapurit na ngang kabuhayan ng magsasaka.	the irrigation in the villages will be dried out of water, but not the dirty list of deceit, snatching and stealing of Akbayan and its groups to the meager livelihood of farmers.
<13>	Ang mga nalilinlang na magsasaka ang pangunahing balon ng pinagpapasasaang pondo at pekeng-kapangyarihan ng Akbayan!	the deceived farmers are the primary well of funds and fake power enjoyed by Akbayan!
<14>	Ahente ng Lupa	land agent
<15>	Laganap ang bentahan ng lupa at pagpapasuko sa karapatan ng mga magsasaka sa Southern Tagalog na pinangunahan ng Akbayan.	the selling of land is widespread and asking the farmers in Southern Tagalog to surrender their rights led by Akbayan.
<16>	Kunwang oorganisahin ang magsasaka, ibubuyo sa komprontasyon sa Department of Agrarian Reform (DAR) para diumano’y ipatupad ang peke ring reporma sa lupa na Comprehensive Agrarian Reform Program (CARP).	pretending to organize the farmers, will blow a confrontation to the Department of Agrarian Reform (DAR) as if implementing the fake land reform which is the Comprehensive Agrarian Reform Program (CARP).
<17>	Isusuong sa gasgasang-rali at mahahabang kampuhan sa harapan ng DAR.	advance a clinching rally and long camping in front of DAR.
<18>	Paglao’y sasabihing papasok na ang kanilang laban sa win-win solution sa pamamagitan ng pagtanggap ng Certificate of Land Ownership Award (CLOA) na lingid sa kaalaman ng mga magsasaka ay nauna nang nai-deal ng mga hinayupak na lider at organisador ng Akbayan sa mga panginoong maylupa at real estate developer!	and then later, their fight will be told as something in the win-win solution by receiving the Certificate of Land Ownership Award (CLOA), which is unknown from the knowledge of the farmers, has already been dealt by the animal leaders and organizers of Akbayan to the landlords and real estate developer!
<19>	Muling eeksena ang DAR sa iskemang bigay-bawi ng CLOA sa mga simpleng dahilan na non-agricultural ang lupa, not suited for agriculture, zoning ordinance at kung anu-ano pang palusot na buong-tapang-ang-hiyang tatanggapin ng Akbayan para isubo sa mga magsasaka na hayaan na lamang bawiin ang CLOA tutal ay babayaran naman sila ng damage compensation.	DAR will make a scene again in a give-taken-back scheme of the CLOA in a simple reason that the land is non-agricultural, not suited for agriculture, zoning ordinance and whatever reason which will be bravely accepted with shame by Akbayan to feed to the farmers to just let them take back the CLOA, anyway, they will be paid with a damage compensation.
<20>	Ang matututunan ng kaawa-awang si Pedro Pilapil, tanggapin na ang CLOA dahil naibebenta naman ito!	what can be learned from the pitiful Pedro Pilapil, accept the CLOA because this has already been sold!
<21>	Pagkatapos ng bayaran, paldo-ang-bulsa ng mga lider at organisador ng Akbayan sa laki ng komisyong nakuha nila sa pag-aahente ng lupa.	after the payment, the pockets of the leaders and organizers of the Akbayan are full with the huge commission that they have gotten as agents of the land.
<22>	Hindi nga ba’t ang kuwento noong kasagsagan ng bentahan ng lupa sa Cavite ay saku-sako kung magdala ng pera ang mga lider ng Unorka sa mga baryo ng magsasaka?	isn't it what the story is all about during the trend of selling lands in Cavite that the leaders of Unorka are carrying sacks of money to the villages of farmers?
<23>	Ano’t sila ang may dala ng pera?!	and who are they to bring the money?
<24>	Umiiral ang ganitong kasibaan ng Akbayan at mga kasapakat niyang grupo sa maraming lugar ng rehiyon.	this kind of gluttony of the Akbayan and its group accomplices rules in many places of the region.
<25>	Alam-na-alam ito ng mga magsasaka sa Silang, Cavite at Hacienda Yulo sa Canlubang, Calamba City.	the farmers in Silang, Cavite and Hacienda Yulo in Canlubang, Calamba City know this very well.
<26>	Rekruter ng CAFGU	CAFGU recruiter
<27>	Pangunahing ahente ng gobyerno, mga panginoong maylupa at maging ng Armed Forces of the Philippines (AFP) bilang rekruter ng CAFGU (Civillian Armed Forces Geographical Unit) ang mga pekeng samahang magbubukid ng Akbayan sa Timog Katagalugan.	the fake farmer's organization of Akbayan in Southern Tagalog is a primary agent of the government, the landlords, and even the Armed Forces of the Philippines (AFP) as recruiter of CAFGU (Civillian Armed Forces Geographical Unit).
<28>	Partikular sa lalawigan ng Quezon, ang gupong KMPB o Kilusang Magbubukid sa Bondoc Peninsula ay aktibong nakikipagsabwatan sa AFP.	particularly in the province of Quezon, the group FMBP or Farmers' Movement in Bondoc Peninsula is actively conniving with the AFP.
<29>	May mga myembro ang KMBP na myembro rin ng CAFGU.	there are members of KMBP who are also members of the CAFGU.
<30>	Sila ang makinarya ng AFP sa South Quezon at Bondoc Peninsula sa paghahasik ng itim na propaganda laban sa progresibo at militanteng samahang magbubukid sa lokalidad.	they are the machinery of the AFP in South Quezon and Bondoc Peninsula in spreading black propaganda against the progressive and militant farmer's organization in the localities.
<31>	Hindi nila ito maipagkakaila dahil halos magkakatulad ang inilalabas na pahayag ng KMBP at mga bigla na lamang sumusulpot na kung anu-anong pangalan ng samahan na ni hindi mo pa narinig kailanman.	they cannot deny this because the statement released by KMBP is almost the same and those which suddenly appear with whatever names of organization that you have not even heard before.
<32>	Kung hindi ba naman lansakan ang paghimod-sa-pwet ng AFP, maging ang mga plakard at balatenggang ginagamit ay magkakatulad.	if the AFP is not full of ass wipers, the placards and destructive forces are just the same.
<33>	Batid ng militanteng kilusang magbubukid sa rehiyon na wala sa kapasidad ang AFP na magsulat at mag-isip ng mga islogang inilalabas ng mga pekeng-samahang-magbubukid.	the militant movement of the farmers in the region knows that the AFP has no capacity to write and think slogans released by fake farmers' organization.
<34>	Kung gayon, pamalit sa mga bobong writer ng AFP ang ubod-ng-husay na mga manunulat ng Akbayan!	therefore, as replacement of the stupid writer of the AFP is the too brilliant writer of Akbayan!
<35>	Hindi maitatanggi ng AFP at mga buhong na lider ng Akbayan na nagsisilbi sila sa interes ng isa’t isa.	the AFP and the bastard leaders of Akbayan cannot deny that they are serving the interests of each other.
<36>	Kampanyang “Resign Secretary Virgilio delos Reyes”	campaign "resign Secretary Virgilio delos Reyes"
<37>	Umabot sa engrandeng pakana ang Akbayan noong upatan nito ang DAR Employee’s Association (DAREA) na manawagan sa pagre-resign ni Sec. Delos Reyes.	Akbayan reached a grand scheme when it rode with the DAR Employee's Association (DAREA) to call for the resignation of Secretary Delos Reyes.
<38>	Nangaglirang ngayon sa harapan ng DAR ang mga panawagang “Extend CARP! Sec. Delos Reyes, Resign!”	rallying now in front of DAR is the call "extend CARP! Secretary Delos Reyes, resign!"
<39>	Ang totoo – gusto lamang maipwesto ng Akbayan ang manok nilang si Arlene “Kaka” Bag-ao bilang Kalihim ng DAR!	the reality - the Akbayan only wanted to put their bet Arlene "Kaka" Bag-ao in the position as the secretary of DAR!
<40>	Ipagtataka pa ba naman ito?	should we still wonder about this?
<41>	Gayong minsan din itong pinangarap ni Risa Hontiveroz-Baraquel.	when this was even dreamed once by Risa Hontiveroz-Baraquel.
<42>	Kaya naman pinapalakpakan ng hasyenderong si Noynoy Aquino ang maniobrang ito dahil tiyak na kapag Akbayan ang umupo sa DAR ay tiyak rin na pagpipistahan nila ang nabubulok-na-bangkay ng CARP sa pamamagitan ng CARP Extension with Reforms na sila rin ang may pakana.	that is why the landlord Noynoy Aquino is applauding this maneuver because, surely, if Akbayan sits on DAR, surely, they will feast on the rotten corpse of the CARP through the CARP Extension with Reforms which they have schemed themselves.
<43>	Ang dulo – hindi maipapamahagi ang Hacienda Luisita!	the end - Hacienda Luisita will not be distributed!
<44>	Coco Levy Funds	Coco Levy funds
<45>	At dahil nasa gobyerno na ang karamihan sa mga lider at kinatawan ng Akbayan, swabeng-swabe nilang pinadaloy ang maanomalyang coco levy funds papunta sa National Anti-Poverty Commission (NAPC) na pinamumunuan ngayon ng sumemplang ang career bilang political analyst na si Joel Rocamora.	and because most of the leaders and representatives of Akbayan are in the government, they are smoothly flowing the anomalous coco levy funds towards the National Anti-Poverty Commission (NAPC) being led now by Joel Rocamora whose career as political analyst failed
<46>	Tumataginting na P56.5 bilyon ang inilipat sa opisina ng NAPC!	a glittering P56.5 billion is transferred to the office of the NAPC!
<47>	Gagamitin ito para sa tinatawag na “Poverty Reduction Roadmap of the Coconut Industry.”	this will be used for what is called as the "Poverty Reduction Roadmap of the Coconut Industry."
<48>	Ang NAPC ang nangunguna sa Presidential Task Force para raw kontrahin ang kahirapan sa bansa.	the NAPC is leading in the Presidential Task Force to fight against poverty in the country.
<49>	Kabilang dito ang “Pantawid Program” ng Department of Social Welfare and Development at Land Tenure Improvement ng DAR kung saan ay pinpondahan na mula sa general fund ng pamahalaan.	included here is the "To Pass Through Program" of the Department of Social Welfare and Development and the Land Tenure Improvement of DAR which is being funded from the general fund of the government.
<50>	Talagang walang-kahihiyan!	really shameless!
<51>	Mawisikan lamang ng pabango ang umaalingasaw na hasyenderong gobyerno ay nanakawin pati ang pera ng mga magsasaka sa niyugan.	just to sprinkle a perfume to the effusing putrid smell of the landlord government, stealing even the money of the coconut farmers.
<52>	Mga Lasenggo	drunkards
<53>	Hindi mapapalagpas ng militanteng kilusang magbubukid ang kawalanghiyaan ng Akbayan sa pamamagitan ng grupo nitong Task Force Mapalad (TFM) nang pagmartsahin nila ng 1,200 kilometro ang mga magsasaka sa Negros noong 2007.	the militant movement of farmers will never pass the shamelessness of the Akbayan through its group Task Force Fortunate (TFF) when they let the farmers of Negros march 1,200 kilometers last 2007.
<54>	Niloko na nga nila ang mga magsasaka matapos nilang kumita-ng-limpak mula sa pondong nakulimbat nila sa mga nagagantso nilang funding agency, mga taong simbahan at iba pang organisasyon nag-akalang tapat-silang-naglilingkod sa magbubukid, ay nakuha pa ng mga lider at organisador ng Akbayan na harap-harapang bastusin ang mga magsasaka.	they have already deceived the farmers after they have profited much from the funds they took from the funding agencies, church people, and other organization that they have corrupted, who believed that they are faithfully serving the farmers, the leaders and organizers of Akbayan has guts to disrespect the farmers face to face.
<55>	Noong dumating sa National Capital Region ang delegasyon ng magsasakang nagmartsa at pansamantala silang humimpil sa Caritas Manila ay pudpod ang tsinelas at makapal na ang kalyo ng mga magsasaka.	when the delegation of marching farmers reached the National Capital Region and temporarily stationed at Caritas Manila, their slippers are worn off and the callouses of the farmers are thick.
<56>	Habang ang mga tarantadong lider at organisador ng Akbayan at TFM ay nasaan?	and where are the shameless leaders and organizers of Akbayan and TFM?
<57>	Naroon sa isang hotel, nagpapalamig sa air-conditioned na kwarto at nag-iinuman!	they are in a hotel, cooling off with the air-conditioned room and drinking!
<58>	Kwentong-kutsero?	a gossip?
<59>	Hindi!	no!
<60>	Kayang patunayan ng militanteng kilusang magbubukid sa Timog Katagalugan ang istoryang ito.	the militant movement of farmers of Southern Tagalog can prove this story.
<61>	Paulit-ulit itong nagaganap sa mahahabang kampuhan ng Akbayan at mga pseudo-farmer’s organization na nabanggit sa unahan na ginagawa nila sa harapan ng DAR.	the long camping of Akbayan is repeatedly happening and the pseudo-farmer's organization mentioned earlier are doing it in front of DAR.
<62>	Pansinin na matapos ang ilang araw, may maiiiwang ilang magsasaka sa Kampuhan habang hindi mahagilap ang kanilang mga lider at organisador.	notice that after few days, there are farmers who will be left in the campsite while their leaders and organizers are nowhere to be found.
<63>	Maaring bisitahin ngayon ang katabing kampuhan ng Kasama-TK sa harapan ng DAR.	the neighboring camp of Kasama-TK in front of DAR can be visited today.
<64>	Mag-alam sa kalagayan ng mga magsasakang isinubo-sa-alanganin ng Akbayan.	know the condition of the farmers who are put in uncertainty by Akbayan.
<65>	Sila ang patunay sa kahihiyang ibinibigay ng Akbayan sa inaaping magsasaka ng bansa!	they are the evidence of the shame given by Akbayan to the oppressed farmers in the country!
<66>	Tapos na ang debate	debate is already done
<67>	Wala nang pagtatalunan kung dahil lamang ba sa magkaibang ideyolohiya, paniniwala at prinsipyo kaya may nagaganap na gyera sa pagitan ng Akbayan at mga pambansa demokratikong organisayon sa bansa.	there is no more to debate on, just because of different ideologies, belief and principle, so there is a war is happening between the Akbayan and the national democratic organization in the country.
<68>	Malaon nang tapos ang debate tungkol riyan.	the debate about that has ended already.
<69>	Hindi dapat maliitin ng sambayanang Pilipino na isang simpleng bangayang-kalye ang nagaganap na tunggaliang ito.	the Filipino nation should not belittle this happening conflict as a simple street debate.
<70>	Ang usapin ngayon ay nakatuntong sa tunay na kinakatawan ng Akbayan.	the issue now is above the real representative of Akbayan.
<71>	Nasa gobyerno sila.	they are in the government.
<72>	Ang sinumang nagtataguyod sa programa at patakaran ng gobyerno, kailanman ay hindi Kaliwa.	whoever is upholding the program and regulation of the government has never been a leftist.
<73>	Reaksyunaryo ang Akbayan.	Akbayan is reactionary.
<74>	At ang atakeng ibinibigay ng mga pambansa demokratikong kilusan sa Akbayan ay lumampas na sa ideyolohikal na usapin.	and the attacks given by the national democratic movement to Akbayan is beyond the ideological issue.
<75>	Kinatawan sila ng hasyenderong Pangulo na kinasusuklaman ng uring magsasaka at iba pang inaaping sektor sa lipunang Pilipino.	they are representatives of the landlord President which are hated by the class of farmers and other oppressed sectors of the Filipino society.
