<1>	Pagbangon at paglaban ng mga biktima ni Yolanda	rising and fighting of the victims of Yolanda
<21>	Inabot pa ng anim na araw nang magsabi ang administrasyong Aquino na mayroon na silang adjusted disaster management plan.	it took six days for the Aquino administration to say they have an adjusted disaster management plan.
<22>	“Inabot pa nang mahigit isang linggo para magkaroon ng ‘workable system’ ng pamimigay ng relief goods.	"it took more than a week to have a workable system in the distribution of relief goods.
<23>	Pero sa loob lamang ito at karatig lugar ng Tacloban.	but this is only within and in nearby places of Tacloban.
<24>	Mas magiging mahirap pa ito kung hindi tumulong ang mga pribado at dayuhan,” ayon kay Benavide.	it will be more difficult if not for the help of the private sector and foreigners," Benavide said.
<25>	Pero ayon sa mga biktima, sadyang kulang pa rin umanoa ng nakuhang tulong mula sa gobyerno.	but according to the victims, the help they got from the government was really lacking.
<26>	“Nung magdala sila ng relief goods sa amin 40 bags lang.	when they brought us relief goods, they were only 40 bags.
<27>	Eh nasa 600 katao meron sa lugar namin,” sabi ni Anna.	there are about 600 people in our place," said Anna.
<28>	Ayon naman kay Joven Pagupay, 27, taga-Eastern Samar, hindi niya masisi ang mga taong ‘nag-looting’ umano dahil sa desperasyon na nais may makain.	according to Joven Pagupay, 27, from Eastern Samar, he cannot blame the people who allegedly looted out of their desperation to have something to eat.
<29>	“Nakakadurog ng puso na makita mo na ganoon.	"it is heartbreaking to see something like that."
<30>	Nakakaawa ‘yung negosyante na tinutukan para mapasok ‘yung tindahan nila, pero nakakaawa rin ‘yung mga taong hindi pa kumakain nang ilang araw,” ani Pagupay.	"it is pitiful to see the business person whose store was entered at gun-point, but the people who have not eaten for days are also pitiful," Pagupay said.
<31>	Maliban sa problema sa pamimigay ng relief goods at hindi kaagad makolektang mga bangkay, naging isyu rin ang turuan o paninisi ni Pangulong Aquino sa lokal na gobyerno dahil sa kawalan nito ng kahandaan sa pagdating ng bagyo.	apart from the problem in the distribution of relief goods and corpses not collected immediately, President Aquino pinpointing the blame to the local government because of its unpreparedness for the coming of the typhoon also became an issue.
<32>	Hanggang sa kasalukuyan, marami pa rin ang nangangailangan ng tulong at serbisyo-medikal.	until now, there are many who need help and medical services.
<33>	Marami pa rin ang mga nagugutom at walang hanapbuhay sa mga nakaligtas sa bagyon, ayon kay Benavide.	"there are still many hungry and unemployed survivors," according to Benavide.
<34>	Marami sa kanila, balisa pa rin dahil sa kalamidad, at hindi alam kung papaano makakabangon–lalo pa’t wala silang maramdamang tulong mula sa gobyerno.	many of them are still in discomfort because of the calamity and do not know how to recover especially when they do not get any help from the government.
<35>	“Hindi namin alam kung paano kami magsisimula.	"we do not how to start"
<36>	Wala kaming trabaho, yung asawa ko mahigit 50-taon na kaya walang tumatanggap sa kanya.	we do not have jobs, my husband over 50 years old so no one accepts him.
<37>	Hindi namin alam kung paano namin bubuhayin ang tatlong anak namin.	we do not know how we can support our three children.
<38>	Kailangan namin ng trabaho o ikabubuhay,” ayon kay Lilia Singh, 44, taga-Magallanes, Tacloban City,	we need a job or a livelihood," according to Lilia Singh, 44, from Magallanes, Tacloban City.
<39>	Pansamantalang nakatira si Lilia at ang pamilya niya sa Bgy. Corazon de Jesus, San Juan City.	Lilia and her family are temporarily living in Barangay Corazon de Jesus, San Juan City.
<40>	Nangangamba raw sila dahil di nila kakilala ang kanilang mga kapitbahay.	they are fearful because they do not know their neighbors.
<41>	Lugar din ito ng nakaraang marahas na demolisyon, kung kaya natatakot din sina Lilia na pati sila’y saplitang palayasin dito ng gobyerno.	it is also the site of a previous violent demolition, so Lilia also fears that the government will forcefully evict them from here.
<42>	Nakarating sina Lilia sa Maynila sakay ng eroplanong C130 matapos dalawang araw na pumila sa airport ng Tacloban na pawang biskwit lang ang kinakain.	they reached Manila on board a C130 airplane after lining at the Tacloban airport for two days with only biscuits as food.
<43>	Korupsiyon, kakulangan ng tulong	corruption, lack of aid
<44>	Para kay Mark Lui Aquino, convener ng Tindog Network, di-makatao ang pagtrato ng administrasyong Aquino sa mga biktima ng kalamidad.	for Mark Lui Aquino, convener of Tindog Network, the treatment of the victims of calamity by the Aquino administration is inhumane.
<45>	Aniya, ano pa nga ba’t pati ang mga ahensiya ng gobyerno na may kontrol sa pasilidad na para sa mga biktima ay nasasangkot sa mga isyu ng korupsiyon.	he said even government agencies with control over the facilities for the victims are involved in issues of corruption.
<46>	Tampok na rito ang balitang overpriced at subs-standard ang ipinatyo ng gobyerno na bunkhouses para sa mga biktima.	particularly the news about the overpriced and sub-standard bunkhouses built by the government for the victims.
<47>	Samantala, itinuturing din ni Aquino na di-makatao ang pagtrato ng administrasyon sa mga nasawi: mahigit dalawang buwan na ang nakalilipas pero hindi pa rin naililibing ang marami sa mga bangkay ng nasawing mga biktima.	meanwhile, Aquino also considers the treatment of the casualties as inhumane: more than two months have passed but the remains of the dead victims have not been buried.
<48>	Ganito raw itrato ng administrasyong Aquino ang mga biktima: Biniktima na nga ng bagyo, ninanakawan pa ng mga tulong na para dapat sa kanila, ayon kay Mark.	this is how the Aquino administration treated the victims: victimized by the typhoon, robbed of the help intended for them, according to Mark.
<49>	Ayon naman sa TFUC, ang matagal na kahirapan sa rehiyon mismo na dahilan ng mga maling patakaran ng gobyerno ang lalong nagpapahirap sa kalagayan ng mga biktima.	according to TFC, the poverty in the region itself caused by the government's incorrect policies make the situation of the victims worse.
<50>	Atrasado umano ang agrikultural na sektor na pangunahing ikinabubuhay ng mga nasalanata.	the agricultural sector which is the primary livelihood of the victims is slow.
<51>	Isinisisi rin nila ang kahirapan sa pangkapaligirang mga patakaran gaya ng pagmimina na sumisira sa kalikasan sa ngalan ng tubo na pinahihintulutan ng gobyerno.	they are also blaming poverty to the environmental policies, like mining that destroys the environment in the interest of the income allowed by the government.
<52>	Administrasyong Aquino, panagutin	Aquino administration, to be charged
<53>	Sinabi ng TFUC dapat na managot ang administrasyong Aquino sa kapabayaan nito sa mga biktima ng bagyong Yolanda.	TFUC said the Aquino administration should be accountable for its neglect of the victims of typhoon Yolanda.
<54>	Itinuturo nila ang kakulangan ng kahandaan ng gobyerno bago dumating ang bagyo at ang mabagal na pagresponde ng tulong para sa mga biktima.	they are pointing to the lack of preparation of the government before the coming of the typhoon and the slow response to aid the victims.
<55>	Gayundin ang pamumulitika at korupsiyon sa oras kung kailan higit na kinakailangan ang tulong na lalong nagpapalala sa sakit at paghihirap ng mga biktima.	politicizing and corruption in times when help was badly needed aggravated the suffering and poverty of the victims.
<56>	“Bagamat totoo na ang pagpasa ng paninisi at turuan ay maaari lamang makadagdag sa pinsala at makapagpabagal ng proseso (ng pagtulong), hindi dapat natin lituhin ang ating mga sarili kung ano ang tama.	"while it is true that passing and pointing the blame can only add to the damage and slow the process (of helping), we should not confuse ourselves with what is right."
<57>	Sinasabihan tayo na gawin kung ano ang makatarungan,” sabi ng TFUC.	"we are told to do what is just," TFUC said.
<58>	Ang kapabayaang ito ng administrasyong Aquino ang sinasabing krimen, ayon sa TFUC at sa Tindog.	this negligence of the Aquino administration is allegedly a crime, according to TFUC and Tindog.
<59>	“Ang kawalan ng kahandaan ng pamahalaang Aquino bago dumating ang bagyo at ang hindi agarang pagresponde sa mga biktima para sa relief and rescue ay ang disaster na ginawa ng rehimen na lalong nagpalala at nagpahirap sa mga biktima ng bagyo,” ayon kay Benavide.	"the lack of preparation of the Aquino government before the typhoon and the not immediately responding for the relief and rescue of the victims was the disaster done by the regime worsened and afflicted the victims of the typhoon," according to Benavide.
<60>	Ayon pa kay Benavide, imbes na pagbibigay ng relief operations sa mga biktimang nagugutom ang ginawa ng mga sundalo, mas magpapanatili pa ng peace and order ang inuna kesa sa kumakalam na sikmura ng mga mamamayan.	according to Benavide, instead of the providing relief operations to the hungry victims were done by the soldiers, they prioritized the maintenance of peace and order more than the growling stomach of the people.
<61>	Pagbangon at paglaban	rise and fight
<62>	Para sa Tindog, may kailangang managot at habulin mula sa pamahalaang Aquino sa naging kapabayaan nito.	for Tindog, someone from Aquino government should be accountable and charged for its negligence.
<63>	Naririyan pa rin daw ang mga isyu ng korupsiyon at pagtatakip nito sa pananagutan at iyon ang hindi nila papayagang mangyari.	there are still issues of corruption and cover-up of liability and that is what they will not allow to happen.
<64>	“Hindi natin hahayaan na patuloy pa tayong biktimahin ng pamahalaang ito ni Aquino.	we will not allow to be continually victimized by the Aquino government.
<65>	Makikiisa tayo sa lahat ng biktima para manawagan ng katarungan at igiit ang mga karapatan natin mula sa gobyerno para sa ating mga nakaligtas at para sa mga nasawi,” ani Mark.	we will join all victims to call for justice and to assert our rights from the government for us who survived and for those who died," said Mark.
<66>	Ilan sa mga panawagan ng Tindog ang pagkakaroon ng P40,000 subsidyo para sa naging mga biktima, kabuhayan para sa mga nasalanta, bigyan ng disenteng libingan ang mga nasalanta, at tiyaking sapat ang batayang pangangailangan ng mga biktima ng kalamidad.	some of Tindog's appeals are to have a 40,000 pesos subsidy for the victims, livelihood for the devastated, a proper burial place for the casualties, and to ensure the basic needs of the victims of the calamity are adequate.
<67>	Mahigit dalawang buwan na matapos manalasa ang bagyong Yolanda mula noong Nobyembre 8, pero tila hindi pa rin natatapos ang pinsalang dulot nito sa mga biktima— buhay man o patay.	more than two months after typhoon Yolanda's destruction on November 8, but it seems the damage it brought to the victims has not yet ended - whether alive or dead.
<68>	Pero para sa mga nakaligtas, hindi sila papayag na manatiling biktima na lamang.	but for the survivors, they will not allow to remain victims.
