<1>	Isa pang Krimen ni Palparan	another crime of Palparan
<16>	Ipinamukha niya sa atin na wala tayong magagawa, hindi natin siya mapipigilan, at wala tayong kapangyarihan para papanagutin siya.	he slapped to our faces that we can't do anything, that we can't stop him, and that we don't have any power to hold it against him.
<17>	Pero ngayong umaga, mga kasama at mga kababayan, tumitindig tayo dito sa harap ng NBI dahil pinatunayan ng sambayanan na mali si Palparan.	but this morning, friends and family, we're standing here in front of NBI to prove that Palparan is wrong.
<18>	Mali si Palparan!	Palparan is wrong!
<19>	Hindi ilulutang ng gobyerno ni Noynoy Aquino si Palparan kung hindi lumalakas ang mga protesta at pagkondena ng sambayanan sa Pork Barrel King dahil sa katiwalian sa pamahalaan.	government of Noynoy Aquino will not lift Palparan unless there are strong protests and disapproval of the people to the Pork Barrel King because of his corruption in the government.
<20>	Naghahanap si Noynoy ng pampabango sa publiko at pagdidiin na si Gloria pa rin, diumano, ang kalaban.	Noynoy is searching for a way to smell good to the public, and is further condemning Gloria as the enemy, according to him.
<21>	Ilinaw natin: Hindi utang ng sambayanan sa gobyernong Aquino ang paglutang kay Palparan; matagal nang utang ito ng gobyernong Aquino sa atin!	let's make it clear: the people doesn't owe the government of Aquino for lifting Palparan; this has been a long time debt of the government of Aquino to us!
<22>	Hindi rin ilulutang si Palparan kung hindi dahil sa pagpupunyagi sa loob ng maraming taon ng sambayanan na ilantad siya bilang berdugo.	Palparan won't also be lifted if it weren't for the efforts of the people in many years to unveil him as a murderer.
<23>	Hindi ilulutang si Palparan kung hindi dahil sa pagpupunyagi sa loob ng maraming taon ng sambayanan na labanan si Gloria na mandaraya, korap, pahirap, pasista at papet.	Palparan won't be lifted if it weren't for the efforts of the people in many years to fight Gloria, a cheater, corrupt, fascist, and puppet.
<24>	Tandaan natin: inilabas ang warrant of arrest kay Palparan noong gustong ipakita ng gobyernong Aquino na seryoso ito sa pagpapanagot kay Gloria!	let's remember: warrant of arrest was drawn to Palparan when the Aquino government wanted to show how serious they are in holding Gloria responsible.
<25>	Mga kasama at mga kababayan. Hindi dito nagtatapos ang pakikibaka natin para kamtin ang katarungan at papanagutin si Palparan; ang totoo, bagong simula lang ito para sa ating pakikibaka.	friends and family. our protests to achieve peace and to hold Palparan responsible doesn't end here; in fact, this is just the start of of our protests.
<26>	Kailangan nating tiyaking walang espesyal na pagtrato sa kanya, na mahahatulan siyang maysala, at mabubulok siya sa bilangguan.	we need to assure that there will be no special treatments for him, that he will be sentenced guilty, and rot in jail.
<27>	Ang gusto lang nating sabihin: Wala mang tunay na katarungan para sa sambayanan sa ilalim ng sistemang pinaghaharian ng iilang mayaman at makapangyarihan, magagawa nating magpanagot, sa iba’t ibang paraan, lalo na ng pinakamalalaking berdugo sa sambayanan.	what we want to say: there might be no true justice for the people under the system ruled by some rich and powerful, we can make them responsible in different ways, especially the biggest murderer of the town.
<28>	Gaano man kabagal ang takbo ng gulong ng katarungan kapag para sa sambayanan, magagawa nating magpanagot!	regardless of how slow the wheel of justice for the people will turn, we can make them pay!
<29>	Ngayong araw, nagkaroon tayo ng dagdag na patunay para sabihing: Dahil patuloy na lumalaban ang sambayanan, at dahil patuloy na lumalakas ang paglaban ng sambayanan, may araw rin ang mga pasista. May araw rin sila!	this day, we have more proof to say: because of the continuous fight of the people, because of the stronger fight of the people, there will be a day for the fascists. they will have their day!
<30>	Mabuhay ang sambayanang lumalaban!	long live the people who fight!
<31>	Patuloy nating isisigaw at ipaglalaban: Katarungan, katarungan, katarungan!	we continue to shout and fight: justice, justice, justice!
<32>	18 Agosto 2014	18 August 2014
