<1>	Ika-80 kaarawan ni Dr. Bienvenido Lumbera, Guro at Artista ng Bayan, ipagdiriwang	80th birthday of Doctor Bienvenido Lumbera, teacher and artist of the people, celebrated
<15>	Maraming beses na rin nakasama si Bien sa mga pambansang kilos-protesta.	Bien has also been a part of national protests many times.
<16>	Patuloy siyang nakikibahagi sa pagsulong ng makatuwirang sahod at karapatan ng mga manggagawa.	he continues to join the movement for fair wages and labor rights.
<17>	Inilapat niya sa kanyang mga akda ang buhay at himagsik ng mga magsasaka.	he included in his writing the lives and revolt of farmers.
<18>	Naging lunan ng kanyang mga karanasan noong batas militar ang mga obrang tula at awitin.	his experiences during martial law became a vehicle for his poems and songs.
<19>	Sa lahat ng ito, isang dakilang patunay si Bien na ang sining ay marapat lamang magsilbi sa mga uring inaapi at pinagsasamantalahan, habang ito rin ay mabisang paraan upang humukin ang mamamayan na makiisa tungo sa paglaya ng bayan.	in all of this, Bien is a distinguished proof that art should serve the oppressed class and the abused, while it is an effective way of encouraging the people to unite for a national independence.
<20>	—————————————————————-	---------
<21>	Muy Bien: Guro at Artista ng Bayan	muy bien: teacher and artist of the people
<22>	“Kung tayo man ngayo’y may piring na luha	"if at present we have eyes covered with tears
<23>	Bukas, pagkamulat hanapin ang tuwa;	tomorrow, upon waking up search for joy;
<24>	Kalagin ang gapos ng ating tadhana,	break free from the chain of our destiny,
<25>	Kung kikilos tayo, tayo ay lalaya!”	if we will take action, we will be free!"
<26>	-Bien Lumbera	-Bien Lumbera
<27>	Ipagdiwang ang buhay ng guro ng bayan, itanghal ang sining ng artistang makabayan.	celebrate the life of the people's teacher, perform the art of patriotic artists.
<28>	Para sa 80th kaarawan ng Pambansang Alagad sa Sining Bienvenido Lumbera, inihahandog ang	for the 80th birthday of the National Artist Bienvenido Lumbera, to be offered is
<29>	Muy Bien: Guro at Artista ng Bayan.	Muy Bien: Teacher and Artist of the People.
<30>	Sumama sa pagpupugay at pasasalamat kay Bien sa Abril 15, 2012 3:00n.h.	join the recognition and thanks for Bien on April 15, 2012 3:00 p.m.
<31>	AS Steps, Unibersidad ng Pilipinas, Diliman.	AS Steps, University of the Philippines, Diliman.
<32>	Tampok ang kanyang mga likhang obra kasama ang Philippine Philharmonic Orchestra, Kontra-Gapi, Tanghalang Pilipino, Artists Incorporated, Dulaang UP, Los Indios Bravos, Tudla Productions, mga makabayang musikero, artista sa entablado, mga makata, mandudula, visual artists, filmmakers, at rap artists.	featured are his works together with the Philippine Philharmonic Orchestra, Kontra-Gapi, Tanghalang Pilipino, Artists Incorporated, Dulaang UP, Los Indios Bravos, Tudla Productions, patriotic musicians, stage artists, poets, playwrights, visual artist, filmmakers, and rap artists.
<33>	Sa pakikipagtulungan ng Opisina ng Presidente ng UP Diliman, UP Kolehiyo ng Arte at Literatura,	in cooperation with the Office of the President of UP Diliman, UP College of Arts and Letters,
<34>	UP Kolehiyo ng Sosyal Sayans at Pilosopiya, CONTEND-UP, CENPEG, UP Asterisk,	UP College of Social Science and Philosophy, CONTEND-UP, CENPEG, UP Asterisk,
<35>	Concerned Artists of the Philippines at Cultural Center of the Philippines.	Concerned Artists of the Philippines and Cultural Center of the Philippines.
<36>	Para sa karagdagang impormasyon, maaaring makipag-ugnayan sa telepono bilang 09088841170.	for additional information, you contact phone number 09088841170.
<37>	Hanapin si Walkie Miraña.	look for Walkie Miraña.
