<1>	Sabado, Mayo 9, 2015	Saturday, May 9, 2015
<17>	Nangangahulugan ito ng pagbibigay ng sariling oras, kakayahan, karunungan, at kahit kayamanan sa mga taong nangangailangan.	this means giving of own time, abilities, knowledge, and even wealth to the needy people.
<18>	Wala sa diksiyonaryo ng taong nagmamahal ang katagang: "Wala akong pakialam!"	"I don't care!" are words not in the dictionary of a person who loves.
<19>	Ang ikalawang katangian ng pag-ibig ay ang kakayahang magmahal sa lahat na walang itinatangi.	the second attribute of love is the capability to love all without favoritism.
<20>	May kuwento ng isang sundalong sumulat sa kanyang mga magulang na uuwi na siya at may dadalhin siyang isang kaibigang sundalo na makikitira sa kanilang bahay.	there is a story of one soldier who wrote to his parents that he is coming home and will bring one soldier friend who will live in their house.
<21>	Ipinaliwanag niya na ang sundalo ay walang dalawang paa sapagkat nasabugan ito ng landmine sa kasagsagan ng giyera.	he explained that the soldier does not have two feet because it was bombed by a landmine in the heat of the war.
<22>	Ayaw pumayag ng mga magulang at sinabing wag na lang sapagkat magiging pabigat lamang ang taong ito sa kanila.	the parents won't allow it and said not to because the person will only become a burden to them.
<23>	Iyon na ang huling pag-uusap nila.	that was their last conversation.
<24>	Paglipas ng ilang taon nagkita muli sila sa isang morgue nang mabalitaan nilang namatay ang kanilang anak sa isang aksidente at gayun na lamang ang pagkagulat nila ng makitang ang kanilang anak ay walang dalawang paa.	as years passed they met again in a morgue when they heard the news that their child died in an accident and they were utterly surprised when they saw that their child had no two feet.
<25>	Ang pagmamahal na walang itinatangi ay nangangahulugan ng pagtanggap sa ating kapwa ng walang kundisyon.	a love that has no favoritism means acceptance of our fellowman without condition.
<26>	Katulad ito ng ipinakita ni Jesus ng nag-alay siya ng kanyang buhay para sa atin lalo na sa ating mga makasalanan.	this is like what Jesus showed when he offered his life for us especially for us sinners.
<27>	Hindi Niya tiningnan ang ating depekto o pagkukulang, maging ang kapangitan bilang tao dala ng ating patuloy na pagkakasala.	he did not look at our defect or shortcoming, even our ugliness as people brought by our continuous sinning.
<28>	Ang kaligtasang ibinigay sa atin ni Jesus sa pamamagitan ng pag-aalay ng kanyang buhay ay para sa lahat ng tao: ano man ang relihiyon, lahi, kultura, kasarian, pag-uugali niyang taglay.	the redemption given to us by Jesus by offering his life is for all people: whatever religion, race, culture, gender, custom he possesses.
<29>	Dapat ang ating pagmamahal ay gayun din.	our love should also be like that.
<30>	Kalimitan, kinasusuklaman natin ang ating kaaway at malambing lamang tayo sa ating mga kaibigan.	oftentimes, we loath our enemies and we are affectionate only to our friends.
<31>	Ngunit hindi ito ang gawi ng Panginoon.	but this is not the way of the lord.
<32>	Ang Panginoon ay nagpakita ng habag at pagmamahal sa mga taong hindi kaibig-ibig, sa mga taong makasalanan.	the lord showed compassion and love for people who are unlovable, and people who are sinners.
<33>	Sana tayo rin ay kayang maghanap sa mga taong hindi nabibigyang pansin, sa mga kapus-palad, sa mga naliligaw ng landas, sa mga kapos sa pagmamahal.	we also hope that we can find people who are not given attention, the less fortunate, those who strayed from the path, those lacking in love.
<34>	Ito pa rin ang mensaheng nais niyang iparating sa atin: "Mag-ibigan kayo tulad ng pag-ibig na ipinakita ko sa inyo!" isang pag-ibig na hindi makasarili, isang pag-ibig na nakatuon sa lahat, isang pag-ibig na handang mag-alay ng kanyang sarili para sa kanyang kaibigan.	this is still the message that he wishes to deliver to us: "love each other like the love I showed you!" one love that is not selfish, one love that if focused on everyone, one love that is ready to offer itself for his friend.
<35>	Ito ang pag-ibig na ipinamalas ng Diyos sa atin at nais niyang ipakita at iparamdam natin sa iba...	this is the love shown by god to us and he wishes for us show it and make it be felt by others.
<36>	isang pag-ibig na nagsasabing may FOREVER!	one love that says there is forever!
