<1>	Ang Bitukang Manok sa Pasig, Atimonan, Daet at sa Kasaysayan ng Katipunan	Bitukang Manok in Pasig, Atimonan, Daet and the history of the Katipunan
<35>	Ang nasabing Bitukang Manok sa Pasig ang naging pulungan ng mga Katipunero noong panahon ni Bonifacio.	the said Bitukang Manok in Pasig became the meeting place of the Katipuneros during the time of Bonifacio.
<36>	Ayon kay Ed Aurelio Reyes (1952-2015) ng Kamalaysayan, noong maagang bahagi ng Mayo 1896, panahon ng peregrinasyon sa Birhen ng Antipolo, isang armada ng labimpitong bangka ang gumaod mula sa Quiapo, sakay ang mga pinuno ng iba't ibang konsehong panlalawigan ng Katipunan.	according to Ed Aurelio Reyes (1952-2015) of Kamalaysayan, in the early part of May 1896, period of pilgrimage to the Virgin of Antipolo, an armada of seventeen boats paddled from Quiapo, carrying the leaders of different provincial councils of the Katipunan.
<37>	Pinangungunahan ito ni Gat Andres Bonifacio.	it was led by Gat Andres Bonifacio.
<38>	Nakarating sila sa bahagi ng ilog na tinatawag na Bitukang Manok, at sinalubong sila ni Gen.	they reached the part of the river called Bitukang Manok, and they were welcomed by General
<39>	Valentin Cruz, sa isang pagtitipon na tinawag na "Asamblea Magna".	Valentin Cruz, to a gathering called "Asamblea Magna".
<40>	Sa Bitukang Manok idinaos ng mga Katipunero ang pulong kung saan napagpasyahan nilang simulan ang digmaan laban sa Espanya.	it was in Bitukang Manok the Katipuneros held the meeting where they decided to start the war against Spain.
<41>	Bagamat may pag-aatubili ang ilan hinggil sa pasyang ito, lalo na si Emilio Aguinaldo ng Cavite, ang Pagpapasya sa Bitukang Manok ang isang desisyong pinagkaisahan at pinagtibay ng mga Katipunero mula Batanes hanggang Cotabato.	even if some had doubts about this decision, especially Emilio Aguinaldo of Cavite, the decision at Bitukang Manok was a decision agreed on and ratified by the Katipuneros from Batanes to Cotabato.
<42>	Ayon naman ay Jose Eduardo Velasquez, ikalawang pangulo ng Kamalaysayan at batikang historyador ng Pasig na humalili kay Carlos Tech na nakapagsagawa ng panayam kay Heneral Valentin Cruz noong 1956, ang plano ng Katipunan sa matagumpay na Nagsabado sa Pasig ay pinagpulungan sa Bitukang Manok.	according to Jose Eduardo Velasquez, second president of Kamalaysayan and known historian of Pasig who replaced Carlos Tech who was able to interview General Valentine Cruz in 1956, the plan of the Katipunan in the successful Nagsabado sa Pasig was discussed in a meeting in Bitukang Manok.
<43>	Kasabay ng pagkatalo ng mga Katipunero sa Pinaglabanan sa San Juan, nagtagumpay naman ang mga Katipunero sa Pasig noong Agosto 29, 1896, araw ng Sabado.	along with the defeat of the Katipuneros in the battle of San Juan, the Katipuneros in Pasig were victorious on August 29, 1896, Saturday.
<44>	Pinangunahan ni Heneral Valentin Cruz ang mahigit dalawanglibong (2,000) Pasigenyo sa pagsalakay sa kuta ng mga gwardya sibil sa pinakamalaking garison sa labas ng Maynila.	General Valentin Cruz led the more than two thousand (2,000) Pasiguenos in attacking the fort of the civil guards at the largest garrison outside of Manila.
<45>	Nakubkob nila ang kuta, at nakasamsam doon ng tatlong armas na Remington at labimpitong ripleng de piston.	they seized the fort, and confiscated there were three Remington firearms and seventeen piston rifles.
<46>	Ang tagumpay na ito'y pinagdiriwang ng mga Pasigenyo hanggang ngayon bilang unang tagumpay ng mga Katipunero laban sa mapagsamantalang mananakop.	this victory is celebrated by the Pasiguenos up to this day as the first victory of the Katipuneros against the abusive conquerors.
<47>	Isandaang taon matapos ang tagumpay ng Nagsabado sa Pasig, nananatiling buhay sa diwa ng mga Pasigenyo ang kabayanihan ng mga Katipunero at ipinagdiwang nila ang sentenaryo nito noong Agosto 29, 1996.	one hundred years after the victory of Nagsabado sa Pasig, the heroism of the Katipuneros remain alive in the minds of Pasiguenos and they celebrated its centennial on August 29, 1996.
<48>	Ayon naman kay Pablo S. Trillana, mula sa Philippine Historical Association, sa pulong ng Mayo 4, 1896 sa Bitukang Manok, kinausap ni Supremo Andres Bonifacio si Dr. Pio Valenzuela upang kausapin si Jose Rizal hinggil sa sisimulang rebolusyon.	according to Pablo S. Trillana, from the Philippine Historical Association, in the meeting on May 4, 1896 at Bitukang Manok, Supreme Leader Andres Bonifacio talked to Doctor Pio Valenzuela to contact Jose Rizal about the starting revolution.
<49>	Naganap ang pulong nina Rizal at Valenzuela sa Dapitan sa Mindanao noong Hunyo 21-22, 1896, dalawang buwan bago ilunsad ng Katipunan ang himagsikan.	the meeting of Rizal and Valenzuela happened in Dapitan in Mindanao on June 21-22, 1896, two months before the Katipunan launched the revolution.
<50>	Tinanggihan ni Rizal ang alok ni Bonifacio, dahil para kay Rizal, hindi pa hinog ang himagsikan.	Rizal turned down the offer of Bonifacio, because according to Rizal, the revolution was not yet ready.
<51>	Animo'y sawa ang kailugan ng Bitukang Manok na isang mayor na bahagi ng Ilog Pasig.	the river at Bitukang Manok that is a major part of the Pasig River resembles a python.
<52>	Tinawag ito ng mga Espanyol noon na "Rio de Pasig" (o Ilog ng Pasig), ngunit patuloy pa rin itong tinawag ng mga mamamayan doon na Bitukang Manok.	the Spanish back then called it "Rio de Pasig" (or Pasig River), but the residents there continue to call it Bitukang Manok.
<53>	Ang Bitukang Manok ay dumurugtong sa Ilog ng Antipolo.	Bitukang Manok is connected to the Antipolo River.
<54>	Noong ika-17 hanggang ika-20 siglo, maraming lakbayan patungong Simbahan ng Antipolo ang tumatahak sa kahabaan ng Bitukang Manok.	during the 17th to 20th centuries, many trips to the Antipolo Church traveled along the length of Bitukang Manok.
<55>	Kahit ang imahen ng Our Lady of Peace and Good Voyage ay labing-isang ulit na pabalik-balik na dumaan sa Bitukang Manok.	even the statue of Our Lady of Peace and Good Voyage repeatedly passed through Bitukang Manok eleven times.
<56>	Noong ika-18 siglo, tinayuan ito ng mga mestisong Tsino ng kongkretong tulay na estilong pagoda na tinawag na Pariancillo Bridge, na sa kalaunan ay naging Fray Felix Trillo Bridge bilang pagpupugay sa kilalang pastor ng Pasig.	during the 18th century, mestizo Chinese erected on it a concrete bridge in the style of a pagoda called Pariancillo Bridge, that eventually became Fray Felix Trillo Bridge in honor of the famous pastor of Pasig.
<57>	Ang Bitukang Manok ngayon sa Pasig ay isa nang naghihingalong ilog, dahil imbis na protektahan ang ilog ay tinayuan ito ng mga komersyal na establisimyento.	Bitukang Manok today in Pasig is already a dying river, because instead of protecting the river commercial establishments were built on it.
<58>	Ito'y nasa 3.6 kilometro mula sa kinatatayuan ng McDonalds hanggang sa kinatatayuan ng pabrikang Asahi Glass sa Pinagbuhatan sa Pasig.	it is about 3.6 kilometers from where a McDonalds is located up to where the factory of Asahi Glass in Pinagbuhatan in Pasig stands.
<59>	Tulad ng iba pang mahahalagang pook sa bansa, makasaysayan ang Bitukang Manok sa Pasig at hindi ito dapat mawala o masira.	like many important locations in the country, Bitukang Manok in Pasig is historical and should not disappear or be ruined.
<60>	Dapat itong pahalagahan ng henerasyon ngayon at ng mga susunod pang henerasyon.	it should be valued by the generation today and by future generations.
