<1>	Biyernes, Disyembre 25, 2015	Friday, December 25, 2015
<17>	Ito pa naman ang ipinambubuhay niya sa kanyang pamilya kaya't nagsumamo siya sa Diyos na iligtas ang kanyang mga baboy sa kamatayan.	they were what he used as livelihood for his family so he implored to God to save his pigs from death.
<18>	Sumagot naman ang Diyos at sinabing: "Sige, bukas na bukas din ay gagaling ang iyong mga alagang baboy ngunit may isang kundisyon, bukas pagkagising mo ay makikita mo ang iyong sarili sa kulungan ng mga baboy.	God answered and said: "sure, tomorrow your pet pigs will get better but there is one condition, tomorrow when you wake up you will see yourself in the pen of the pigs.
<19>	Kasama ka nilang kakain, matutulog at magpapagulong-gulong sa kanilang dumi, sa madaling salita...	you will eat, sleep, and roll in the dirt with them, in simpler terms...
<20>	magiging baboy ka rin!"	you will become a pig too!"
<21>	Napaisip ang lalaki at pagkatapos ng ilang sandali ay nagdasal: "Lord, kunin mo na lang ang mga baboy ko!"	the man was made to think and after a few moments prayed: "Lord, please just take my pigs!"
<22>	hehehe... Ikaw kaya ang malagay sa kanyang sitwasyon, papayag ka ba na maging baboy?	hehehe... if you were placed in his situation, will you agree to become a pig?
<23>	Kung ating iisipin ang tao at baboy ay parehong hayop.	if we think about it humans and pigs are both animals.
<24>	Mas mataas lang ang tao sapagkat siya ay hayop na nag-iisip!	the man is just superior because he is an animal that thinks!
<25>	Tanggalin mo ang kanyang kakayahang mag-isip at mag-aasal hayop siya!	remove his ability to think and he will act like an animal!
<26>	Kaya nga't hindi ganun ka-imposible ang tao na magiging baboy.	so a man becoming a pig is not that impossible.
<27>	Ngunti ang Diyos na maging tao ay hindi saklaw ng tamang pag-iisip.	but God becoming human is not comprehended by normal thinking.
<28>	Paanong ang MANLILIKHA ay ibaba ang kanyang sarili at magiging isang nilikha?	how can the creator lower himself and become a creation?
<29>	Tanging Diyos lang ang makapag-isip ng ganyan!	only God can think of that!
<30>	Bakit ninais ng Diyos na maging isang nilikha sa kabila ng kanyang kadakilaan?	why did God want to become a creation despite his greatness?
<31>	Ang sabi ni San Juan ay ito...	what Saint John said is this...
<32>	"Gayon na lamang ang PAG-IBIG ng DIYOS sa mundo kaya't ibinigay Niya ang kanyang bugtong na Anak."	"such is the love of God for the world that he gave his only son."
<33>	(Jn 3:16) Kung gayon ay ito ang dahilan ng paggiging nilikha ng Diyos: dahil sa laki ng pagmamahal Niya sa ating mga makasalanan!	(John 3:16) so that is the reason for God becoming a creation: because of the greatness of his love for us sinners!
<34>	Mga kapatid tuwing Pasko ay ipinaaalala ng Diyos sa atin ang kanyang dakilang regalo: ang kanyang bugtong na anak...	brothers, every Christmas God reminds us of his great gift: his only son...
<35>	si Jesus na nagkatawang-tao!	Jesus, who took human form!
<36>	Ano naman ang regalo ko sa kanya?	what is your gift to him?
<37>	Kung ang Diyos ay nagsakripisyo para sa akin ay nararapat lang siguro na ako rin ay magsakripisyo para Kanya.	if God sacrificed for me it is perhaps only right that I also sacrifice for him.
<38>	Ang kanyang katapatan ay dapat ko ring suklian ng katapatan, ang kanyang pagmamahal ng aking pagmamahal.	I should answer his loyalty with loyalty, his love with my love.
<39>	May nagawa na ba akong kabutihan sa aking kapwa ngayong Pasko?	have I done any good for my neighbor this Christmas?
<40>	Naglaan ba ako ng oras sa aking pamilya upang makapiling sila ngayong Kapaskuhan?	have I set time for my family to spend time with them this Christmas?
<41>	Binati ko na ba ang mga taong may sama ako ng loob?	have I greeted the people I have grudges for?
<42>	Nagpatawad na ba ako sa mga nagkasala sa akin?	have I forgiven those who have wronged me?
<43>	Ang Salitang nagkatawang-tao ay humahamon sa atin na gawin nating makatotohan ang ating pagmamahal.	the word incarnate challenges us to make our love realistic.
<44>	Ipakita sa gawa ang pagkakatawang-tao ng Salita!	show through action the incarnation of the word!
<45>	At ngayon ngang Taon ng Jubileyo ng Awa ay may pagkakataon tayong gawing "incarnate" ang Salita ng Diyos sa pamamagitan ng pagbabahagi ng Kanyang awa.	and now in the jubilee year of mercy we have the chance to make "incarnate" the word of God through sharing his mercy.
<46>	Ang Salitang nagkatawang-tao na nasa katauhan ng Sanggol na isinilang sa Bethlehem ang mukha ng AWA NG DIYOS.	the word incarnate that is in the persona of the child born in Bethlehem is the face of the mercy of God.
<47>	Hingin natin na sana tayo rin ay maging "mukha ng Kanyang Awa" sa ating kapwa.	let us ask that we also become the "face of his mercy" to our neighbor.
<48>	"Merciful like the Father" ang tema ng Taon ng Jubileyo ng Awa.	"merciful like the father" is the theme of the jubilee year of mercy.
<49>	Ang bawat isa sa atin ay tinatawagang maging katulad ni Jesus.. ang MUKHA NG AWA NG AMA.	each one of us is called to become like Jesus. the face of the mercy of the father.
