<1>	Living by the Honor Code: My personal experience (Part 3)	Living by the Honor Code: My personal experience (Part 3)
<13>	Agad din naman namin itong dinadala sa PENRO office sa Malolos upang i-turn over sa kanila.	we have been immediately bringing this to the PENRO office in Malolos to be turned-over to them.
<14>	Ang masaklap nga lang, nababalitaan din namin na na-release at naglaho ring parang bula yong pinagpaguran naming huli.	but the bitter part is, we are hearing the news that those we have tiresomely caught are released and also vanished like bubbles.
<15>	Tila merong 'mahika' bakit nangyari yon.	seems there is magic why it happened.
<16>	Dahil doon, nagpasya kami na sa Fort Magsaysay na dadalhin ang mga trak na mahuli.	because of that, we decided that the trucks we caught will be brought to Fort Magsaysay.
<17>	Don kasi sa kampo ay meron ding Task Force na ang katuwang ng DENR para protektahan ang kalikasan.	because there in camp, there is also a Task Force whose in support of the DENR to protect the environment.
<18>	Kaya namin gusto na doon ang turn-over ng trak dahil wala ring 'are-areglo' ang mga boss doon sa 7ID sa mga panahong iyon.	so we wanted that the turn-overs of the trucks would be there because the bosses there do not have settlements at 71D on those times.
<19>	Naging cat and mouse ang laro ng mga quarry operators at ng aming hanay.	the game of the quarry operators and our rank became a cat and mouse chase.
<20>	Gumawa sila ng mga taktika kagaya ng paggamit ng bagong lusutan na mga daanan.	they made tactics such as using new roads to pass through.
<21>	Mabuti na lang, ang mga inis ding mga residente ang mismong nagturo sa amin kung saan at kelan abangan ang mga nakikipagpatintero sa amin na mga illegal quarry operators.	good thing, those angry residents themselves pointed to us where and when to anticipate the illegal quarry operators who are playing tag and chase with us.
<22>	Para masiguradong mahinto mismo ang pagdi-dinamita nila at pagtibag ng mga bato doon sa mismong quarry site, nagpasya akong magpatrol para i-surprise ko sila doon.	to make sure their use of dynamite itself would be stopped and the quarry of rocks there in the quarry site itself, I decided to patrol to surprise them there.
<23>	Sa madaling salita, ginulantang namin ang mga tao doon sa mismong quarry site at nahuli namin ang kanilang mga kagamitan pati mga pampasabog at mga low-powered fireams.	in summary, we surprised the people there in the quarry site itself and confiscated their equipment as well as their explosives and low-powered firearms.
<24>	Ang insidenteng iyon ang naging hudyat na mahinto ang quarry operations sa lugar, na syang rason kung bakit natapyasan ng malaki ang isang bahagi ng bundok.	that incident became a signal to stop the quarry operations in the place which became the reason why a part of the mountain was largely cleft off.
<25>	Ramdam ko ang galit nila sa aming ginawang pagpahinto sa kabastusan nila sa kalikasan.	I felt their anger at the stoppage that we have done against their disrespect towards nature.
<26>	Ang areglo	the settlement
<27>	Isang hapon noon nang merong dalawang bisitang nagdatingan para bisitahin ako sa opisina.	it was afternoon then when there were two visitors who had been arriving to visit me in the office.
<28>	Nagkataon na kasama ko sa mga oras na iyon ang aking Company Commander na si Lt Aquino at ang kanyang mistah na si Lt Jono Pasamonte.	by chance, on those hours, I was with my Company Commander who is Lt Aquino and his colleague Lieutenant Jono Pasamonte.
<29>	Lumapit sa amin ang aming First Sergeant na si Msg Rufo Guigue na syang unang kumausap sa bisita na noon ay nag-aantay sa tindahan sa labas.	our First Sergeant who is Msg Rufo Guige approached us who had first talked to the visitor who was then waiting at a store outside.
<30>	"Sir, andyan yong isang quarry operator.	"sir, one quarry operator is there.
<31>	Me dalang alak at mga pagkain," sabi nya.	has brought alcohol and foods," he said.
<32>	"Makipag-ayos ata kasi nahuli natin iyong bago nyang trak na ngayon ay nasa Fort Magsaysay."	"might want to make a settlement because we caught his new truck which is now in Fort Magsaysay."
<33>	Naka-smile ang dalawa kong upperclass at agad nakaisip ng isang 'maitim na plano'.	two of my upperclassmen had smiled and had immediately thought of a dark plan.
<34>	"Ganito gawin natin Harold.	"we would do this, Harold.
<35>	Ikaw umupo sa aking table at kunwari ikaw ang CO.	you sit at my table and pretend you are the CO.
<36>	Pakinggan mo lang kung ano ang sabihin nila at desisyunan mo," sabi ni Lt Aquino.	just listen to whatever they say and decide on it," said Lieutenant Aquino.
<37>	"Makikinig kami dito sa kwarto ha.	"we will be listening here in the room.
<38>	Ayusin mo," dagdag ni Lt Pasamonte na tumatawa habang dali-daling pumasok sa kwarto sa gilid lang mismo ng opisina.	do it well," Lieutenant Pasamonte added who had been laughing while quickly entering the room beside the office itself.
<39>	Kinuha ko naman yong paborito kong yantok at isinandal ko sa gilid ng mesa.	I took my favorite rattan and leaned it beside the table.
<40>	"First, papasukin mo na sila at antayin ko dito sa loob," sabi ko naman kay Msg Guigue, ang aking napakagaling na First Sergeant.	"first, let them in and I will wait for them here inside," as I also tell Msg Guigue, my good First Sergeant.
<41>	Nakayuko at tila nahihiya ang dalawang matabang lalaki na pumasok sa aming opisina.	bowed down and seemed shy, the two fat men entered our office.
<42>	Tiningnan ko sila mula ulo ng paa.	I looked at them from head to foot.
<43>	Ang lalaki ng kulay gintong mga alahas na suot, at nakasukbit ng cellphone.	the man with golden jewelries worn and a cellphone tucked in.
<44>	Sa pakiramdam ko noon ay tila may lagim na ikakalat sila sa aming kampo.	my feeling then seemed that they were going to spread gloom in our camp.
<45>	Malikot ang mga mata noong isa at tila ini-estima ang aking hitsura.	one had naughty eyes and seemed to have been estimating my look.
<46>	"Magandang hapon po sir.	"good afternoon, sir.
<47>	Ang bata po pala ng CO ng mga Rangers dito.	the CO of the Rangers here is still too young.
<48>	Naku po, akala ko kasing edad namin," bolatik noong isa na sobrang halatang Bulakenyo kung magsalita.	oh, I thought of the same age as ours," flattery of the one of them who was distinctly from Bulacan when he spoke.
<49>	"Magandang hapon din ho.	"Good afternoon too.
<50>	Ano bang maipaglilingkod ko sa inyo at napagawi kayo dito sa aking kampo?"	what can I do for you since you happened to pass by here in my camp?"
<51>	"Ganito po, gusto lang po sana naming makipagkaibigan sa inyo.	"like this, we just wanted to make friends with you.
<52>	Me dala po kami dineng sugpo at Black Label, magugustuhan nyo po ito," sabi ni Mr Alahas na humihingal habang nagsasalita, na tipong aatakehin na sa puso sa sobrang katabaan.	we have brought lobster here and Black Label, you are going to like these," Mr. Jewelry said who was panting while speaking, who seemed to be going to have a heart attack due to obesity.
<53>	"Ay naku sorry po.	"Oh, I'm sorry.
<54>	Sa totoo lang, hindi po ako umiinom.	in fact, I do not drink.
<55>	Di ko type ang uminom pero kumakain ako ng sugpo.	it is not my type to drink but I eat lobsters.
<56>	Ganon pa man, derecha na tayo, ano po ba ang sadya nyo sa akin?"	nevertheless, let's make this direct. what is your purpose in seeing me?"
<57>	Napansin ko nagsisikuhan sila sa upuan.	I noticed they were shrugging elbows at each other on their seats.
<58>	Nagtutulakan sino ang magsasalita.	pushing each other as to who will be the one to speak.
<59>	Mukhang napilitan na namang magsalita si Mr Alahas.	seems Mr. Jewelry is forced again to speak.
<60>	"Sir, makikiusap po sana kami na kung pwede po ay maibalik na yong trak namin na nasa Fort Magsaysay.	"Sir, we want to plead if it is possible to return our truck which is in Fort Magsaysay.
<61>	Gusto rin po sana naming maipagpatuloy ang konting hanap-buhay naming nahinto," sabi nya.	we also want to continue our small livelihood which was stopped," he said.
<62>	"Kuyang, tungkol po sa trak, doon na po nyo yon i-claim sa Fort Magsaysay.	brother, about the truck, you claim it there at Fort Magsaysay.
<63>	Kinakasuhan po kasi kayo ng illegal quarrying eh.	you are charged with illegal quarrying.
<64>	Paano naman kasi protected area yang Mt Mabio.	how is it, because Mt. Mabio is a protected area.
<65>	Di na kayo nakonsensya na tapyasin nyo at sirain yon?"	did you not have any conscience to cleave and destroy it?"
<66>	"Naintindihan naming bawal po sir.	"we understand it is prohibited, sir.
<67>	Pwede naman pong mapag-usapan yon kagaya ng ginagawa namin sa mga kaibigan nating mga opisyales dito.	that can be discussed similar to what we do with our friends who are officials here.
<68>	At.... ganito sir, di sa pag-aano, kaya po naming itabi para sayo ang P5,000.00 per truck na makargahan natin."	and... so sir, not to be forward, we can set aside for you P5,000.00 per truck that we fill."
<69>	Iyon na nga.	that's it.
<70>	Grabe ang inis ko dahil sa offer na maging parte ako sa kabulastugan nila sa pamamagitan ng pagtanggap ng lagay.	my anger is too much because of the offer that I become part of their foolery by accepting bribery.
<71>	Mantakin mo ba naman, minimum 5 na trak daw ang makargahan sa isang gabi.	just imagine, a minimum of 5 trucks being loaded in one night.
<72>	Mabilisang pagyaman yon, pikitan lang ng mata!	rapid way of getting rich, just closing an eye!
<73>	"Pare, wala akong pakialam sa pera nyo.	"mister, I do not care about your money.
<74>	Wag nyo kaming turuan ng kalokohan.	do not teach us foolishness.
<75>	Nakita mo yang yantok?	did you see that rattan?
<76>	Wag nyong antayin na magamit yan na pang-desisyon!"	do not wait for that to be used in decision-making!"
<77>	Sa pagkakataon na yon, di nakatiis na lumabas si Lt Pasamonte sa kanyang lungga.	in that moment, Lieutenant Pasamonte could no longer resist going out from his hiding place.
<78>	"Sanamagan, ano ba talaga gusto nyo ha?"	"son of a gun, what do you really want?"
<79>	Tila nakakita ng tigre, dali-daling nagsipagtayuan ang dalawang bisita at lumabas sa pintuan.	as if having seen a tiger, the two visitors stood up quickly and went out through the door.
<80>	"Hindi po sir.	"no, sir.
<81>	Hindi po sir.	no, Sir.
<82>	Wag po.	don't.
<83>	Hayaan nyo na po!"	just let it be!"
<84>	Nang umarangkada na ang sasakyan ng dalawa, grabe ang halakhakan ng dalawa kong upperclassmen sa PMA.	when the vehicles of the two revved up, my two upperclassmen in PMA laughed hilariously.
<85>	"Kakatakot ka palang CO!	"you are a frightening CO!
<86>	Tama yon, wag kang magpadala sa mga mokong na iyon!"	that is right, do not be swayed by those fools!"
<87>	Sa unang pagkakataon noong 1996, complete stop ang marble operations sa Mt Mabio na parte sa Biak na Bato National Park.	for the first time last 1996, the marble operations in Mt. Mabio which is part of the Biak na Bato National Park completely stopped.
<88>	Naisip ko, siguro naka-smile ang kaluluwa ni Emilio Aguinaldo dahil sa 'tagumpay' na aming nakamtan sa mga panahong iyon.	I thought, perhaps the soul of Emilio Aguinaldo is smiling because of the success that we have achieved in those times.
