<1>	BAWAL PERO NAGPAPATULOY: JUETENG, SUHOL, PAGPAPAPUTOK	prohibited but still continues: gambling, bribes, explosives
<28>	At aking natuklasang walang nabawas sa aking pagkatao; o nabawas sa pagdama sa biyaya ng Diyos –kahit wala akong sinindihang isa mang pailaw, o sawa, o fountain, gaya ng akin nang nakagisnan hanggang 2012-2013.	and I discovered that my character was nothing less; or that there was no decrease of received blessings from the Lord - even if I don't light up bulbs, or snake, or fountain, like with how I'm used to from 2012-2013.
<29>	Pagkakasama-sama namin sa pamilya ang nagpapasaya, hindi ang paputok.	spending time with our family, not firecrackers, causes joy.
<30>	Kung magkaganoon, dapat magmula mismo sa may katawan ang kagustuhang umiwas sa pagpapaputok at hindi ang tuwirang pagbabawal– partial man o total ban.	if it's like that, the initiative to avoid explosives should come from own self, and not from the ban - may it be partial or total ban.
<31>	Dapat maging pangmaramihang kaisipan ang pag-iwas sa pagpapaputok at sa kamalasang hatid nito sa mga biktima.	the mindset to avoid explosives and to the misfortunes it bring to the victims should be realized by many.
<32>	Tanging mabisang kampanya lamang laban sa pagpapaputok ang magiging susi.	only an effective campaign against explosives is the key.
<33>	Ang firecrackers ban ay isang konkretong hakbangin upang masawata ang problema.	firecrackers ban is a concrete step to solve the conceal the problem.
<34>	Subalit batid nating mga Filipino na mahirap kalabanin ang isang tradisyon o kaisipan.	but we, Filipinos, know that it's hard to go against tradition and mindset.
<35>	Gaya ng jueteng na bahagi na raw ng kulturang Pinoy; o ng pagtanggap ng suhol tuwing eleksyon na may aspetong ekonomikal sa botanteng Filipino; o ang ideya ng pagpapaputok tuwing paghihiwalay ng taon ay may elementong kultural, kaugalian, o kaisipang Pinoy.	like gambling which is supposedly a part of Filipino culture; or accepting bribe every election, which has an economical aspect for Filipino voters; or the idea of using firecrackers every end of the year has elements of Filipino culture, character, and mentality.
<36>	Kung magkaganoon, hindi ito madadaig ng regulasyon o pagbabawal lang.	if that's the case, this can't be stopped by a regulation of a prohibition.
<37>	Ang tanging lulupig sa isang kaisipan ay isang mas matalinong kaisipan.	the only thing that will overcome this is smarter thinking.
<38>	Ang pag-educate sa tao — botante man, o mananaya sa jueteng o nagpapaputok—upang maliwanagan sila, ang susi upang sila na mismo ang magsimula ng pagbabago at matalinong kaugalian.	to educate people- voters, gamblers or those who use explosives - to explain to them is the key for them to start the change and have a smart practice.
