<1>	Si Rex at ang Kanyang Pamilya	Rex and his family
<20>	Ang pambayad sana sa pagpa-repair ng laptop ko ay ibinigay ko na lang sa kanya at sinabihan ko siyang kapag natanggap sa trabaho ay ipagpatuloy niya ang ginagawa niyang pag-alaga sa mga kapatid at maysakit na nanay.	The payment meant for repairing my laptop I instead gave to him and I told him that if he is accepted for the job that he continue what he is doing caring for his siblings and sick mother.
<21>	Sa patuloy na pagkuwento niya, maliit pa lang daw sila ay iniwan na sila ng tatay nila, kaya kung saan-saan daw sila tumira, pati sa bangketa ng Baclaran hanggang makarating sila sa Imus kung saan ay nakakita sila ng matalahib na bukid.	As he continues to tell his story, even when they were small their father left them, so they lived from place to place, even by the sidewalk in Baclaran until they reached Imus where they found a grassy field.
<22>	Nagpaalam daw sila sa may-ari ng lupa bago naglinis ng lalagyan nila ng tulugan – actually, tarpaulin na nagsilbing bubong.	they asked permission from the landowner before cleaning a place for their bedding - actually, tarpaulin that served as roof.
<23>	Mga karton na palagi nilang dala ang higaan nila.	Cartons that they always brought were their bed.
<24>	Nakaipon ng mga kahoy ang dalawa niyang kapatid na namumulot ng junks kung walang pasok kaya unti-unti nilang nabuo ang kubo.	his two siblings who pick up junk when there are no classes were able to gather wood so they were slowly able to build their hut.
<25>	Noon ay tumambay daw siya sa Imus market upang magkargador at magtawag ng pasahero sa termina ng jeep.	back then he hung out at Imus market in order to become a porter and call for passengers at the jeep terminal.
<26>	Pinayagan silang magtanim ng gulay sa paligid at ang tubig na pandilig ay galing sa poso (deep well pump) ng may-ari ng lupa.	they were permitted to plant vegetables along the area and the water for sprinkling comes from the well (deep well pump) of the landowner.
<27>	Nang magkaroon ng pagkakataon ay nag-aral siya ng Refrigetation sa TESDA.	When the opportunity came he studied refrigeration at TESDA.
<28>	Ang TESDA certificate ang ginamit niya bilang patunay ng tinamong educational attainment sa pag-apply ng trabaho bilang merchandiser.	he used the TESDA certificate as proof of the educational attainment he obtained in applying for work as merchandiser.
<29>	Kahit matanggap bilang merchandiser, magtitinda pa rin daw siya ng kangkong at talbos ng kamote sa madaling araw.	even if accepted as merchandiser, he will still sell swamp cabbage and sweet potato tops in the early dawn.
<30>	Kung palarin, baka madadagdagan ang paninda niya ng kalabasa dahil ilang buwan na lang ay malalaki na ang bunga.	if lucky, maybe his merchandise may increase to include squash because in several months the fruits will be bigger.
<31>	Nag-usap na daw sila ng mga kapatid niya kung paano silang makatulong sa pag-ani ng mga talbos tuwing hapon na ibebenta naman niya sa madaling araw.	he and his siblings already spoke on how they would be able to help in harvesting the tops every afternoon that will then be sold in the early dawn.
<32>	Ang dalawa niyang kapatid ay sa isang public school na nasa tabi ng LTO-Imus, nag-aaral…naglalakad sila sa pagpasok at pag-uwi.	his two siblings study in a public school that is near LTO-Imus. they walk going to class and back home.
<33>	Si Rex ay 23 years old, sinundan siya ng 9 na taong gulang na kapatid na lalaki at ang bunsong babae ay 7 years old naman…ang nanay naman nila ay 52 years old.	Rex is 23 years old, followed by his 9 year old brother and the baby sister is 7 years old... their mother is 52 years old.
<34>	Nangako akong papasyalan ko sila dahil alam ko naman ang binanggit niyang bukid.	I promised to visit them because I know the field he mentioned anyway.
<35>	Kung ang KARAMIHAN MAN LANG SANA ng mga kabataang Pilipino ay tulad nina Rex at mga kapatid niya, SANA AY WALANG GAANONG PROBLEMA ang ating bansa….	if only majority of the Filipino youth are like Rex and his siblings, our country may not have that many problems...
