<1>	Pag-aangkop (Adaptasyon)	adaptation (adaptation)
<17>	c. Adaptation - Is a process by which strategies to moderate, cope with and take advantage of the consequences of climatic events are enhanced, developed, and implemented.	c. adaptation - is a process by which strategies to moderate, cope with and take advantage of the consequences of climatic events are enhanced, developed, and implemented.
<18>	(UNDP, 2005)	UNDP, 2005
<19>	d. Adaptation - The process or outcome of a process that leads to a reduction in harm or risk of harm, or realisation of benefits associated with climate variability and climate change.	d. adaptation - the process or outcome of a process that leads to a reduction in harm or risk of harm, or realization of benefits associated with climate variability and climate change.
<20>	(UK Climate Impact Programme (UKCIP, 2003)	UK Climate Impact Program (UKCIP, 2003)
<21>	Kung ibubuod ang mga kahulugang ito, ang adaptasyon ang mga hakbang upang umangkop sa mga nagaganap na pagbabago sa kapaligiran nang isinasaalang-alang ang kaligtasan ng buhay at mapababa ang panganib ng sakuna.	if definitions were summarized, adaptation are the steps to adapt to the changes happening in the environment taking into consideration the safety of lives and to reduce the risk of disaster.
<22>	Sa karaniwang masa, napakakumplikado ng mga terminong ito ng agham, ngunit madali naman nila itong mauunawaan kung ipapaliwanag sa kanila ito sa mga payak na salita.	for the common people, these scientific terms are very complicated but they can easily be understood if they are explained in simple words.
<23>	Simple lamang naman kung ano ang adaptasyon - umangkop ka sa kalagayan.	what adaptation means is just simple - adjusting to the condition.
<24>	Ibig sabihin, kung mababa ang iyong kinalalagyan, pumunta ka sa mas mataas na kalalagyan, o kaya naman ay itaas mo ang kinalalagyan mo.	it means, if your position is low, go to a higher position, or raise your position.
<25>	Kung mahuna na o magato ang materyales ng iyong tahanan, aba'y gawan mo ng paraan kung paano ito magiging matibay.	if the materials of your house are already weak or dilapidated, you make a way to make it durable!
<26>	Maaaring palitan mo ng bagong kahoy ang mga mahuhuna at ginagato na, o kaya naman ay gawin mo nang bato ang iyong dingding na sawali.	you may replace the already weak and dilapidated with new wood, or make your woven bamboo walls concrete.
<27>	Halimbawa, laging binabaha sa Dagat-Dagatan, ang ginawa ng mga tao ay tinaasan ang kanilang bahay para pag bumaha ay hindi aabot sa kanilang sahig.	for example, it is always flooding in Dagat-Dagatan, what the people did was make their house higher so when it floods, it would not reach their flooring.
<28>	Dumating din ang panahong tinambakan na ang mababang lupa at ginawang sementado sa pamamagitan ng pamahalaang lokal.	the time also came when low-lying lands were filled and were cemented care of the local government.
<29>	Gayunman, hindi ganito kadali, lalo na't kaligtasan ng buhay ang nakasalang, at di sampung tao lamang ang pinag-uusapan dito, kundi milyong tao.	however, this is not so easy especially when survival is at stake, and not only ten people are being talked about here but millions of people.
<30>	Kaya marapat lamang itong pagtuunan ng pansin, pag-aralan at paghandaan, di lamang ng pamahalaan, kundi ng mismong mga taong direktang maaapektuhan.	so it is deserving to receive attention, to be studied and prepared for, not only by the government, but by the very people who will be directly affected.
<31>	Hindi maaaring ang mga ibon ang magpapasiya sa kapalaran ng mga isda.	it cannot be birds who will decide the fate of the fish.
<32>	Dapat mismong ang taumbayan ay kasama sa pagdedesisyon sa kanilang kapalaran at kaligtasan.	the people themselves must be involved in deciding their fate and safety.
<33>	Noong 2009, nilikha ang Climate Change Commission (CCC) ng Pilipinas sa pamamagitan ng Batas Republika 9729 (Climate Change Act of 2009).	in 2009, the Climate Change Commission (CCC) of the Philippines was created through Republic Act 9729 (Climate Change Act of 2009).
<34>	Ito ay binubuo ng 23 ahensya ng gobyerno, lokal na pamahalaan, at kinatawan ng akademya, sektor ng negosyo at mga NGOs.	this is comprised of 23 government agencies, local government units, and representatives from the academe, business sectors and NGOs.
<35>	Ang Komisyong ito ang may mandatong magsagawa ng opisyal na National Framework Strategy on Climate Change (NFSCC) at ang National Climate Change Action Plan (NCCAP).	the Commission has the mandate to implement an official National Framework Strategy on Climate Change (NFSCC) and the National Climate Change Action Plan (NCCAP).
<36>	Ang Pangulo ng Pilipinas ang siyang namumuno sa Komisyong ito.	the president of the Philippines leads this commission.
<37>	Ang NCCAP ay nilikha upang isulong ang abotkayang programa ng pagkilos para matugunan ang adaptasyon at mitigasyon sa isyu ng nagbabagong klima.	the NCCAP was created to promote a reasonable program of action to address adaptation and mitigation on the issue of climate change.
<38>	Ang pitong istratehikong dapat pangunahing tugunan nito ay ang isyu ng mga sumusunod:	the seven strategies should mainly address the following issues.
<39>	1\. Seguridad sa pagkain (food security)	1. food security (food security)
<40>	2\. Kasapatan sa tubig (water sufficiency)	2. water sufficiency (water sufficiency)
<41>	3\. Pangkapaligiran at pang-ekolohiyang katatagan (environmental and ecological stability)	3. environment and ecological stability (environment and ecological stability)
<42>	4\. Kaligtasan sa tao (human security)	4. human security (human security)
<43>	5\. Kapana-panatiling enerhiya (sustainable energy)	5. sustainable energy (sustainable energy)
<44>	6\. Mapag-angkop sa Klimang Industriya at Serbisyo (Climate-Smart Industries and Services)	6. climate-smart industries and services (climate-smart industries and services)
<45>	7\. Pagpapaunlad ng Kaalaman at Kakayahan (Knowledge and Capacity Development)	7. knowledge and capacity development (knowledge and capacity development)
<46>	Mandato rin ng CCC na magbigay-tulong sa mga pamahalaang lokal sa paglikha ng mga ito ng LCCAP (local climate change action plan).	it is also the mandate of the CCC to provide assistance to local government units in creating these LCCAP (local climate change action plan).
<47>	Ano ang ating papel bilang organisasyon?	what is our role as an organization?
<48>	Una, ang komite sa adaptasyon ng Philippine Movement for Climate Justice (PMCJ) ang tumatayong kinatawan ng mga progresibong organisasyon upang tiyaking ang mga patakaran ng pamahalaan kaugnay sa isyu ng adaptasyon at nagbabagong klima ay maayos na naisasakatuparan.	first, the committee on adaptation of the Philippine Movement for Climate Justice (PMCJ) is the acting representative of progressive organizations to ensure that policies of the government in connection with the issue on adaptation and climate change are properly implemented.
<49>	Ikalawa, maging kritikal at mapanuri, na ang ginagawa ng pamahalaan ay hindi sapat hangga't hindi nasisingil ang mga mayayamang bansa sa kanilang mga pananagutan.	second, to be critical and discerning that what the government is doing is not enough unless rich nations are charged with their responsibilities.
<50>	Ikatlo, ang nagaganap na pagbabago ng klima ay dahil sa isang sistemang hindi inuuna ang kapakanan ng sambayanan kundi tubo para sa iilan, iilang bansa, iilang sektor (business sector), iilang tao (mayayaman), sistemang walang pagsasaalang-alang sa kinabukasan ng higit na nakararami.	third, the climate change happening is due to a system that does not prioritize the welfare of society but the interest of the few, some nations, some sectors (business sector), a few people (rich), a system that does not consider future of the vast majority.
<51>	Ikaapat, pagsusulat at pagpapaabot sa pamamagitan ng mass media ng paninindigan at pagsusuri ng PMCJ sa mga nagaganap, tulad ng bantang pasasabugin (blasting) ng mga kabahayan sa danger zones para ilipat ang mga tao sa death zone.	fourth, writing and extending through mass media the stand and criticism of PMCJ on what are happening like the threat of blasting (blasting) of households in danger zones to transfer the people to the death zone.
<52>	Ikalima, makipag-ugnayan at maging bahagi ang PMCJ sa mga NCCAP at LCCAP, o kaya'y sumubaybay (monitoring) ng mga ginagawa ng pamahalaan.	fifth, for PMCJ to coordinate and be a part of NCCAPs and LCCAPs or to monitor (monitoring) the activities of the government.
