<1>	BAGONG ‘FISHERY REGULATION’ NG BANSANG TSINA MAY bago na namang alituntunin ang Tsina.	new fishing regulation of the country China China has a new regulation.
<26>	Sa pagsasabing iligal ang anomang pangingisda sa teritoryo nito na walang permiso ng Vietnam, may malakas na Navy na may submarinong nagmamatyag upang magtaboy ng mga dayuhang papasok sa kanyang EEZ.	in telling that any fishing is illegal in its territory without the permission of Vietnam, it has a strong Navy with a submarine observing to drive away the foreigners in its EEZ.
<27>	Noong magdeklara ng ADIZ ang Tsina sa East China Sea, lumipad ang mga eroplanong pandigma ng Hapon at ng South Korea sa mismong papawiring sakop ng ADIZ na idineklara ng Tsina na tuwirang humahamon at sumusubok sa pagbabawal.	when China declared ADIZ in the East China sea, the war planes of Japan and South Korea flew on the skies covered by ADIZ itself which is declared by China as a direct challenge and attempt against the prohibition.
<28>	Sa iisang sitwasyong kinahaharap, mapayapang solusyon ang hanap ng ating bansa laban sa mapangahas na hakbangin ng Tsina.	in facing a similar situation, our country is looking for a peaceful solution against the daring steps of China.
<29>	Dumulog tayo sa International Tribunal on the Law of the Sea (ITLOS) at nagsampa ng kaso.	we went to the International Tribunal on the Law of the Sea (ITLOS) and filed the case.
<30>	Sapagkat sa kasalukuyang kalagayan ng ating bansa, hindi pa sapat ang ating kakayahang tanuran o patrulyahan ang malaking bahagi na ating nasasakupan.	because in the current condition of our country, our capacity to watch over and patrol the large part of our territory is not enough.
<31>	Bagama’t nasa direksyong pagpapalakas na tayo ng ating Navy at Air Force,	but we are on the direction of strengthening our Navy and Air Force.
<32>	mahaba-habang panahon pa ang gugulin bago natin makamit ang tinatawag nilang minimum credible deterrence dahil sa “magkakasalungat” na mga prayoridad.	a longer time still needs to be spent before we can achieve what they called as minimum credible deterrence because of the contradictory priorities.
<33>	Maraming suliranin ang ating bansa: edukasyon, kalusugan, at iba pang serbisyong panlipunan.	our country has a lot of problems: education, health, and other public services.
<34>	Wika nga ng iba nating kababayan, bago armasan ang gwardiya, pag-aaral at kalusugan muna ng mga anak.	told by our other fellowmen, before arming the guards, education and health of the children first.
<35>	Subalit sa kasalukuyang mga kaganapan sa West Philippine Sea, hindi ba prayoridad ding may kakayahan tayong protektahan at masiguro ang kapakanan, kabuhayan, kalikasan, at kinabukasan ng ating mga kapwa Filipino at ng susunod pang henerasyon?	however, in the current events in the West Philippine Sea, should we not also prioritize our capacity to protect and ensure the well-being, livelihood, nature and future of our co-Filipinos and the next generation?
<36>	Sa isang pulo-pulong bansa na tulad ng Pilipinas, ang malakas na Navy ang kailangan.	in an archipelagic country like the Philippines, a strong Navy is needed.
<37>	Sa isang malakas na Navy, hindi ibig sabihin ay nais na nating makidigma.	in a strengthened Navy, it does not mean that we want to have war.
<38>	Hangad natin ay dignidad at paggalang mula sa pamayanan ng mga bansa.	we aspire for dignity and respect from the citizenry of countries.
<39>	Hindi natin hangad ang isang blue Navy na maglalayag sa pitong karagatan ng daigdig, hangad lamang natin ay isang Hukbong Dagat na may sapat na kakayahan upang maitaboy at mabawalan ang sinomang may masamang hangarin sa ating bansa, sa likas na yaman, at mamamayan nito.	we do not aspire a blue Navy which sails the seven oceans of the world, we only aspire for a naval force which has enough capacity to drive and prohibit anyone who has a bad intention to our country, natural resources and its citizens.
<40>	Buksan natin ang ating isip.	let us open our minds.
<41>	Panahon na para pag-ibayuhin natin ang kakayahan ng ating mga gwardiya.	it is time to intensify the capacity of our guards.
