<1>	Arci, tabon na tabon ni Gelli By Alwin Ignacio	Arci, outshined by Gelli by Alwin Ignacio.
<30>	Less of musical CDS from recording artists na hindi singers at less singers na super auto tune ang mga voices o kaya sablay at off key ‘pag-live performances.	less of musical CD's from recording artists, who are not singers, and less singers, who have super auto-tuned voices or are indirect and off key during live performances.
<31>	Less of Aljur Abrenica na may feeling na napakalaking artistic contribution sa Philippine cinema ang kanyang huling pelikulang Hermano Puli.	less of Aljur Abrenica who feels that his last movie, Hermanong Puli, is a really huge artistic contribution to Philippine cinema.
<32>	Less of denial kings, lalo na ‘yung mga may video at photo scandals.	less of denial kings, especially those who have a video and photo scandals.
<33>	‘Pag malaki ang merchandise, man up!	if the merchandise is huge, man up!
<34>	Aminin ninyong inyo!	admit that it's yours!
<35>	Less of starletitas at studlets na nagmamaka­awang mapansin para mapag-usapan kaya tapalan na natin ang mga bibig nina Mo Twister, Mystica, Keana Reeves and the rest of their ilk.	less of starlets and studlets who are begging to be noticed so they will be talked about, so let's just cover the mouths of Mo Twister, Mystica, Keana Reeves and the rest of their ilk.
<36>	Less of Baron Geisler.	less of Baron Geisler.
<37>	No explanations needed.	no explanations needed.
<38>	Less of Kiko Matos.	less of Kiko Matos.
<39>	Ang ka-love team ni Baron.	the love teammate of Baron.
<40>	Again, dapat ba bang i-memorize ito?	again, should this still be memorized?
<41>	Less of corruption, discrimination, greed, hunger for power at ­homophobia.	less of corruption, discrimination, greed, hunger for power and homophobia.
