<1>	HEAT STROKE AT ANG MGA PUGON NA MRT AT LRT	heat stroke and the oven MRT and LRT
<24>	ANAK ng tokwa, sinasabi ng pamahalaan na aabutin ng 15 taon bago maramdaman ng mga pangkaraniwang mamamayan ang ipinangangalandakan ng pamahalaan na pag-unlad ng mahal kong Pinas.	son of a bitch. the government is saying that it would take 15 years before ordinary citizens could feel what they are boasting about as the progress of my beloved country.
<25>	15 taon?	15 years?
<26>	Paanong mangyayari ito kung sa loob lang ng apat-anim na taon ay umaakyat sa pagiging pinakamayayaman sa mundo ang ilang Pinoy dahil sa pag-unlad ng Pilipinas?	how could this happen when some Filipinos manage to be among the richest in the world in just four - six years because of the Philippines' progress?
<27>	O kung ikaw ay senador at kongresman o nasa Palasyo ng Malakanyang, e, buwan o taon lang ang aabutin mo at ligtas ka na sa mga krisis na atin nang nabanggit.	or if you are a senator and congressman, or in the Palace of Malacanang, it would just take you months or years to be safe from the crises that we already mentioned.
<28>	Sa dami o laki ba naman ng mga nakukurakot na salaping bayan mula sa pamahalaan.	with the number or enormity of stolen national funds from the government.
<29>	‘Di ba, Ma’am Janet Lim-Napoles?	right, Madame Janet Lim-Napoles?
<30>	Sa kalagayang ito, ang mga nahi-heat stroke pala ay mag-aantay ng 15 taon bago sila magkaroon ng pambili ng gamot at makaligtas sa nabanggit na nating mga krisis.	in this case, those who get affected by heat stroke will have to wait for 15 years before they can have the money to buy medicine and be safe from the crises that we mentioned.
<31>	Anak ng 15 putakte, tumigil nga kayo riyan.	son of 15 wasps! can you please shut up.
<32>	HEAT STROKE SA LRT-MRT	heat stroke at the MRT and LRT.
<33>	ARAW-ARAW na lang, mga Bro, ang reklamo laban sa mga MRT at LRT.	the complaints against the MRT and LRT, brothers, happen daily.
<34>	Walang aircon ang marami sa bagon ng mga ito.	many of its cars do not have air-conditioning.
<35>	Alam kaya ng management ng mga ito na marami ang nahihirapang huminga at may mga nagko-collapse dahil sa init ng mga bagon ng mga tren na ito?	does their management know that many are having difficulty in breathing and there are some who collapse because of the heat in the cars of these trains?
<36>	Dapat na tingnan ito ng management ng dalawang railway.	this should be checked by the management of the two railways.
<37>	Pero higit na trabaho ng pamahalaan ang matiyak na ligtas sa sakit ang kalagayan ng mga pasahero.	but it is the greater duty of the government to ensure that the passengers are safe from sickness.
<38>	Kailangang pilitin ng pamahalaan ang management na maglagay ng aircon sa bawat bagon.	the government needs to convince the management to put an air conditioner in each car.
<39>	Kung hindi, hindi dapat na sardinasin ang mga pasahero upang maiwasan ang anomang sakit, gaya ng nililikha ng init ng panahon.	if not, the passengers should not be packed tightly as if in a can of sardines to avoid any illness, like what is created by the hot weather.
<40>	Sa ibang salita, mga Bro, dapat na hindi hayaang overloaded ang mga bagon at tiyaking makahihinga lahat ang mga pasahero at hindi mapitpit na parang sardinas habang nakasakay ang mga ito.	in other words, brothers, vans should not be allowed to be overloaded and it needs to be ensured that passengers are able to breathe and will not be squished like sardines while they are riding.
<41>	KORAPSYON SA LRT-MRT	corruption in the LRT-MRT.
<42>	MARAHIL ay hindi gaanong makararanas ng krisis sa pagsakay-sakay sa mga LRT-MRT ang mga mamamayan kung walang korapsyon sa paggawa, pagmantina at pagpapaunlad ng mga railway.	perhaps the citizens would not experience so much crisis in riding the LRT-MRT if there was no corruption in the construction, maintenance and improvement of the railways.
<43>	Dito lang sa mga dapat na bagong bagon para sa MRT, napuno umano ito ng korapsyon.	like here in the new cars that are supposed to be for the MRT, it was allegedly filled with corruption.
<44>	At ang ibinunga nito, aabot umano sa tatlong taon bago makarating ang lahat ng bagon para rito.	and its result, it would allegedly reach three years before all the cars for it gets here.
<45>	Ibig-sabihin nito, sirain ang mga bagon at sa loob ng tatlong taon, marami ang makararanas ng init sa loob ng mga ito.	this means that the cars are faulty, and for three years many would feel hot inside them.
<46>	Wala namang balita kung ano ang gagawin ng mga nasa LRT na higit na inirereklamo ng mga pasahero sa kawalan ng aircon sa maraming bagon nito.	there is no news on what people from the LRT would do, which is complained about even more by passengers because of the lack of air-conditioning in many of its cars.
<47>	Pangulong Noynoy, ano ba ito?	President Noynoy, what is this?
<48>	Baka magulantang na lang tayo na itong LRT-MRT ang pagmumulan ng kamatayan o pagkakasakit ng matindi dahil sa heat stroke.	we might be alarmed when this LRT-MRT becomes the cause of death or severe illness due to heat stroke.
<49>	DEMANDA vs MRT-LRT	demand versus MRT-LRT.
<50>	MALAKI talaga ang posibilidad na may ma-heat stroke sa MRT-LRT.	there really is a big possibility of someone getting heat stroke in the MRT-LRT.
<51>	Pupuwede bang idemanda ang mga ito kung magkasakit ang kanilang mga pasahero?	can they be demanded if their passengers get sick?
<52>	Paano makatutulong ang gobyerno sa mga magiging biktima ng parang pugong LRT at MRT?	how can the government help would-be victims of the stove-like LRT and MRT?
<53>	O bahala na ang mga tao.	or are the people on their own?
