<1>	Pastor Ariel Hernandez…Nagpapatunay na Posibleng Mabago ang Nasirang Buhay	Pastor Ariel Hernandez proves that it is possible to change a ruined life.
<18>	Walang magawa ang tamad gumising dahil nagtitiyaga siyang manggising sa mga homeowners sa madaling araw, at sa laki ng boses niya ay talagang mapapagising ang tatawagin niya.	those who are lazy to get up can't do anything because he works hard to rouse the homeowners at dawn, and with his big voice, anyone he calls will really wake up.
<19>	Isa rin siya sa nagpursige na mabuo ang basketball court ng subdivision namin.	he was also one of those who worked hard to build the basketball court in our subdivision.
<20>	Bumigay ang katatagan niya dahil sa sobrang pakisama sa mga barkada na humantong sa madalas niyang pakikipag-inumang naging sanhi naman ng palaging pag-away nilang mag-asawa.	his temperance gave in because of trying too much to get along with friends that led to his frequent drinking which became the reason for the couple's recurring fights.
<21>	Hindi sila iba sa akin, kaya madalas ko siyang payuhan subalit dahil bata pa siya noon, madalas din siyang makalimot sa mga pinapayo ko.	they are like family to me, so I often gave him advice but because he was still young then, he also often forgets my pieces of advice.
<22>	Sa kabila ng lahat, hindi pa rin nagkulang si Ariel sa pagtaguyod ng nasimulan niyang adhikain na maipamahagi sa mga kabataan ang kaalaman niya sa basketball.	in spite of everything, Ariel did not fail to carry on with the goal that he started, which is to impart his knowledge in basketball to the youth.
<23>	Pati ang mga magulang ng mga kabataan ay nahimok din niyang maglaro kung may espesyal na okasyon o di kaya ay bilang pampalipas ng oras.	he was also able to encourage the parents of the youth to play when there is a special occasion or as a pastime.
<24>	Makaraan ang ilang taon, lumipat sila sa Camella Homes ng Bayang Luma 3, sa Imus City.	after a few years, they moved to Camella Homes at Bayang Luma 3, in Imus City.
<25>	Malaking bagay ang paglipat nila dahil maski papaano ay nailayo siya ni Precy sa mga barkadang mahilig uminom.	their move was a huge deal because, in a way, Precy was able to distance him from friends who like to drink.
<26>	Subalit hindi rin maiwasang siya ay pasyalan ng mga ito, at nadagdag pa ang mga bago kaya naudlot ang pagtahak sana niya sa “Bagong Landas”.	however, it was inevitable that he will be visited by them, and with newbies too, which was why his supposed voyage on the "new path" was postponed.
<27>	Ganoon pa man ay itinuloy pa rin ni Ariel ang pakikibahagi ng kaalaman sa basketbol sa mga kabataan ng Barangay Lumang Bayan 3 na nasimulan niya noong 2006.	nevertheless, Ariel still continued sharing his knowledge in basketball with the youth of Barangay Lumang Bayan 3, which he started in 2006.
<28>	(Ang tungkol sa adbokasiya sa larangan ng basketbol ay iba-blog ko nang hiwalay dahil makulay din ang sinuong niyang mga pagsubok upang tuluyang magtagumpay at lalo pang makilala.)	(I will blog separately about the advocacy on the field of basketball because the challenges that he faced in order to fully succeed and be more famous were also colorful).
<29>	Humantong ang hindi pagkakaunawaan ng mag-asawa sa tampuhan hanggang pansamantalang iwanan si Ariel ng kanyang asawa upang makitira sa anak nilang si Jaymie na may pamilya na.	the misunderstanding between the couple led to hurt feelings, until his wife temporarily left Ariel to live with their child, Jaymie, who already had a family.
<30>	Ang tikisan ay inabot ng halos isang taon, Subalit naging tulay ang kanyang panganay na kapatid at bayaw na sina Nora at Jett Crisostomo upang mapahinuhod si Precy na bumalik sa bahay nila.	the intentional separation lasted for almost a year, but his eldest sibling and brother-in-law, named Nora and Jett Crisostomo, served as a bridge in convincing Precy to return to their home.
<31>	Sa pagkakataong ito ay naging aktibo sila sa spiritual sharing kaya nag-host na rin sila ng Bible Study sa kanilang garahe.	this time, they became active in spiritual sharing so they also hosted a bible study in their garage.
<32>	Dahil nakitaan si Ariel ng pagpupunyaging magbago, pinag-aral siya upang maging pastor ng WWCF-Imus sa pamumuno ni Pastor Eli Famorcan.	because the desire to change was seen in Ariel, he was made to study to become a pastor of WWCF-Imus with the leadership of Pastor Eli Famorcan.
<33>	Kabilang si Pastor Ariel ngayon sa mga ministro ng Word for the World Christian Fellowship-Worldwide at nakatalaga sa Noveleta.	Pastor Ariel is now among the ministers of the Word for the World Christian Fellowship-Worldwide and is assigned in Noveleta.
<34>	Sa grupo ng mga pastor, siya ang “pinakamatanda” pagdating sa edad, subalit “pinakabata” pagdating sa karanasan dahil nagsimula siya sa pagmi-ministro noon lang 2010.	in the group of pastors, he was the "eldest" when it comes to age, but the "youngest" when it comes to experience because he started in the ministry only in 2010.
<35>	Hindi madali ang maitalagang ministro ng simbahang bagong “tanim” sa isang komunidad dahil kailangan ang ibayong pagpapakilala upang makaakit ng mga miyembro.	it is not easy to be appointed as a minister of a church that is newly "planted" in a community because twice the effort in introduction is needed in order to attract members.
<36>	Masuwerte ang mga pastor na sinusundan ng mga dating kapanalig dahil nakakatulong sila sa pagpapalago ng sampalataya.	pastors who are being followed by old allies are lucky because they are able to help in spreading the faith.
<37>	Kasama rin ang responsibilidad sa pagkalap ng pondo dahil ang inaasahan lang ay mga love offerings o tithes ng mga kapanalig.	also included is the responsibility of gathering funds because they rely only on love offerings or tithes from followers.
<38>	Ganoon pa man ay tiniis ni Pastor Ariel ang lahat ng pagsubok nang siya ay palipat-lipat na italaga sa Imus, General Trias, at sa kasalakuyan ay sa Noveleta.	nevertheless, Pastor Ariel endured all the challenges when he was fleetingly assigned in Imus, General Trias, and currently in Noveleta.
<39>	Buong pagpapakumbaba niyang inaamin na mahina siya sa Ingles, kaya hangga’t maaari ay Tagalog ang ginagamit niya.	he humbly admitted that he was weak in English, so as much as possible, it is Tagalog that he uses.
<40>	Epektibo at maganda ang ginagawa niyang paggamit ng Tagalog at binabatay naman niya ang mga pinamamahagi niya sa mga tunay na pangyayari sa paligid at buhay ng tao.	his use of Tagalog was effective and good, and he bases what he shares from real events in the environment and life of people.
<41>	Ang isang payak na mensahe mula sa Bibliya, halimbawa, ay nagagawa niyang palawakin upang mai-apply sa buhay ng mga nakikinig sa kanya sa pamamagitan ng pagbigay ng mga halibawang nakikita sa paligid.	for instance, he can manage to expound a simple message from the Bible, so it can be applied to the lives of those who are listening to him by giving examples that can be seen around.
<42>	Ang “preaching style” niya ay hindi siguro niya sinasadyang maging hawig sa ginagamit ng mga sikat na “Born Again Christian” preachers na ang mga pagtitipon ay dinadagsa ng libu-libong tagasunod.	he may have unintentionally patterned his "preaching style" to be similar to the ones used by "Born Again Christian" preachers, whose gatherings are mobbed by thousands of followers.
<43>	Hindi siya ang tipo ng preacher na halos lahat ng sinasabi ay quoted mula sa Bibliya na sa tingin ko ay “complicated” dahil magdudulot ng kalituhan sa mga nakikinig.	he is not the type of preacher whose speeches are mostly quoted from the Bible, which I think is "complicated" because it will cause confusion to the listeners.
<44>	Paano halimbawang maitanim sa isip ng nakikinig ang tungkol sa hypocrisy o pagkukunwari kung puro galing sa Bibliya ang sasabihin, samantalang marami naman ang puwedeng banggitin na mga pangyayari sa paligid na siyang magbubukas ng kanilang isipan?	how, for example, can hypocrisy or hypocrisy be ingrained in the mind of the listener if what is said are all from the Bible, when there are many things that can be mentioned from events in our surroundings which can open their minds?
<45>	Samantala, ang nangyari kay Pastor Ariel ay pagpapatunay na lahat ng tao na may hangaring magbago ay may pagkakataong matamo ito basta siya ay magsisikap.	whereas, what happened to Pastor Ariel proves that all persons who have the aspiration to change have a chance to achieve this as long as he works hard.
<46>	Nakakabilib din ang pag-iwas ng kanyang asawa dahil sa hindi nila pagkakaunawaan noon kaya hindi humantong sa tuluyan nilang paghihiwalay.	also amazing is the avoidance of his wife because of their misunderstanding before, which was why it did not lead to their absolute separation.
<47>	Maidadagdag dito ang pagpursige ng mga kaibigan nilang namagitan kaya ang lamat ng pagsasama nilang mag-asawa ay tuluyang natapalan.	the perseverance of their friends who mediated can also be added to this, which was why the damage in their relationship as a couple was completely resolved.
<48>	Upang lalo pang tumibay ang love na naging stronger the second time around, nagba-bonding ang buong pamilya sa bahay ni Jaymie, kasama ang asawang si Aris (Gatdula), at dalawang anak na sina Lance Quint at Luke James.	to strengthen the love that became stronger the second time around, the whole family is bonding in the home of Jaymie, together with her husband, Aris (Gatdula), and two children, Lance Quint at Luke James.
<49>	Nag-iisang anak si Jaymie na hindi natuloy sa pagka-abogada tulad sana ng kanyang lolo na ama ni Ariel, subalit mapalad namang nakapagtrabaho sa Regional Trial court sa Las Piἧas.	Jaymie is an only child who was not able to pursue being a lawyer like her grandfather, the father of Ariel, but was luckily able to work at the Regional Trial Court in Las Piñas.
<50>	Si Precy naman ay sa Regional Trial Court ng Imus nagtatrabaho.	Precy, meanwhile, works at the Regional Trial Court in Imus.
<51>	Mapalad si Pastor Ariel dahil kabilang sa mga naniniwala sa kanya ay ang kasalukuyang mayor ng Imus City na si Emmanuel Maliksi na kumuha sa kanya bilang Sports Consultant simula pa noong 2008, at si Joe Lipa, Consultant ng Mahindra-Kia, na nakakatulong upang makakalap siya ng sports scholarship para sa mga karapat-dapat na naging bunga ng Basketball Clinic na ginagawa ng King David Basketball Camp.	Pastor Ariel is lucky because those who believe him include the current mayor of Imus City, Emmanuel Maliksi, who appointed him as a sports consultant since 2008, and Joe Lipa, consultant of Mahindra-Kia, who is able to help him obtain a sports scholarship for deserving graduates of the basketball clinic held by the King David Basketball Camp.
<52>	Maraming napariwarang kabataan ang napabago ng Basketball Clinic nina Pastor Ariel.	many youth who have gone astray were changed by the basketball clinic of Pastor Ariel.
<53>	Ang iba ay lalong nagkaroon ng tiwala sa sarili kaya nakatapos ng pag-aaral, o naging manager sa kumpanyang pinasukan at ang iba ay nakapagtrabaho sa ibang bansa.	some had more confidence in themselves so they were able to finish their studies, or became a manager in the company they worked in, and others were able to work abroad.
<54>	Tinutugaygayan si Pastor Ariel ng alituntunin niya sa buhay tungkol sa pagkakaisa ng mga tao na maaaring mangyari kung iiral ang unawaan sa isa’t isa, lalo na ng iba’t ibang mga pananampalataya o relihiyon.	Pastor Ariel preaches about his principles in life about unity among people which could happen if understanding one another will prevail, especially among those with different beliefs and religions.
<55>	Nanliit lang ako nang sabihin niya sa akin na ang alituntuning yan ay lalo pang pinatibay ng mga nakita niyang mga ginawa ko at pakiharap sa iba’t ibang tao, sino man o anuman ang kanilang paniniwala, noong sa subdivision pa namin sila nakatira.	I just felt inferior when he told me that principle was strengthened even more by the things he had seen me doing and how I dealt with different people, whoever they were or whatever their belief was, when they were still living in our subdivision.
<56>	Sa kababasa din daw niya ng mga isinusulat ko ay lalo pang tumibay ang paniniwala niya tungkol sa “universal love” na dapat ay walang hangganan.	he said that in reading my writings, his belief about "universal love", which should be forever, was strengthened even more.
<57>	Tumaba naman ang puso ko nang banggitin niyang ipinagmamalaki niya ako sa mga kapwa niya pastor at mga kaibigan….	my heart was filled with joy when he mentioned that he boasts about me to his co-pastors and friends.
<58>	subalit higit sa lahat ay masaya ako dahil may nagpapakalat pala ng adbokasiyang naging timon ko sa buhay….	but most of all, I was happy because there is apparently someone who is spreading the advocacy that became my guide in life.
<59>	at isang new Christian pastor pa!	and a new Christian pastor at that!
