<1>	Multo ng nakaraan	ghost of the past
<24>	Kaya para lamang makita kung gaano siya kahusay na artista, sapat nang panoorin ang pelikula.	hence, just to see how good of an actress she is, watching the movie will be enough.
<25>	At manonood na mismo ang magsasabing isa siyang tunay na pambansang artista.	and the very viewers will say how she is one national artist.
<26>	Samantala, medyo kakaiba ang istorya ni Jun Lana.	meanwhile, Jun Lana's story is a bit different.
<27>	Kuwento ito ng isang may edad na babaing may dementia na iniuwi sa Batanes ng pinsang si Bing Loyzaga.	it's a story of a girl with age who has dementia, and brought home to Batanes by cousin, Bing Loyzaga.
<28>	Balikbayan si Bing, na inalagaan ni Nora, at sa pagmamahal ni Bing ay isinama si Nora na dumalaw sa probinsiya.	Bing came home from abroad, and was taken care by Nora; and because of Bing's love, she brought Nora along to visit the province.
<29>	Pagkakita pa lamang sa lugar, sa mga talampas at alon, at sa bahay na bato, alam mong dito’y may maaalala si Nora.	just seeing the place, the cliff and waves, and the house by the rocks, you'll know that Nora will remember someone.
<30>	Pero tulad ng isip na isang taong may dementia, gayundin muna tumakbo ang istorya – flashes of memory na hindi mabuo-buo ang kuwento.	but like how someone with dementia thinks, that's how the story went - flashes of memory that can't complete the story.
<31>	Unti-unti ang pagluluwal ng istorya at madalas hinahanap mo sa isip kung saan ka ba talaga dadalhin ng kuwento.	the story is little by little coming out, and usually, you look into your thoughts where your story brings you.
<32>	Suspense, ika nga, na mahusay namang natahi bandang huli, tulad ng pagkakabuo ng pieces of puzzle na ginagawa ni Nora.	suspense, they say, that was excellently weaved at the end, just like how Nora completed the pieces of the puzzle.
<33>	Lamang, kapansin-pansin ang pagluwag sa characterization.	only, you can notice the widening of characterization.
<34>	Halimbawa’y hindi naging malinaw kung bakit galit si Nora kay Yul Servo, na asawa ni Bing sa pelikula, gayong ipinapakitang mabait na bata naman si Nora na nag-alaga pa ng isang baliw.	for example, it wasn't clear why Nora was mad at Yul Servo, Bing's husband in the movie, when it was shown that Nora was a good kid who even took care of someone crazy.
<35>	Hindi rin malinaw kung paanong naging pinsan ni Nora si Bing, gayong adopted lang si Nora.	it also wasn't clear how Nora was cousins with Bing, when Nora was only adopted.
<36>	O paano sumulpot sa buhay ni Nora si Bing.	or how Bing came into Nora's life.
<37>	Kung baga, may mga bahaging hindi consistent sa mga tauhan.	it's like some parts were inconsistent to the characters.
<38>	Pero consistent ang ganda ng cinematography.	but the good cinematography was consistent.
<39>	Nahuli nito ang nakamamanghang kalikasan ng Batanes, at ang katahimikan at kalagayang parang pinag-iwanan ng panahon ang lugar ay umakma sa mood ng pelikula at sa katayuan ni Nora na may dementia.	it captured the great nature of Batanes, and its peace and state that seemed to be abandoned by time; the place was a good fit to the mood of the movie and to Nora's condition of dementia.
<40>	Sabihin pa, mahusay na naiugnay ang paligid sa mahahalagang pangyayari sa buhay ni Nora.	I shall say that it's good how nature was related to the important events of Nora's life.
<41>	Kung ito naman ang unang pelikula ni Percival Intal bilang direktor, bagaman may mga bahaging dragging at napabilis at napaigsi pa sana, ito ay magandang simula na.	if this was the first movie of Percival as director, although there were parts that were dragging that could have been brief, this is already a great start.
<42>	Isang pelikula ito na irerekomenda ko sa aking mga kaibigan, hindi lamang dahil kay Nora kundi dahil may gems sa pelikula.	this is one movie that I'll recommend to my friends, not just because of Nora but also because there are gems in the film.
<43>	Hindi ko nga lang masasabing gem ang musika.	however, I can't say that the music is a gem.
<44>	Maganda sana ang tunog pero sa sobrang lakas nakakatulig na sa tenga at umaagaw na sa mga eksena.	the score would have been good but it was too loud that it rings in your ears and steals you away from the scene.
<45>	Gayunman, pinakagusto ko ang huling eksenang nagsusulat si Nora sa ospital at pilit inaalala ang mga nakaraan.	regardless, I liked most the last scene where Nora was writing in the hospital, trying hard to remember the past.
<46>	Sa huling talata, binura niya ang salitang “itinulak” at pinalitan ng “tumalon.”	in her last paragraph, she scratched the word "pushed" and replaced it with "jumped."
<47>	‘Yun na ‘yon. ‘Yung single scene na ito ang nagtahi at nagpaliwanag ng maraming katanungan sa buong istorya.	that was it. that single scene weaved and explained many questions in the whole story.
<48>	Nang lumabas ako ng sinehan, hindi ko maiwasang mapangiti na rin.	when I came out of the theater, I can't avoid to smile.
<49>	Sumagi sa aking isip na sana, ang mga bulok na pulitiko sa ating bayan ay multuhin ng kanilang mga nakaraan, sa mga kasalanang ginawa nila sa bayan.	it came to my mind that hopefully, the rotten politicians of our country will be haunted by their mistakes in the past and their wrongdoings to the country.
<50>	Kung gayon, may nagagawa rin palang mabuti ang dementia.	if that's the case, dementia also has its advantages.
