<1>	Replay: Pagkilos ng kabataan at mamamayan noong 2011 sa saliw ng pop songs	replay: youth and people movement in 2011 to the accompaniment of pop songs
<33>	Pananagot kay Arroyo, kainutilan ni Aquino Soundtrack: Someone like you / Moves like Jagger Matapos ang isang taon ng obvious na kasunduan nina Aquino at Arroyo hinggil sa hindi pananagot sa ikalawa dahil sa kawalan ng kasong isinampa, uminit ang tunggalian ng mga nasa kapangyarihan ng mag “moves like Jagger” na si Arroyo at muntik nang makatakas dahil sa kainutilan ni Aquino.	accountability of Arroyo, worthlessness of Aquino soundtrack: someone like you / moves like Jagger. after a year of the obvious agreement of Aquino and Arroyo regarding the unaccountability of the latter because of the absence of charges filed, the conflict of those in power intensified when Arroyo "moves like Jagger" and nearly escaped because of Aquino inutility.
<34>	Nagkandarapa si Aquino sa huling mga sandali at nailantad na kaya naman palang magsampa ng kaso ng mabilis, bagay na hindi nito ginawa sa nagdaang 500 araw.	Aquino scurried in his last few moments and was exposed that they could speedily file a case, something that they didn't do in the past 500 days.
<35>	Hanggang sa kasalukuyan, mga magagaang kaso pa din ang isinampa ni Aquino laban kay Arroyo at tila may special treatment pa sa hospital arrest kay Gloria.	until now, only light charges were filed by Aquino against Arroyo and it seems there's a special treatment with Gloria's hospital arrest.
<36>	Para ilayo nito sa kapalpakan ng kanyang sarili ang atensyon, at pagmukhaing seryoso siya sa pagpapanagot kay Arroyo, kinampanya ni Aquino ang impeachment ni SC CJ Corona.	to divert the attention from his mistakes, and to look like he is serious to make Arroyo accountable, Aquino campaigned for the impeachment of SC CJ Corona.
<37>	Kalikasan at mga trahedya Soundtrack: Party Like 2012 / Teach me how to Dougie Habang parang end of the world na sa mga nasalanta ng trahedya, nabuking na nagpaparty at nagteteachme how to Dougie si Aquino sa Palasyo.	environment and tragedy soundtrack: party like 2012 / teach me how to doggie while it was almost like the end of the world for those who were devastated in the tragedy, Aquino was exposed to have been partying and teaching how to doggie in the Palace.
<38>	Mas malaking pananagutan ni Aquino ang pakikiparty at pagpayag sa mga malalaking kumpanya ng pagmimina at loggers na magpiyesta sa resources ng bayan ng walang pakundangan at walang konsiderasyon sa buhay ng mga Pilipino.	Aquino has a greater liability in partying and allowing big mining and logging companies to feast using the resources of the nation without respect and consideration to the lives of the Filipinos.
<39>	Matagumpay at makabuluhan ang 2011 para sa mga kabataan at sa kilusang protesta.	2011 was victorious and meaningful for the youth and the protest movement.
<40>	Mas malalaki pang tagumpay ang hinahrap ng mga kabataan at mamamayan sa 2012.	a greater victory awaits the youth and the people in 2012.
<41>	Hindi pa end of the world.	it is not yet the end of the world.
<42>	Nagsisimula pa lang ang mas malalaking paglaban para tapusin na at baguhin ang sistemang panlipunan.	the big battles to end and change the social system are just beginning.
