<1>	Kagyat niyang tungkulin by Pinoy Weekly	his immediate responsibility by Pinoy Weekly
<20>	Samantala, ibinasura naman ng Department of Justice ang mga kasong isinampa laban sa mga lider-Lumad at iba pang tagasuporta ng mga ito dahil sa pagtulong sa mga bakwit na Lumad sa United Church of Christ in the Philippines-Haran sa Davao City.	meanwhile, the Department of Justice dismissed the cases against the Lumad leaders and their supporters in helping the Lumad evacuees in the United Church of Christ in the Philippines - Haran in Davao City.
<21>	Igiit ang kapasyahan ng bansa sa sariling kabuhayan, pangalagaan ang pambansang patrimonya	assert the decision of the nation in its own livelihood, take care of the national patrimony
<22>	Nauna nang binatikos ni Duterte ang World Trade Organization (WTO), ang pandaigdigang organisasyon na nagtutulak ng pagbubukas ng mga merkado ng mga bansa para sa kapakinabangan ng imperyalistang mga bansa.	Duterte has initially criticized the World Trade Organization (WTO), a global organization which is pushing for the opening of the markets of countries to be benefited by imperialist countries.
<23>	Pero laman naman ng 10-puntong economic plan ng gobyerno ang pagpapatuloy sa neoliberal na mga polisiya sa ekonomiya.	but the content of the 10-point economic plan of the government is the continuance of the neoliberal policies in the economy.
<24>	Ang tungkulin ngayon ni Duterte, talikuran ang naturang mga polisiya na nagpapalala sa kahirapan ng mga mamamayan.	the duty now of Duterte, turn his back from those policies which are worsening the poverty of the citizens.
<25>	Ilunsad ang pambansang industriyalisasyon	launch a national industrialization
<26>	Sinabi ni Duterte na sang-ayon siya sa industriyalisasyon.	Duterte said that he agrees with industrialization.
<27>	Positibo ang mga pahayag ng tagapayo ng pangulo sa ekonomiya na si RJ Jacinto hinggil sa planong pagbangon sa industriya ng bakal.	the statements of the adviser of the president for the economy RJ Jacinto are positive in relation to the plan of rising the metal industry.
<28>	Pero sa kabila nito, patuloy ang pag-akit sa dayuhang mga mamumuhunan—di para mamuhunan sa industriyalisasyon ng bansa, kundi para sa murang lakas-paggawa at pagsamantala sa likas-na- yaman.	but despite of this, the enticement to foreign capitalists continues - not to capitalize in the industrialization of the country but for the cheap work force and exploitation of natural resources.
<29>	Ipatupad ang tunay na reporma sa lupa	implement the authentic land reform
<30>	May go-signal si Duterte para lutasin ang suliranin sa Hacienda Luisita.	Duterte has a go-signal to solve the problem in Hacienda Luisita.
<31>	Naglabas na ng status quo order ang Dept. of Agrarian Reform, sa pangunguna ni Sec. Rafael Mariano.	the Department of Agrarian Reform, through the leadership of Sec. Rafael Mariano, released a status quo order.
<32>	Positibo ang mga hakbang na ito.	these steps are positive.
<33>	Pero nananatili pa rin sa bansa ang monopolyo ng iilang pamilya at korporasyon sa malalaking lupaing agrikultural.	but the monopoly of few families and corporation of big agricultural lands still remain in the country.
<34>	Sa minimum, kailangang isertipika bilang urgent ang Genuine Agrarian Reform Bill ng Makabayan sa Kamara.	for the minimum, the Genuine Agrarian Reform Bill of Makabayan needs to be certified as urgent in the Legislative Chamber.
<35>	Itaas ang sahod, pamumuhay ng mga manggagawa	raise the salary, livelihood of workers
<36>	Ayon kay Labor Sec. Silvestre Bello III, pagbasura sa kontraktuwalisasyon ang marching order ng presidente sa kanya.	according to Labor Secretary Silvestre Bello III, the marching order of the president to him is the dismissal of contract-based employment.
<37>	Pero kamakailan, sinabi rin ni Bello na malamang na taong 2017 pa mapasimulan ang pagtigil sa “endo” o end of contract.	but just recently, Bello also said that perhaps the end of the "endo" or end of contract will be commenced on the year 2017.
<38>	Pero wala siyang sinasabi kung tutuparin niya ang hangad ng mga manggagawa na National Minimum Wage.	but he has not been saying if he is going to fulfill the wish of the workers for a National Minimum Wage.
<39>	Samantala, maliban sa dagdag-sahod at pagpawi sa endo, laman din ng Workers’ Agenda ng Kilusang Mayo Uno (KMU) ang paggalang sa karapatan ng mga manggagawa sa pag-uunyon.	meanwhile, aside from the increase of wage and dismissal of the end of contract, the Workers' Agenda of the May One Movement (MOM) also includes the respect of the rights of workers to form a union.
<40>	Palawakin ang serbisyong panlipunan	enlarge public service
<41>	Hindi pa iniaatras ni Duterte ang polisiya ng pagsasapribado sa pampublikong pabahay at relokasyon.	Duterte is not yet retreating the policy on privatizing public housing and relocation.
<42>	Ang positibo, nangako siyang walang demolisyon hangga’t walang relokasyon.	the positive, he promises that there is no demolition until there is no relocation.
<43>	Samantala, pribatisado o patutungo sa pagsasapribado ang pampublikong mga ospital tulad ng Fabella Memorial Hospital.	meanwhile, privatized or going towards privatization of the hospital like the Fabella Memorial Hospital.
<44>	Lahat ng serbisyong panlipunan — pabahay, edukasyon, kalusugan, transportasyon, komunikasyon — at kabuhayan ay pribatisado.	all public services - housing, education, health, transportation, communication and livelihood - are privatized.
<45>	Dapat nang ibalik ang pampublikong karakter sa mamamayan at hindi sa negosyo at dayuhan.	the public character should be given back to the citizens and not to businesses and foreigners.
<46>	Kober ng isyu ng print edition ng Pinoy Weekly na lumabas nitong Hulyo 24, 2016.	covered the issue in the print edition of the Pinoy Weekly released this July 24, 2016.
<47>	Itigil ang pandarambong at lahat ng anyo ng katiwalian at korupsiyon	stop anomalies and all forms of irregularities and corruption
<48>	Napatalsik at napakulong sina dating pangulong Estrada at Arroyo dahil sa pandarambong at iba pang kasalanan sa bayan.	the former president Estrada and Arroyo are ousted and jailed because of anomalies and other sins towards the nation.
<49>	Sa kaaanunsiyo lang na pagpapawalang-sala kay Arroyo sa kasong pandarambong, lalong kailangang ipanawagan ang pagpapanagot sa lahat ng kurakot tulad ni dating pangulong Aquino at mga kasapakat niya.	in the recent not-guilty announcement for Arroyo for anomalous cases, there is a need to call for an answer from all corrupt such as former president Aquino and all his accomplices.
<50>	Mula sa Disbursement Acceleration Program at Priority Development Assistance Fund, hanggang sa mga Conditional Cash Transfer at 4Ps, ang sistematikong korupsiyon ay kailangan nang tapusin.	from the Disbursement Acceleration Program and Priority Development Assistance Fund to the Conditional Cash Transfer and 4Ps, the systematic corruption needs to be finished.
<51>	Bawasan ang badyet militar, ilaan sa ekonomiya’t serbisyong panlipunan	lessen the military budget, allocate it to the economy and public services
<52>	Malinaw na atrasado ang hukbong militar, mula sa makabayang prinsipyo hanggang sa kagamitan at pasilidad.	it is clear that the military force is laid back, from nationalist principles to equipment and facilities.
<53>	Ang mataas na pondong matagal nang inilalaan rito ay dapat nang wakasan, lalo na’t nagpapatuloy ito ng mersenaryong tradisyon ng pandarahas ng Estado at maging ng pagpapagamit sa pribado at dayuhang pulitiko at negosyo.	the high budget which has been allocated for a long time should be ended, especially that it continues the mercenary tradition of creating violence in the state and being used by private and foreign politicians and business.
<54>	Masyadong mataas ang pondo para sa karahasan, habang ang mga serbisyong panlipunan, sahod ng mga guro inaagiw at pinandidilatan ng gagamba.	the funds for violence is too high, while public services, wages for teachers are snatched and glared by spiders.
<55>	Itaguyod ang patriyotiko, demokratiko, siyentipiko at progresibong sistema ng edukasyon at kultura	uphold a patriotic, democratic, scientific and progressive system of education and culture
<56>	Maliban sa K-12, naging sentrong usapin ang pagtanggal sa wikang Filipino bilang asignatura sa mga paaralan, habang naging usapin din ang hindi-wasto o baluktot na pagtalakay sa kasaysayan ng Pilipinas sa mga textbook.	aside from K-12, the discussion centered in the excision of the Filipino language as a subject in the schools, while the incorrect and crooked discussion of the history of the Philippines in textbooks have become issues.
<57>	Kailangang tuunan ito ng pansin upang hindi mawala ang pagkamakabayan sa mga mag-aaral, at tiyakin ang patriyotikong edukasyon para sa susunod na henerasyon.	this should be given a full notice so that the patriotism of our students will not be lost and make sure of the patriotic education for the next generation.
<58>	Itaguyod ang pagkakapantay-pantay ng mga kasarian at bakahin ang diskriminasyong seksuwal at pangkasarian	uphold equality of gender and fight against sexual and gender discrimination
<59>	Patuloy pa rin ang diskriminasyon sa komunidad ng mga bakla, tomboy at transgenders bunga na rin ng patriyarkal na oryentasyon ng kultura.	the discrimination towards the gay, lesbians and transgender communities continues cause by the patriarchal orientation of our culture.
<60>	Ngunit patuloy pa rin ang pakikibaka ng komunidad nila upang makamit ang pantay na pagtingin ng lipunan sa kanila.	but the struggle of the community continues to achieve equality in the eyes of the society towards them.
<61>	Tiyakin ang matalinong paggamit ng natural na yaman at pangalagaan ang kalikasan	ensure a brilliant use of natural resources and take care of the environment
<62>	Patuloy ang paglapastangan sa kalikasan sa bansa, lalo na ng dayuhang mga kompanya ng pagmimina.	the exploitation of the environment in the country continues especially by foreign mining companies.
<63>	Inihapag ngayon sa bagong administrasyon ang pagbasura sa mga polisiyang may masamang epekto sa kalikasan, tulad ng Executive Order 79 ni Aquino.	laid now in the new administration is the dismissal of the policies which have bad effects to the environment such as the Executive Order 79 of Aquino.
<64>	Igalang ang karapatan ng pambansang minorya para sa sariling pagpapasya’t kaunlaran	respect the rights of the national minority for self-determination and development
<65>	Panawagan ng mga Lumad sa Mindanao na itigil ang operasyong militar sa kanilang mga lupaing ninuno para makauwi sila rito.	the Lumad in Mindanao calls to stop the military operation in their ancestral lands so that they can come home.
<66>	Malaking tugon din sa katutubo ang pagkakasuspinde ni Department of Environment & Natural Resources sa mga mapanirang minahan sa mga lugar na sumasakop sa kanilang mga lupaing ninuno.	the suspension of the Department of Environment and Natural Resources to the destructive mining in their places which are part of their ancestral lands is a huge help.
<67>	Kabilang sa mga minahang ito ang Benguet Corp., Nickel Mines Inc., Zambales Diversified Metals Corp., LNL Archipelago Minerals Inc. at Eramen Minerals Inc.	part of these mining are the Benguet Corporation, Nickel Mines Incorporated, Zambales Diversified Metals Corporation, LNL Archipelago Minerals Incorporated and Eramen Minerals Incorporated.
<68>	Ipagpatuloy ang negosasyon sa kapayapaan sa NDF at kumpletuhin iyong sa MILF	continue the peace negotiation with NDF and complete those with the MILF
<69>	Nauna nang nagkaroon ng preliminary talks ang gobyerno at National Democratic Front sa Oslo, Norway bago pa man pormal na manungkulan si Duterte noong Hunyo.	the government and the National Democratic Front has preliminary talks in Oslo, Norway even before Duterte formally steps in office last June.
<70>	Naging bukas din si Duterte sa pakikipag-usap sa Moro Islamic Liberation Front.	Duterte has been open to the talk with the Moro Islamic Liberation Front.
<71>	Ang tungkulin ni Duterte ngayon, siguruhin ang pagpapatuloy ng usapang pangkapayapaan- -kahit matindi ang presyur ng militar at gobyernong US kontra rito.	the duty of Duterte now, to ensure the continuance of peace talks even there is a much pressure from the military and the US government against it.
<72>	Magpursige sa isang independiyenteng patakarang panlabas	persevere for an independent international law
<73>	Nangako na si Duterte na tutuparin niya ang dati nang nalagdaang internasyunal na mga kasunduan–kahit pa malinaw na labag sa soberanya ang marami rito.	Duterte promises to fulfill the previously signed international agreement even it is clear that most of these are against the sovereignty.
<74>	Kasabay ng pagrepaso sa di-pantay na mga kasunduang ito, kailangang ilatag ni Duterte na hindi na tayo magpapailalim sa interes ng US o sinumang imperyalista sa ugnayang panlabas ng Pilipinas.	along with review of the unequal agreement, Duterte needs to show that we are not going to be subjugated under the interest of the US or any imperialist in the international relations of the Philippines.
