<1>	Sa ngalan ng kaligtasan	in the name of safety
<36>	Araw-araw ay may iba’t-ibang lugar sa unibersidad na kailangan bantayan ang mga SSB.	every day there are different places in the university that the SSB need to guard.
<37>	Responsibilidad nilang magmatiyag at maging alerto sa mga posibleng ilegal na gawain at mga kahina-hinalang tao.	it is their responsibility to observe and be on alert for possible illegal activities and suspicious people.
<38>	Naatasan din silang pagbawalan ang mga ilegal na manininda, palaboy, mga tinatawag na watch-your-car boys at mga traysikel at pedicab na pumasok sa unibersidad.	they are also assigned to stop illegal sellers, strays, what are called watch-your-car boys and tricycles and pedicabs from entering the university.
<39>	Sa mga pagkakataong may mahuling lumalabag sa batas, hindi maaaring mang-aresto ang SSB.	at times when they catch violators, the SSB cannot make an arrest.
<40>	Maaari lamang nilang banatayan ang nahuli at hintayin ang mga pulis na rumesponde sa kaso.	they can only guard those caught and wait for the police to respond to the case.
<41>	Sa ganitong takbo ng trabaho nakilala ni Manong Lawrence ang UP at ang mga estudyante nito.	Manong Lawrence got to know UP and its students through this line of work.
<42>	Malinaw pa sa kanyang mga alaala noong hindi pa problema sa unibersidad ang pagtaas ng matrikula.	he can still clearly remember when tuition increase was not yet a problem in the university.
<43>	Walang mahahabang pila ng mga estudyante para makapag-loan o mag-apply sa STFAP.	there were no long lines of students who want to get a loan or apply for STFAP.
<44>	Naniniwala siya na ang edukasyon ay dapat libre para sa lahat. Para sa kanya, ang pagkaltas sa badyet ng UP ay tahasang pagpapahirap sa mga magulang.	he believes that education should be free for all. for him, cutting the budget of UP is a definite burden for parents.
<45>	“Sa sobrang hirap ng buhay ngayon, grabeng pasanin iyan sa magulang,” aniya.	"with life being so hard now, that is a serious burden for parents," he says.
<46>	Bilang isang naglilingkod sa unibersidad, personal niyang nasasaksihan ang iba’t ibang sitwasyon na kinasasadlakan ng mga magulang at ng estudyante ng UP.	as one who serves the university, he personally witnesses different situations that parents and students of UP experience.
<47>	Bilang magulang, alam ni Mang Lawrence ang halaga ng mabigyan ang mga anak ng mahusay na edukasyon, at nauunawaan niya ang hirap ng mga magulang na magtrabaho at mag-ipon upang matustusan ang nagtataasang tuition, maging sa mga pamantasang pinatatakbo ng estado.	as a parent, Mang Lawrence knows the value of giving children good education, and he also understands the hardships of parents in working and saving to be able to afford the increasing tuition, even in universities run by the state.
<48>	Kulang na kulang	really lacking
<49>	Hindi maipagkakailang marami nang karanasan si Mang Lawrence sa iba’t-ibang mukha ng krimen.	it is undeniable that Mang Lawrence already has much experience with different faces of crime.
<50>	Hindi umano niya malilimutang ang paghabol sa isang magnanakaw malapit sa Ilang-Ilang Residence Hall at paghuli sa isang rapist sa E. Jacinto.	according to him he will not forget chasing a robber near Ilang-Ilang Residence Hall and capturing a rapist in E. Jacinto.
<51>	Bilang isang pampublikong espasyo, malaki ang problema ng UP sa seguridad dahil malayang nakapapasok at nakalalabas ang sinuman.	as a public space, UP has a big problem with security because anyone can freely enter and exit.
<52>	Ang mga krimen gaya ng pagnanakaw ay talamak sa kampus dahil hindi madaling malaman kung sino ang mga taga-UP at sino ang hindi.	crimes like theft are widespread on campus because it is not easy to identify who is from UP and who is not.
<53>	Maging ang kawalan ng uniporme o dress code ng mga estudyante ng unibersidad ay nagiging bentahe sa mga magnanakaw na malayang nakakalabas-masok sa kampus.	even the absence of a uniform or dress code for students of the university becomes an advantage for robbers who freely enter and exit the campus.
<54>	Isa sa mga posibleng solusyon sa problemang ito ay ang pagdadagdag ng mga taong magbabantay sa kampus. Ngunit sa ngayon, mahirap itong ipatupad dahil sa kakulangan sa badyet ng unibersidad.	one possible solution to this problem is adding people who will guard the campus. but currently, it is difficult to implement because of the university's lack of budget.
<55>	Problema rin ng mga SSB ang kakulangan sa mga kagamitan gaya ng mga motorsiklo at mobile cars. Napalaki ng unibersidad at sa lawak ng banta ng krimen sa araw-araw ay mahirap para sa mga SSB ang mabantayan ang buong kampus kung iilan lamang sa kanila ang nakagagamit ng sasakyan.	another problem of the SSB is the lack of equipment like motorcycles and mobile cars. the university is extremely large and with the amount of crime threats every day it is difficult for the SSB to guard the whole campus if only a few of them can use vehicles.
<56>	Isa pang problema ay ang kakulangan sa training ng mga kasalukuyang miyembro ng iba’t ibang security group sa UP katulad ng SSB. Isang halimbawa dito ang paggawa ng mga ulat ukol sa mga kasong kanilang nirerespondehan. Ani Prof. Emerino Dagdag, Chief Administrative Officer ng SSB, hindi pa ganoon kabihasa rito ang SSB. Mahalaga ang maayos na paggawa ng ulat dahil isa ito sa pinagbabatayan ng karagdagang aksyon sa mga kaso.	another problem is the lack of training for current members of different security groups in UP like the SSB. one example of this is the filing of reports about the cases they respond to. according to Professor Emerino Dagdag, Chief Administrative Officer of the SSB, the SSB are not yet experienced here. proper filing of reports is important because it is one of the basis for additional action on cases.
<57>	Bukod pa rito, ayon kay Prof. Dagdag, nangangailangan din sila ng malawakang pagsasanay sa pag-iimbestiga upang makakalap ng sapat na impormasyon at ebidensiya sa mga kaso.	aside from this, according to Professor Dagdag, they also need extensive training in investigation in order to collect enough information and evidence on cases.
<58>	Dito makikita ang katotohanang na maraming kinakaharap na suliranin ang UP bilang komunidad.	the reality that UP as a community faces a lot of problems can be seen here.
<59>	Bilang SSB, si Manong Lawrence ay bahagi ng komunidad na ito at may malaking papel na ginagampanan sa pagsasaayos ng sistema ng seguridad sa UP.	as SSB, Manong Lawrence is part of this community and he has a big role to fulfill in fixing the security system of UP.
<60>	Biktima rin siya ng mga problema ng unibersidad tulad ng kawalan ng pondo para sa mga pangangailangan ng SSB.	he is also a victim of the problems of the university like lack of funds for the needs of the SSB.
<61>	Ang mga kakulangang ito ang dahilan kung bakit marahil hindi pa gaano ka-epektibo ang SSB sa pagpapanatili ng kaayusan at seguridad sa kampus.	these shortcomings are the reason perhaps why the SSB are still not that effective in maintaining order and safety in campus.
<62>	Sa bandang huli, habang pinoprotektahan ng mga miyembro ng SSB ang mga estudyante at empleyado, responsibilidad din ng unibersidad na tugunan ang kanilang mga pangangailangan tungo sa epektibong pagtupad nila sa kanilang tungkulin.	in the end, while the members of the SSB protect the students and employees, it is also the responsibility of the university to attend to their needs towards effective execution of their responsibilities.
