<1>	‘Digmang bayan para sa kapayapaan’	'national war for peace'
<12>	Ayon kay Porferio Tuna Jr., na kasama sa mga nanguna sa isinagawang formation inspection, “Nararapat lang nating pagpugayan at ipagbunyi ang mga pagsisikap at mga tagumpay na natamo ng ating Partido.”	according to Porferio Tuna, Junior, who is included in those leading the conducted formation inspection, "it is only right that we show respect and acclaim the efforts and the victories achieved by our party."
<13>	Pero higit sa pagbubunyi sa lawak na inaabot ngayon ng rebolusyonaryong mga puwersa, okasyon ang asembleyang ito para mapag-usapan ang kalagayan ng usapang pangkapayapaan sa pagitan ng National Democratic Front of the Philippines (NDFP, na kumakatawan sa rebolusyonaryong mga puwersa na pinangungunahan ng CPP at nilalahukan ng NPA) at administrasyon ni Pangulong Duterte.	but more than celebrating the extent that was reached today by the revolutionary forces, this assembly is an occasion to talk about the status of the peace talks between the National Democratic Front of the Philippines (NDFP, that represents the revolutionary forces that is led by the CPP and participated by the NPA) and the administration of President Duterte.
<14>	“Maraming ipinangako sa mga mamamayan si Pangulong Duterte…(S)a ganyang kalagayan, ang sarili nating lakas at pagsisikap ang magtutulak sa kanya upang tupdin ang kanyang mga pangako,” paliwanag ni Tuna.	"a lot has been promised to the people by president Duterte... in that state, our own strength and effort will push him in order to fulfill his promises," explained by Tuna.
<15>	At ganoon nga ang naging tono ng maghapong pagtitipon: ang bigyang-pugay ang rebolusyonaryong mga puwersa (pati na ang mga nag-alay ng buhay sa pakikibaka), habang hinaharap ang kasalukuyang kalagayan ng pakikipagnegosasyon sa isang presidente na galing mismo sa Davao City at minsan nang nagpakilala sa sarili bilang “maka-Kaliwang presidente” na kaibigan ng rebolusyon.	and that has been the tone of the whole day gathering: giving respect to the revolutionary forces (including those who offered their lives in fighting), while facing the current status of negotiation with a president who actually came from Davao city and at one time showed himself as a "leftist president" who is a friend of the revolution.
<16>	Bilang kinikilalang “kaibigan”, dumalo nga ang ilang pangungunang mga miyembro ng gabinete ni Duterte.	as recognized "friend", a number of leading members of the cabinet of Duterte attended.
<17>	Nasa odyens din ang mga miyembro ng panel ng gobyerno sa pakikipagnegosasyon sa NDFP, sa pangunguna ni Labor Sec. Silvestre Bello III.	also in the audience were the members of the panel of the government in negotiations with the NDFP, led by Labor secretary Silvestre Bello III.
<18>	Kaharap nila, na nagsagawa rin ng press conference sa lugar ng pagdiriwang, ang mga miyembro at konsultant ng NDFP na nakikipagnegosasyon sa gobyerno, sa pangunguna nina Luis Jalandoni (dating punong negosyador na ngayo’y senior adviser ng NDFP negotiating panel), Coni Ledesma, Tuna (konsultant na kumakatawan sa Mindanao), at iba pa.	facing them, who also conducted a press conference in the place of celebration, the members and consultant of ndfp who are negotiating with the government, lead by Luis Jalandoni (former lead negotiator who is now a senior advisor of the NDFP negotiating panel), Coni Ledesma, Tuna (consultant representing Mindanao), and others.
<19>	Dumalo rin ang dating bilanggong pulitikal na pinalaya noong Agosto para makilahok sa peace talks–ang konsultant ng NDFP sa Visayas na si Concepcion “Concha” Araneta-Bocala.	also attending is the former political prisoner free last August to participate in the peace talks-the consultant of NDFP in Visayas who is Concepcion "Concha" Araneta-Bocala.
<20>	“Ang akala ng gobyerno ni Duterte na matapos na kami’y mapalaya, hihinto na kami sa pagkilos.	"the government of Duterte thought that after we were freed, we will stop our actions.
<21>	Hindi kami titigil hangga’ t hindi nahaharap ang batayang mga usapin lalo na sa larangan ng socio-economic reforms na siyang salalayan o dahilan ng pakikipagrebolusyon,” paliwanag ni Araneta-Bocala.	we will not stop until the fundamental talks are not faced especially in the field of socio-economic reforms that is the support or reason of the revolutionary," explained by Araneta-Bocala.
<22>	Tulad noong nakaraan, inilinaw ni Jalandoni na handa ang NDFP na pag-aralan ang mga panukalang reporma ng rehimeng Duterte, kabilang ang itinutulak na sistemang pederal.	like in the past, Jalandoni clarified that the NDFP is prepared to study the proposed reforms of the Duterte regime, including the federal system being pushed.
<23>	“Kung ang federal system ay makakatulong sa mga mamamayan at gusto ito ng masa, maaaring maging bukas ang kilusan upang ito’y mapagaralan at matiyak na ang ganansiya ay para sa ikabubuti ng masang Pilipino,” paliwanag niya.	"if the federal system will be helpful to the people and it is liked by the mass, the movement may become open in order to study this and ensure that the benefit is for the good of the Filipino mass," he explained.
<24>	Gayunman, paliwanag ni Tuna, kailangang kilalanin ng gobyernong Duterte ang pagkakaroon ng hiwalay na rebolusyonaryong gobyerno sa Pilipinas na pinangungunahan ng NDFP.	however, explained by Tuna, the Duterte government need to recognize having a separate revolutionary government in the Philippines that is lead by the NDFP.
<25>	“Ang gobyerno ng masang api’y may sariling gobyerno, hukuman, sandatahan at kongkretong mga programa tulad ng rebolusyong agraryo (kabilang ang) pagpapamahagi ng lupa sa magsasaka, napapababa ang usura at kolektibong napapaunlad ang agrikultural na produksiyon,” ani Tuna.	"the government of the oppressed mass has its own government, court, army and concrete programs like the agrarian revolution (including the) distribution of land to farmers, decreasing the usury and collectively progress the agricultural production," Tuna said.
<26>	May sarili umanong programa sa kalusugan, edukasyon, at iba pang serbisyong pangkalusugan ang NDFP sa kanayunan ng Pilipinas.	the NDFP allegedly has its own program on health, education, and other heath services in the barrios in the Philippines.
<27>	“Kaya nating tumindig ayon sa sariling lakas kung kaya’t ano pa man ang marating ng peace talks ay handa tayong mga rebolusyonaryo,” sabi pa niya.	"we can stand according to our own strength so wherever the peace talks reaches we revolutionaries are ready," he also said.
<28>	Paliwanag naman ni Eduardo Genelsa, kapwa konsultant ng NDFP sa Mindanao, may “sariling konteksto” ang rebolusyonaryong pakikibaka sa Mindanao.	explained by Eduardo Genelsa, fellow consultant of the NDFP in Mindanao, the revolutionary fight in Mindanao has its "own context".
<29>	“Iniluwal ito ng mahabang karanasan at mahigpit na disiplina upang igpawan ang mga kahinaan.	"this was born by the long experience and tight discipline in order to overcome weaknesses.
<30>	Sa matinding pagtraydor ng mga pasistang militar sa masa at kilusan nakayanan nitong tumayo at magpakahusay kapwa sa taktikal at estratehikong paglaban.”	in the intense betrayal of the fascist military of the mass and movement it was able to stand and be skillful both in tactical and strategic fighting."
<31>	Ibig sabihin, sa suporta ng mga mamamayan ng Mindanao, naitatag at naitaguyod sa kanayunan nito ang rebolusyonaryong gobyerno.	this means, in the support of the people in Mindanao, the revolutionary government was founded and established in this town.
<32>	Handa ang NPA, CPP at NDFP na palakasin at palawakin ang saklaw ng rebolusyonaryong gobyernong ito sa kapakanan ng mga mamamayan may usapang pangkapayapaan man o wala.	the NPA, CPP and NDFP are prepared to strengthen and widen the scope of this revolutionary government for the welfare of the people with or without peace talks.
<33>	Sa naturang presscon, nakinig at dumalo ang ilan sa mga masa na tagasuporta ng rebolusyon.	in the said press conference, a number of the mass that are supporters of the revolution listened and attended.
<34>	Naging pagkakataon na rin ito para iulat sa kanila ang kalagayan ng mga negosasyon, habang pinatitibay ang komitment para ipagpatuloy ang rebolusyon–may peace talks man o wala.	this also became an opportunity to report to them the status of the negotiation, while fortifying the commitment to continue the revolution - with or without peace talks.
<35>	Pero siyempre, malaki ang pagkilala nilang magandang pagkakataon ang usapang pangkapayapaan para maitulak ang rebolusyonaryong programa ng NDFP sa mga negosasyon para sa repormang sosyo-ekonomiko, at pulitikal-konstitusyonal.	but of course, they largely recognized the good opportunity of the peace talks to push the revolutionary program of the NDFP on the negotiations for the socio-economic reform and political-constitutional.
<36>	Bago natapos ang araw, nagpailaw at nagpalipad ang ilang nagsidalo sa asembleya ng mga parol bilang simbolo ng hangaring kapayapaan batay sa hustisya.	before the day ended, a number of the assembly participants lighted and flew lanterns as symbol of the desired peace based on justice.
<37>	“People’ s War is for People’s Peace” ang tema ng pagtitipon, at malakas na naiparating ang mensaheng ito ng mga rebolusyonaryo sa mga nagsipagdalo at sa publiko na makakatunghay sa asembleyang ito sa pamamagitan ng midya.	"people's war is for people's peace" is the theme of the gathering, and this message was strongly sent by the revolutionaries who attended and the public who witnessed this assembly through the media.
