<1>	Isulong ang rebolusyonaryong kilusan sa reporma sa lupa	advance the revolutionary movement on land reform
<15>	Nakatira sila mga mala-palasyong tahanan, nagsusuot ng mahahaling damit, kumakain ng imported na karne, nalulungo sa mamahaling alak, nagpipiging sa nagtatayugang hotel, pabalik-balik sa ibang bansa at nakikipagkarera para maaliw sa kanilang mga kotseng matakaw sa gasolina.	they live in palace-like houses, wearing expensive clothes, eating imported meat, drunk in expensive liquor, feasting in high-rise hotels, going back and forth to other countries and racing their cars gluttonous of gasoline just to have fun.
<16>	Manhid sila sa karukhaan at pagdarahop ng mga magsasaka at iba pang masang anakpawis.	they are numb about the poverty and destitution of the farmers and other masses of the children of sweat.
<17>	Ang pinakalitaw na pagpapamalas ng kawalan ng tunay demorasya sa Pilipinas ay ang kawalan ng tunay na reporma sa lupa.	the most surfacing exhibition of the lack of real democracy in the Philippines is the lack of authentic land reform.
<18>	Ang mayorya ng sambayanang Pilipino na binubuo ng mga magsasakang walang lupa at mahihirap na manggagawang bukid ay araw-araw na pinagdurusa sa mataas na upa sa lupa, napakababang sahod, mataas na gastos sa agrikultural na produksyon, mababang presyo ng kanilang produktong-bukid, mataas na interes sa utang at iba pang anyo ng pyudal at malapyudal na pagsasamantala at pang-aapi.	the majority of the Filipino nation, which is composed of farmers without land and poor farming workers, is suffering everyday in high rental of the land, low wages, high expenses on agricultural production, low prices of farming products, high interests on debts and other forms of feudal and semi-feudal exploitation and abuses.
<19>	Daan libong magbubukid ang napalalayas sa kanilang mga lupa dahil sa malawakang pagpapalit-gamit ng mga panginoong maylupa ng mga lupaing agrikultural tungong di-agrikultural upang ikutan ang batas sa reporma sa lupa at mabilis na makapagkamal ng tubo.	a hundred thousands of farmers are driven away from their lands because of landlords' widespread conversion of the use of agricultural lands to non-agricultural to make a roundabout on land reform laws and quickly gain interest.
<20>	Ibayo pang napapalayas sa kanilang lupain ang mga pambansang minorya ng pagdagsa ng mga dayuhang kumpanya sa pagmimina na lumalason sa lupa at mga ilog.	the national minority are intensely sent away from their lands in the flock of foreign mining companies which are poisoning the land and rivers.
<21>	Walang-walang kaunlarang pang-ekonomyang na makapagbibigay ng trabaho sa modernong industriya sa lakas paggawa sa kanayunan.	there is no economic progress that can give jobs in the modern industries than the work force in the villages.
<22>	Ang kanayunan ng Pilipinas ay isang malaking dagat ng mga wala at kulang sa trabaho, kung saan napakababa ng kita at lubog sa gutom at karukhaan ang masa.	the villages of the Philippines is a big ocean of those who have nothing or lack of jobs where the wages are too low and the masses are drowned in hunger and poverty.
<23>	Walang katarungang panlipunan sa ilalim ng CARP ng reaksyunaryong estado.	society with no justice under the CARP of the reactionary state.
<24>	Ibinasura na ng mga organisasyon ng magsasaka ang CARP bilang isang purong transaksyong real estate na ang pyudal na mga lupain ay binibili sa estado sa mas mataas na presyo kaysa sa tunay nitong halaga.	the CARP is thrown as garbage by the organization of farmers as a pure real estate transaction in which the feudal lands are bought by the state in higher prices than its real worth.
<25>	Ang mga tinaguriang certificate of land transfer (dokumento ng paglilipat ng pag-aari sa lupa) ng mga magbubukid ay naglalaho dahil sa kanilang kawalang-kaayahang magbayad ng napakamahal na tantos ng amortisasyon.	those considered certificate of land transfer (document of transferring the ownership of the land) of the farmers is vanished because of their inability to pay a high interest amount of amortization.
<26>	Sa ngalan ng "economies of scale" (malakihang ekonomya), ang mga tinaguriang benepisaryo ay inoobligang sumapi sa mga "argarian reform communities" para pwersahin silang isanib sa sistema ng malaking plantasyon para sa produksyon ng saging, tubo, goma, oil palm at iba pang produktong pang-eksport.	in the name of "economies of scale" (larger economy), the identified beneficiaries are obligated to join in the "agrarian reform communities" to force them to join the system of big plantation for the production of banana, sugarcane, rubber, oil palm and other export products.
<27>	Pinabibili sila ng mga binhi at gamit sa agrikultura at pinupwersang ibenta ang kanilang produkto sa malalaking panginoong maylupa at mga eksporter.	they are asked to buy seedlings and equipment in agriculture and forced to sell their products to big landlords and exporters.
<28>	Patuloy na sinasamantala ng mga dayuhang monopolyo kapitalista ang pyudal at malayudal na sistema at ang atrasadong produksyong agrikultural upang makahuthot ng supertubo at dambungin ang yaman ng Pilipinas.	the feudal and semi-feudal systems and backward agricultural production are continued to be taken advantaged by the foreign capitalist monopoly in order to bribe a huge interest and plunder the wealth of the Philippines.
<29>	Ang malalaking panginoong maylupa at malalaking burgesya kumprador ang pinakamapagkakatiwalaang kaalyado ng mga imperyalista.	the big landlords and big bourgeoisie buyers are the most trusted allies of the imperialists.
<30>	Nagsisilbi silang tagasuplay ng murang hilaw na materyales at daluyan ng mga produktong sarplas mula sa mga bansang imperyalista.	they are serving as suppliers of raw materials and channel of surplus products from imperialist countries.
<31>	Ang paghahangad sa tunay na reporma sa lupa ang nananatiling pinakamalaking demoratikong kahilingan ng sambayanang Pilipino.	the aspiration for a real land reform remains the biggest democratic wish of the Filipino nation.
<32>	Ito ang pangunahing laman ng demokratikong rebolusyon ng bayan na naglalayong iwasto ang istoriko at inhustisyang panlipunan na humahagupit sa masang magsasaka, at palayain sila mula sa pyudal at malapyudal na pagsasamantala at pang-aapi.	this is the primary content of the democratic revolution of the nation which aspires to correct historic and societal injustice which is whipping the masses of farmers, and free them from the feudal and semi-feudal exploitation and abuses.
<33>	Sa pagpapatupad ng tunay na reporma sa lupa na katuwang ng pambansang industriyalisasyon, mapapakawalan ang buong kakayahan ng mga produktibong pwersa sa Pilipinas.	in the implementation of real land reforms together with the national industrialization, the whole ability of productive forces in the Philippines will be released.
<34>	Ang paggigiit sa tunay na reporma sa lupa ang patuloy na gumagatong sa digmang bayan.	the assertion of real land reform is continually fueling the civil war.
<35>	Sa araw-araw, nagpaplano ang mga Pulang mandirigma ng Bagong Hukbong Bayan (BHB) at mga rebolusyonaryong pwersa sa ilalim ng pamumuno ng PKP ng mga kampanya sa reporma sa lupa alinsunod sa Programa para sa Demokratikong Rebolusyong Bayan.	in every day, the red warriors of the New People's Army (NPA) and the revolutionary forces under the leadership of the PKP are planning campaigns for land reforms in accordance to the Programs for the People's Democratic Revolution.
<36>	Ipinatutupad sa buong bansa ang minimum na programa sa reporma sa lupa.	implemented in the whole country is the minimum program for land reform.
<37>	Sa ilalim ng Pambansang Katipunan ng mga Magbubukid (PKM), isang alyadong organisasyon ng National Democratic Front of the Philippines (NDFP), inoorganisa at pinakikilos ang masang magsasaka upang kumprontahin ang mga panginoong maylupa sa pamamagitan ng paggigiit sa pagpapababa ng upa sa lupa, pagpapataas ng sahod ng mga manggagawang bukid, pagpapababa ng tantos sa interes sa utang at itaas ang presyo ng kanilang produktong-bukid.	under the National Federation of Farmers (NFF), an allied organization of the National Democratic Front of the Philippines (NDFP), the masses of farmers are organized and mobilized to confront the landlords through asserting the lowering of rent for the land, raising the wages of farming workers, lowering the percentage of interest in debt and raise the price of their agricultural products.
<38>	Sa gabay ng PKP, inoorganisa ng PKM ang mga panimulang anyo ng kooperasyon at kolektibisasyon upang itaas ang produksyon at magkaroon ng dagdag na kita.	through the guidance of the PKP, the PKM is organizing the beginning form of cooperation and collectivization to raise the production and have an additional profit.
<39>	Iwinawagayway ng PKP ang bandila ng tunay na reporma sa lupa upang wasakin ang baseng pang-ekonomya ng pagsasamantala at pang-aapi ng mga panginoong maylupa.	the PKP is waving the banner of authentic land reform to dismantle the economic bases of exploitation and abuse of landlords.
<40>	Sa pagsasakatuparan nito, matagumpay na nakauugat nang malalim ang mga rebolusyonaryong pwersa sa kanayunan, naitatayo ang Bagong Hukbong Bayan at nabubuo ang mga organo ng kapangyarihang pampulitika sa ilalim ng Demokratikong Gubyernong Bayan.	in its implementation, the revolutionary forces in the villages are triumphantly rooted deeply, the New People's Army is raised and the organization of political power under the People's Democratic Government is formed.
<41>	Malaki ang positibong epekto ng rebolusyonaryong kilusan sa reporma sa lupa sa masang magsasaka.	the positive effect of the revolutionary movement on land reform for the masses of farmers is huge.
<42>	Ang malaking mayorya ng mga Pulang mandirigna ng BHB ay binubuo ng pinakamabubuting anak ng masang magsasaka.	the huge majority of the red warriors of the BHB is composed of the best children of the masses of farmers.
<43>	Patuloy na nag-aalimpuyo ang digmang bayan sa buong bansa.	a tornado of civil war continues in the whole country.
<44>	Susulong ito sa mas mataas na antas sa mga susunod na taon kasabay ng malalaking pagsulong sa rebolusyonaryong kilusan sa reporma sa lupa.	it will advance to a higher level in the next years together with the advancement of the revolutionary movement on land reform.
<45>	(Inilabas ang pahayag na ito kasabay ng ika-25 taon ng CARP na isinabatas ni Corazon Cojuangco Aquino noong Hunyo 10, 1998.)	(this statement is released along with the 25th year of CARP which was made into law by Corazon Cojuangco Aquino last June 10, 1998).
