<1>	Rich congressman at ang ‘grandmother of all scams’	rich congressmen and the grandmother of all scams
<14>	Kinansela ang mga proyekto dahil hindi naman pala kailangan ang mga ito at walang kaukulang feasibility study bago itinayo ang mga ito.	the projects are cancelled because these are actually not needed and do not have the appropriate feasibility study before these are built.
<15>	Binebeybi ni Kong Ngayon ay binebeybi ni Kong ang dalawang kompanyang ito na sumasali sa mga proyekto para pa rin sa PBP.	the congressman is petting these two companies to still join the projects for the PBP.
<16>	Tulad ng dati, malakihan, bilyong piso ang gusto nilang mga kontrata.	same as before, at large, they want billion peso contracts.
<17>	Para magtagumpay si Kong at ang mga alaga niyang kompanya, bingyan niya ang mga ito ng isang opisina sa Makati City.	for the congressman and his pet companies to succeed, he gave them an office at Makati City.
<18>	Pagkakilanlan kay Kong Gusto n’yo bang malaman, mga Bro, kung sino ang kongresman na ito?	congressman's identity do you want to know, my brothers, who is this congressman?
<19>	Heto, isa siya sa mga pinakamayaman sa Kamara.	here, he is one of the richest in the Legislative Chamber.
<20>	At ang pagbeybi niya sa mga malalaking kompanyang nabanggit ay inaasahan niyang lalong magpapayaman sa kanya.	and on petting the two large companies mentioned, he expects these to make him richer.
<21>	Aba, sa laki ba naman ng halaga ng mga proyekto na gusto nilang makorner.	well, with the high price of the project that they want to take control of.
<22>	O hulaan na!	guessing time!
<23>	FIRING, PROFILING PALA NG PAF Isang imbitasyon ang natanggap natin sa Philippine Air Force para sa isang shootfest.	firing, apparently profiling by the PAF we received an invitation for a shoot fest from the Philippine Air Force.
<24>	‘Yun bang tinatawag na firing.	that one called firing.
<25>	Libre bala!	free bullets!
<26>	“Libre” baril!	free gun!
<27>	Hiram nga lang.	but only borrowed.
<28>	Proud ang pangulo ng National Press Club dahil naalala nila tayo.	the president of the National Press Club is proud because they remembered us.
<29>	Gaya ng sabi sa imbitasyon, ito ay para sa “spirit of kinship and camaraderie.”	similar to what the invitation said, this is for the "spirit of kinship and camaraderie."
<30>	Tama ba ang pang-unawa ko?	did I understand it right?
<31>	Para sa “espiritu ng kapatiran at pagsasama-sama?”	for the "spirit of kinship and camaraderie?"
<32>	He! He! He!	he! he! he!
<33>	Sa Lipa gaganapin ang shootfest pero inilipat sa Villamor.	the shooting festival will be held at Lipa but transferred to Villamor.
<34>	Pabor!	favor!
<35>	Napalapit!	becomes closer!
<36>	Ayaw sana nating hiyain ang imbitasyon ng militar sa ngalan ng pagkaka-isa.	we hope not to shame the invitation of the military in the name of camaraderie.
<37>	Pero nang makatanggap tayo ng isang fax message na sinasabing kailangan muna nating sagutin para makapasok ng kampo, na siyempre naman magtatala ito ng mga impormasyon tungkol sa ating mga personal na detalye.	but when we received a fax message telling that we need to answer before entering the camp, of course, it will record information about our personal details.
<38>	Aba!	oh!
<39>	Tumaas po ang kilay natin.	our eyebrows raised.
<40>	Heto ang ating tanong… Hindi na po natin lalagyan ng malisya ang nasabing fax message.	this is our question. we are not going to put any malice on the said fax message.
<41>	Ang saganang atin ay “Nag-iimbita kayo, pero hindi n’yo kilala ang inyong iniimbita?” Eh di huwag n’yo nang imbitahan!	in our opinion, "you are inviting, but you do not know who you are inviting?". then, do not invite them at all!
<42>	Tama ba?	right?
<43>	Alam po ng Ultimatum na malinis ang inyong hangarin sa imbitasyong ito, yun nga lang po ay medyo nakaka-INSULTO!	the Ultimatum knows that your aspiration is clean in this invitation, but it is slightly insulting.
<44>	Kaya nais lang po naming ipaalam sa inyo na kami po sa media ay hindi patay gutom na hindi kayang pumutok o mag-firing na may bayad.	because we just want you to know, that we in the media, we are not dead hungry who cannot pay to fire or have firing.
<45>	MARAMING SALAMAT NA LANG!	thank you, anyway!
<46>	Tanong… FIRING BA ITO?	question: is this firing?
<47>	O… PROFILING?	or profiling?
<48>	NAGTATANONG LANG PO!	I am just asking!
<49>	NASAAN ANG DOSE PARES?	where are the twelve pairs?
<50>	Isa sa mga kinatatakutan na gang na gumagala sa Metro Manila at karatig na mga lalawigan ang tinatawag na Dose Pares Gang.	one of the feared gangs roaming in Metro Manila and nearby provinces are what they called as the Twelve Pairs Gang.
<51>	Kinatatakutan dahil halos binubuo ang gang ng mga pulis na dating nakatalaga sa Eastern Police District.	feared because the gang is almost composed of police who were formerly assigned at Eastern Police District.
<52>	Kinatatakutan naman talaga dahil pinapatay ng mga ito ang kanilang mga biktima sa kidnapping for ransom.	really feared because they kill their victims in kidnap for ransom.
<53>	Gayundin ang kanilang mga biktima na nagwi-withdraw ng salapi sa mga bangko.	as well as their victims who are withdrawing amounts in the bank.
<54>	Ang isa pang nakatatakot, matapos nilang maisagawa ang kanilang mga krimen, hindi umuubra ang police checkpoint dahil pulis nga ang mga ito.	one thing is fearsome, after they have done their crime, police checkpoints do not work because they are police.
<55>	Sino ang huhuli sa mga pulis na magnanakaw lalo’t napapatay ang mga biktima nila at halos walang testigo?	who will catch these police thieves especially their victims are killed and almost no witnesses?
<56>	TIKLO ANG ULO Binubuo ang Dose Pares Gang ng mga pulis na sina Inspector Nathaniel Capitana, PO1 Alexander Pangilinan, PO1 Candido Vallejo, PO1 Roel Palana, PO2 Allan Verana, PO2 Arden Lanaza, PO2 Daniel Maborang, PO2 Roger Villarente, and civilians Christian Marcelo and Ely Frias Jr.	the head is arrested the Twelve Pairs Gang is composed of police who are Inspector Nathaniel Capitana, PO1 Alexander Pangilinan, PO1 Candido Vallejo, PO1 Roel Palana, PO2 Allan Verana, PO2 Arden Lanaza, PO2 Daniel Maborang, PO2 Roger Villarente, and civilians Christian Marcelo and Ely Frias Junior
<57>	Kamakailan lang, nahuli ang boss nila na si PO2 Joel Tapec sa Tarlac.	just recently, their boss PO2 Joel Tapec was caught in Tarlac.
<58>	Pero ang masama, dadalawa pa lang sila na nahuhuli ng mga awtoridad.	but the bad thing, only two of them are caught by the authorities.
<59>	Nasaan yung iba?	where are the others?
