<1>	Ang Tunay na Kalaban ni Duterte Ngayon by Teo S. Marasigan October 24, 2016	the true enemy of Duterte today by Teo S. Marasigan October 24, 2016
<38>	At parang nagtatawag na ng kudeta ng militar si Sen. Antonio Trillanes IV sa pagbansag kay Duterte na “Komunista.”	and Senator Antonio Trillanes IV seems to call for a coup in calling Duterte a "communist."
<39>	Ayon sa Editorial Board ng New York Times, “liberal” na tinig ng imperyalismong US, halos araw-araw ay “nilalason” ni Duterte ang ugnayan ng US at Pilipinas.	according to the editorial board of the New York Times, "liberal" voice of the imperialist US, Duterte "poisons" the US-Philippines relations almost every day.
<40>	Umaasa raw ito na magbabago ang isip ng pangulo, “Pero matinding pinsala ang posibleng magawa sa kanyang bansa…” Nitong huli, sabi ni Russel, nagdudulot ang mga pahayag ni Duterte ng pagkabahala hindi lang sa gobyerno ng US, “hindi lang sa mga gobyerno, kundi maging… sa ibang komunidad,… sa mga pamunuan ng mga korporasyon.”	he supposedly hopes the president's mind will change, "but he could do severe damage on his country..." just recently, Russel said, the statements of Duterte cause worry not only in the US government, "not only in governments, but also... in other communities... in the management of corporations."
<41>	Kakaiba ang ganito kaaga at katalim na banat ng US at mga pulitiko sa pangulo, taliwas sa nagpapatuloy na malawak na suporta sa kanya ng mga Pilipino.	jabs on the president as early and blunt as these from the US and politicians are unique, contrary to the continuing wide support of him by Filipinos.
<42>	Totoo ang pagsusuri ng Communist Party of the Philippines, na nagdeklara ng kahandaang magbuo ng “patriyotikong alyansa” sa pagitan nito at ng “rehimeng anti-US” ni Duterte: “Ang kanyang mga birang anti-US ay nagpapalalim sa hidwaan ng mga naghaharing uri.”	the analysis of the Communist Party of the Philippines, which declared readiness to create a "patriotic alliance" between them and the "anti-US regime" of Duterte, is true: "his anti-US attacks deepen the divide of the ruling class."
<43>	Hindi na maitatago: may bigat at lalim ang mga pahayag at hakbangin ng pangulo.	it cannot be concealed: the statements and actions of the president have weight and depth.
<44>	May bigat at may lalim dahil posible batay sa mga materyal na kalagayan sa Pilipinas at mundo, na inihanay rin ng CPP: ang nagpapatuloy na krisis ng sistemang malakolonyal at malapyudal, pagkalantad ng kabuktutan ng mga patakarang neoliberal ng US sa mundo, pagkabanat at paghina ng US sa larangang militar, at pag-usbong ng China bilang malakas na kapitalistang bansa na dikit sa Rusya at kalaban ng US.	it has weight and depth because it is possible based on the physical standing of the Philippines and the world, which was also ranked by the CPP: the continuing crisis of a colonial and feudal system, revealing the corruption of neoliberal policies of the US in the world, stretching and weakening of the US in the military domain, and China coming up as the strongest capitalist country that is allied to Russia and against the US.
<45>	Ilang taon nang kapansin-pansin ang pag-igting ng girian sa pagitan ng US at China-Rusya.	the increasing friction between the US and China-Russia has been noticeable for some years.
<46>	Sabi ng isang komentarista, lumalaganap ang impluwensya ng China sa Timog- Silangang Asya – sa Thailand, Myanmar, at Malaysia.	one commentator said, the influence of China on Southeast Asia - on Thailand, Myanmar, and Malaysia - is growing.
<47>	Ayon sa isa pa, walang bansa sa rehiyon, pati na Australia, ang handang tumindig para sa US.	according to another, no country in the region, even Australia, is ready to stand for the US.
<48>	Maaari raw ang Vietnam, pero mas malamang ay hindi.	possibly Vietnam, but more likely not.
<49>	Ayon naman sa isa pa, posibleng gumaya sa Pilipinas ang ibang bansa: “Kung magmumukhang kapaki-pakinabang sa Pilipinas na maging malapit sa Beijing, magiging indikasyon iyun ng paghina ng impluwensya ng US sa Asya.”	according to one more, the Philippines might imitate other countries: "if the Philippines being close to Beijing will seem beneficial, that will be an indication of the weakening influence of the US on Asia."
<50>	Sa ganitong pagsusuri mainam tingnan ang pandarahas sa mga protesta ng mga pambansang minorya at tagasuporta nila, at maging ang naging reaksyon sa social media.	in this analysis it is good to look at the violence on protesters from the national minority and their supporters, and the resulting reaction in social media.
<51>	Hindi na lang ito repleksyon ng matagal na at sistemikong “bayas (bias)” ng kapulisan at militar, maging ng mga trolls, laban sa mga pambansang minorya at maralita – bagamat tiyak na kasama ito.	it is no longer just a reflection of a long and systematic "bias (bias)" of the police and military, even of trolls, against the national minority and poor - but it is surely a part of it.
<52>	Maaaring galaw na ito ng mga maka-US na paksyon ng “oligarkiya,” kahit iyung nasa hanay ng mga tagasuporta ni Duterte.	it might be a move of the pro-US factions of the "oligarchy," even those in the ranks of Duterte supporters.
<53>	Ganito ang tunguhin ng analisis ni Fidel V. Agcaoili, bagong chief peace negotiator ng National Democratic Front of the Philippines, nang sabihin niyang may mga elemento ng kapulisan at militar na gustong isabotahe ang usapang pangkapayapaan sa pamamagitan ng pinakahuling kaso ng pagdahas sa mga pambansang minorya at mga tagasuporta nila.	this is the direction of the analysis of Fidel V. Agcaoili, new chief peace negotiator of the National Democratic Front of the Philippines, when he said that there are elements of the police and military who want to sabotage the peace talks via the latest case of violence on the national minorities and their supporters.
<54>	Tiyak na hindi sila masaya sa usapang pangkapayapaan, kahit mabuti ito sa bansa, at sa pagpapalaya sa mga bilanggong pulitikal, kahit kulang pa nga.	they are surely not happy about the peace talks, even if it is good for the country, and about the release of political prisoners, which is even lacking.
<55>	Malaking bloke ang Kaliwa sa hanay ng mga nagsusulong ng tunay na independyenteng patakarang panlabas sa panig ng mga sumusuporta kay Duterte.	the left is a huge block in the ranks of those supporting real independent foreign policy on the part of Duterte supporters.
<56>	Nasa interes ng mga maka-US at maka-Kanan na elemento sa bansa, maging iyung nasa hanay ng mga maka-Duterte, na kumbaga’y sagasaan at hindi pakinggan ang tinig ng Kaliwa.	it is in the interest of pro-US and pro-right elements of the country, even those in the ranks for pro-Duterte, as if running over and disregarding the voice of the left.
<57>	Kahit pa ang nasa puso at paninindigan talaga ni Duterte sa iba’t ibang pagkakataon ay mas dikit sa Kaliwa kaysa sa maka-US at maka-Kanan – lalo na sa usapin ng patakarang panlabas.	even if the heart and stand of Duterte in different opportunities is really allied to the left instead of being pro-US and pro-right - especially on the issue of foreign policy.
<58>	Naninindigan si Duterte para sa “independyenteng patakarang panlabas.”	Duterte stood for "independent foreign policy."
<59>	At sa mga pwersang pampulitika sa bansa, ang Kaliwa ang tunay at matagal nang tumitindig para rito.	and for the political forces of the country, the left is the one truly standing for it and for a long time.
<60>	Ito ang makakapagbigay ng kongkretong nilalaman sa naturang islogan.	they can give concrete meaning to the said slogan.
<61>	Suportado nito ang panawagan ni Duterte, pero iginigiit din nito sa kanya ang mga kongkretong aksyon para rito.	they support the call of Duterte, but they also demanded from him concrete actions for it.
<62>	Mahalagang pakinggan ng gobyernong Duterte ang Kaliwa, para hindi mauwi lang ang islogan sa pampabango ng paghahari sa Pilipinas ng US man o China.	it is important for the Duterte government to listen to the left, so that their slogan will not just end up as positive words for the rule of the Philippines by US or China.
<63>	Kung susundin, samakatwid, ang “independyenteng patakarang panlabas” ni Duterte, hindi ang mga pambansang minorya o ang Kaliwa ang dapat tinutuligsa ng “mga tunay na ka-DDS” o iyung mga naniniwala sa puso at paninindigan ng pangulo.	therefore, if followed, the "independent foreign policy" of Duterte, not of the national minority of the left should be the one criticized by "the real ka-DDS" or those who believe the heart and stand of the president.
<64>	Ang dapat tinutuligsa ay ang mga kumokontra sa nagsasariling patakarang panlabas – ang US at mga paksyon ng oligarkiya na malinaw na naghahandang ibagsak si Duterte, kahit nagsisimula pa lang siya, kung hindi siya mapapasunod sa kanilang dikta.	the ones that should be criticized are those opposing the independent foreign policy - the US and the factions of the oligarchy that are clearly preparing to drop Duterte, even if he is just starting, if he cannot be made to follow their orders.
<65>	Ang dapat, suportahan ng mga ka-DDS ang mga pambansang minorya at ang Kaliwa.	the ka-DDS should support the national minority and the left.
