<1>	Ang MNLF 'Integree' sa Silangkan (Leadership Experience Part 11)	the MNLF 'integree' in Silangkan (leadership experience part 11)
<18>	Gamit ang 10x power Nimrod sniper scope at ang Steiner binoculars, nag-scan kami sa paligid para makilatis na mabuti ang lugar.	using a 10x power Nimrod sniper scope and the Steiner binoculars, we scanned the surroundings to study the area well.
<19>	"Sir, merong dalawang armado.	"sir, there are two armed men.
<20>	Naka-BDA uniform," sabi ni Cpl Gil Galsim, isa sa aking Team Leader at sniper.	wearing BDA uniform," said Corporal Gil Galsim, one of my team leader and sniper.
<21>	Nakumpirma ko ang kanyang obserbasyon at minabuti kong usisahin itong mabuti.	I confirmed his observation and preferred to study it thoroughly.
<22>	Nakita ko na ang armado ay naka-M16 Rifle at nakasuot ng pulang patch ng 1st Infantry Division.	I found that the armed men had M16 rifles and wore the red patch of the 1st infantry division.
<23>	"Tabak patch yan.	"that is a Tabak patch.
<24>	Tatsulok na pula at merong itak sa gitna," sagot ko.	red triangle with a dagger in the middle," I answered.
<25>	Ang patch kasi ng 1st ID ay hango sa tabak ng Scout Ranger.	because the patch of the 1st ID is based on the dagger of the scout ranger.
<26>	Ayon sa mga matatandang musang, ang nag-compose sa pinakaunang personnel ng Tabak Division sa Nueva Ecija noong araw ay mga Scout Rangers.	according to the older Musangs , scout rangers composed the first personnel of the Tabak division in Nueva Ecija back in the day.
<27>	Syempre, ayaw nilang talikuran ang pagiging Musang kaya Tabak ang ginawa nilang unit patch, bilang tanda na mga mandirigma rin sila na nanggaling sa hanay ng mga musang.	of course, they do not want to turn their backs on being a Musang so they made their unit patch the Tabak, as mark that they are also fighters that came from the ranks of the Musang .
<28>	Sa aming pag-uusyoso at paninilip sa lugar, namataan din namin ang 4 pang armadong kalalakihan na samo't-sari ang mga armas.	in our snooping and peeping at the area, we also saw 4 more armed men with all sorts of weapons.
<29>	Merong naka-tsinelas, merong naka-shirt lang at merong tila ay nag-bitbit ng attache case sa istilo ng pagdala ng kanyang baril.	some wore slippers, some wore shirts only and there are some who seemed to be carrying an attaché case in the manner of carrying his gun.
<30>	Sa bandang likuran ng pwesto nila ay merong mga naglalarong bata at matanda na tila ay nag-rerelax at ini-enjoy ang preskong ihip ng hangin ng Sulu Sea.	by the back of their location there were children playing and elders as if relaxing and enjoying the fresh gust of wind of the Sulu Sea.
<31>	"Ito na po ang sinasabi. Labo-labo na. Di na malaman sino ang mga iyan," sambit ko na me halong inis kasi nasa sitwasyon na naman kami na alanganin.	"this is what was being said. it is unclear already. we cannot figure out who they are," I muttered with a mix of annoyance because we were again in a tricky situation.
<32>	Problema lagi namin na alamin sino kalaban at sino hindi.	it is always our problem to figure out who is the enemy and who is not.
<33>	Sa estimate of the situation, ang pakiwari ko ay hindi sila Abu Sayyaf pero maaari ding meron doong bandido na kaanak nila.	in estimating the situation, my guess is they are not Abu Sayyaf but they may have relatives there who are bandits.
<34>	Nang ikumpirma ko ang location sa mapa, nasa vicinity na kami ng 'recognized MNLF camp' sa lugar na iyon.	when I confirmed the location in the map, we were in the vicinity of the 'recognized MNLF camp' in that area.
<35>	Dapat kong malaman kung talagang kalaban sa kahit anong paraan.	I really need to know the true enemy no matter how.
<36>	Pinili kong hindi sila pagbabarilin kasi ayaw kong magsisisi sa hulihan at marami ang madadamay.	I tried not to shoot at them because I do not want to be blamed in the end and many will be involved.
<37>	Kaya man naming ipatimbuwang ang mga armadong kalalakihan sa unang bugso pa lang ng putok, ngunit di mapigilang merong madamay na mga inosenteng sibilyan na nagkalat sa paligid nila.	we may be able to send the armed men to fall on their backs in only the first round of gunfire, but it cannot be helped that there will be innocent civilians around their location who will get involved.
<38>	Doon ko nabuo ang isang desisyon: lapitan ang mga armado nang harapan at sila ay kakausapin.	there I made a decision: approach the armed men directly and talk to them.
<39>	Batid ko na isang sugal ang aking gagawin kaya naman ay nag-plano kami ng pamamaraan para mabawasan ang risks at masuportahan kaming maayos.	I knew that what I will do is a gamble so we planned a way to minimize risks and for us to be properly backed up.
<40>	Ang una kong ginawa ay i-marka sa mapa ang grid location ng posisyon namin sa Objective Rally Point (ORP) at ang posisyon ng napagsuspetsahang kalaban (target).	the first I did was mark on the map the grid location of our position in objective rally point (ORP) and the position of the suspected enemy (target).
<41>	Kinausap ko ang lahat ng Team Leaders.	I talked to all the team leaders.
<42>	"Ang team ni Boni at ni Tayros ang sasama sa akin," sabi ko sa aming briefing.	"the team of Boni and of Tayros will come with me," I said in our briefing.
<43>	"Ang team ni Panganiban at ni Cayabyab ang support elements na dumugtong sa amin sakaling magkaputukan."	"the team of Panganiban and of Cayabyab are support elements who will join us in case of gunfire."
<44>	"Ang team ni Galsim at Sabarre ang mag-provide ng support by fire.	"the team of Galsim and Sabarre will provide support by fire."
<45>	Ang sniper ay dapat sa pinaka-harap na armadong mga kalalakihan ang tutok.	the sniper should aim at the front of the armed men.
<46>	Wag mamumutok hanggat hindi sila naunang mag-taas ng baril at kami ay paputukan," mahigpit kong bilin.	do not shoot until they raise their gun first and shoot at us," I strictly advised.
<47>	Kampante ako na di kami lugi.	I was confident that we were not disadvantaged.
<48>	Sa layong 200 metro, peanuts lang sa aking mga tropa ang magpatama ng bandido.	at a distance of 200 meters, hitting the bandits were just peanuts to my troops.
<49>	Sa snipers, kahit palagitnaan pa ng mata ang marka ng 7.62mm round.	for snipers, even if the mark of the 7.62mm round is between the eyes.
<50>	Ipinasa ko ang aking plano sa Battalion at nag-request ako na i-lay ang 81mm Mortar para kami ay masuportahan.	I passed on my plan to the battalion and requested for the 81mm mortar to be laid to support us.
<51>	Napabilib din kasi ako sa kagalingan ng mortar section ng 32nd SF Company sa una naming bakbakan.	because I was impressed by the skill of the mortar section of the 32snd SF company in our first encounter.
<52>	Dahil accurate at nasa 35 metro ang kill radius nito, mahiya-hiya rin yong mga makipaglaban sa amin.	because its kill radius was accurate and at 35 meters, those fighting us will be ashamed.
<53>	Kailangan lang talaga na magaling ang Fire Direction Center, ang mga operator nito at syempre, ang Forward Observer na syang mag-adjust ng fires.	the fire direction center just has to be good, its operators and of course, the forward observer who will adjust the fires.
<54>	Kapag isa sa kanila ay palpak, mabatuktukan kami ng mortar rounds sa aming posisyon.	if one of them fails, we will be hit by mortar rounds in our position.
<55>	Isa rin sa delikado sa sitwasyon namin na iyon ay nasa gun target line kaming nasa harapan.	one more danger to our situation there is that we at the front were in the gun target line.
<56>	Konting palpak sa pagbigay ng range (distance), kasama kami sa mapahamak.	a few mistakes in giving the range (distance), we will be included in the casualties.
<57>	Ipinagpaubaya ko na lang kay Sir Bobby Morales ang lahat kasi ito ang itinapos nya sa Fort Benning, Georgia na kung saan ay sa layong 3km ay pinapatamaan nila ang mga T72 tanks ng mortar rounds.	I handed over everything to Sir Bobby Morales because this is what he studied in Fort Benning, Georgia wherein at a distance of 3km they hit T72 tanks with mortar rounds.
<58>	Bahala na si Batman este si Batcom.	Batman I mean BATCOM will be in charge.
<59>	At the same time, naka-alerto rin ang 20th SRC na pinamunuan ni Lt Sam Yunque, ang 12th SRC na noon ay dala ni Lt Binalla at ang SF company ni Lt Nick Banzuela para kami ay tulungan sakaling balak ng kaaway na kami ay kukuyugin.	at the same time, also on alert were the 20th SRC led by Lieutenant Sam Yunque, the 12th SRC that back then was brought by Lieutenant Binalla and the SF company of Lieutenant Nick Banzuela to help us in case the enemy plans to mob us.
<60>	Walang iwanan!	no one left behind!
<61>	Bago namin tuluyang lisanin ang ORP, nag-bigay ako ng mga paalala sa aking mga kasama:	before we finally left ORP, I gave reminders to my companions:
<62>	"Lapitan natin sila na tila ay naka-relax lang.	"let us approach them as if relaxed.
<63>	Low carry ang baril ngunit loaded ang chamber.	low carry the gun but the chamber is loaded.
<64>	Dapat hindi tayo threatening sa kanila.	we should not be threatening to them.
<65>	In case paputukan tayo, skirmishers front agad at bugahan ng volume of fire habang dahan-dahan mag-execute ng break contact."	in case we are shot at, skirmishes to the front immediately and blast them with volume fire while carefully executing break contact."
<66>	Kagaya ng dati, kailangan kong mag-emphasize ng aming number one rule:	like before, I needed to emphasize our number one rule:
<67>	"Kahit anong mangyari, walang iwanan!"	"no matter what happens, no one is left behind!"
<68>	Ramdam ko ang na tensyonado kaming lahat habang papalapit.	I felt that we were all experiencing tension while approaching.
<69>	Sa 1st Team ako sumama at nang ako mismo ang unang makakausap ng mga armado.	I joined the 1st team so I myself will be the first to talk to the armed men.
<70>	Alam kong napaka-delikado ang aming gagawin pero iyon ang nakikita kong paraan para makumpirma kung kalaban ba talaga o hindi.	I know what we would be doing was very dangerous but that was the only way I saw to confirm if they were really enemies or not.
<71>	Di ko naman masikmura na makapatay ng 'friendly forces' at maging dahilan pa sa dagdag kaguluhan.	I cannot stomach killing 'friendly forces' and be the cause for additional conflict.
<72>	Kasama na sa aming P240.00 combat pay at P120.00 hazard pay yong pagsuong sa panganib.	included in our P240.00 combat pay and P120.00 hazard pay is that, facing danger.
<73>	Mga 100 metro mula sa posisyon ng mga armado, nakikita na nila kami dahil tinumbok namin ang mismong kalsada na patungo sa kanilang barangay.	about 100 meters from where the armed personnel positioned, they can already see us because we hit the very road going to their barangay.
<74>	Nakita ko na kumakaway yong isa.	I saw one wave.
<75>	Ang ibang armado ay pasimpleng nagtago sa likurang bahagi ng bahay, samantalang ang tatlo ay kalmado lang at lumakad paharap at sinasalubong kami.	the other armed men simply hid at the back part of the house, while three were just calm and walked forward to welcome us.
<76>	Nakatitig ang isa sa kanila sa suot kong 'pispis' (anting-anting) sa aking ulo.	one them stared at the 'pispis' (amulet) I wore on my head.
<77>	Nakita ko ring meron sya at kinilatis ko ang kanyang uniporme.	I saw that he also had one and examined his uniform.
<78>	Battle Dress Attire nga ng 1st ID at sya ay isang opisyal.	really a battle dress attire of the 1st ID and he was an official.
<79>	Naka-smile syang lumapit sa aming team at naunang nagsalita.	he approached our team smiling and first spoke.
<80>	"Sarge, sino sa inyo ang opisyal?"	"sarge, which one of you is an official?"
<81>	Lumingon si Pfc Dumago sa akin na tila ay ayaw namang sabihin na ako yong kanyang Company Commander.	Private First Class Dumago looked back to me as if not wanting to say that I was his company commander.
<82>	Binitawan ko ang aking naka-sling na AUG Steyr at sya ay kinamayan.	I released my slung AUG Steyr and shook hands with him.
<83>	"Salam brother, ako si 1st Lt Cabunoc, ang kanilang Commander."	"Salam brother, I am 1st Lieutenant Cabunoc, their commander."
<84>	Niyakap nya ako ayon sa kagawian ng mga Muslim.	he hugged me according to the customs of the Muslims.
<85>	"Alaikumusalam! Ako si 2nd Lt Aberin.	"Alaikumusalam! I am 2nd Lieutenant Aberin.
<86>	Binantayan ko ang mga kaanak ko dito sa Silangkan."	I guarded my relatives here in Silangkan."
<87>	Nagtataka ako paano sya nadeploy doon eh samantalang na-integrate na sya kaya dapat doon sya sa kanyang mother unit.	I wondered how he was deployed there when he should have been integrated and be there with his mother unit.
<88>	Kasama sya sa 5,500 na mga dating miyembro ng MNLF forces na isinama sa hanay ng Army (maliban sa 1,500 na isinama sa hanay ng PNP) simula noong 1997, ayon sa nakasaad sa GRP-MNLF Peace Agreement noong 1996.	he is part of the 5,500 former members of the MNLF forces included in the ranks of the army (aside from the 1,500 included in the ranks of the PNP) starting 1997, according to what is stated in the GRP-MNLF Peace Agreement in 1996.
<89>	"Paano ka napunta dito? Andito ba ang unit mo nakadestino?"	"how did you end up here? is your unit assigned here?"
<90>	Marami syang sinabi.	he said a lot.
<91>	Kesyo ayaw daw nya madamay ang mga kaanak nya sa military operations.	like he did not want his relatives to be affected by military operations.
<92>	Kesyo ni-request daw sya ni Maas (Prof Nur Misuari).	like he was supposedly requested by Maas (Professor Nur Misuari).
<93>	Presko pa rin kasi sa isipan ko ang briefing sa akin ng taga intel na sa buwan ng Pebrero 2000 ay dalawa sa mga MNLF 'integree' na sina Pfc Tating Asbarin na miyembro ng 51st Infantry Battalion, 1st Infantry Division, at si Pvt Abdun Isnari ng Marine Training Unit, ang nasawi kasama ang apat na mga Abu Sayyaf sa isang bakbakan ng mga Marines doon sa bulubunduking lugar.	because it was still fresh in my mind the briefing to me by those from intel that on the month of February 2000 two of the MNLF "integree" Private First Class Tating Asbari who was a member of the 51st infantry battalion, 1st infantry division, and Private Abdun Isnari of the marine training unit, who were killed together with four Abu Sayyafs in an encounter by the marines there in the mountainous area.
<94>	Mas marami namang matitino sa kanila at loyal sa AFP ngunit di maiwasan na meron ding nagpapasaway.	there were much more decent ones of them and loyal to the AFP but it cannot be helped that there will be disobedient ones.
<95>	Alam kong merong problema sa ginawa niya kasi hindi sya nag-serve sa kanyang unit at tila, doon pa sya nag-serve sa MNLF unit sa Silangkan.	I knew there was a problem with what he did because he did not serve in his unit and it seemed as if he even served in the MNLF unit in Silangkan.
<96>	Ganon pa man, wala na akong magawa doon maliban sa i-report ang aking nakita.	still, I could not do anything there aside from reporting what I saw.
<97>	Ang importante sa akin, di nagkaputukan.	what is important to me, is there was no gunfire.
<98>	Naglabasan sa mga bahayan ang mga kalalakihan.	the men came out of the houses.
<99>	Ang iba me baril, ang iba sumisilip lang sa bintana.	others had guns, others just peeked through windows.
<100>	Ang lugar pala na iyon ay parte na mismo sa 'recognized' MNLF camp.	so that place was itself already a part of the 'recognized' MNLF camp.
<101>	Ang labo naman kasi, di mo malaman ang hangganan ng kanilang kampo.	it was vague, you do not know the boundary of their camp.
<102>	Di ito kagaya sa Camp Aguinaldo o Fort Bonifacio na klaro ang mga outer limits nito.	this was not like Camp Aguinaldo or Fort Bonifacio whose outer limits were clear.
<103>	Dagdag pa doon, hindi naman sya hitsurang kampo bagkus ay parang karaniwang barangay lang.	in addition to that, it did not resemble a camp instead was just like an ordinary barangay.
<104>	Ang kaibahan, may mga fox holes sa gilid ng kalsada at may running trenches ang ilalim ng bahayan.	the difference, there were fox holes at the side of the road and some houses had running trenches.
<105>	Pang-gyera ang kanilang komunidad.	their community was meant for war.
<106>	Ini-report ko ang aking sitwasyon sa Battalion TCP.	I reported my situation to battalion TCP.
<107>	Sinabi ko na kami ay nasa bungad ng MNLF camp.	I said we were on the threshold of an MNLF camp.
<108>	Nang sumunod sa akin ang tropa ni Lt Yunque, napabulalas sya sa ganda ng dagat at dalampasigan doon.	when the troop of Lieutenant Yunque followed me, he ended up exclaiming about the beauty of the sea and coast there.
<109>	"Bay, parang Boracay!"	"bay, like Boracay!"
<110>	Paano naman kasi, ang pino ng buhangin at ang linaw ng tubig.	it is because, the sand is fine and the water is clear there.
<111>	Parang nag-iimbita ang tanawin sa amin para magtampisaw na tila ay nasa island resort kami.	as if the scenery is inviting us to wade like we were in an island resort.
<112>	"Okay dito bay, parang Boracay nga sa ganda.	"it is okay here, bay, really like Boracay in its beauty."
<113>	Nakakawala ng battle stress.	makes you lose battle stress.
<114>	Wag ka lang lumingon sa likuran dahil manlumo ka na makita ang gubat ng Indanan at Talipao na kung saan ay naglipana ang mga bandido!"	just do not look behind because you will be overwhelmed to see the forest of Indanan and Talipao where the bandits have spread!"
<115>	Napabuntong-hininga na lang ako.	I ended up sighing.
<116>	Nasasayangan ako sa ganda ng mga lupain na angkin ng mga apo ni Rajah Baguinda at ni Sultan Jamalul Kiram.	I felt that the beauty of the lands owned by the descendants of Rajah Baguinda and by Sultan Jamalul Kiram were wasted.
<117>	Kung di lang sana magulo ang lugar, dapat ay nag-aagawan ang mga turista sa buong mundo para bisitahin itong napakagandang lugar.	if only the place was not troubled, tourists from the whole world should be scrambling to visit this very beautiful place.
<118>	Nahimasmasan ako sa aking pagmuni-muni.	I was brought back from my thoughts.
<119>	May misyon pa pala kami.	we still had a mission.
<120>	"Animal ka Robot, saan ka nagtatago ha!"	"you are an animal Robot, where did you hide!"
