<1>	Militarisasyon sa Quezon at pakikipagsapalaran ng Mercy Mission	militarization in Quezon and the struggle of the Mercy Mission
<43>	“’Yung mga bata nagkakaroon ng takot kapag nababanggit ang mga sundalo.	"the children are acquiring fear if the soldiers are mentioned.
<44>	Lumilitaw sa kanilang mga output gaya sa mga drawings, ang kanilang mga pangamba o takot sa mga militar.	shown in their outputs such as in drawings are their worry and fear of the military.
<45>	Ang iba sa kanila nakaranas ng direktang pandarahas kung saan pinasok ang kanilang mga bahay ng mga militar at tinatanong kung NPA ba ang kanilang mga magulang at kung may itinatagong mga baril,” ayon kay Jacqueline Ruiz, executive director ng CRC.	some of them have experienced direct violence where their houses are entered by the military and have been asked if their parents are NPA and if there are guns hidden," according to Jacqueline Ruiz, executive director of CRC.
<46>	Dagdag pa ni Ruiz, ang paggamit ng mga eskwelahan ay nagdudulot din ng trauma sa mga bata kung saan nagpupunta ang mga sundalo na may dalang mga baril.	Ruiz added, the utilization of schools are causing trauma to the children where the soldiers go while carrying their guns.
<47>	Ang ibang mga bata ay inuutusan ng mga sundalo para bumili ng sigarilyo, alak at pinag-iigib ng tubig para makaligo ang mga sundalo sa halagang P5.00.	some of the children are commanded by the soldiers to buy cigarettes, liquor, and to fetch water for the soldiers to take a bath for P5.00.
<48>	“Natatakot nang pumunta ang mga bata sa eskwelahan dulot nito.	"the children are afraid in going to school due to this.
<49>	Nangangamba ang mga bata na tulad ng iba nilang mga kalaro na mawala din ang mga magulang nila, na baka dukutin din o di kaya ay patayin.	children fear that similar to their playmates', their parents will be gone, might be abducted or killed.
<50>	Malayo pa lang ang mga sundalo, natatakot na o nagtatago,” dagdag ni Ruiz.	even the soldiers are still far, already afraid and hiding," Ruiz added.
<51>	Sa mismong pinagdausan ng Mercy Mission ay may mga militar umano na umaaligid upang manmanan ang mga grupong nagsasagawa ng nasabing misyon at kumuha pa ng mga larawan.	where the Mercy Mission itself was held, there are military who are surveying to observe the groups conducting the said mission and even took photos.
<52>	“Walang sinisino ang mga militar kahit na mga bata.	"the military does not look at anyone even a kid.
<53>	Limang bata na ang namatay sa ilalim ni Aquino, patunay na nagpapatuloy ang paglabag sa karapatang pantao lalo na sa mga bata,” diin ni Ruiz.	five children have died under Aquino, an evidence that the violation of human rights especially for children continues," Ruiz asserted.
<54>	Maskara ng Oplan Bayanihan	mask of the Oplan Bayanihan
<55>	Ayon kay Marcellana, ang pagdedeploy ng militar sa Quezon ay pagprotekta sa interes ng mga lokal na naghaharing-uri at dayuhan.	according to Marcellana, the deployment of military to Quezon is a protection of the interest of the local and foreign ruling class.
<56>	“Narito sa Quezon ang mga malalaking hacienda gaya ng pagmamay-ari nina Danding Cojuangco, Victor-Reyes, at James Murray na isang dayuhan.	"the huge hacienda are here in Quezon such as those owned by Danding Cojuangco, Victor-Reyes and James Murray who is a foreigner.
<57>	Dikit-dikit ang mga hacienda at rancho nila,” pahayag ni Marcellana.	their hacienda and ranches are close to each other," Marcellana stated.
<58>	Paliwanag ni Marcellana, kawalan ng lupang sinasaka para sa mga magsasaka dulot ng mga pangangamkam na ito ng mga panginoong maylupa at dayuhan kung kaya nagpapatuloy ang laban ng mga mamamayan para sa tunay na repormang agraryo.	Marcellana explained, a loss of farmlands for the farmers brought by the outright claim of landlords and foreigners, so, the people's struggle continues for the genuine agrarian reform.
<59>	Ang paglakas umano ng laban ng mga mamamayan ang isa sa matingkad na dahilan ng pagkakaroon ng bata-batalyong militar sa lugar.	the intensified fight of the people is one of the bright reasons in having battalions of military in the place.
<60>	Dagdag pa ni Marcellana, layunin din ng mga militar na protektahan ang interes ng mga kompanya ng mina, na tiyak na tututulan ng mga mamamyang maaapektuhan ng mapanirang paraan ng pagmimina.	Marcellana added, the goal also of the military is to protect the interest of the mining companies which is surely be objected by the citizens affected by the destructive way of mining.
<61>	“Hindi militar ang kailangan namin kundi tunay na repormang agraryo at serbisyong panlipunan,” diin ni Marcellana.	"what we need is not the military, but a genuine agrarian reform and public service," Marcellana asserted.
<62>	Matagumpay na misyon	a successful mission
<63>	Sa kabila ng marahas na salubong ng mga militar sa Mercy Mission, isa pa rin itong tagumpay, ayon sa SBPM.	despite the violent welcome of the military to the Mercy Mission, this is still a success, according to SBPM.
<64>	“Sa kabila ng kanilang mga pananakot at black propaganda laban sa amin, hindi pa rin napigilan ang mga mamamayan ng Quezon na magpunta sa Mercy Mission.	"despite their threats and black propaganda against us, the citizens of Quezon will not be stopped from going to the Mercy Mission.
<65>	Marami pa ring naserbisyuhang kababayan sa medikal at dental gayundin sa mga bata na sumailalim sa counseling,” ayon sa SBPM.	a lot of countrymen are still served in medical and dental as well as children who have undergone counselling," according to SBPM.
<66>	Ayon sa grupo, panimula pa lamang ito sa pagtulong sa mga nasasalanta ng militarisasyon at paglantad sa tunay na mukha ng Oplan Bayanihan ni Aquino na target din ang mga sibilyan sa kanilang laban sa mga NPA.	according to the group, this is only the beginning in helping those who are destructed by militarization and revelation of the real face of Oplan Bayanihan of Aquino which is also targeting the civilian against the NPA.
<67>	Pangamba pa rin ng grupo ang pagpapatuloy ng karahasan sa pananatili ng mga militar sa lugar.	the group still fears the continuing violence in the stay of the military in the place.
