<1>	(0.000-1.535)	maana ya hisa .	the meaning of stock of shares .
<14>	(91.230-98.290)	hali ya soko <hes> limekuwa likikuwa kwa kipindi cha miezi michache iliyopita ukilinganisha na wakati wa nyuma .	the market situation has been growing in the past several months if you include the time in the past .
<15>	(98.290-120.097)	soka la hisa la Dar es Salaam limeanzishwa mwaka wa elfu moja mia tisa tisini na nane na kwa makusudi hasa ya <hes> kuwezesha ukuaji wa uchumi na hasa katika sector binafsi pahali ambapo kampuni zinapokuwa zinahitaji taji kwa ajili yaku- -- either kuanzisha au kukua na kupanua shughuli zao wanaweza wakauza hisa nakupata taji kwa ajili ya kupanua na kuendeleza shughuli zao .	Dar es Salaam stock market was started in the year nineteen ninety-eight with the intention of enabling economic growth especially in the private sector where when companies require capital for the purpose of -- starting or growing and expanding their activities they can sell their shares and get loans to expand and advance their activities .
<16>	(120.097-125.510)	<breath> lakini vile vile ilikuwa ni sehemu ya privatization .	but similarly it was part of privatization .
<17>	(125.510-149.913)	yaani ubinafsishaji wa mashirika yaliyokuwa yanamilikiwa na serikali na kwa kuwa serikali ilikuwa imebadili mtazamo wa kiuchumi kutoka uchumi ule unaomilikiwa na serikali kwenda kwenye uchumi ambao <breath> unaamuliwa na soko ilikuwa ni muhimu vile vile kuwe na sehemu ambapo kutakuwa na mitaji hii ya muda mrefu ambao kampuni hizi zinazo <hes> binafsishwa lakini vile vile kampuni ambazo zitakuwa binafsi sasa zinaweza zikapata mitaji kutokea katika soko la hisa .	that is privatization of formally government owned organizations and because the government had changed its economic view point from government owned economy to the economy that is decided by the market was important similarly have the part where there would be this long term capitals that theses privatized companies but similarly companies that would be private can be able to get capital from stock market .
<18>	(149.913-170.133)	na kwa hivyo katika hiki kipindi cha miaka karibu kumi na sita iliyopita soko limeweza kuorodhesha kampuni ishirini na moja katika ya hizo kampuni saba ni ambazo zilikuja kwa mtindo wa ubinafsishaji na zingine ni kampuni ambazo <hes> zilikuja katika nia hasa ya kupata taji kutokea katika sector binafsi na baadhi ya kampuni zimeorodheshwa kutokea katika masoko mengine ya hisa .	and therefore in this period of about the past sixteen years the market has been able to list twenty-one companies and in among them seven companies are which come up in form of privatization and others are companies that came up with the aim especially to get private sector capital and several companies listed from other stock markets .
<19>	(170.133-179.120)	kwa mfano kuna kampuni <hes> sita ambazo zimeorodheshwa kutoka katika soko la hisa la Nairobi na kuna kampuni moja ambayo imeorodheshwa kutoka katika soko la hisa la London .	for example there are six companies which have been listed from Nairobi stock market and there is one company which is listed from London stock market .
<20>	(179.120-199.080)	kwa hivyo <hes> ukiangalia hizi kampuni saba ambazo zimeorodheshwa kutoka katika masoko mengine na kampuni kumi na nne ambazo ni za ndani saba zikiwa ni <overlap> kwa nia ya ubinafsishaji na zingine zikiwa kwa <hes> kampuni binafsi ambazo zimekuja kutaka mitaji kutoka kwa watu kwa ujumla <hes> imetengeneza kampuni hizi kuwa ishirini na moja .	therefore if you check this seven companies that are listed from other stock markets and eighteen that are from within where seven are for intention of privatization and others are private companies which come to get the capital from people generally have made up theses companies to be twenty-one .
<21>	(199.080-203.689)	hizi kampuni ishirini na moja zina ukubwa wa taji jumla wa kama shilingi trilioni ishirini na mbili pointi tatu .	this twenty-one companies have volume of capital of a total of about twenty-two point three trillion shillings .
<22>	(203.689-214.620)	trilioni ishirini na mbili pointi tatu kampuni <hes> saba hizi za nje zina ukubwa wa karibu trilioni kumi na tatu na hizi kampuni za ndani hizi kumi na nne zina ukubwa wa kama trilioni kumi .	twenty-two point three trillion these seven outside companies have the amount of about thirteen trillion and these eighteen companies from within have have the amount of about ten trillion .
<23>	(214.620-226.261)	kwa hivyo <hes> ukiangalia ni kwamba ukuaji wa soko <breath> umekuwepo katika hiki kipindi kwa sababu wakati tunaanza tulianza na zero na sasa hivi tuko katika ukubwa wa taji jumla ya soko wa shilingi trilioni ishirini na mbili pointi tatu .	therefore if you check there has been growth of the market in this period because the time we started we were at zero but now we are in the size of a total of twenty-two point three trillion .
<24>	(226.261-229.190)	lakini hapo Moremi hata kwenye uwekezaji naona ni tofauti .	but there Moremi even in the investment I see difference .
<25>	(229.190-229.377)	naam .	yes .
<26>	(229.377-232.415)	uwekezaji wetu sisi na wageni ambao wanatoka nje .	our investment us and visitors who come from outside .
<27>	(232.415-232.819)	naam .	yes .
<28>	(232.819-234.630)	tatizo ni nini ?	what is the problem ?
<29>	(234.630-246.419)	<hes> kwa sisi kwa Watanzania kwa mfano kwa ujumla wawekezaji mpaka sasa hivi ni kama watu laki mbili hivi pamoja na watu pamoja na makampuni laki mbili ambayo yame- -- yana akaunti katika soko la hisa la Dar es Salaam .	on us Tanzanians for example in total investors until today are about two hundred thousand people together with people together with two hundred thousand companies which -- have accounts in the Dar es Salaam stock market .
<30>	(246.419-258.440)	lakini ukiangalia na ukubwa wa nchi pamoja na wingi wa watu ambao ni karibu zaidi ya watu trilioni arobaini na sita hii ni chini ya zero pointi tano asilimia .	but if you check with the volume of the country together with the population size that is almost more than forty-six trillion people this is below zero point five percent .
<31>	(258.440-266.400)	kwa hivyo Watanzania bado sio wengi ambao wanashiriki katika <hes> soko la hisa ukiangalia kwa sababu ya <int> uchache wa watu ambao wanashiriki .	therefore there are still not many Tanzanians participating in the stock market if you look at the scarcity of the people who participate .
<32>	(266.400-296.080)	na kwa hivyo ambacho kinatakiwa kufanyika kwanza ni kutoa elimu kama hivi ambavyo tunafanya kutoa elimu kwa wale ambao <hes> makampuni ambayo wanaweza kuwa yanahitaji mitaji na badala ya kufikiria kwenda kwenye taasisi za fedha tu kukopa yanaweza vile vile yakaja katika soko la hisa nakupata mitaji ambayo hii mitaji tofauti na ile ambayo inapatikana katika <hes> sector za kibenki ni mitaji ya muda mrefu na ambayo ni endelevu zaidi na ile ambayo haimuweki haiiweki kampuni katika kitu ambacho kitaalam kinaitwa financial stress .	and therefore what which needs to be done firstly is to provide education like this we are doing to offer education those who companies which may need capitals and instead of thinking to go to the financial institutions to borrow they can similarly come in the stock market and get capitals which are capitals different from those that are found in the banks sector are long term capitals and that very are continuous and which do not the company in something that is called by experts financial crisis .
<33>	(296.080-304.000)	kwamba kila labda baada ya mwezi kila baada ya robo mwaka unatakiwa kupeleka marejesho katika benki katika umiliki wa hisa ni tofauti .	that maybe after every month after every quarter of a year you are required take the repayment to the bank but in the shares ownership it is different .
<34>	(304.000-311.270)	hakuna ambacho kinakuhitaji kwamba kila baada ya kipindi fulani unatakiwa uwarudishie wale waliokupa hiyo pesa marejesho yao .	there is nothing that requires that after a certain period you are needed to return to those who lend you that money their returns .
<35>	(311.270-319.017)	na kwa hivyo inakuweka katika <hes> cashflow stress katika wakati fulani <hes> ukihitaji kuwarudishia wenyewe pesa zao lakini katika hisa haiko hivyo .	and therefore it puts you in the cash flow stress in certain time when you needed to return to the owner their money but shares are not that way .
<36>	(319.017-324.116)	Moremi hebu msaidie mtazamaji ambaye yuatutazama hizi sasa katika kipindi hiki cha Jambo .	Moreno please help a viewer who is watching now this Jambo program .
<37>	(324.116-333.416)	ni kwamba umezungumzia elimu na mitaji hivi huoni kwamba uwekezaji umekuwa ni mdogo kutokana labda na hofu .	is that you talked about education and capital don't you see that investment has become small because of maybe fear .
<38>	(333.416-338.306)	tuachilie mbali elimu lakini tuje kwenye ile viwango labda .	let's leave education but let's come to that quantity maybe .
<39>	(338.306-351.659)	labda mwananchi wa kweli labda angependa kuwekeza kwenye soko la hisa lakini anahofia kwamba labda yeye sio mfanyabiashara mkubwa au labda hana uwezo wa kuingia katika hili soko hebu katika hili Moremi unalizungumziaje ?	maybe citizens really would like to invest in the stock market but they fear that maybe he is not a big business person or may be he does not have the ability to get into this market please Moreno what do you say about this ?
<40>	(351.659-362.232)	kwa maana ya uwekezaji ambao ni sehemu moja ya soko la hisa na sehemu ya pili nimesema ni upatikanaji wa mitaji lakini ngoja tuelezee hili la eneo la uwekezaji na ni nani anayeweza kushiriki .	because investment which is first part of the stock market and the second part I have said is the availability of capital but wait explain to us this area of investment and who can participate .
<41>	(362.232-368.350)	nimesema ni Watanzania wote zaidi ya milioni arobaini na sita kila mmoja anaweza kushiriki kuanzia mtoto mdogo mpaka mtu wa umri mkubwa .	I have said all Tanzanians more than forty-six million everyone can participate starting from a small child up to very old people .
<42>	(368.350-369.860)	kwa nini nasema hivyo ?	why am I saying that way ?
<43>	(369.860-377.525)	<hes> mzazi anaweza kuwekeza kununua hisa kwa kumwekea mtoto wake kwa hivyo hata watoto wadogo wanaweza kushiriki .	a parent can invest to buy shares by investing for his child therefore even small children can participate .
<44>	(377.525-381.960)	lakini kiwango sasa ambacho mtu anaweza kushiriki ni kiasi gani ?	but what is the limit to a person's participation ?
<45>	(381.960-404.599)	mtu anaweza kushiriki kumiliki kampuni yoyote nitakupa mfano wa <hes> uhalisia tuchukue kampuni kwa mfano ya C_R_D_B Bank ambayo ni benki <hes> kubwa kwa maana ya asset walizonazo <hes> thamani zile za thamana walizonazo katika nchi hii <hes> mtu kwa shilingi elfu nne kwa mfano anaweza kumiliki kampuni ya C_R_D_B kwa nini ?	a person can participate to own any company I will give you a real example let's take a company like C_R_D_B Bank which is a big bank because of the assets they have the value of those assets they have in this country a person with four thousand shillings for example can own C_R_D_B company why ?
<46>	(404.599-409.460)	kwa sababu hisa za C_R_D_B sasa hivi katika soko zinauzwa shilingi mia nne kwa hisa moja .	because the shares of C_R_D_B now in the stock market are being sold for four hundred shillings per share .
<47>	(409.460-414.390)	na kiwango cha chini ambacho tunawataka wawekezaji washiriki katika soko ni hisa kumi .	and the lowest quantity that we want the investors to participate in the market is ten shares .
<48>	(414.390-420.510)	kwa hivyo ukichukua shilingi mia nne mara hisa kumi ambazo ni shilingi elfu nne mtu anaweza kushiriki katika <int> soko la hisa .	therefore if you take four hundreds shillings times ten shares which is four thousand shillings a person can participate in stock market .
<49>	(420.510-435.049)	lakini kumekuwa na huu mtazamo kwamba labda unatakiwa uwe <hes> na hela nyingi au uwe tajiri au uwe unajuana na mtu fulani ndiyo uweze ku- -- kushiriki katika soko au uwe na uelewa mkubwa wa mambo ya uchumi na fedha ndiyo uweze kushiriki katika soko ambayo ni notion ambayo sio sahihi .	but there has been this view point maybe that you are required to have a lot of money or you be rich or have to know a certain person so that you can -- participate in the market or have a lot of understanding about economics and finance so that you can participate in the market which is a notion which is not right .
<50>	(435.049-445.100)	kwa sababu mtu yeyote yeyote yule na narudia tena ukiwa na shilingi kiwango cha chini cha shilingi elfu nne tu unaweza kushiriki kama mmiliki wa kampuni kubwa kama C_R_D_B kwa mfano .	because any person anyone and I repeat if you have the lowest amount of just four thousand shillings you can participate as a owner of a big company like C_R_D_B for example .
<51>	(445.100-468.891)	kwa hivyo <hes> niwahamasishe tu Watanzania kwamba mtu yeyote maadamu sasa anapata <hes> elimu na uelewa ajue kwamba kwa kiwango cha chini cha shilingi elfu nne elfu tano shilingi elfu kumi shilingi laki moja anaweza akashiriki katika kumiliki moja kati ya makampuni makubwa kabisa hapa nchini makampuni kama T_B_L makampuni kama T_C_C makampuni ya sigara makampuni ya cementi kwa mfano ya Tanga na Twiga Cement ambayo yako sokoni .	therefore I just encourage Tanzanians that any person especially now who is getting the education and understanding to know that the lowest amount of four thousand shillings five thousand shillings ten thousand shillings and one hundred thousand can participate in the ownership of one of the biggest companies in the country companies like T_B_L companies like T_C_C cigarette companies cement companies for example Tanga and Twiga Cement which are in the market .
<52>	(468.891-471.719)	mtu anaweza kushiriki kuyamiliki kwa kiwango cha shilingi elfu kumi tu .	a person can participate in owning them by an amount of ten thousand shillings .
<53>	(471.719-472.949)	<breath> asante Moremi .	thank you Moreno .
<54>	(472.949-473.652)	Mada yetu .	our topic .
