<1>	(0.000-1.913)	uwe mwenyekiti au mwenye ki stool li .	whether you are the chairman or stool .
<23>	(104.222-108.391)	hiyo hela mnafanyia nini kama <overlap> kama watu wa- -- wa soko ?	what do you do with that money like people of -- of the market ?
<24>	(108.391-109.789)	swali la msingi .	basic question .
<25>	(109.789-116.230)	pesa tunazokusanya hapa mimi nafikiri <int> wewe hukukuja hapa kwa ajili ya kutaka kujua tunakusanya shilingi ngapi .	the money we collect here I think you come here in order to know how many shillings we collect .
<26>	(116.230-122.930)	nilichokuitia wewe ni kuhakikisha kwamba una pressurize au unatia msukumo watu wakubali kulipa hela ya ushuru .	why I called you for is to ensure that you pressurize or push people to agree to pay tax money .
<27>	(122.930-129.464)	sasa mambo ya kusema kwamba hii pesa inakusanywa ni shilingi milioni mia ngapi nafikiri hilo sio swala langu mimi ni mwenyekiti tu hapa .	now the issues of saying that this money is collected how many hundred millions I think isn't my issue mine is just the chairman here .
<28>	(129.464-130.780)	<sta> labda uende kwa mhasibu .	maybe you go to the accountant .
<29>	(130.780-135.238)	lakini baba subiri <overlap> nami niseme jamani ijapokuwa hata kama <overlap> .	but brother wait I say friend although even if .
<30>	(135.238-136.312)	ngoja nikuambie baba yangu .	wait I tell you my brother .
<31>	(136.312-136.860)	ehhe .	no .
<32>	(136.860-140.765)	hili jalala <sta> linatelekezwa kwa muda mrefu <int> .	this garbage dump has been neglected for a long time .
<33>	(140.765-144.760)	ndani ya kutekle- -- kule- -- telekezwa kwa muda mrefu lingekuwa linazolewa kwa wakati .	into -- there -- neglected for a long time it would have been removed for some time .
<34>	(144.760-149.326)	<sta> lisingekuwa tunafikia hali kwamba mpaka watu wanachukua miili <breath> ya marehemu wanakuja wanatupwa hapa .	we would not be getting to a situation that until people take bodies of the dead they come to throw them here .
<35>	(149.326-150.544)	what -- ina maana ya- -- yes .	what -- it means of -- yes .
<36>	(150.544-151.739)	sijakuelewa una say ?	I have not understood you you're saying ?
<37>	(151.739-156.740)	unaambiwa hivi jalala hili halitolewi yaani halizolewi kwa muda unaotakiwa .	you're told this garbage dump isn't removed meaning that it is collected at the required time .
<38>	(156.740-166.100)	ina maana linaachanishwa kwa muda mrefu mpaka inafikia kiwango watu wanaua watu ina maana wanakuja kuwaweka hapa kwa sababu <breath> hakuna mtu anayekuja kufanya uangalizi kuangalia <overlap> huyu mama ni mwongo .	it means it is left for a long time until it gets to a level people kill people means they come to dump them here because no one comes to observe to see if this woman is a liar .
<39>	(166.100-171.879)	huyu mama ni mwongo <overlap> (()) gari zinakuja kusomba hapa kila siku na sisi ndiyo viongozi wa soko .	this woman is a liar (()) vehicles come to collect here everyday and we are the leaders of the market .
<40>	(171.879-175.821)	mwenyekiti mwenyekiti tafadhali swala ya marehemu ili kwamba analozungumza ni la msingi .	chairman chairman please the issue of the deceased so that what she is saying is of essence .
<41>	(175.821-180.414)	yaani kama ingekuwa inazolewa taka kwa wakati <sta> marehemu asingefikia tu <overlap> (()) .	that is if it was being collected at times the dead wouldn't just reach (()) .
<42>	(180.414-181.738)	sasa mwenyekiti nimeelewa .	now chairman I have understood .
<43>	(181.738-184.802)	wacha mimi niongee na hawa na <int> nitatoa tamko .	allow me to talk to these ones and I'll give a statement .
<44>	(184.802-187.876)	sisi kama jeshi la polisi hatutaki kuvunja amani ya -- ya watu .	we like the police force we don't want to disrupt the peace of -- of people .
<45>	(187.876-196.389)	<overlap> (()) ukisimamia maendeleo unaonekana mbaya twendeni mama tukaongee ofisini .	(()) if you stand for development you're seen as being bad woman let's talk in the office .
<46>	(196.389-197.098)	kweli baba .	true brother .
<47>	(197.098-201.205)	<sta> mwenyekiti naomba -- naomba utakuja ofisini pale tuzungumze .	chairman I ask -- I ask you'll come to the office where we can talk .
<48>	(201.205-204.596)	sisi tuna ubaya gani wakati sisi ndiyo tulimchagua kwamba akae hapa .	what wrong do we have when we are the ones who elected him to sit here .
<49>	(204.596-206.814)	tulijua atatoa matatizo haya yaende sawa .	we knew he will remove these problems to go right .
<50>	(206.814-207.975)	<breath> leo anaona sisi viti- %incomplete	today he sees us seats -- %incomplete
