<1>	(0.000-1.829)	<no-speech>	<no-speech>
<27>	(158.857-162.476)	lengo kubwa <sta> ni kuweza kuwapa ujumbe .	the main goal is to be able to deliver the message to them .
<28>	(162.476-167.360)	ujumbe unaohusiana na nafasi ya vijana katika swala zima la kutokomeza vitendo vya <int> ujangili .	the message that relates to the position of the youths in the whole issue of eradicating poaching activities .
<29>	(167.360-172.850)	<sta> kwa kutambua kwamba vijana ni nguvukazi vijana wana nafasi ya kushawishi .	by recognizing that the youths are the workforce the youths have the latitude to convince .
<30>	(172.850-177.460)	<sta> wakiamua swala hili la ujangili liishe wanaweza .	if they decide to end the issue of poaching they can do it .
<31>	(177.460-178.670)	<no-speech>	<no-speech>
<32>	(178.670-186.667)	<sta> mashindano haya yamebuniwa kwa kutambua pia kwamba <sta> vijana wengi ndiyo (()) vitendo vya <int> ujangili .	these competitions have been designed by recognizing that it's the majority of youths who (()) poaching activities .
<33>	(186.667-192.985)	kutokana na takwimu ambazo zimekuwepo <sta> wengine wamekuwa wanakamatwa wengine wanafungwa na kadhalika .	from past statistics some of them have been arrested others jailed and so on .
<34>	(192.985-200.461)	sasa tuliona tuwafikishie ujumbe kwa kuwa <sta> njia nyingine nyingi za kuwashikisha vijana kwa karibu kabisa <sta> kuwaguza vijana .	now we thought of delivering the message through the many other ways of congregating youths together touching on the youths .
<35>	(200.461-206.690)	isingewezekana sasa tunajua -- tumetambua kwamba michezo ina nguvu sana ya kuwavuta vijana kwa sababu tunajua vijana wanapenda michezo .	it wouldn't have been possible now we know -- we recognize that sports have a great ability to draw youths because we know that young people love sports .
<36>	(206.690-212.750)	<sta> kwanza wana nguvu ya kushiriki kwenye michezo lakini wanapenda michezo tuliona tutumie fursa hii ya michezo .	first they have the energy to participate in sports but they love sports so we opted to use this sporting opportunity .
<37>	(212.750-220.590)	<sta> kwa kweli inakuwa na mafanikio makubwa vijana wengi na wananchi wengi katika tarafa hizi mbili za Inori na Palaga wameweza kushiriki .	for sure it has great success many youths and many citizens in these two divisions of Inori and Palaga have participated .
<38>	(220.590-230.906)	<sta> tunazungumzia zaidi ya -- takriban zaidi ya wananchi <sta> <hes> laki moja na nusu wameweza kushiriki katika michezo hiyo ukijumuisha -- ukikadiria watu ambao wameshiriki katika kila mechi .	we are talking of more than -- approximately more than one hundred and fifty thousand citizens have been able to participate in those games in total -- if you estimate the individuals who have participated in every match .
<39>	(230.906-232.519)	<no-speech>	<no-speech>
