<1>	JICHO LANGU: Ajali: Kama ni ‘pepo’ tulikemee wote	my eye: accident: if it's a spirit let's all of us rebuke it.
<32>	Jiulize, ni madereva wangapi wa masafa marefu, hasa mabasi ya abiria, wanaozingatia hili?	ask yourself, how many long distant drivers, especially of passenger buses, pay attention to this?
<33>	Mbona yanashuhudiwa mabasi yakiwa na dereva mmoja tangu alfajiri hadi usiku wa manane bila mapumziko.	why are there buses where you can see one driver from morning to midnight without rest.
<34>	Kwa mtindo huo, ajali zitakoma?	with that style, will accidents cease?
<35>	Ajali za mfululizo zilizohusisha mabasi ya abiria, karibu zote uchunguzi wa awali, unabainisha tatizo ni kutozingatia kanuni.	for almost all the investigations done earlier on a series of accidents that involved passenger buses, it was revealed that the problem was not paying attention to rules.
<36>	Ubishi, ubabe na kiburi kwa madereva vimetawala.	arguments, authoritarianism and arrogance in drivers rule.
<37>	Tatizo linakuwa kubwa kutokana na baadhi ya wasimamizi wa Usalama Barabarani kuendekeza vitendo vya rushwa na kutengeneza urafiki usiotoa nafasi ya kuwaadhibu.	the problem becomes a big one because some road safety supervisors promote corrupt actions and create friendships with drivers so that there is no chance to punish them.
<38>	Aidha adhabu zilizowekwa, ni ndogo kiasi cha kutoogopwa.	additionally, the fines in place are to small to be feared.
<39>	Unategemea dereva atakuwa na hofu kama kosa la Usalama Barabarani anatozwa faini ya Sh 100,000!	you can expect a driver to be afraid of being fined if you're fined 100, 000 shillings for a traffic offense!
<40>	Wakati tukiendelea kuomboleza vifo vya wenzetu waliopoteza maisha katika ajali barabarani, umefika wakati pia wa kutafakari sheria za Usalama Barabarani.	while mourning the deaths our colleagues who have lost their lives in road accidents, the time has also come to meditate on the rules of road safety.
<41>	Bila sheria kuangaliwa upya, ushauri kwa madereva kuhakikisha hawanywi pombe na kuendesha, utaendelea kupuuzwa.	without the rules being reviewed afresh, the advice to drivers that they don't drink alcohol and drive will continue being ignored.
<42>	Aidha fujo za madereva kujaribu kupita walio mbele, hazitakoma.	besides, the disorder of drivers trying to overtake those ahead will not stop.
<43>	Hahitaji elimu ya digrii dereva kutambua kwamba kabla ya kupita gari lingine, lazima ajiridhishe kwamba upo upenyo mkubwa wa kutosha mbele ya gari unalotaka kupita.	it doesn't take an educational degree to realize that before overtaking another car, you must be sure there is enough space in front of the car you want to overtake.
<44>	Lakini kiburi na ubabe unaochangiwa pia na ulevi (hususan wa viroba), vimetawala barabarani kiasi cha madereva wengi kutozingatia sheria.	but arrogance and authoritarianism, also contributed to with alcohol (especially parcel liquor), have governed the road to the extent of drivers not following rules.
<45>	Huwa inashangaza kuona dereva akiendesha kwa kasi kwenye kona au juu ya kilele cha mlima ambako ni vigumu kuona iwapo kutakuwapo gari lililoharibika mahali.	it's usually shocking to see a driver driving fast around a corner or on top of a hill where it is hard to see if there is a car that has broken down somewhere.
<46>	Pamoja na madereva, abiria, mamlaka zinazosimamia usalama barabarani, wamiliki wa magari (hasa ya abiria), kuwa sehemu ya sababu za ajali, isisahaulike ubora na uimara wa vipuri vya magari vinavyoingizwa nchini.	together with drivers, passengers, the authorities overseeing road safety and vehicle owners (especially of passengers) being part of the reasons for accidents, the quality of the strength of spares being brought into the country should not be forgotten.
<47>	Udhibiti wa ajali hizi unahitaji ushirikiano wa pamoja chini ya mamlaka zenye dhamana.	the control of these accidents needs unified cooperation under the authorities with securities.
<48>	Ifike wakati, mtu anaposafiri awe na amani tofauti na sasa ambapo ukiwa safarini, roho iko mkononi.	there should be a time, when a person traveling should have a different faith from now where you're heart is in your hands while traveling.
