<1>	Polisi tupieni jicho la tatu Mkuranga	police throw a third eye to Mkuranga.
<12>	Kukaripotiwa pia kuuawa kwa askari wa Jeshi la Polisi Kikosi cha Usalama Barabarani, Sajini Ally Salum maarufu Kinyogori, kwa kupigwa risasi na watu wasiojulikana nyumbani kwake Mkuranga.	it was also reported that the the military police officer, Sergeant Ally Salum (famous as Kinyogori of the road safety), was shot and killed by unknown people in his home in Mkuranga. 
<13>	Mkuranga hiyo pia, aliyekuwa askari magereza wa Gereza la Dondwe, Juma Rashid alitumika kuchora ramani yote ya uvamizi na mauaji ya askari wa Kituo cha Polisi Stakishari, Dar es Salaam.	in Mkuranga, the former Dondwe Prison's officer, Juma Rashid, was used to draw the map to attack and kill police in the Stakishari Police Station, Dar es Salaam.
<14>	Hata hivyo baadaye aliuawa.	however, he was later killed.
<15>	Mauaji mengine yakaripotiwa tena ya askari mmoja na wengine wawili kuuawa na baadaye majambazi kupora bunduki na mamilioni ya fedha kwenye Benki ya NMB, tawi la Mkuranga.	there were also reports of criminals killing a police officer and two others and then robbing guns and money worth millions from the Mkuranga branch of the NMB Bank. 
<16>	Matukio hayo ya kiuhalifu ya kuhusisha mauaji ya kutumia silaha yameonekana ni kitu cha kawaida wilayani Mkuranga, hali inayotufanya tulisihi Jeshi la Polisi kuiangalia wilaya ya Mkuranga kwa jicho la pekee.	as these criminal incidents involving people being killed by weapons appear to be a normal thing in Mkuranga District, we are pleading with the military police to investigate the Mkuranga District in a unique way.
<17>	Wilayani humo kunaonekana ndiyo maficho ya wahalifu iwe kwenye misitu, porini na hata kwenye nyumba hasa mapagala, hivyo Jeshi la Polisi lisichukulie mzaha bali liongeze nguvu na kufanya operesheni za mfululizo kwenye wilaya hiyo.	given that the forests, bushes and houses (especially incomplete ones) of the district seems to be the hideout of the criminals, the military police should not take this lightly but should instead increase their efforts and conduct continuous operations in that district.
<18>	Tunajua Polisi wanajitahidi kupambana na uhalifu, lakini tunaamini bado juhudi na nguvu zinahitajika kuongezwa kwani wahalifu hawa wanavyozidi kupata nafasi ya kujiimarisha ndivyo jamii inaumia zaidi.	we know that the police are working hard to fight crime, but we believe they should increase their efforts, because the more the criminals get a chance to stabilize themselves, the more the community suffers.
<19>	Ni vema pia wananchi wakapewa elimu ya kutosha kubaini wahalifu pamoja na kuchunguzana wenyewe kwa wenyewe na pale wanapopata mashaka na majirani zao kuwa wepesi kutoa taarifa za siri polisi.	it is good for citizens to learn how to identify criminals, investigate others, and quickly and discreetly report to the police whenever they have any doubts about their neighbors.
<20>	Wahalifu tunaishi nao na kwa sasa imeonekana wanatumia mbinu za kuishi nje ya mji kwani huwa hakuna mwingiliano, hivyo nyendo zao zinaweza zisifahamike lakini wananchi wakishirikiana na polisi ni rahisi kuwabaini na kuwaondoa wahalifu hao.	we live with the criminals, and for now, it appears they are living outside the town where their activities usually remain unknown and can be conducted without interference, but if the citizens cooperate with police it is easy to find and remove these criminals.
<21>	Sasa hivi hali imekuwa mbaya zaidi, wahalifu wanathubutu kuingia hadi kwenye nyumba za ibada na kujifanya waumini wazuri kumbe wanatumika kama kichaka cha kufanya uhalifu wao, hivyo maeneo hayo nako tusioneane aibu na kila mtu awe mpelelezi wa mwenzake kujua shughuli anayofanya na nyendo zake kiujumla.	at the moment, the situation is worse as criminals dare to enter houses of worship and pretend to be good believers as a way to hide their crimes, so we should not be ashamed to monitor others and their behavior in these spaces.
<22>	Haiwezekani mtaani kwako watu wanaishi kwenye nyumba ambako hawaonekani kutoka kwenda kwenye shughuli ya kuwaingizia kipato nawe jirani hujiulizi huyu mtu anapata wapi mlo wake na familia yake.	it is impossible that there are people who live in a house in your street and are not seen going out to earn income, and you as a neighbor don't ask yourself how that person gets a meal for himself and his family.
<23>	Tunaamini Jeshi la Polisi likijipanga vizuri kwa kushirkiana na wananchi wahalifu hawa wanaoitia doa nchi yetu wataondolewa.	we believe if the military police plans well by cooperating with citizens, these criminals tarnishing our country will be eliminated.
