<1>	CBA and Master Plan	CBA and master plan
<16>	Mfano unaweza kulinganisha kilimo cha zao la Nyanya, tikiti maji, kitunguu na pilipili hoho.	for example, you can compare the agriculture of the tomato, watermelon, onion and green pepper crops.
<17>	• Itakusaidia kulinganisha mtaji unaohitajika kwenye kila zao pia na Faida itakayopatikana kwa kila zao.	it will help you to compare the capital needed for every crop and also the profit that will be found in every crop.
<18>	Pia itakusaidia kujua Rasilimali zote na gharama zinazohitajika kwenye uwekezaji wa kilimo unachotaka kufanya.	also, it will help you to know all resources and costs needed in investing in the agriculture you want to do.
<19>	• Pia Huduma hii inaambatana na mapendekezo ya mbegu bora.	also, this service goes together with suggestions on good seeds.
<20>	Mbegu mpya zinazofanya vizuri kwenye maeneo mengi ya hapa nchini.	new seeds that do well in many areas of the country.
<21>	Master Plan – Kua mtaalamu wewe mwenyewe.	master plan to be an expert yourself.
<22>	• Huu ni Muongozo unaomsaidia mkulima kulima kitaalamu hata pasipokua na mtaalamu, yaani akifuatilia muongozo huu anakua mtaalamu yeye mwenyewe.	this is a guideline that helps a farmer to farm expertly even when he is no expert. that is, if he follows these guidelines he becomes an expert himself.
<23>	Hii itawasaidia sana wale ambao wanataka kufanya kilimo lakini hawajui kipi kianze na kipi kifuate.	this will greatly help those who want to do agriculture but they don't know where to start or what is to follow.
<24>	Pia utawasaidia kuongeza faida wale ambao wamewahi kulima kilimo cha tikiti lakini hawakupata faida waliyotegemea.	also, it will help to add profits to those who have farmed the agriculture of melons but didn't get the profit they were expecting.
<25>	• Master Plan itakupa muongozo wa shughuli zote zinazotakiwa kufanyika kuanzia kupanda hadi kuvuna.	the Master Plan will give you guidelines for all processes that need to be done from planting to harvesting.
<26>	Hii imewekwa kwa mtiririko mzuri unaoleweka	this has a good flow that is understandable.
<27>	• Utafhamu mbolea zote zinazohitajika ambazo ni bora kwa wakati huu, pia utafahamu namna ya kuziweka pamoja na wakati wa kuziweka shambani kulingana na aina ya zao	you'll understand all the fertilizers that are needed, which are good at this time. again you'll understand how to put them together with the time for planting them on the farm according to their types.
<28>	• Utafahamu namna ya kuchanganya mbolea za maji (booster) pamoja na dawa za wadudu au magonjwa.	you'll understand how to mix fertilizer with water (booster) together with herbicides for pests or diseases.
<29>	Yaani wakati unaupa mmea mbolea hapohapo unaukinga na wadudu au magonjwa.	that is when you give a plant fertilizer and then you protect it from pests or diseases.
<30>	• Utafahamu namna ya kuchanganya dawa za magonjwa na wa wadudu kwa ajili ya kuzipiga kwa pamoja.	you'll understand how to mix herbicides for diseases and pests in order to spray them together.
<31>	Hii itakusaidia kuokoa gharama za upigaji piakuleta ufanisi atika kukinga mimea.	this will help save costs of spraying and also to bring success in protecting plants.
<32>	Vigezo vya Ofa	offer criterion
<33>	• Uwe na Email (barua pepe).	have an email (email address)
<34>	Mkulima anapaswa awe na email, maana huduma hizi zitatumwa kwa njia ya email, ukiwa popote nchini au duniani unaweza kupata hduma hizi.	a farmer is required to have an email because these services will be sent via email. if you are anywhere in the country or in the world you can get these services.
<35>	Baada ya kutumiwa kwenye email unaweza kwenda stationery kwa ajili ya kuzi print ili uwe nazo kwenye karatasi	after being sent to your email, you can go to a stationery shop to print them so that you can have them on paper.
<36>	• Ili kupata ofa hii utapaswa kuchukua huduma hizi kwa mazao manne (4), yaani nyanya, vitunguu, pilipili Hihi na tikiti maji.	to get this offer, you'll be obliged to take these services for four crops (4), that is tomatoes, onions, green pepper, and watermelon.
<37>	Kila zao hapo ni 2,500 tu.	every crop there is only 2,500.
<38>	Hivyo Utapaswa kulipia 10,000 tu kwa mazao hayo yote manne, badala ya 120,000 ya awali.	therefore you'll be required to pay only 10,000 for all four crops, instead of 120,000 as before.
<39>	• Malipo yatafanyika kwa njia ya mpesa kupitia namba yetu ya 0763 071007.	payments will be done via M-Pesa through our number of 0763 071007.
<40>	Baada ya malipo utatuma email yako na Jina lako kwa ajili kutumiwa Huduma hizo.	after the payment, you'll send your email and your name in order to be sent those services.
<41>	Hakikisha email unayotuma ni sahihi	confirm that the email you're sending is valid.
<42>	• Email na jina utatuma kwa njia ya meseji (SMS) kwenye namba hiyohiyo uliyolipia. AU unaweza kutuma kupitia whatsapp.	you'll send your email and name via a message (SMS) to the same number you used for paying, or you can send through WhatsApp.
<43>	• Ofa hii ni kwa mwezi huu wa Pili (February) pekee. Baada ya hapo gharama yake itarudia 30,00 kwa zao moja na 120,000 kwa mazao manne.	this offer is for this second month (February) only. after that the cost will return to 30,000 for one crop and 120,000 for four crops.
<44>	Tunakuhakikishia kwamba kwa hiyo 2,500 ( 10,00 kwa mazao manne) utakayolipa kupata huduma hizi lazima utaona matokeo makubwa.	we promise you that for the 2,500 (10,000 for four crops) you'll pay to get these services, it's a guarantee you'll see great results.
<45>	Kwa swali lolote kuhusu kilimo au ushauri, au kupata huduma zetu Waweza kuwasiliana nasi kwa Namba 0763 071007 au kupitia email yetu: ushauri@kilimobiashara.net	for any questions about agriculture or advice, or to get our services, you can contact us on the number 0763 071007 or through our email ushauri@kilimobiashara.net
<46>	Asante na Karibu sana.	thanks and you are most welcome.
