<1>	Aligeuza ploti kuwa shamba la mboga	he turned a plot to a vegetable farm.
<12>	Anasema kuwa kuku walipokula chakula hicho, kile walichofanya ni kuongeza uzani ambao hatimaye uliwasababishia mishipa ya kutaga mayai kujifunga na hivyo basi kugeuza kuku wake wa kutaga kuwa wa nyama.	he says that when the chicken ate it, they gained weight which finally made the vessels for laying eggs close and therefore converted his chicken from layers to broilers.
<13>	"Niliwauza na ndipo nikanunua kuku wengine, safari hii kwa fujo kwa Picha/Maktaba kuwa nilinunua kuku wa nyama 3, 000.	"I sold them and then bought other chickens, this time with excitement with the picture/file that I bought 3000 broilers".
<14>	Nikaunda faida na nikaamua kuongeza uwekezaji wangu hadi kuku 12, 000," asema.	I made a profit and decided to increase my investment up to 12,000 chickens," he says.
<15>	Ndipo shetani aliangukia biashara hiyo yake mwaka wa 2002 ambapo kulizuka ugonjwa hatari wa homa ya kuku ulimwenguni na akaanza kupoteza biashara na faida kwa kasi iliyomwacha hoi.	then the devil fell on his business in 2002 when the dangerous bird flu disease arose in the world, and he started losing his business and profit at a rate that left him helpless.
<16>	"Nilikuwa na akiba ya Sh1.7 milioni katika akaunti yangu ya benki na iliporomoka hadi nikajipata nimezama katika lindi la madeni.	"I had savings of 1.7 million shillings in my bank account and it collapsed until I found myself drowned in debt".
<17>	Sikuwa na lingine ila tu kuwachana na kuku nikisaka njia nyingine ya kujinu suru," asema.	I had no choice except to leave chickens, I looked for another way to save myself," he says.
<18>	Lakini, Mungu hamtaliki mja wake, asema kwa kuwa baada ya mahangaiko, alipata njia ya kujinusuru kabisa mwaka wa 2013 ambapo aliingilia teknolojia mpya ya kilimo katika magunia spesheli.	but, God doesn't divorce one who comes to him, he says after those troubles, he found a way of saving himself in 2013 when he joined in the new agricultural technology in special sacks.
<19>	"Hii ni teknolojia ambayo hujumuisha kulima aina za mboga na matunda ndani ya magunia yaliyo na uwezo wa kupandwa mimea 80 kwa kila gunia," asema.	"this technology, which combines farming of types of vegetable and fruits inside a sack, has the ability to plant 80 crops in each sack," he says.
<20>	Gunia hilo lenye upana wa futi tatu na urefu wa futi nne huwa limetobolewa mashimo kando kando na kisha hujazwa mchanga na mbolea na kisha mimea kupandwa katika kiingilio cha gunia hilo na pia katika mashimo yaliyo kando yake.	the sack, which is three feet wide and four feet long, is usually punctured with holes in the sides and then filled with soil and fertilizer and then crops are planted at the opening of the sack at the top and in the holes that are on its side.
<21>	Teknolojia "Umuhimu wa teknolojia hii ni kuwa, hugeuza hata shamba la mawe kuwa shamba la kujistawisha na pia katika nafasi ambayo kwa shamba la kawaida inaweza kupandwa mimea miwili pekee, gunia hilo huzidisha mimea hiyo hadi 80," asema.	technology "the importance of this technology is that it converts even a stony garden to a garden of self-development and also in a space where normally two crops would be planted, this sack can take up to 80 crops," he says.
<22>	Alinunua magunia hayo spesheli 100 na akaanza kupanda mimea aina ya mboga za sukuma, spinachi na nyanya.	he bought 100 special sacks and started planting crops like vegetables such as kale, spinach, and tomatoes.
<23>	"Kila mmea mmoja wa nyanya hunipa faida ya Sh30 na wakati nimepanda mimea hiyo 8, 000, faida kwa kila gunia hadi awamu ya mavuno itamatike huwa ni Sh240, 000.	"every crop of tomatoes gives me a profit of 30 shillings and when I have planted 8,000 of that crop, profits in each sack at the end of the harvest season is usually 240,000 shillings.
<24>	Ukihesabu faida hiyo na mimea ndani ya magunia 100, utapata kuwa faida hupanda hadi Sh24 milioni," asema.	if you count that profit and the crops in 100 sacks, you will get profits that rise up to 24 million shillings," he says.
<25>	Kadhalika, wakati amepanda mboga aina ya spinach na kisha kuuza kila tawi moja kwa Sh3, faida kwa vuno moja huwa ni Sh240 kwa kila gunia.	moreover, when he plants vegetables like one type of spinach and then sells each branch for 3 shillings, profits for one harvest usually is 240 shillings for each sack.
<26>	Ukijumuisha magunia yote 100, pesa hizo hupanda hadi Sh24, 000 kwa siku.	if you put all 100 sacks, that money increases to 24,000 shillings per day.
<27>	"Uzuri wa spinachi ni kuwa unaweza kuvuna kwa kipindi cha mwaka mmoja mfululizo na faida hiyo itapanda hata Sh30 milioni ," asema.	"the advantage of spinach is that you can harvest it continuously in a one year period and that profit will climb to even 30 million shillings," he says.
