<1>	Panibagong paglabag sa karapatan ng mga bata	new violation of children's rights
<42>	Ayon sa CRC at batay sa kuwento ng kapatid ng biktimang si Isabel (di tunay na pangalan), ilang araw umanong nawala ang biktima at sa pag-aakalang umuwi lamang siya sa bahay ng kanilang mga magulang.	according to the CRC and based on the statement of the sibling of victim Isabel (not a real name), the victim was missing for a few days and was assumed to have just returned to their parents' home.
<43>	Noong Pebrero 20, umuwi ang biktimang si Isabel sa tinitirhan nilang magkapatid na mistulang pagod na pagod, nahihilo at hirap maglakad.	on February 20, the victim Isabel returned to the siblings' home as if fatigued, dizzy and with difficulty of walking.
<44>	Sa pagdududa ng kapatid, hinalungkat niya ang ang bag ng biktima, at na may lamang isang kahon ng doughnut, isang kilong baboy, bagong cellphone, P1,000 at kapote ng militar.	due to the sibling's suspicion, he searched the bag of the victim, and it contained a box of doughnuts, one kilo of pork, a new cellphone, P1,000, and a military raincoat.
<45>	Maliban dito, nakita rin sa gamit ng biktima ang contraceptive pills at entrance ticket sa Military Shrines Service, sa Camp Aguinaldo, Quezon City.	aside from this, also seen among the victim's possessions were contraceptive pills and an entrance ticket to the Military Shrines Service, in Camp Aguinaldo, Quezon City.
<46>	Ayon pa sa grupo, nang komprontahin ang biktima ng kanyang kapatid, sinabi ng nauna na hindi ito umuwi sa kanilang mga magulang noong Pebrero 17.	and according to the group, when the victim was confronted by her sibling, the former said that she did not go home to their parents on February 17.
<47>	Ikinuwento ng biktima na dinala umano siya ni Capt. Danilo Lalin sa Ifugao at doon ginahasa.	the victim narrated that Captain Danilo Lalin brought her to Ifugao and there raped her.
<48>	Dinala rin umano ni Capt. Lalin si Isabel sa Taguig Hospital upang ipasuri at binilhan pa ng gamot.	Captain Lalin allegedly brought Isabel to Taguig Hospital to have her examined and even bought her medicine.
<49>	Hindi rin maalala ng biktima kung saan-saang lugar dinala ang biktima dahil sa kalagayan nito na tila nababalisa.	the victim could not remember anymore which places she was taken to because of her condition, as if anxious.
<50>	Matapos magsumbong ang pamilya sa Philippine National Police-Mankayan, dinala ang biktima sa Benguet Hospital upang ipasuri.	after the family complained to the Philippine National Police-Mankayan, the victim was brought to Benguet Hospital to be examined.
<51>	Sa eksaminasyon sa biktima, napag-alamang posibleng ginahasa ng hindi lang isang lalaki si Isabel.	from the victim's examination, it was discovered that Isabel was possibly raped by not just one man.
<52>	Gayundin, kinakitaan siya ng pagkaligalig sa isip (mentally distressed) at matinding takot.	furthermore, she was seen with mental distress (mentally distressed) and intense fear.
<53>	Mula noong nakaraang taon, nakapagtala na CRC ng tatlong kaso ng panggagahasa ng mga militar sa mga menor-de-edad.	since last year, the CRC has noted three cases of the military raping minors.
<54>	Ngunit para sa Tanggol Bayi, asosasyon ng mga babaing tagapagtanggol ng karapatang pantao, maaaring konserbatibo pa ang bilang na ito.	but for Tanggol Bayi, an association of women defending human rights, this number may even be conservative.
<55>	Ayon sa grupo, sa ilalim ng Oplan Bantay Laya may mga kaso na ng panggagahasa ng militar at nagpapatuloy umano ang mga ito sa panahon ng Oplan Bayanihan ng kasalukuyang administrasyon.	according to the group, under Oplan Bantay Laya there were rape cases by the military and they allegedly continue at the time of Oplan Bayanihan of the current administration.
<56>	“May mga kahalintulad na insidente ngunit hindi ito naisasadokumento dahil takot ang mga biktima gayundin ang kahihiyan na inaabot nila kaugnay ng pangyayari,” ani Cristina Palabay, tagapagsalita ng grupo.	"there were similar incidents but they were not documented because of the victim's fear as well as the shame they experienced about the incident," said Cristina Palabay, spokesperson of the group.
<57>	Sinabi pa ni Palabay na ang pangagahasa sa kababaihan at mga menor-de-edad ay patunay na nasa panganib ang mga buhay at karapatan ng mga mamamayan.	Palabay also said that the rape of women and minors are proof that the lives and rights of the people are in danger.
<58>	Tumitinding militarisasyon	intensifying militarization
<59>	Bukod sa ilegal na mga pag-aresto, pagbansag na rebelde at panggahasa sa mga menor-de-edad, biktima rin ang daan-daang bata sa inilulunsad na operasyong militar sa Mindanao.	aside from illegal arrests, rebel accusations and rape of minors, hundreds of children are also victims of the military operation launched in Mindanao.
<60>	Ayon sa Karapatan, lumikas ang 335 pamilya ng tribong Mamanwa (1,589 indibidwal) sa 10 komunidad na saklaw ng Agusan del Norte at Surigao del Norte.	according to Karapatan, 355 families of the Mamanwa tribe (1,589 individuals) evacuated 10 communities in Agusan del Norte and Surigao del Norte.
<61>	Lumikas ang mga katutubo matapos magkaroon ng operasyong militar ang 30th IB at 3rd Special Forces ng 402nd Brigade ng AFP, sa mga komunidad na saklaw ng Zapanta Valley, at magkaroon ng walang habas na pagpapaputok at pagbobomba ang mga militar.	the natives evacuated after the 30th IB and 3rd Special Forces of the 402nd Brigade of the AFP had a military operation, and reckless gunfire and bombing by the military, in the communities in Zapanta Valley.
<62>	Nananatili pa rin hanggang sa kasalukuyan sa evacuation center sa Butuan City at iba pang lugar ang mga katutubo.	up to the present the natives remain in the evacuation center in Butuan City and other places.
<63>	Bukod sa militarisasyon, kinondena rin ng grupo ang pag-okupa ng mga militar sa pampublikong lugar tulad ng barangay hall at day care centers, tulad ng pag-okupa ng 19th IB sa kapilya, barangay hall ng Liberty, Ormoc City simula pa noong Pebrero 27.	aside from militarization, the group condemned the military occupation of public places like barangay halls and day care centers, similar to the 19th IB's occupation of the chapel, barangay hall in Liberty, Ormoc City since February 27.
<64>	Nagsisilbing day care center ang isang bahagi barangay hall.	one section of the barangay hall serves as a day care center.
<65>	Aabot sa mahigit 50 sundalo ang kasalukuyang nakahimpil sa barangay hall.	up to more than 50 soldiers are currently stationed at the barangay hall.
<66>	Bukod sa istorbong nililikha ng mga sundalo sa pag-aaral ng mga batang nasa edad apat hanggang lima, nangangamba rin ang mga magulang nila sa kaligtasan ng mga bata, ayon sa CRC.	aside from the disturbance the soldiers cause on the classes of children ages four to five, their parents also worry about the safety of the children, according to CRC.
<67>	Panawagan ng naturang mga grupo ang pagtigil sa operasyong militar at pagbasura sa Oplan Bayanihan, gayundin ang pagpapalaya sa mga menor-de-edad na inaresto sa Quezon.	the said group calls for the end of military operations and scrapping of Oplan Bayanihan, as well as the release of the minors arrested in Quezon.
<68>	“Kung totoo na wala nang NPA, natalo na tulad ng ipinagyayabang ng AFP, bakit mayroon pa ring programang kontra-insurehensiya? Dapat ng ibasura ang Oplan Bayanihan,” pagtatapos ni Enriquez.	"if it is true that there are no more NPA, defeated like what the AFP brags about, why are there still counter-insurgency programs? Oplan Bayanihan should be scrapped," Enriquez concluded.
